# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.89713719726166
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997925
# Detector.I1.voltage: -1650.001343
# Detector.I2.voltage: -1650.008179
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370597
# Scan.uid: d8b5592f-5c98-4077-9881-7f2318c50581
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:20:22.070570
# Scan.end_time: 06/22/2023  16:20:56.489321
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.72799125099999
# Sample.position.y: 31.627982876
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 159.21997236433225
# SampleHeater.temperature2.readback: 157.60000000000002
# SampleHeater.voltage.setpoint: 0.5674249900913135
# SampleHeater.voltage.readback: 0.561
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.13
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.24034e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.06263e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.2027e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.87163e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.88343e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0449e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.43781e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.75803e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -4.477877e-05 -1.045764e-06 -6.928417e-07 -3.622075e-07 3.631974e-05 -4.407243e-04 -6.158654e-05 -3.445318e-05
 8784.000000 -4.503801e-05 -1.053868e-06 -6.987856e-07 -3.649118e-07 3.596440e-05 -4.379205e-04 -6.053153e-05 -3.592550e-05
 8789.000000 -4.497696e-05 -1.049364e-06 -6.963895e-07 -3.658267e-07 3.715426e-05 -4.475762e-04 -5.508181e-05 -4.608137e-05
 8794.000000 -4.471240e-05 -1.040376e-06 -6.907836e-07 -3.647518e-07 3.144152e-05 -4.340857e-04 -5.758284e-05 -4.965490e-05
 8799.000000 -4.426943e-05 -1.032614e-06 -6.861562e-07 -3.620452e-07 3.285668e-05 -4.573352e-04 -5.913367e-05 -4.824380e-05
 8804.000000 -4.464879e-05 -1.041007e-06 -6.921060e-07 -3.656866e-07 4.155602e-05 -4.349400e-04 -5.610313e-05 -4.213647e-05
 8809.000000 -4.447921e-05 -1.039368e-06 -6.915594e-07 -3.647972e-07 4.984140e-05 -4.323089e-04 -4.628068e-05 -4.273573e-05
 8814.000000 -4.426904e-05 -1.039021e-06 -6.916446e-07 -3.634701e-07 4.979969e-05 -4.433063e-04 -5.213821e-05 -4.893005e-05
 8819.000000 -4.429662e-05 -1.043820e-06 -6.952803e-07 -3.643032e-07 5.878503e-05 -4.487854e-04 -5.857327e-05 -5.434231e-05
 8824.000000 -4.415870e-05 -1.041848e-06 -6.944728e-07 -3.640927e-07 7.395696e-05 -4.355939e-04 -5.689540e-05 -5.813233e-05
 8829.000000 -4.398655e-05 -1.040112e-06 -6.935719e-07 -3.641162e-07 5.379124e-05 -4.188388e-04 -6.247261e-05 -5.372346e-05
 8834.000000 -4.387200e-05 -1.041115e-06 -6.945366e-07 -3.648268e-07 4.792203e-05 -4.312334e-04 -7.184218e-05 -5.236415e-05
 8839.000000 -4.374183e-05 -1.042746e-06 -6.962070e-07 -3.649235e-07 5.072575e-05 -4.308764e-04 -7.481718e-05 -4.966107e-05
 8844.000000 -4.360732e-05 -1.042206e-06 -6.962400e-07 -3.649702e-07 5.475111e-05 -4.118884e-04 -7.289601e-05 -3.786966e-05
 8849.000000 -4.344612e-05 -1.041562e-06 -6.963283e-07 -3.647499e-07 6.120451e-05 -4.087575e-04 -7.003230e-05 -3.947293e-05
 8854.000000 -4.323662e-05 -1.040941e-06 -6.962968e-07 -3.643001e-07 5.306249e-05 -4.364265e-04 -6.228239e-05 -3.281892e-05
 8859.000000 -4.302727e-05 -1.041121e-06 -6.971739e-07 -3.640909e-07 5.631325e-05 -4.340864e-04 -6.444170e-05 -3.771327e-05
 8864.000000 -4.288803e-05 -1.044116e-06 -6.997842e-07 -3.642401e-07 5.682454e-05 -4.349422e-04 -5.217963e-05 -3.443113e-05
 8869.000000 -4.254098e-05 -1.034333e-06 -6.935557e-07 -3.623584e-07 5.920640e-05 -4.344381e-04 -5.615158e-05 -4.366222e-05
 8874.000000 -4.254737e-05 -1.044889e-06 -7.010663e-07 -3.631831e-07 5.899366e-05 -4.172320e-04 -6.153718e-05 -5.392850e-05
 8879.000000 -4.243775e-05 -1.046706e-06 -7.030086e-07 -3.632801e-07 6.070874e-05 -4.313019e-04 -6.343165e-05 -4.613355e-05
 8884.000000 -4.215833e-05 -1.045007e-06 -7.022836e-07 -3.621944e-07 6.468582e-05 -4.241494e-04 -5.872539e-05 -3.859152e-05
 8889.000000 -4.182729e-05 -1.047137e-06 -7.041080e-07 -3.609078e-07 6.107479e-05 -4.138379e-04 -6.404774e-05 -4.657314e-05
 8894.000000 -4.203687e-05 -1.058331e-06 -7.118256e-07 -3.631543e-07 5.896351e-05 -4.181225e-04 -6.417136e-05 -5.656334e-05
 8899.000000 -4.182811e-05 -1.059995e-06 -7.133450e-07 -3.621618e-07 6.271834e-05 -4.213933e-04 -6.851755e-05 -5.442301e-05
 8904.000000 -4.165174e-05 -1.066036e-06 -7.175597e-07 -3.612129e-07 6.008252e-05 -4.250797e-04 -6.586069e-05 -5.515448e-05
 8909.000000 -4.146608e-05 -1.069746e-06 -7.202618e-07 -3.598857e-07 4.580351e-05 -4.309785e-04 -6.921266e-05 -5.897537e-05
 8914.000000 -4.106752e-05 -1.061378e-06 -7.148509e-07 -3.571562e-07 3.610823e-05 -4.404632e-04 -7.625670e-05 -5.517466e-05
 8919.000000 -4.084481e-05 -1.054050e-06 -7.100862e-07 -3.565094e-07 3.838379e-05 -4.399977e-04 -6.963597e-05 -6.499288e-05
 8924.000000 -4.059036e-05 -1.050608e-06 -7.078886e-07 -3.555514e-07 4.922661e-05 -4.130338e-04 -6.962097e-05 -6.797993e-05
 8929.000000 -4.072427e-05 -1.066234e-06 -7.186732e-07 -3.584791e-07 4.379670e-05 -4.212621e-04 -6.517291e-05 -6.361252e-05
 8934.000000 -4.061585e-05 -1.068355e-06 -7.203204e-07 -3.592081e-07 4.853367e-05 -4.362871e-04 -6.875478e-05 -5.280460e-05
 8939.000000 -4.047088e-05 -1.067769e-06 -7.200512e-07 -3.591672e-07 5.010416e-05 -4.410284e-04 -7.651038e-05 -5.191909e-05
 8944.000000 -4.028722e-05 -1.069142e-06 -7.206921e-07 -3.590024e-07 5.230491e-05 -4.354458e-04 -7.506887e-05 -6.144529e-05
 8949.000000 -4.003224e-05 -1.066267e-06 -7.181614e-07 -3.578599e-07 4.665860e-05 -4.365456e-04 -6.341215e-05 -4.634239e-05
 8953.000000 -3.999378e-05 -1.072832e-06 -7.220185e-07 -3.589476e-07 3.342947e-05 -4.619792e-04 -6.584359e-05 -5.307981e-05
 8956.000000 -3.989706e-05 -1.067410e-06 -7.175333e-07 -3.596963e-07 4.205231e-05 -4.743480e-04 -6.176114e-05 -5.051348e-05
 8958.000000 -3.984813e-05 -1.065947e-06 -7.158457e-07 -3.602808e-07 4.875473e-05 -4.740031e-04 -6.260658e-05 -5.064795e-05
 8959.000000 -3.986244e-05 -1.070143e-06 -7.187213e-07 -3.607930e-07 4.788048e-05 -4.775114e-04 -6.150287e-05 -5.319009e-05
 8959.200000 -3.988451e-05 -1.076244e-06 -7.228606e-07 -3.610013e-07 5.055226e-05 -5.037416e-04 -5.545124e-05 -4.476705e-05
 8959.400000 -3.990106e-05 -1.074772e-06 -7.217995e-07 -3.611140e-07 4.271320e-05 -4.838874e-04 -5.718817e-05 -5.686903e-05
