# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.79373690181797
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002441
# Detector.I1.voltage: -1650.00354
# Detector.I2.voltage: -1650.010132
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370601
# Scan.uid: e11e2f7b-4190-4174-9abf-d2caa6fb1ebe
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:25:30.083647
# Scan.end_time: 06/22/2023  16:26:03.006760
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 210.6652004555345
# SampleHeater.temperature2.readback: 210.70000000000002
# SampleHeater.voltage.setpoint: 0.5833274886750748
# SampleHeater.voltage.readback: 0.5670000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.01
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.040000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.20981e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 6.93407e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.08272e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.90186e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.83506e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0277e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.30612e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.60483e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.457250e-05 -4.890118e-07 -3.240094e-07 -2.733844e-07 3.771021e-05 -3.087358e-04 -5.768811e-05 -5.554353e-06
 8784.000000 -3.457585e-05 -4.852429e-07 -3.215948e-07 -2.739283e-07 4.543231e-05 -3.008214e-04 -4.901940e-05 -1.151018e-06
 8789.000000 -3.456332e-05 -4.849156e-07 -3.216519e-07 -2.744863e-07 4.581041e-05 -3.096808e-04 -5.310834e-05 6.095248e-06
 8794.000000 -3.446853e-05 -4.855251e-07 -3.224852e-07 -2.743914e-07 4.133291e-05 -3.022956e-04 -5.685034e-05 9.400490e-06
 8799.000000 -3.415315e-05 -4.821199e-07 -3.203360e-07 -2.725687e-07 4.770618e-05 -2.842260e-04 -5.484061e-05 6.769694e-06
 8804.000000 -3.450098e-05 -4.884225e-07 -3.245090e-07 -2.758175e-07 5.551124e-05 -3.060057e-04 -4.883128e-05 6.893113e-06
 8809.000000 -3.434671e-05 -4.869177e-07 -3.236844e-07 -2.753038e-07 5.078199e-05 -3.141363e-04 -5.633352e-05 -4.078608e-06
 8814.000000 -3.411421e-05 -4.843956e-07 -3.226211e-07 -2.735825e-07 4.982897e-05 -3.152640e-04 -5.957182e-05 -3.156547e-06
 8819.000000 -3.406852e-05 -4.864309e-07 -3.240294e-07 -2.736403e-07 5.001021e-05 -2.875296e-04 -5.546287e-05 2.820052e-06
 8824.000000 -3.412746e-05 -4.914023e-07 -3.274965e-07 -2.747870e-07 4.768720e-05 -3.228995e-04 -5.557289e-05 5.332527e-06
 8829.000000 -3.406489e-05 -4.931411e-07 -3.290877e-07 -2.751727e-07 5.170879e-05 -3.100838e-04 -5.300500e-05 6.742555e-06
 8834.000000 -3.394197e-05 -4.928983e-07 -3.292686e-07 -2.754697e-07 5.466219e-05 -2.961390e-04 -6.360116e-05 1.199325e-05
 8839.000000 -3.387954e-05 -4.948310e-07 -3.305274e-07 -2.761096e-07 5.507769e-05 -2.934176e-04 -6.593037e-05 6.682775e-06
 8844.000000 -3.375891e-05 -4.964542e-07 -3.318180e-07 -2.759090e-07 4.496179e-05 -3.067764e-04 -6.046960e-05 1.251194e-05
 8849.000000 -3.359183e-05 -4.948329e-07 -3.309071e-07 -2.755079e-07 4.243007e-05 -3.009611e-04 -7.331089e-05 1.283449e-05
 8854.000000 -3.343064e-05 -4.941454e-07 -3.308732e-07 -2.753393e-07 3.718512e-05 -2.853914e-04 -6.876795e-05 1.184136e-05
 8859.000000 -3.335578e-05 -4.961907e-07 -3.322243e-07 -2.758067e-07 3.970766e-05 -2.697373e-04 -5.691965e-05 1.469023e-05
 8864.000000 -3.328491e-05 -4.980921e-07 -3.336749e-07 -2.758809e-07 4.063660e-05 -2.900325e-04 -5.800566e-05 1.836944e-05
 8869.000000 -3.323743e-05 -5.009475e-07 -3.358415e-07 -2.763176e-07 3.819367e-05 -3.182217e-04 -6.262217e-05 1.311609e-05
 8874.000000 -3.314754e-05 -5.014450e-07 -3.365846e-07 -2.763933e-07 3.715383e-05 -2.920327e-04 -6.181015e-05 6.774630e-06
 8879.000000 -3.303338e-05 -5.029637e-07 -3.380895e-07 -2.760060e-07 4.576393e-05 -2.602504e-04 -5.574731e-05 1.315284e-06
 8884.000000 -3.275528e-05 -5.014854e-07 -3.372852e-07 -2.749731e-07 4.991705e-05 -2.807841e-04 -5.570992e-05 2.103492e-06
 8889.000000 -3.245497e-05 -5.005666e-07 -3.365146e-07 -2.738189e-07 5.717052e-05 -2.896799e-04 -6.062796e-05 -2.669415e-06
 8894.000000 -3.267023e-05 -5.077554e-07 -3.413418e-07 -2.758990e-07 5.675773e-05 -2.903296e-04 -7.241214e-05 -5.918265e-06
 8899.000000 -3.257005e-05 -5.095402e-07 -3.429336e-07 -2.757544e-07 5.590630e-05 -2.845382e-04 -7.125730e-05 3.111050e-06
 8904.000000 -3.243296e-05 -5.108696e-07 -3.441263e-07 -2.753554e-07 4.707382e-05 -2.741900e-04 -7.049334e-05 7.941066e-06
 8909.000000 -3.229932e-05 -5.116919e-07 -3.446388e-07 -2.749912e-07 3.782958e-05 -2.874409e-04 -7.664668e-05 2.785564e-06
 8914.000000 -3.205675e-05 -5.108334e-07 -3.442207e-07 -2.734374e-07 4.363500e-05 -2.775552e-04 -6.479634e-05 1.099732e-05
 8919.000000 -3.196370e-05 -5.116123e-07 -3.450651e-07 -2.733684e-07 3.588162e-05 -3.027680e-04 -6.635264e-05 1.831941e-05
 8924.000000 -3.179916e-05 -5.130066e-07 -3.462087e-07 -2.728937e-07 4.003247e-05 -3.254926e-04 -7.465239e-05 1.457472e-05
 8929.000000 -3.173045e-05 -5.140671e-07 -3.467604e-07 -2.736541e-07 4.094330e-05 -3.359100e-04 -6.986750e-05 5.888911e-06
 8934.000000 -3.156780e-05 -5.120790e-07 -3.453636e-07 -2.735644e-07 4.016161e-05 -3.282099e-04 -6.370477e-05 6.290895e-06
 8939.000000 -3.151753e-05 -5.148947e-07 -3.473126e-07 -2.743193e-07 3.145906e-05 -3.167530e-04 -6.481679e-05 3.638365e-06
 8944.000000 -3.141935e-05 -5.169988e-07 -3.486903e-07 -2.744432e-07 2.766313e-05 -3.363035e-04 -5.860596e-05 8.405223e-06
 8949.000000 -3.125160e-05 -5.159576e-07 -3.476763e-07 -2.742520e-07 1.618857e-05 -3.450914e-04 -5.989232e-05 9.881097e-06
 8953.000000 -3.115897e-05 -5.147164e-07 -3.465489e-07 -2.745280e-07 1.726372e-05 -3.440610e-04 -6.067650e-05 1.408730e-05
 8956.000000 -3.115350e-05 -5.163991e-07 -3.474256e-07 -2.753276e-07 2.286825e-05 -3.260007e-04 -6.739163e-05 1.396084e-05
 8958.000000 -3.112633e-05 -5.169995e-07 -3.477301e-07 -2.752820e-07 3.413759e-05 -3.198859e-04 -7.231993e-05 1.140042e-05
 8959.000000 -3.110665e-05 -5.172740e-07 -3.473509e-07 -2.751759e-07 3.840624e-05 -3.312388e-04 -7.915710e-05 5.839076e-06
 8959.200000 -3.109526e-05 -5.171357e-07 -3.470185e-07 -2.750954e-07 3.815464e-05 -3.398257e-04 -8.050437e-05 1.031037e-06
 8959.400000 -3.112030e-05 -5.174648e-07 -3.473576e-07 -2.752563e-07 3.716923e-05 -3.585586e-04 -6.747510e-05 8.678441e-06
