# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.74033234592434
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002563
# Detector.I1.voltage: -1649.999268
# Detector.I2.voltage: -1649.999878
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370605
# Scan.uid: dd5301df-7d78-4d0c-b68f-cabbfdc6a694
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:29:30.072932
# Scan.end_time: 06/22/2023  16:30:02.428385
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.589988464
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 250.75988394625892
# SampleHeater.temperature2.readback: 254.60000000000002
# SampleHeater.voltage.setpoint: 0.5872346399714966
# SampleHeater.voltage.readback: 0.601
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.040000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.38482e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 5.47272e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.95524e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.8641e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.76519e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0621e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.40624e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.48254e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.453670e-05 -4.731964e-07 -3.137389e-07 -2.721579e-07 2.740806e-05 -2.344810e-04 -6.408232e-05 -2.988163e-05
 8784.000000 -3.461645e-05 -4.724518e-07 -3.133020e-07 -2.737952e-07 2.630455e-05 -2.280907e-04 -7.051826e-05 -2.471110e-05
 8789.000000 -3.454962e-05 -4.713718e-07 -3.129500e-07 -2.740886e-07 2.515863e-05 -2.420246e-04 -7.007384e-05 -2.221543e-05
 8794.000000 -3.435742e-05 -4.689098e-07 -3.115517e-07 -2.734784e-07 4.051686e-05 -2.631731e-04 -6.161503e-05 -2.964430e-05
 8799.000000 -3.396224e-05 -4.658483e-07 -3.095420e-07 -2.711989e-07 3.908165e-05 -2.743939e-04 -6.522079e-05 -2.704406e-05
 8804.000000 -3.429457e-05 -4.721405e-07 -3.139251e-07 -2.741690e-07 4.122678e-05 -2.702477e-04 -6.466516e-05 -1.997360e-05
 8809.000000 -3.426894e-05 -4.749135e-07 -3.160598e-07 -2.743623e-07 3.488532e-05 -2.520942e-04 -7.170986e-05 -2.085358e-05
 8814.000000 -3.411147e-05 -4.758085e-07 -3.169755e-07 -2.733790e-07 3.326752e-05 -2.658915e-04 -5.844410e-05 -2.217112e-05
 8819.000000 -3.414263e-05 -4.794087e-07 -3.191809e-07 -2.740196e-07 3.311886e-05 -2.632828e-04 -5.386777e-05 -1.725947e-05
 8824.000000 -3.403919e-05 -4.809929e-07 -3.203678e-07 -2.740609e-07 3.500649e-05 -2.690256e-04 -6.074019e-05 -1.300102e-05
 8829.000000 -3.394466e-05 -4.819292e-07 -3.211057e-07 -2.744048e-07 3.955378e-05 -2.789965e-04 -5.961985e-05 -2.226680e-05
 8834.000000 -3.363477e-05 -4.766313e-07 -3.179124e-07 -2.726051e-07 4.232434e-05 -2.552342e-04 -5.839570e-05 -2.916837e-05
 8839.000000 -3.355703e-05 -4.772374e-07 -3.187235e-07 -2.728517e-07 4.056724e-05 -2.582409e-04 -7.517865e-05 -2.789658e-05
 8844.000000 -3.336814e-05 -4.754398e-07 -3.179092e-07 -2.723253e-07 3.471404e-05 -2.860923e-04 -8.145623e-05 -2.647513e-05
 8849.000000 -3.319511e-05 -4.732600e-07 -3.166823e-07 -2.719754e-07 3.715007e-05 -2.782308e-04 -8.015711e-05 -2.963409e-05
 8854.000000 -3.330480e-05 -4.799152e-07 -3.213094e-07 -2.742706e-07 3.817828e-05 -2.507398e-04 -6.731208e-05 -2.700383e-05
 8859.000000 -3.324767e-05 -4.815125e-07 -3.227056e-07 -2.750383e-07 3.502967e-05 -2.650226e-04 -5.348659e-05 -2.404471e-05
 8864.000000 -3.316207e-05 -4.828388e-07 -3.238751e-07 -2.750961e-07 3.443040e-05 -2.890193e-04 -5.990768e-05 -3.052175e-05
 8869.000000 -3.300977e-05 -4.829208e-07 -3.241373e-07 -2.747025e-07 3.351218e-05 -2.547034e-04 -6.189090e-05 -3.001729e-05
 8874.000000 -3.281962e-05 -4.832376e-07 -3.244724e-07 -2.740981e-07 3.316321e-05 -2.605972e-04 -7.030552e-05 -2.646224e-05
 8879.000000 -3.282512e-05 -4.869817e-07 -3.273429e-07 -2.749676e-07 2.883817e-05 -2.570933e-04 -7.534747e-05 -2.655127e-05
 8884.000000 -3.255049e-05 -4.851922e-07 -3.261716e-07 -2.737892e-07 2.456094e-05 -2.789865e-04 -7.279510e-05 -1.985586e-05
 8889.000000 -3.230157e-05 -4.862191e-07 -3.272017e-07 -2.728836e-07 2.627015e-05 -2.854133e-04 -6.760253e-05 -1.816223e-05
 8894.000000 -3.243310e-05 -4.908108e-07 -3.303731e-07 -2.742008e-07 3.724904e-05 -2.684430e-04 -7.161462e-05 -1.945819e-05
 8899.000000 -3.239819e-05 -4.940702e-07 -3.328848e-07 -2.746989e-07 3.755105e-05 -2.666719e-04 -7.484749e-05 -1.370491e-05
 8904.000000 -3.226631e-05 -4.951437e-07 -3.337883e-07 -2.741943e-07 4.798469e-05 -2.484404e-04 -7.156051e-05 -1.479448e-05
 8909.000000 -3.200968e-05 -4.925575e-07 -3.320777e-07 -2.722736e-07 5.144306e-05 -2.641129e-04 -6.127034e-05 -2.121126e-05
 8914.000000 -3.182881e-05 -4.932821e-07 -3.325172e-07 -2.712428e-07 4.185105e-05 -2.782778e-04 -6.543551e-05 -2.657155e-05
 8919.000000 -3.172689e-05 -4.940613e-07 -3.331243e-07 -2.710092e-07 3.954982e-05 -2.915101e-04 -7.071204e-05 -3.204986e-05
 8924.000000 -3.150675e-05 -4.929869e-07 -3.326035e-07 -2.699686e-07 5.195525e-05 -3.114428e-04 -5.801288e-05 -2.819185e-05
 8929.000000 -3.153031e-05 -4.965345e-07 -3.349952e-07 -2.716452e-07 5.172783e-05 -2.900020e-04 -6.119277e-05 -2.643804e-05
 8934.000000 -3.150368e-05 -4.986022e-07 -3.360223e-07 -2.730651e-07 4.402370e-05 -2.873486e-04 -5.952251e-05 -2.916085e-05
 8939.000000 -3.142331e-05 -5.003366e-07 -3.371989e-07 -2.732893e-07 4.643523e-05 -3.012069e-04 -6.068146e-05 -2.641668e-05
 8944.000000 -3.127570e-05 -4.992294e-07 -3.365989e-07 -2.725986e-07 4.651904e-05 -2.798108e-04 -5.731340e-05 -3.331472e-05
 8949.000000 -3.113205e-05 -5.005462e-07 -3.374226e-07 -2.722187e-07 5.334203e-05 -2.981581e-04 -6.196321e-05 -3.634055e-05
 8953.000000 -3.108008e-05 -5.020835e-07 -3.381833e-07 -2.731435e-07 5.144092e-05 -2.775520e-04 -6.502505e-05 -3.345296e-05
 8956.000000 -3.104550e-05 -5.025752e-07 -3.379262e-07 -2.737120e-07 4.382883e-05 -2.824997e-04 -5.516335e-05 -2.859617e-05
 8958.000000 -3.102110e-05 -5.025689e-07 -3.375793e-07 -2.737019e-07 4.845985e-05 -2.577460e-04 -4.629910e-05 -3.396177e-05
 8959.000000 -3.100879e-05 -5.018305e-07 -3.369194e-07 -2.738412e-07 5.294893e-05 -2.562514e-04 -5.353793e-05 -3.785156e-05
 8959.200000 -3.099417e-05 -5.005368e-07 -3.360479e-07 -2.736979e-07 5.461998e-05 -2.379198e-04 -6.179594e-05 -3.931250e-05
 8959.400000 -3.100601e-05 -5.022326e-07 -3.370937e-07 -2.736629e-07 5.810109e-05 -2.332671e-04 -5.531344e-05 -3.468040e-05
