# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 398.8688414335119
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997925
# Detector.I1.voltage: -1649.998413
# Detector.I2.voltage: -1649.999268
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370607
# Scan.uid: 858fcf72-4336-424c-ab94-eb955b5d4ef6
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:31:28.077286
# Scan.end_time: 06/22/2023  16:32:03.445148
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 270.4464717378275
# SampleHeater.temperature2.readback: 270.8
# SampleHeater.voltage.setpoint: 0.686193922300586
# SampleHeater.voltage.readback: 0.666
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.040000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02848307229578495
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.40546e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.82987e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.93199e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.85671e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.7289e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0621e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.45192e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.65802e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.465771e-05 -4.731163e-07 -3.136700e-07 -2.730773e-07 4.350173e-05 -3.838943e-04 -4.227556e-05 2.097597e-05
 8784.000000 -3.471743e-05 -4.720864e-07 -3.133063e-07 -2.741233e-07 3.078211e-05 -3.931969e-04 -4.926164e-05 2.766736e-05
 8789.000000 -3.468633e-05 -4.708055e-07 -3.126007e-07 -2.747261e-07 3.494450e-05 -3.760222e-04 -5.471098e-05 2.028166e-05
 8794.000000 -3.455430e-05 -4.692096e-07 -3.115136e-07 -2.744210e-07 3.457071e-05 -3.696752e-04 -4.715150e-05 1.697813e-05
 8799.000000 -3.402368e-05 -4.611476e-07 -3.064459e-07 -2.708996e-07 3.748810e-05 -3.987661e-04 -3.629925e-05 2.401064e-05
 8804.000000 -3.440551e-05 -4.673444e-07 -3.109897e-07 -2.744466e-07 2.801919e-05 -3.967329e-04 -3.601746e-05 2.837617e-05
 8809.000000 -3.427979e-05 -4.666164e-07 -3.104712e-07 -2.736967e-07 2.288243e-05 -3.699070e-04 -4.242520e-05 3.616737e-05
 8814.000000 -3.407724e-05 -4.650108e-07 -3.097869e-07 -2.725084e-07 2.886199e-05 -3.573454e-04 -4.305713e-05 3.665126e-05
 8819.000000 -3.420187e-05 -4.702720e-07 -3.136007e-07 -2.739959e-07 4.060613e-05 -3.547725e-04 -3.829861e-05 3.088773e-05
 8824.000000 -3.409264e-05 -4.705720e-07 -3.139013e-07 -2.737949e-07 5.779350e-05 -3.156835e-04 -3.875058e-05 2.308221e-05
 8829.000000 -3.394221e-05 -4.708535e-07 -3.141454e-07 -2.735784e-07 5.284785e-05 -3.384875e-04 -3.355247e-05 2.608655e-05
 8834.000000 -3.384168e-05 -4.723368e-07 -3.154838e-07 -2.739191e-07 4.821522e-05 -3.443092e-04 -3.729603e-05 2.695587e-05
 8839.000000 -3.371786e-05 -4.729905e-07 -3.161814e-07 -2.737313e-07 5.537218e-05 -3.634147e-04 -3.755660e-05 3.864147e-05
 8844.000000 -3.369655e-05 -4.761600e-07 -3.184803e-07 -2.750694e-07 6.133137e-05 -3.706436e-04 -5.802593e-05 3.601654e-05
 8849.000000 -3.354013e-05 -4.756655e-07 -3.183322e-07 -2.752084e-07 6.974823e-05 -3.737529e-04 -6.145904e-05 2.912400e-05
 8854.000000 -3.341758e-05 -4.760966e-07 -3.192358e-07 -2.752665e-07 6.864106e-05 -3.757793e-04 -6.831145e-05 2.861717e-05
 8859.000000 -3.339699e-05 -4.793201e-07 -3.212831e-07 -2.759507e-07 5.770517e-05 -3.949178e-04 -6.769963e-05 1.518211e-05
 8864.000000 -3.330232e-05 -4.806744e-07 -3.223887e-07 -2.757093e-07 5.211887e-05 -4.044750e-04 -7.351945e-05 2.140945e-05
 8869.000000 -3.319916e-05 -4.822378e-07 -3.237288e-07 -2.754917e-07 5.112378e-05 -3.957518e-04 -6.123115e-05 2.474513e-05
 8874.000000 -3.297093e-05 -4.811698e-07 -3.229213e-07 -2.745661e-07 5.050092e-05 -3.963980e-04 -4.920089e-05 2.247128e-05
 8879.000000 -3.285278e-05 -4.824623e-07 -3.238634e-07 -2.742830e-07 5.257925e-05 -4.021058e-04 -5.340632e-05 1.633916e-05
 8884.000000 -3.254999e-05 -4.792492e-07 -3.221044e-07 -2.727486e-07 5.727646e-05 -4.021467e-04 -5.020790e-05 1.361840e-05
 8889.000000 -3.225616e-05 -4.780531e-07 -3.216403e-07 -2.716395e-07 5.222977e-05 -3.965929e-04 -5.787693e-05 1.259106e-05
 8894.000000 -3.255381e-05 -4.864156e-07 -3.273390e-07 -2.745074e-07 5.072440e-05 -3.969607e-04 -5.723406e-05 1.808823e-05
 8899.000000 -3.244637e-05 -4.879477e-07 -3.284466e-07 -2.744376e-07 4.742521e-05 -3.721601e-04 -4.878720e-05 1.411852e-05
 8904.000000 -3.236283e-05 -4.905125e-07 -3.304015e-07 -2.743867e-07 5.320606e-05 -3.732353e-04 -4.785477e-05 8.064737e-06
 8909.000000 -3.222560e-05 -4.915864e-07 -3.309922e-07 -2.738337e-07 5.370158e-05 -3.852959e-04 -3.819184e-05 6.884955e-06
 8914.000000 -3.194747e-05 -4.904791e-07 -3.304401e-07 -2.718274e-07 5.450124e-05 -4.129864e-04 -2.823891e-05 5.821142e-06
 8919.000000 -3.185412e-05 -4.926225e-07 -3.321838e-07 -2.716580e-07 5.156385e-05 -4.012673e-04 -4.112655e-05 5.940612e-06
 8924.000000 -3.168985e-05 -4.927507e-07 -3.322794e-07 -2.711712e-07 5.597622e-05 -4.149929e-04 -3.729321e-05 1.631470e-05
 8929.000000 -3.171025e-05 -4.960812e-07 -3.347053e-07 -2.726388e-07 5.310155e-05 -4.015293e-04 -3.971964e-05 2.401187e-05
 8934.000000 -3.163551e-05 -4.972734e-07 -3.355251e-07 -2.732007e-07 4.085200e-05 -4.237584e-04 -3.868270e-05 3.384414e-05
 8939.000000 -3.151106e-05 -4.980077e-07 -3.360495e-07 -2.733188e-07 4.108149e-05 -4.385561e-04 -4.557656e-05 1.808080e-05
 8944.000000 -3.136117e-05 -4.981089e-07 -3.359476e-07 -2.730562e-07 4.626784e-05 -4.624593e-04 -4.909581e-05 1.728389e-05
 8949.000000 -3.126849e-05 -4.989715e-07 -3.362598e-07 -2.733222e-07 4.859451e-05 -4.629458e-04 -6.197162e-05 3.023263e-05
 8953.000000 -3.119385e-05 -5.000926e-07 -3.367196e-07 -2.735160e-07 5.523427e-05 -4.342647e-04 -6.190851e-05 3.777368e-05
 8956.000000 -3.113121e-05 -4.995908e-07 -3.361591e-07 -2.741343e-07 5.352253e-05 -3.991547e-04 -5.453825e-05 3.641959e-05
 8958.000000 -3.110360e-05 -4.988105e-07 -3.355241e-07 -2.750117e-07 5.130648e-05 -4.214721e-04 -5.711673e-05 3.713708e-05
 8959.000000 -3.110177e-05 -4.986777e-07 -3.352531e-07 -2.753892e-07 6.287185e-05 -4.246702e-04 -5.827306e-05 3.599425e-05
 8959.200000 -3.108337e-05 -4.981008e-07 -3.346655e-07 -2.753104e-07 6.274469e-05 -4.289908e-04 -5.929904e-05 3.124016e-05
 8959.400000 -3.106362e-05 -4.986177e-07 -3.350628e-07 -2.751014e-07 5.850521e-05 -4.194517e-04 -5.891051e-05 3.705789e-05
 8959.600000 -3.105908e-05 -4.984230e-07 -3.348316e-07 -2.753270e-07 4.973456e-05 -4.150874e-04 -6.363239e-05 3.220789e-05
 8959.800000 -3.107387e-05 -4.988310e-07 -3.348947e-07 -2.756451e-07 4.377571e-05 -4.141883e-04 -6.309119e-05 2.878674e-05
 8960.000000 -3.108711e-05 -4.985799e-07 -3.348707e-07 -2.756854e-07 4.391356e-05 -4.330240e-04 -6.009609e-05 2.193636e-05
 8960.200000 -3.107495e-05 -4.977843e-07 -3.342905e-07 -2.755316e-07 4.688932e-05 -4.241265e-04 -4.540721e-05 2.997488e-05
 8960.400000 -3.105204e-05 -4.994191e-07 -3.353214e-07 -2.752387e-07 3.902636e-05 -4.428945e-04 -4.298012e-05 2.995693e-05
 8960.600000 -3.099932e-05 -4.963247e-07 -3.331994e-07 -2.747444e-07 4.234341e-05 -4.344550e-04 -3.277181e-05 4.073611e-05
 8960.800000 -3.100364e-05 -4.997639e-07 -3.355901e-07 -2.747932e-07 4.872873e-05 -4.100940e-04 -3.973790e-05 2.609465e-05
 8961.000000 -3.100871e-05 -4.994866e-07 -3.354483e-07 -2.746937e-07 4.937842e-05 -4.196647e-04 -4.337223e-05 2.158395e-05
 8961.200000 -3.101643e-05 -4.994185e-07 -3.351353e-07 -2.748265e-07 4.304016e-05 -4.240170e-04 -4.858554e-05 2.224143e-05
 8961.400000 -3.104073e-05 -4.998720e-07 -3.353106e-07 -2.751887e-07 4.363654e-05 -4.378911e-04 -6.219238e-05 2.731361e-05
 8961.600000 -3.104753e-05 -4.998165e-07 -3.351939e-07 -2.751917e-07 4.463506e-05 -4.455322e-04 -6.285510e-05 2.332651e-05
 8961.800000 -3.103168e-05 -5.015299e-07 -3.360257e-07 -2.748923e-07 4.103464e-05 -4.437776e-04 -6.232783e-05 2.483081e-05
 8962.000000 -3.099634e-05 -4.999050e-07 -3.350480e-07 -2.746157e-07 4.120492e-05 -4.285269e-04 -6.102078e-05 1.982221e-05
 8962.200000 -3.094763e-05 -4.979661e-07 -3.338423e-07 -2.742641e-07 3.646664e-05 -4.412054e-04 -5.589792e-05 2.372407e-05
 8962.400000 -3.091547e-05 -4.978711e-07 -3.338726e-07 -2.742740e-07 3.390864e-05 -4.279479e-04 -5.424403e-05 2.199181e-05
 8962.600000 -3.090980e-05 -4.953440e-07 -3.322574e-07 -2.743282e-07 3.807026e-05 -3.972504e-04 -5.456276e-05 2.844981e-05
 8962.800000 -3.093691e-05 -4.976132e-07 -3.337259e-07 -2.745560e-07 4.024879e-05 -3.769653e-04 -6.298124e-05 3.274695e-05
 8963.000000 -3.096334e-05 -4.974291e-07 -3.334772e-07 -2.748040e-07 4.224116e-05 -4.071806e-04 -5.805026e-05 2.461977e-05
 8963.200000 -3.097635e-05 -4.993893e-07 -3.347135e-07 -2.750487e-07 4.420200e-05 -4.238005e-04 -4.085151e-05 2.875240e-05
 8963.400000 -3.095432e-05 -4.972477e-07 -3.333989e-07 -2.750321e-07 4.368477e-05 -4.075409e-04 -4.402227e-05 3.549604e-05
 8963.600000 -3.095211e-05 -4.971523e-07 -3.332840e-07 -2.750780e-07 4.185280e-05 -4.054389e-04 -5.083742e-05 3.418363e-05
 8963.800000 -3.095577e-05 -4.992352e-07 -3.346441e-07 -2.752890e-07 4.096039e-05 -4.082491e-04 -5.137466e-05 3.153199e-05
 8964.000000 -3.097239e-05 -4.986522e-07 -3.340930e-07 -2.755638e-07 3.445518e-05 -4.250194e-04 -3.964824e-05 2.904837e-05
 8964.200000 -3.095211e-05 -4.991157e-07 -3.343217e-07 -2.756135e-07 3.889345e-05 -4.167021e-04 -6.211051e-05 2.948596e-05
 8964.400000 -3.094008e-05 -4.987335e-07 -3.339660e-07 -2.756457e-07 4.104242e-05 -4.203748e-04 -4.851671e-05 3.446544e-05
 8964.600000 -3.087384e-05 -4.996868e-07 -3.340653e-07 -2.751246e-07 3.864168e-05 -4.576323e-04 -4.141048e-05 3.660213e-05
 8964.800000 -3.087688e-05 -4.973513e-07 -3.326094e-07 -2.751533e-07 3.616921e-05 -4.702004e-04 -4.763065e-05 3.872057e-05
 8965.000000 -3.091741e-05 -4.992522e-07 -3.338284e-07 -2.754805e-07 3.893853e-05 -4.759711e-04 -5.003366e-05 3.576743e-05
 8965.200000 -3.093374e-05 -4.993931e-07 -3.337569e-07 -2.755558e-07 4.372573e-05 -4.459880e-04 -5.454310e-05 3.688820e-05
 8965.400000 -3.092228e-05 -5.017307e-07 -3.350977e-07 -2.754650e-07 4.296692e-05 -4.079527e-04 -5.345004e-05 4.113702e-05
 8965.600000 -3.089963e-05 -5.011789e-07 -3.344890e-07 -2.752196e-07 3.973995e-05 -4.015563e-04 -5.977473e-05 3.236092e-05
 8965.800000 -3.088324e-05 -4.987431e-07 -3.327285e-07 -2.751550e-07 4.664808e-05 -4.112247e-04 -6.221615e-05 3.125926e-05
 8966.000000 -3.085510e-05 -5.009892e-07 -3.342238e-07 -2.751992e-07 5.479916e-05 -4.072985e-04 -6.232156e-05 2.534758e-05
 8966.200000 -3.087003e-05 -4.982929e-07 -3.324781e-07 -2.754209e-07 5.499284e-05 -4.247109e-04 -5.663369e-05 2.262185e-05
 8966.400000 -3.089458e-05 -4.994678e-07 -3.332266e-07 -2.757993e-07 5.778783e-05 -4.275666e-04 -4.499723e-05 3.220359e-05
 8966.600000 -3.088728e-05 -4.987244e-07 -3.324306e-07 -2.757729e-07 4.915665e-05 -4.300476e-04 -4.222848e-05 3.510137e-05
 8966.800000 -3.090348e-05 -5.007057e-07 -3.337884e-07 -2.758815e-07 5.073148e-05 -4.384240e-04 -6.000701e-05 2.755023e-05
 8967.000000 -3.088540e-05 -5.004566e-07 -3.334829e-07 -2.757359e-07 4.271069e-05 -4.458747e-04 -6.024854e-05 2.783790e-05
 8967.200000 -3.087190e-05 -4.990969e-07 -3.322356e-07 -2.755894e-07 4.767047e-05 -4.523505e-04 -4.424298e-05 3.878324e-05
 8967.400000 -3.087884e-05 -4.996644e-07 -3.325873e-07 -2.759191e-07 5.334740e-05 -4.575398e-04 -4.435830e-05 3.088303e-05
 8967.600000 -3.085192e-05 -4.975118e-07 -3.308734e-07 -2.757075e-07 5.371270e-05 -4.541834e-04 -3.362302e-05 3.226891e-05
 8967.800000 -3.085921e-05 -4.996917e-07 -3.320754e-07 -2.763146e-07 5.212422e-05 -4.566448e-04 -4.183815e-05 3.517609e-05
 8968.000000 -3.085907e-05 -4.973519e-07 -3.303734e-07 -2.762051e-07 5.049944e-05 -4.390698e-04 -3.767532e-05 3.795952e-05
 8968.200000 -3.085468e-05 -4.998872e-07 -3.318398e-07 -2.761867e-07 4.963365e-05 -4.445200e-04 -4.342703e-05 3.401740e-05
 8968.400000 -3.083738e-05 -4.980472e-07 -3.303959e-07 -2.761125e-07 5.621699e-05 -4.193183e-04 -3.050396e-05 3.806219e-05
 8968.600000 -3.083786e-05 -4.991022e-07 -3.308748e-07 -2.762039e-07 5.661777e-05 -4.477896e-04 -5.156690e-05 2.520343e-05
 8968.800000 -3.083864e-05 -4.994587e-07 -3.310285e-07 -2.761990e-07 4.387036e-05 -4.243027e-04 -5.489995e-05 2.317814e-05
 8969.000000 -3.085769e-05 -4.988549e-07 -3.306763e-07 -2.765193e-07 3.887779e-05 -4.328068e-04 -5.258703e-05 3.428815e-05
 8969.200000 -3.085393e-05 -5.001325e-07 -3.312931e-07 -2.763311e-07 3.531684e-05 -4.101883e-04 -6.330470e-05 3.437333e-05
 8969.400000 -3.084005e-05 -4.984074e-07 -3.301188e-07 -2.763107e-07 4.198165e-05 -3.926827e-04 -5.931737e-05 2.726391e-05
 8969.600000 -3.083845e-05 -5.000172e-07 -3.309504e-07 -2.766724e-07 4.929512e-05 -4.029719e-04 -5.254250e-05 3.423174e-05
 8969.800000 -3.085261e-05 -4.984632e-07 -3.297038e-07 -2.770460e-07 5.341512e-05 -4.126127e-04 -5.593381e-05 3.755187e-05
 8970.000000 -3.086609e-05 -4.995956e-07 -3.302103e-07 -2.772778e-07 5.252202e-05 -4.068297e-04 -6.129800e-05 4.649833e-05
 8970.200000 -3.085772e-05 -4.996301e-07 -3.301748e-07 -2.773587e-07 4.037297e-05 -4.064337e-04 -5.158708e-05 4.347841e-05
 8970.400000 -3.084758e-05 -4.991944e-07 -3.296665e-07 -2.775824e-07 4.329737e-05 -4.282876e-04 -4.961360e-05 3.877430e-05
 8970.600000 -3.084369e-05 -4.984339e-07 -3.290316e-07 -2.777398e-07 4.591240e-05 -4.057083e-04 -5.329809e-05 3.294191e-05
 8970.800000 -3.083556e-05 -4.973008e-07 -3.281409e-07 -2.777665e-07 4.716108e-05 -3.929875e-04 -5.279528e-05 2.739078e-05
 8971.000000 -3.083949e-05 -5.001020e-07 -3.297001e-07 -2.779539e-07 4.840256e-05 -4.276702e-04 -6.100317e-05 2.453120e-05
 8971.200000 -3.082967e-05 -4.977169e-07 -3.277614e-07 -2.779106e-07 4.355676e-05 -4.285633e-04 -8.309343e-05 1.920412e-05
 8971.400000 -3.079183e-05 -4.973290e-07 -3.271354e-07 -2.781954e-07 5.449584e-05 -4.060151e-04 -7.356447e-05 2.407801e-05
 8971.600000 -3.075630e-05 -4.962804e-07 -3.262278e-07 -2.778285e-07 6.017508e-05 -3.952601e-04 -6.786219e-05 1.825811e-05
 8971.800000 -3.075563e-05 -4.962547e-07 -3.258392e-07 -2.780870e-07 5.481017e-05 -4.068890e-04 -7.019284e-05 2.158941e-05
