# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 398.61556577942923
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002686
# Detector.I1.voltage: -1650.000122
# Detector.I2.voltage: -1649.998657
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370617
# Scan.uid: a7693b6a-a8dc-463a-a331-3e2b91596671
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:41:24.045314
# Scan.end_time: 06/22/2023  16:41:56.444834
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.589988464
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 370.007413977508
# SampleHeater.temperature2.readback: 370.1
# SampleHeater.voltage.setpoint: 0.9310871902247793
# SampleHeater.voltage.readback: 0.961
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.120000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.48802e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.88003e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.84312e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.20044e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.8962e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2126e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.55807e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.65676e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.437254e-05 -4.365554e-07 -2.893877e-07 -2.707709e-07 3.298389e-05 -4.541392e-04 -4.786735e-05 1.276935e-05
 8784.000000 -3.441532e-05 -4.353234e-07 -2.887734e-07 -2.714793e-07 3.777619e-05 -4.805558e-04 -5.513635e-05 3.037494e-05
 8789.000000 -3.442435e-05 -4.355465e-07 -2.889707e-07 -2.722834e-07 3.715660e-05 -4.735175e-04 -4.431387e-05 5.110563e-05
 8794.000000 -3.433474e-05 -4.373944e-07 -2.903711e-07 -2.721348e-07 3.928295e-05 -4.573455e-04 -3.687458e-05 2.820275e-05
 8799.000000 -3.394671e-05 -4.346996e-07 -2.888305e-07 -2.698947e-07 4.558935e-05 -4.509550e-04 -3.861869e-05 1.675254e-05
 8804.000000 -3.426400e-05 -4.400249e-07 -2.924771e-07 -2.729191e-07 4.289306e-05 -4.557610e-04 -4.524548e-05 1.569744e-05
 8809.000000 -3.418303e-05 -4.399882e-07 -2.927398e-07 -2.727411e-07 4.684078e-05 -4.411064e-04 -4.737468e-05 2.067266e-05
 8814.000000 -3.393932e-05 -4.377525e-07 -2.912031e-07 -2.712509e-07 4.586929e-05 -4.375904e-04 -4.851633e-05 1.729432e-05
 8819.000000 -3.386834e-05 -4.382117e-07 -2.918436e-07 -2.711235e-07 4.052222e-05 -4.595486e-04 -4.366159e-05 1.115564e-05
 8824.000000 -3.384230e-05 -4.408885e-07 -2.939562e-07 -2.718032e-07 3.985395e-05 -4.714176e-04 -4.116425e-05 8.769908e-06
 8829.000000 -3.384112e-05 -4.444186e-07 -2.961563e-07 -2.728914e-07 3.570072e-05 -4.644579e-04 -4.072116e-05 1.201342e-05
 8834.000000 -3.376410e-05 -4.456317e-07 -2.974911e-07 -2.731562e-07 4.469092e-05 -4.614543e-04 -3.190510e-05 7.123896e-06
 8839.000000 -3.365723e-05 -4.462014e-07 -2.981634e-07 -2.735247e-07 5.136056e-05 -4.614659e-04 -3.180570e-05 1.094549e-05
 8844.000000 -3.349904e-05 -4.453059e-07 -2.977562e-07 -2.731640e-07 4.529788e-05 -4.851951e-04 -2.904827e-05 9.341478e-06
 8849.000000 -3.337957e-05 -4.451869e-07 -2.978443e-07 -2.728602e-07 3.907072e-05 -4.672953e-04 -3.816539e-05 1.952995e-05
 8854.000000 -3.329949e-05 -4.465764e-07 -2.991529e-07 -2.732770e-07 4.494133e-05 -4.442298e-04 -3.903714e-05 8.310194e-06
 8859.000000 -3.319697e-05 -4.475079e-07 -3.000659e-07 -2.737737e-07 4.390627e-05 -4.464407e-04 -4.140203e-05 6.087890e-06
 8864.000000 -3.304728e-05 -4.477973e-07 -3.002154e-07 -2.734284e-07 5.013095e-05 -4.550829e-04 -4.583624e-05 5.911755e-06
 8869.000000 -3.291545e-05 -4.483118e-07 -3.004709e-07 -2.729970e-07 5.799405e-05 -4.609031e-04 -4.692591e-05 7.151044e-06
 8874.000000 -3.280512e-05 -4.496862e-07 -3.014142e-07 -2.728655e-07 5.387471e-05 -4.449608e-04 -5.404068e-05 3.570503e-06
 8879.000000 -3.270424e-05 -4.520435e-07 -3.035130e-07 -2.727915e-07 4.877516e-05 -4.445970e-04 -4.565769e-05 2.188187e-07
 8884.000000 -3.246163e-05 -4.510022e-07 -3.031691e-07 -2.718578e-07 5.200467e-05 -4.597631e-04 -4.174873e-05 8.788448e-08
 8889.000000 -3.219698e-05 -4.511516e-07 -3.034170e-07 -2.708959e-07 4.934162e-05 -4.784172e-04 -3.564262e-05 1.372962e-05
 8894.000000 -3.236938e-05 -4.559038e-07 -3.065441e-07 -2.726493e-07 4.061806e-05 -4.653968e-04 -4.041010e-05 1.733430e-05
 8899.000000 -3.220681e-05 -4.554413e-07 -3.066808e-07 -2.718941e-07 3.999048e-05 -4.538827e-04 -2.735054e-05 1.032191e-05
 8904.000000 -3.208817e-05 -4.566839e-07 -3.076055e-07 -2.718450e-07 4.269491e-05 -4.461545e-04 -2.518807e-05 -9.716171e-07
 8909.000000 -3.199815e-05 -4.588286e-07 -3.089720e-07 -2.715404e-07 4.879770e-05 -4.504536e-04 -4.061393e-05 -4.918489e-06
 8914.000000 -3.172797e-05 -4.578419e-07 -3.084432e-07 -2.699414e-07 4.438745e-05 -4.209332e-04 -4.683214e-05 -1.758162e-06
 8919.000000 -3.163810e-05 -4.591775e-07 -3.095056e-07 -2.703582e-07 4.439163e-05 -4.453873e-04 -4.703117e-05 -2.890980e-06
 8924.000000 -3.148364e-05 -4.594319e-07 -3.096854e-07 -2.699352e-07 3.688723e-05 -4.248485e-04 -4.636169e-05 8.933989e-06
 8929.000000 -3.149620e-05 -4.620266e-07 -3.116767e-07 -2.710879e-07 3.114111e-05 -4.330011e-04 -3.999638e-05 1.392815e-05
 8934.000000 -3.139951e-05 -4.631935e-07 -3.125690e-07 -2.711726e-07 3.479657e-05 -4.298646e-04 -4.501752e-05 1.192785e-05
 8939.000000 -3.129094e-05 -4.639328e-07 -3.128790e-07 -2.714724e-07 3.904672e-05 -4.336768e-04 -5.063696e-05 1.575008e-05
 8944.000000 -3.116508e-05 -4.644908e-07 -3.131944e-07 -2.713874e-07 3.710604e-05 -4.385799e-04 -4.383299e-05 1.107218e-05
 8949.000000 -3.103846e-05 -4.646022e-07 -3.131389e-07 -2.712063e-07 3.461468e-05 -4.279640e-04 -4.000189e-05 2.647013e-05
 8953.000000 -3.097711e-05 -4.646670e-07 -3.129783e-07 -2.715077e-07 3.980355e-05 -4.545507e-04 -4.800436e-05 1.414540e-05
 8956.000000 -3.092240e-05 -4.628899e-07 -3.113762e-07 -2.720905e-07 4.874052e-05 -4.653112e-04 -3.843320e-05 1.409503e-05
 8958.000000 -3.091118e-05 -4.641147e-07 -3.120340e-07 -2.725514e-07 4.946274e-05 -4.582110e-04 -3.065586e-05 7.281597e-06
 8959.000000 -3.090301e-05 -4.650150e-07 -3.124778e-07 -2.727137e-07 4.434303e-05 -4.571264e-04 -3.288487e-05 -7.827490e-06
 8959.200000 -3.089756e-05 -4.648798e-07 -3.121439e-07 -2.728052e-07 4.806155e-05 -4.755800e-04 -2.960185e-05 -1.443554e-05
 8959.400000 -3.089267e-05 -4.649938e-07 -3.119584e-07 -2.728111e-07 4.798210e-05 -4.653022e-04 -3.368486e-05 -1.311999e-05
 8959.600000 -3.088372e-05 -4.647534e-07 -3.116671e-07 -2.726025e-07 4.701227e-05 -4.903669e-04 -3.343829e-05 -1.159989e-05
 8959.800000 -3.087658e-05 -4.658782e-07 -3.124559e-07 -2.724477e-07 4.150217e-05 -5.066707e-04 -4.037752e-05 -1.028501e-05
 8960.000000 -3.087016e-05 -4.651839e-07 -3.120465e-07 -2.726084e-07 4.472295e-05 -4.986804e-04 -4.099235e-05 -1.073167e-05
 8960.200000 -3.086854e-05 -4.655106e-07 -3.123286e-07 -2.724505e-07 4.607813e-05 -4.977641e-04 -2.201559e-05 2.563446e-06
 8960.400000 -3.085818e-05 -4.649949e-07 -3.119730e-07 -2.723920e-07 4.214435e-05 -4.842081e-04 -1.603558e-05 -1.901579e-06
 8960.600000 -3.083439e-05 -4.644773e-07 -3.114611e-07 -2.724510e-07 4.265848e-05 -4.969009e-04 -3.329884e-05 -6.932035e-06
 8960.800000 -3.082600e-05 -4.644691e-07 -3.110242e-07 -2.721989e-07 3.848291e-05 -4.993775e-04 -4.069897e-05 -8.852951e-06
 8961.000000 -3.081333e-05 -4.638523e-07 -3.107490e-07 -2.720470e-07 3.684058e-05 -5.070435e-04 -4.283137e-05 -1.174232e-05
 8961.200000 -3.082242e-05 -4.648488e-07 -3.113980e-07 -2.720817e-07 3.748437e-05 -5.013618e-04 -3.200789e-05 4.286970e-06
 8961.400000 -3.083364e-05 -4.647059e-07 -3.114994e-07 -2.723496e-07 4.028716e-05 -4.922689e-04 -3.625489e-05 1.597669e-05
 8961.600000 -3.083988e-05 -4.657960e-07 -3.121746e-07 -2.726327e-07 3.352560e-05 -4.909524e-04 -4.270735e-05 9.804603e-06
 8961.800000 -3.084995e-05 -4.648834e-07 -3.116876e-07 -2.728259e-07 3.385141e-05 -5.001993e-04 -2.369197e-05 2.106763e-05
 8962.000000 -3.083820e-05 -4.651622e-07 -3.118479e-07 -2.728522e-07 4.171769e-05 -4.982181e-04 -2.047145e-05 2.368569e-05
 8962.200000 -3.079112e-05 -4.634485e-07 -3.107404e-07 -2.724925e-07 4.987195e-05 -4.949900e-04 -1.429989e-05 2.241999e-05
 8962.400000 -3.074957e-05 -4.626515e-07 -3.101171e-07 -2.719308e-07 4.912401e-05 -4.909483e-04 -4.194833e-05 1.021334e-05
 8962.600000 -3.076623e-05 -4.643653e-07 -3.111842e-07 -2.724317e-07 5.678938e-05 -4.518062e-04 -4.940076e-05 1.457070e-05
 8962.800000 -3.080723e-05 -4.622349e-07 -3.096594e-07 -2.727403e-07 5.762429e-05 -4.473725e-04 -5.171498e-05 5.721466e-06
