# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.26754273399024
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999878
# Detector.I1.voltage: -1650.000732
# Detector.I2.voltage: -1650.000366
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370619
# Scan.uid: f320ce8b-40c8-4e53-8878-a0b815a597fd
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:43:22.553639
# Scan.end_time: 06/22/2023  16:43:57.048510
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 381.1
# SampleHeater.voltage.setpoint: 0.9031317148632415
# SampleHeater.voltage.readback: 0.912
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.18
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.5637e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.64901e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.83726e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.20837e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.84648e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2169e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.54531e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.53767e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.431072e-05 -4.362622e-07 -2.890323e-07 -2.700240e-07 4.125751e-05 -5.408771e-04 -3.054281e-05 -7.796990e-06
 8784.000000 -3.446044e-05 -4.369075e-07 -2.896617e-07 -2.717606e-07 3.086051e-05 -5.365982e-04 -2.787427e-05 2.566632e-05
 8789.000000 -3.441391e-05 -4.365460e-07 -2.894865e-07 -2.721868e-07 3.345207e-05 -5.454611e-04 -3.654492e-05 3.939509e-05
 8794.000000 -3.425677e-05 -4.355080e-07 -2.891456e-07 -2.714068e-07 3.979891e-05 -5.849545e-04 -4.148150e-05 3.688341e-05
 8799.000000 -3.392064e-05 -4.331190e-07 -2.878287e-07 -2.694580e-07 4.239545e-05 -5.974450e-04 -4.648660e-05 3.669321e-05
 8804.000000 -3.419744e-05 -4.375058e-07 -2.908680e-07 -2.721795e-07 4.112850e-05 -5.732042e-04 -4.414821e-05 4.445332e-05
 8809.000000 -3.408378e-05 -4.372968e-07 -2.908352e-07 -2.719589e-07 5.037912e-05 -5.545755e-04 -4.073761e-05 3.591689e-05
 8814.000000 -3.389246e-05 -4.363056e-07 -2.905682e-07 -2.709305e-07 4.200656e-05 -5.632223e-04 -3.698374e-05 4.469654e-05
 8819.000000 -3.381913e-05 -4.347767e-07 -2.895974e-07 -2.710161e-07 4.529653e-05 -5.497498e-04 -3.078155e-05 2.855390e-05
 8824.000000 -3.367381e-05 -4.336051e-07 -2.887858e-07 -2.711432e-07 4.225389e-05 -5.420770e-04 -3.074024e-05 -4.862576e-06
 8829.000000 -3.355110e-05 -4.331311e-07 -2.886475e-07 -2.713929e-07 3.651669e-05 -5.394899e-04 -2.336294e-05 -6.805507e-06
 8834.000000 -3.362626e-05 -4.386127e-07 -2.927156e-07 -2.728755e-07 4.308994e-05 -5.452368e-04 -2.432493e-05 -6.770964e-06
 8839.000000 -3.354158e-05 -4.397315e-07 -2.939499e-07 -2.729472e-07 3.916416e-05 -5.477795e-04 -2.770436e-05 -8.322093e-06
 8844.000000 -3.343849e-05 -4.414251e-07 -2.952207e-07 -2.731467e-07 3.520504e-05 -5.400295e-04 -1.697365e-05 -7.867392e-06
 8849.000000 -3.333447e-05 -4.430265e-07 -2.964197e-07 -2.732203e-07 3.259933e-05 -5.319148e-04 -2.043987e-05 -5.412807e-06
 8854.000000 -3.324687e-05 -4.443176e-07 -2.973574e-07 -2.732725e-07 2.862426e-05 -5.441816e-04 -2.331879e-05 -1.321041e-05
 8859.000000 -3.311658e-05 -4.453681e-07 -2.983666e-07 -2.729585e-07 3.487433e-05 -5.284261e-04 -1.928653e-05 -3.738398e-06
 8864.000000 -3.297151e-05 -4.445078e-07 -2.979710e-07 -2.725831e-07 4.424001e-05 -5.159643e-04 -9.192643e-06 1.840517e-05
 8869.000000 -3.281643e-05 -4.445227e-07 -2.981911e-07 -2.719881e-07 4.451980e-05 -5.240851e-04 -1.965656e-05 2.029053e-05
 8874.000000 -3.272115e-05 -4.467844e-07 -2.997781e-07 -2.719875e-07 4.345428e-05 -5.438736e-04 -2.750855e-05 2.061946e-05
 8879.000000 -3.252603e-05 -4.440478e-07 -2.979726e-07 -2.712564e-07 4.251964e-05 -5.570666e-04 -1.794314e-05 2.302344e-05
 8884.000000 -3.236602e-05 -4.450571e-07 -2.989482e-07 -2.713377e-07 3.405174e-05 -5.416937e-04 -2.739416e-05 2.875384e-05
 8889.000000 -3.215692e-05 -4.458001e-07 -2.995970e-07 -2.714709e-07 3.967823e-05 -5.218639e-04 -3.537129e-05 3.182651e-05
 8894.000000 -3.233493e-05 -4.510005e-07 -3.035331e-07 -2.733168e-07 4.458631e-05 -5.403757e-04 -3.121073e-05 2.626382e-05
 8899.000000 -3.218832e-05 -4.515425e-07 -3.038668e-07 -2.726780e-07 4.138475e-05 -5.304567e-04 -3.105742e-05 3.029807e-05
 8904.000000 -3.205152e-05 -4.529235e-07 -3.050387e-07 -2.717523e-07 3.269206e-05 -4.989564e-04 -3.385931e-05 2.736976e-05
 8909.000000 -3.193707e-05 -4.552251e-07 -3.065757e-07 -2.710838e-07 3.143167e-05 -5.052025e-04 -2.677210e-05 -4.604564e-06
 8914.000000 -3.166280e-05 -4.534498e-07 -3.055993e-07 -2.693558e-07 3.402153e-05 -5.526861e-04 -2.687917e-05 -4.823722e-06
 8919.000000 -3.163044e-05 -4.561203e-07 -3.075921e-07 -2.697936e-07 4.214144e-05 -5.502697e-04 -2.593710e-05 2.343254e-05
 8924.000000 -3.147933e-05 -4.577546e-07 -3.087753e-07 -2.692711e-07 4.043060e-05 -5.482503e-04 -1.512557e-05 3.504515e-05
 8929.000000 -3.146781e-05 -4.602538e-07 -3.104107e-07 -2.703725e-07 3.109055e-05 -5.318392e-04 -1.654856e-05 4.102014e-05
 8934.000000 -3.140078e-05 -4.619588e-07 -3.116026e-07 -2.710671e-07 2.410042e-05 -5.517936e-04 -2.133850e-05 3.663991e-05
 8939.000000 -3.123747e-05 -4.613332e-07 -3.111510e-07 -2.709978e-07 3.562746e-05 -5.412823e-04 -3.642969e-05 5.136737e-06
 8944.000000 -3.114749e-05 -4.629226e-07 -3.121505e-07 -2.712523e-07 3.024400e-05 -5.361812e-04 -3.701526e-05 -1.249419e-05
 8949.000000 -3.100594e-05 -4.623533e-07 -3.115599e-07 -2.707387e-07 2.203498e-05 -5.352413e-04 -3.250705e-05 -1.260509e-05
 8953.000000 -3.091361e-05 -4.617945e-07 -3.109312e-07 -2.707682e-07 1.038304e-05 -5.368349e-04 -2.502908e-05 -1.721068e-05
 8956.000000 -3.087002e-05 -4.612675e-07 -3.101655e-07 -2.713496e-07 2.021911e-05 -5.344497e-04 -1.866933e-05 -1.023273e-05
 8958.000000 -3.087105e-05 -4.614283e-07 -3.100234e-07 -2.722034e-07 3.710019e-05 -5.547004e-04 -1.789614e-05 1.709549e-05
 8959.000000 -3.084697e-05 -4.610488e-07 -3.095011e-07 -2.723352e-07 3.077377e-05 -5.575756e-04 -2.350083e-05 1.859899e-05
 8959.200000 -3.084080e-05 -4.609495e-07 -3.096069e-07 -2.722140e-07 2.820206e-05 -5.488626e-04 -2.270272e-05 -5.287439e-06
 8959.400000 -3.082521e-05 -4.600951e-07 -3.091218e-07 -2.721903e-07 3.266271e-05 -5.642203e-04 -3.138754e-05 2.807021e-06
