# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2758541192585
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001465
# Detector.I1.voltage: -1650.001099
# Detector.I2.voltage: -1650.001465
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370621
# Scan.uid: f22e93cf-eea1-44e8-9c6c-099b6d1bb597
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:45:23.066371
# Scan.end_time: 06/22/2023  16:45:57.792768
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 377.6
# SampleHeater.voltage.setpoint: 0.9792389727453114
# SampleHeater.voltage.readback: 0.9400000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.22
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.55897e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.49561e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.90777e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.15268e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.81423e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.204e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.52784e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.58072e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.450955e-05 -4.445142e-07 -2.946128e-07 -2.718176e-07 2.910132e-05 -4.216041e-04 -7.596445e-05 -1.959351e-05
 8784.000000 -3.460547e-05 -4.441829e-07 -2.946107e-07 -2.731184e-07 2.332883e-05 -4.404445e-04 -7.730778e-05 -1.836557e-05
 8789.000000 -3.457225e-05 -4.437085e-07 -2.943196e-07 -2.734963e-07 2.437374e-05 -4.361592e-04 -7.455395e-05 -2.154948e-05
 8794.000000 -3.443547e-05 -4.427071e-07 -2.939373e-07 -2.732700e-07 1.999335e-05 -4.287928e-04 -6.446108e-05 -1.836684e-05
 8799.000000 -3.402269e-05 -4.376944e-07 -2.906664e-07 -2.708821e-07 3.171186e-05 -4.285005e-04 -5.812720e-05 -1.525413e-05
 8804.000000 -3.427247e-05 -4.408965e-07 -2.931698e-07 -2.734962e-07 3.496955e-05 -4.104751e-04 -7.047756e-05 -1.322353e-05
 8809.000000 -3.418108e-05 -4.412794e-07 -2.936292e-07 -2.738469e-07 3.901461e-05 -4.142706e-04 -8.600555e-05 -1.654022e-05
 8814.000000 -3.406390e-05 -4.422390e-07 -2.943523e-07 -2.733170e-07 2.698384e-05 -4.037327e-04 -8.524938e-05 -1.892277e-05
 8819.000000 -3.407553e-05 -4.440423e-07 -2.958007e-07 -2.738874e-07 2.601552e-05 -3.955865e-04 -8.137946e-05 -1.492947e-05
 8824.000000 -3.397870e-05 -4.439790e-07 -2.958960e-07 -2.739181e-07 2.362772e-05 -3.942361e-04 -8.904812e-05 -1.451650e-05
 8829.000000 -3.386834e-05 -4.438938e-07 -2.958569e-07 -2.738107e-07 2.290290e-05 -3.764583e-04 -7.382459e-05 -2.046979e-05
 8834.000000 -3.372824e-05 -4.429068e-07 -2.956107e-07 -2.736983e-07 2.026858e-05 -4.022042e-04 -7.015439e-05 -1.658024e-05
 8839.000000 -3.353989e-05 -4.414553e-07 -2.949109e-07 -2.728894e-07 2.163334e-05 -4.324280e-04 -8.051633e-05 -1.948920e-05
 8844.000000 -3.338426e-05 -4.413696e-07 -2.951802e-07 -2.723928e-07 3.015091e-05 -4.337761e-04 -8.439529e-05 -2.079447e-05
 8849.000000 -3.330497e-05 -4.433071e-07 -2.964330e-07 -2.727526e-07 2.737986e-05 -4.364578e-04 -7.361361e-05 -2.064212e-05
 8854.000000 -3.331187e-05 -4.470043e-07 -2.992264e-07 -2.739693e-07 2.537670e-05 -4.425782e-04 -7.356659e-05 -1.821417e-05
 8859.000000 -3.320131e-05 -4.483064e-07 -3.003531e-07 -2.740995e-07 2.487374e-05 -4.250407e-04 -7.658380e-05 -1.947383e-05
 8864.000000 -3.306628e-05 -4.486347e-07 -3.005467e-07 -2.739704e-07 2.568645e-05 -4.278799e-04 -8.367949e-05 -2.860641e-05
 8869.000000 -3.287867e-05 -4.472077e-07 -2.996056e-07 -2.731196e-07 3.668926e-05 -4.522553e-04 -8.395729e-05 -2.582306e-05
 8874.000000 -3.286561e-05 -4.511486e-07 -3.028092e-07 -2.734633e-07 4.982968e-05 -4.401927e-04 -8.392069e-05 -3.597020e-05
 8879.000000 -3.271492e-05 -4.510231e-07 -3.029867e-07 -2.731298e-07 3.904396e-05 -4.522260e-04 -6.831158e-05 -4.431533e-05
 8884.000000 -3.252859e-05 -4.518868e-07 -3.035344e-07 -2.724013e-07 3.681007e-05 -4.355984e-04 -6.546948e-05 -3.704571e-05
 8889.000000 -3.224971e-05 -4.517167e-07 -3.038155e-07 -2.713489e-07 4.013143e-05 -4.428774e-04 -7.282230e-05 -4.512167e-05
 8894.000000 -3.238703e-05 -4.555092e-07 -3.064322e-07 -2.729233e-07 3.676201e-05 -4.453676e-04 -6.743672e-05 -4.400917e-05
 8899.000000 -3.228375e-05 -4.569192e-07 -3.075100e-07 -2.726790e-07 3.938745e-05 -4.327105e-04 -6.705416e-05 -3.505878e-05
 8904.000000 -3.219174e-05 -4.582188e-07 -3.084824e-07 -2.725685e-07 4.314855e-05 -4.400920e-04 -6.250860e-05 -3.314665e-05
 8909.000000 -3.203773e-05 -4.586402e-07 -3.090281e-07 -2.716457e-07 4.234738e-05 -4.470071e-04 -6.933999e-05 -3.843112e-05
 8914.000000 -3.172900e-05 -4.558377e-07 -3.070665e-07 -2.697218e-07 3.483236e-05 -4.585080e-04 -6.953259e-05 -3.880577e-05
 8919.000000 -3.168383e-05 -4.581816e-07 -3.089313e-07 -2.702556e-07 3.455886e-05 -4.528853e-04 -6.815240e-05 -3.804044e-05
 8924.000000 -3.155530e-05 -4.596802e-07 -3.101405e-07 -2.703416e-07 4.614157e-05 -4.391149e-04 -7.002317e-05 -3.476471e-05
 8929.000000 -3.154547e-05 -4.626720e-07 -3.120724e-07 -2.717529e-07 4.642322e-05 -4.402439e-04 -6.889222e-05 -3.050195e-05
 8934.000000 -3.144524e-05 -4.634275e-07 -3.125576e-07 -2.721489e-07 3.960814e-05 -4.158477e-04 -6.693828e-05 -2.659149e-05
 8939.000000 -3.128292e-05 -4.632106e-07 -3.125585e-07 -2.716536e-07 3.646572e-05 -3.843162e-04 -5.874514e-05 -5.193557e-06
 8944.000000 -3.119014e-05 -4.641310e-07 -3.129646e-07 -2.720428e-07 2.786925e-05 -3.756700e-04 -6.660929e-05 1.566189e-05
 8949.000000 -3.105041e-05 -4.626987e-07 -3.118725e-07 -2.716071e-07 3.241463e-05 -4.031701e-04 -6.273571e-05 -2.425045e-05
 8953.000000 -3.102227e-05 -4.636101e-07 -3.121434e-07 -2.722694e-07 4.736834e-05 -4.344079e-04 -7.097773e-05 -2.883833e-05
 8956.000000 -3.098673e-05 -4.624545e-07 -3.108973e-07 -2.728460e-07 5.248425e-05 -4.638550e-04 -7.047010e-05 -2.309367e-05
 8958.000000 -3.096686e-05 -4.631821e-07 -3.112242e-07 -2.728829e-07 4.692860e-05 -4.763670e-04 -6.505957e-05 2.602215e-05
 8959.000000 -3.093479e-05 -4.634043e-07 -3.111442e-07 -2.727691e-07 4.390963e-05 -4.872931e-04 -6.670047e-05 2.035259e-05
 8959.200000 -3.093038e-05 -4.634053e-07 -3.111452e-07 -2.727257e-07 4.647694e-05 -4.958710e-04 -6.939641e-05 1.741831e-05
 8959.400000 -3.089288e-05 -4.619240e-07 -3.102248e-07 -2.724485e-07 4.942547e-05 -4.703480e-04 -6.541084e-05 2.389214e-05
