# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2287080819074
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000854
# Detector.I1.voltage: -1650.002075
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370625
# Scan.uid: 035021ba-5939-4130-abe3-69a4df582903
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:49:23.531146
# Scan.end_time: 06/22/2023  16:49:58.062540
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.589988464
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 383.0
# SampleHeater.voltage.setpoint: 0.8544610584313974
# SampleHeater.voltage.readback: 0.855
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.18
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.53618e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.13011e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.67272e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.601e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.66709e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0191e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.4976e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.28101e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.445087e-05 -4.269626e-07 -2.828306e-07 -2.709314e-07 5.416881e-05 -5.459072e-04 -4.929007e-05 -9.289745e-06
 8784.000000 -3.452663e-05 -4.264358e-07 -2.826191e-07 -2.720768e-07 5.207409e-05 -5.008510e-04 -4.001419e-05 -8.035126e-06
 8789.000000 -3.446473e-05 -4.255163e-07 -2.821208e-07 -2.723695e-07 4.888451e-05 -4.948072e-04 -3.021953e-05 -8.765426e-06
 8794.000000 -3.430114e-05 -4.239608e-07 -2.814467e-07 -2.716667e-07 5.767736e-05 -5.035544e-04 -2.683422e-05 1.878674e-06
 8799.000000 -3.391946e-05 -4.202739e-07 -2.794568e-07 -2.694372e-07 5.113498e-05 -5.023562e-04 -2.663618e-05 5.905805e-06
 8804.000000 -3.423603e-05 -4.255986e-07 -2.829298e-07 -2.724551e-07 4.339505e-05 -5.078116e-04 -3.527569e-05 2.084665e-06
 8809.000000 -3.415214e-05 -4.265604e-07 -2.840102e-07 -2.720594e-07 4.372389e-05 -5.065134e-04 -4.575072e-05 -6.152516e-06
 8814.000000 -3.400201e-05 -4.281896e-07 -2.851062e-07 -2.709380e-07 4.481219e-05 -5.108903e-04 -5.616588e-05 -7.091740e-06
 8819.000000 -3.399659e-05 -4.302061e-07 -2.867058e-07 -2.714388e-07 4.135632e-05 -4.938479e-04 -3.260142e-05 -3.704869e-06
 8824.000000 -3.392993e-05 -4.308657e-07 -2.874168e-07 -2.720862e-07 3.738239e-05 -4.823306e-04 -2.631287e-05 -8.722149e-06
 8829.000000 -3.381700e-05 -4.314237e-07 -2.879237e-07 -2.722966e-07 3.125385e-05 -5.147956e-04 -3.464122e-05 -1.178423e-05
 8834.000000 -3.367892e-05 -4.301098e-07 -2.870192e-07 -2.721347e-07 2.561946e-05 -5.138221e-04 -2.185567e-05 4.433131e-06
 8839.000000 -3.352363e-05 -4.287083e-07 -2.864674e-07 -2.720003e-07 1.491847e-05 -5.102845e-04 -3.229049e-05 1.873582e-06
 8844.000000 -3.344764e-05 -4.304603e-07 -2.879016e-07 -2.723269e-07 1.357044e-05 -5.027451e-04 -3.115196e-05 3.697348e-06
 8849.000000 -3.330963e-05 -4.304450e-07 -2.879451e-07 -2.721715e-07 1.468181e-05 -5.075119e-04 -2.532050e-05 -1.453779e-06
 8854.000000 -3.325336e-05 -4.322969e-07 -2.891536e-07 -2.730498e-07 1.721389e-05 -5.221598e-04 -1.763288e-05 1.065723e-06
 8859.000000 -3.313942e-05 -4.332741e-07 -2.901485e-07 -2.730856e-07 2.319335e-05 -5.106507e-04 -1.867868e-05 3.645362e-06
 8864.000000 -3.295991e-05 -4.318010e-07 -2.894125e-07 -2.725986e-07 2.369755e-05 -5.130490e-04 -2.602071e-05 -4.392457e-06
 8869.000000 -3.282144e-05 -4.318523e-07 -2.896080e-07 -2.723724e-07 2.196306e-05 -5.105260e-04 -2.506738e-05 -5.951174e-06
 8874.000000 -3.281319e-05 -4.359051e-07 -2.926458e-07 -2.729367e-07 2.679878e-05 -5.403793e-04 -2.053221e-05 -5.371881e-06
 8879.000000 -3.273481e-05 -4.375641e-07 -2.942424e-07 -2.730092e-07 2.564321e-05 -5.205849e-04 -2.265045e-05 -7.680271e-06
 8884.000000 -3.247892e-05 -4.361071e-07 -2.932917e-07 -2.718649e-07 2.179177e-05 -5.152168e-04 -2.737529e-05 -1.928302e-05
 8889.000000 -3.219333e-05 -4.355563e-07 -2.927224e-07 -2.705821e-07 1.663255e-05 -5.462216e-04 -2.577118e-05 -7.512948e-06
 8894.000000 -3.227856e-05 -4.381433e-07 -2.947078e-07 -2.714127e-07 1.309622e-05 -5.291846e-04 -1.035433e-05 -8.707136e-06
 8899.000000 -3.221619e-05 -4.409879e-07 -2.968200e-07 -2.715521e-07 3.047742e-06 -5.238328e-04 -1.581445e-05 -7.351571e-06
 8904.000000 -3.204602e-05 -4.405810e-07 -2.967234e-07 -2.703409e-07 8.559670e-06 -5.240761e-04 -1.667568e-05 -2.255894e-06
 8909.000000 -3.193374e-05 -4.417327e-07 -2.976473e-07 -2.699353e-07 1.748932e-05 -5.396614e-04 -2.615096e-05 -1.763107e-05
 8914.000000 -3.174973e-05 -4.430556e-07 -2.986598e-07 -2.692600e-07 2.377797e-05 -5.284729e-04 -2.758641e-05 -2.267772e-05
 8919.000000 -3.163128e-05 -4.436038e-07 -2.990285e-07 -2.695055e-07 1.904652e-05 -5.156374e-04 -2.432501e-05 -1.793784e-05
 8924.000000 -3.144346e-05 -4.434841e-07 -2.990658e-07 -2.691029e-07 1.480222e-05 -5.254113e-04 -2.949936e-05 -9.464177e-06
 8929.000000 -3.147641e-05 -4.468903e-07 -3.012778e-07 -2.707092e-07 2.222331e-05 -5.263077e-04 -2.866167e-05 -8.657309e-06
 8934.000000 -3.142079e-05 -4.495254e-07 -3.031575e-07 -2.711429e-07 3.350811e-05 -5.129921e-04 -3.171233e-05 -6.873821e-06
 8939.000000 -3.129752e-05 -4.506872e-07 -3.039498e-07 -2.707363e-07 3.466946e-05 -5.189629e-04 -3.586156e-05 -1.214223e-05
 8944.000000 -3.117044e-05 -4.499421e-07 -3.032632e-07 -2.708097e-07 2.059483e-05 -5.093821e-04 -3.683638e-05 -3.880682e-06
 8949.000000 -3.102824e-05 -4.483850e-07 -3.020144e-07 -2.707936e-07 3.073586e-05 -5.380846e-04 -3.112269e-05 5.060379e-07
 8953.000000 -3.097183e-05 -4.497537e-07 -3.027594e-07 -2.717195e-07 3.938357e-05 -5.486668e-04 -3.254097e-05 3.183326e-06
 8956.000000 -3.091833e-05 -4.500334e-07 -3.027139e-07 -2.721751e-07 2.532434e-05 -5.519450e-04 -2.354473e-05 2.743618e-06
 8958.000000 -3.085084e-05 -4.492513e-07 -3.017649e-07 -2.721394e-07 2.324595e-05 -5.356519e-04 -2.032490e-05 1.069828e-05
 8959.000000 -3.085276e-05 -4.501940e-07 -3.021639e-07 -2.724247e-07 3.281124e-05 -5.513732e-04 -2.411019e-05 7.377259e-06
 8959.200000 -3.087737e-05 -4.507851e-07 -3.023073e-07 -2.727739e-07 2.338080e-05 -5.786762e-04 -2.879491e-05 -3.524595e-06
 8959.400000 -3.087952e-05 -4.509712e-07 -3.025070e-07 -2.729629e-07 2.210294e-05 -5.625938e-04 -2.034802e-05 3.932517e-06
