# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.61863141728594
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002808
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370633
# Scan.uid: 86936e7b-f100-46ae-8b6c-b5b0222ce581
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:57:23.072420
# Scan.end_time: 06/22/2023  16:57:57.773202
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 310.2914063135783
# SampleHeater.temperature2.readback: 312.20000000000005
# SampleHeater.voltage.setpoint: 0.7025575327915207
# SampleHeater.voltage.readback: 0.721
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.42
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.72409e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.80976e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.72755e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.56586e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.57168e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0363e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.3209e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.6875e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.447936e-05 -4.394106e-07 -2.913483e-07 -2.711064e-07 4.187693e-05 -6.241739e-04 -1.882904e-05 -9.632819e-06
 8784.000000 -3.453900e-05 -4.384536e-07 -2.907686e-07 -2.719522e-07 4.950498e-05 -5.943391e-04 -2.139761e-05 -3.157808e-06
 8789.000000 -3.452344e-05 -4.373585e-07 -2.902082e-07 -2.725183e-07 5.532405e-05 -6.173675e-04 -1.491672e-05 4.157359e-07
 8794.000000 -3.436943e-05 -4.360522e-07 -2.893639e-07 -2.722333e-07 4.638565e-05 -6.087625e-04 -1.662214e-05 -3.748508e-06
 8799.000000 -3.395873e-05 -4.318490e-07 -2.866411e-07 -2.699016e-07 3.440114e-05 -6.102346e-04 -3.317253e-05 -6.826477e-07
 8804.000000 -3.428042e-05 -4.362664e-07 -2.897893e-07 -2.729587e-07 2.619051e-05 -6.147181e-04 -3.671255e-05 -9.012110e-06
 8809.000000 -3.420969e-05 -4.364757e-07 -2.902034e-07 -2.730708e-07 3.745161e-05 -6.148924e-04 -3.663762e-05 -1.041243e-05
 8814.000000 -3.404040e-05 -4.361735e-07 -2.903431e-07 -2.721662e-07 4.543773e-05 -6.400252e-04 -2.873025e-05 -1.285413e-05
 8819.000000 -3.403630e-05 -4.381512e-07 -2.917681e-07 -2.724898e-07 4.553901e-05 -6.412870e-04 -2.544584e-05 -1.149816e-05
 8824.000000 -3.391756e-05 -4.382327e-07 -2.921560e-07 -2.721745e-07 3.804673e-05 -6.533420e-04 -2.961730e-05 -1.082263e-05
 8829.000000 -3.378088e-05 -4.367620e-07 -2.914739e-07 -2.717592e-07 4.051255e-05 -6.404113e-04 -3.578224e-05 -1.714040e-05
 8834.000000 -3.363844e-05 -4.362642e-07 -2.914371e-07 -2.714422e-07 5.401896e-05 -5.973082e-04 -3.072430e-05 -2.098121e-05
 8839.000000 -3.361789e-05 -4.391110e-07 -2.936320e-07 -2.721604e-07 5.671931e-05 -6.366032e-04 -2.815491e-05 -2.870539e-05
 8844.000000 -3.352138e-05 -4.409072e-07 -2.951750e-07 -2.725319e-07 5.243247e-05 -6.556632e-04 -3.437067e-05 -2.819119e-05
 8849.000000 -3.340789e-05 -4.417891e-07 -2.957423e-07 -2.725841e-07 4.155312e-05 -6.493498e-04 -3.562194e-05 -2.451727e-05
 8854.000000 -3.332553e-05 -4.427107e-07 -2.964917e-07 -2.729786e-07 4.545384e-05 -6.741303e-04 -2.290777e-05 -2.011458e-05
 8859.000000 -3.321433e-05 -4.428536e-07 -2.964432e-07 -2.732869e-07 4.984348e-05 -6.843461e-04 -2.878825e-05 -2.022599e-05
 8864.000000 -3.309777e-05 -4.429208e-07 -2.967359e-07 -2.732603e-07 4.274009e-05 -6.447505e-04 -2.550890e-05 -1.028632e-05
 8869.000000 -3.295964e-05 -4.434792e-07 -2.972763e-07 -2.729252e-07 3.261391e-05 -6.295611e-04 -2.285069e-05 -1.621101e-05
 8874.000000 -3.281481e-05 -4.442560e-07 -2.979373e-07 -2.725363e-07 4.091878e-05 -6.323760e-04 -1.670347e-05 -1.346058e-05
 8879.000000 -3.268527e-05 -4.452250e-07 -2.985324e-07 -2.722221e-07 3.868115e-05 -6.114072e-04 -2.426435e-05 -1.244413e-05
 8884.000000 -3.253199e-05 -4.471134e-07 -3.000950e-07 -2.720810e-07 2.572091e-05 -5.947439e-04 -2.227792e-05 -2.022373e-05
 8889.000000 -3.227255e-05 -4.477038e-07 -3.005436e-07 -2.712487e-07 3.144393e-05 -5.841843e-04 -1.829257e-05 -2.396851e-05
 8894.000000 -3.221843e-05 -4.479692e-07 -3.008853e-07 -2.710086e-07 3.375184e-05 -5.822480e-04 -1.358582e-05 -1.507931e-05
 8899.000000 -3.212577e-05 -4.496963e-07 -3.021763e-07 -2.708478e-07 3.722244e-05 -5.950679e-04 -1.333884e-05 -2.019316e-05
 8904.000000 -3.210895e-05 -4.544053e-07 -3.056031e-07 -2.712129e-07 3.889176e-05 -5.814819e-04 -2.145884e-05 -2.797631e-05
 8909.000000 -3.192017e-05 -4.547394e-07 -3.060723e-07 -2.698938e-07 3.777840e-05 -6.029191e-04 -3.246640e-05 -2.386147e-05
 8914.000000 -3.174164e-05 -4.556328e-07 -3.068492e-07 -2.688863e-07 3.760220e-05 -5.997675e-04 -4.331443e-05 -2.468016e-05
 8919.000000 -3.162201e-05 -4.559340e-07 -3.071178e-07 -2.687682e-07 4.127743e-05 -5.941127e-04 -3.932017e-05 -3.160473e-05
 8924.000000 -3.151789e-05 -4.575734e-07 -3.084419e-07 -2.689662e-07 4.935562e-05 -6.073741e-04 -4.122801e-05 -2.899055e-05
 8929.000000 -3.153345e-05 -4.604970e-07 -3.105218e-07 -2.706413e-07 5.128150e-05 -5.837706e-04 -3.177255e-05 -1.774458e-05
 8934.000000 -3.144198e-05 -4.619656e-07 -3.116868e-07 -2.712107e-07 4.865739e-05 -6.027973e-04 -2.701827e-05 -2.224126e-05
 8939.000000 -3.128208e-05 -4.625767e-07 -3.119429e-07 -2.710710e-07 4.981332e-05 -6.004740e-04 -3.209277e-05 -1.096228e-05
 8944.000000 -3.118799e-05 -4.642066e-07 -3.129609e-07 -2.709395e-07 4.834824e-05 -6.140525e-04 -3.488866e-05 -1.386814e-05
 8949.000000 -3.105373e-05 -4.642753e-07 -3.128530e-07 -2.703704e-07 4.775751e-05 -5.822952e-04 -3.746796e-05 -1.025082e-05
 8953.000000 -3.101071e-05 -4.657644e-07 -3.135806e-07 -2.711330e-07 4.937084e-05 -5.751027e-04 -4.279010e-05 -6.528374e-06
 8956.000000 -3.096976e-05 -4.659662e-07 -3.135333e-07 -2.715258e-07 5.403440e-05 -5.898685e-04 -4.411763e-05 -5.897210e-06
 8958.000000 -3.094419e-05 -4.659555e-07 -3.131397e-07 -2.718839e-07 5.685218e-05 -6.005689e-04 -3.103977e-05 -4.291305e-06
 8959.000000 -3.093422e-05 -4.661684e-07 -3.128309e-07 -2.721168e-07 4.520465e-05 -6.047339e-04 -3.138008e-05 -1.151204e-05
 8959.200000 -3.092874e-05 -4.665812e-07 -3.129502e-07 -2.720563e-07 3.967076e-05 -5.999269e-04 -2.888472e-05 -9.646861e-06
 8959.400000 -3.092955e-05 -4.652967e-07 -3.124776e-07 -2.721866e-07 4.055093e-05 -6.067416e-04 -4.125317e-05 -1.343471e-05
