# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3895767696131
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000854
# Detector.I1.voltage: -1650.002197
# Detector.I2.voltage: -1650.001343
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370635
# Scan.uid: 754d446f-1878-4b19-b4ab-e8d3db4dd6c5
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:59:23.548164
# Scan.end_time: 06/22/2023  16:59:58.766685
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.589988464
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 263.55127659108905
# SampleHeater.temperature2.readback: 263.7
# SampleHeater.voltage.setpoint: 0.6254331941562895
# SampleHeater.voltage.readback: 0.616
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.43
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.03662109375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.71291e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.02594e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.53826e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.38579e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.53137e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0019e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.333e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.68149e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.444469e-05 -4.524353e-07 -2.998968e-07 -2.704814e-07 1.466432e-05 -6.774043e-04 -2.420486e-05 2.915333e-05
 8784.000000 -3.452914e-05 -4.517793e-07 -2.995651e-07 -2.718083e-07 1.812192e-05 -6.796887e-04 -2.871227e-05 3.996162e-05
 8789.000000 -3.451275e-05 -4.516026e-07 -2.996882e-07 -2.725552e-07 2.410030e-05 -6.835113e-04 -3.339992e-05 3.462025e-05
 8794.000000 -3.431744e-05 -4.491782e-07 -2.980441e-07 -2.721990e-07 2.819013e-05 -6.744340e-04 -2.883884e-05 3.525776e-05
 8799.000000 -3.398038e-05 -4.461872e-07 -2.963481e-07 -2.702973e-07 2.860102e-05 -6.565230e-04 -2.853328e-05 3.902476e-05
 8804.000000 -3.429460e-05 -4.513948e-07 -3.001635e-07 -2.727504e-07 2.780067e-05 -6.582628e-04 -2.178103e-05 4.587722e-05
 8809.000000 -3.416998e-05 -4.512600e-07 -3.004163e-07 -2.719074e-07 2.692089e-05 -6.390820e-04 -2.484363e-05 4.912619e-05
 8814.000000 -3.401126e-05 -4.508428e-07 -3.002127e-07 -2.710756e-07 2.719151e-05 -5.995216e-04 -2.361575e-05 4.893398e-05
 8819.000000 -3.397700e-05 -4.512486e-07 -3.007490e-07 -2.712410e-07 2.599660e-05 -6.006084e-04 -3.078177e-05 3.033036e-05
 8824.000000 -3.395049e-05 -4.527601e-07 -3.018729e-07 -2.717473e-07 2.236205e-05 -6.049823e-04 -3.124998e-05 5.749449e-06
 8829.000000 -3.387709e-05 -4.539071e-07 -3.030372e-07 -2.722971e-07 1.306846e-05 -6.031687e-04 -2.469608e-05 -4.546620e-06
 8834.000000 -3.374747e-05 -4.539600e-07 -3.033966e-07 -2.720925e-07 2.593229e-05 -6.205693e-04 -3.094541e-05 -1.241614e-05
 8839.000000 -3.358997e-05 -4.545620e-07 -3.039058e-07 -2.718238e-07 1.996033e-05 -6.139363e-04 -3.687903e-05 -1.469348e-05
 8844.000000 -3.337492e-05 -4.531861e-07 -3.031225e-07 -2.709943e-07 2.248859e-05 -5.871583e-04 -4.042822e-05 -1.883928e-05
 8849.000000 -3.336752e-05 -4.553921e-07 -3.044559e-07 -2.725022e-07 1.629933e-05 -5.955347e-04 -3.876898e-05 -1.223318e-05
 8854.000000 -3.333580e-05 -4.574390e-07 -3.061865e-07 -2.736455e-07 1.563432e-05 -5.911635e-04 -3.683594e-05 -1.141091e-05
 8859.000000 -3.321173e-05 -4.578816e-07 -3.065701e-07 -2.737732e-07 1.766247e-05 -6.124872e-04 -4.337648e-05 -7.849316e-06
 8864.000000 -3.307260e-05 -4.584953e-07 -3.074305e-07 -2.727170e-07 2.239783e-05 -6.413942e-04 -3.100883e-05 -1.506252e-05
 8869.000000 -3.293986e-05 -4.599314e-07 -3.086390e-07 -2.723303e-07 1.681116e-05 -6.599750e-04 -3.097581e-05 -1.471090e-05
 8874.000000 -3.282206e-05 -4.628361e-07 -3.106221e-07 -2.721040e-07 2.393375e-05 -6.246401e-04 -2.816710e-05 -2.247864e-06
 8879.000000 -3.275413e-05 -4.643667e-07 -3.118497e-07 -2.726394e-07 3.055040e-05 -6.265579e-04 -1.845489e-05 -1.652937e-06
 8884.000000 -3.246011e-05 -4.617101e-07 -3.100755e-07 -2.712384e-07 3.751184e-05 -6.441638e-04 -1.429298e-05 -1.052931e-05
 8889.000000 -3.222126e-05 -4.618453e-07 -3.105108e-07 -2.704603e-07 2.799568e-05 -6.532731e-04 -2.170158e-05 -1.749899e-05
 8894.000000 -3.236974e-05 -4.667790e-07 -3.143185e-07 -2.716604e-07 3.361548e-05 -6.435274e-04 -2.053344e-05 -6.559537e-06
 8899.000000 -3.229378e-05 -4.686252e-07 -3.154811e-07 -2.715433e-07 3.134135e-05 -6.555025e-04 -1.930890e-05 -9.691471e-06
 8904.000000 -3.216371e-05 -4.696132e-07 -3.163971e-07 -2.711274e-07 2.330146e-05 -6.328253e-04 -1.448914e-05 -8.633318e-06
 8909.000000 -3.205933e-05 -4.703903e-07 -3.166518e-07 -2.707616e-07 1.638809e-05 -6.377788e-04 -1.527903e-05 1.563519e-06
 8914.000000 -3.178950e-05 -4.686411e-07 -3.159104e-07 -2.689242e-07 1.666608e-05 -6.473793e-04 -3.014490e-05 -2.405055e-06
 8919.000000 -3.166107e-05 -4.694745e-07 -3.165542e-07 -2.684902e-07 2.080579e-05 -6.442758e-04 -2.494348e-05 3.900937e-06
 8924.000000 -3.154077e-05 -4.709870e-07 -3.178857e-07 -2.686291e-07 2.816026e-05 -6.406615e-04 -1.630080e-05 -1.191010e-06
 8929.000000 -3.153453e-05 -4.735372e-07 -3.193974e-07 -2.701300e-07 2.053750e-05 -6.530279e-04 -1.457805e-05 -1.008526e-05
 8934.000000 -3.143364e-05 -4.751881e-07 -3.205837e-07 -2.702636e-07 1.714053e-05 -6.503801e-04 -3.065902e-05 -1.417498e-05
 8939.000000 -3.130624e-05 -4.757829e-07 -3.209274e-07 -2.702219e-07 2.226561e-05 -6.396604e-04 -3.412065e-05 -1.052971e-05
 8944.000000 -3.121805e-05 -4.773041e-07 -3.218144e-07 -2.706816e-07 1.635195e-05 -6.464427e-04 -2.936785e-05 -9.472854e-06
 8949.000000 -3.105621e-05 -4.778582e-07 -3.220250e-07 -2.705224e-07 1.082546e-05 -6.684853e-04 -3.941573e-05 -1.394777e-05
 8953.000000 -3.099497e-05 -4.786051e-07 -3.222223e-07 -2.712059e-07 1.835999e-05 -6.643192e-04 -5.402601e-05 -1.587614e-05
 8956.000000 -3.094456e-05 -4.771005e-07 -3.207711e-07 -2.717816e-07 1.541959e-05 -6.541241e-04 -4.569890e-05 -2.259683e-05
 8958.000000 -3.086350e-05 -4.745579e-07 -3.187760e-07 -2.717089e-07 1.251208e-06 -6.579836e-04 -4.675064e-05 -2.062359e-05
 8959.000000 -3.088313e-05 -4.752650e-07 -3.194077e-07 -2.721860e-07 -5.824904e-06 -6.618405e-04 -4.359488e-05 -2.125733e-05
 8959.200000 -3.090463e-05 -4.749937e-07 -3.192653e-07 -2.723706e-07 -6.549548e-06 -6.552391e-04 -4.944951e-05 -2.908999e-05
 8959.400000 -3.091799e-05 -4.770569e-07 -3.203942e-07 -2.726887e-07 -4.107332e-06 -6.676890e-04 -4.799179e-05 -2.516176e-05
