# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.5033402435642
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000977
# Detector.I1.voltage: -1649.999512
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370637
# Scan.uid: a2ba9a7b-eb32-4520-a7a5-e03e9dae1503
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  17:01:21.079850
# Scan.end_time: 06/22/2023  17:01:55.026071
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 217.70979152785407
# SampleHeater.temperature2.readback: 216.3
# SampleHeater.voltage.setpoint: 0.5814920037905442
# SampleHeater.voltage.readback: 0.561
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.48
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.03662109375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.69872e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 3.08213e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.55839e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.4245e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.52331e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0277e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.34509e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.87317e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.458995e-05 -4.650660e-07 -3.082865e-07 -2.715765e-07 9.373810e-06 -6.660166e-04 -4.401004e-05 -3.561347e-05
 8784.000000 -3.457429e-05 -4.616607e-07 -3.062165e-07 -2.720822e-07 2.436892e-06 -6.604199e-04 -3.515541e-05 -3.537552e-05
 8789.000000 -3.454001e-05 -4.595929e-07 -3.051154e-07 -2.728845e-07 -5.587156e-06 -6.780928e-04 -3.791852e-05 -1.721862e-05
 8794.000000 -3.443356e-05 -4.588175e-07 -3.047393e-07 -2.731845e-07 -6.338790e-06 -6.692368e-04 -4.547138e-05 -1.529008e-05
 8799.000000 -3.408315e-05 -4.547168e-07 -3.022626e-07 -2.713002e-07 5.283083e-06 -6.608745e-04 -4.109703e-05 -2.948523e-05
 8804.000000 -3.430828e-05 -4.569090e-07 -3.037695e-07 -2.738012e-07 1.160637e-05 -6.398304e-04 -2.948228e-05 -2.364228e-05
 8809.000000 -3.427296e-05 -4.577988e-07 -3.046356e-07 -2.741276e-07 6.876580e-06 -6.261349e-04 -4.247400e-05 -2.709928e-05
 8814.000000 -3.411463e-05 -4.580139e-07 -3.049875e-07 -2.732452e-07 3.993835e-06 -6.312341e-04 -5.032435e-05 -2.707261e-05
 8819.000000 -3.404495e-05 -4.585127e-07 -3.054054e-07 -2.733138e-07 7.793853e-06 -6.079905e-04 -4.718860e-05 -1.773756e-05
 8824.000000 -3.398981e-05 -4.594340e-07 -3.063685e-07 -2.731227e-07 1.864957e-05 -5.870595e-04 -4.515106e-05 -2.387875e-05
 8829.000000 -3.395950e-05 -4.608603e-07 -3.073911e-07 -2.735402e-07 1.347207e-05 -5.914319e-04 -4.257827e-05 -3.128339e-05
 8834.000000 -3.386716e-05 -4.616249e-07 -3.083681e-07 -2.740435e-07 7.965274e-06 -6.253219e-04 -4.010860e-05 -2.461114e-05
 8839.000000 -3.368314e-05 -4.609590e-07 -3.078448e-07 -2.738248e-07 1.479583e-06 -6.416155e-04 -3.845185e-05 -1.694035e-05
 8844.000000 -3.343575e-05 -4.597584e-07 -3.073732e-07 -2.725525e-07 1.688365e-06 -6.223773e-04 -3.941752e-05 -9.544358e-06
 8849.000000 -3.336902e-05 -4.609224e-07 -3.084369e-07 -2.730895e-07 6.077560e-06 -6.307495e-04 -4.250922e-05 -2.520570e-05
 8854.000000 -3.320173e-05 -4.601060e-07 -3.079459e-07 -2.720953e-07 8.572663e-06 -6.405968e-04 -4.965590e-05 -2.447363e-05
 8859.000000 -3.316253e-05 -4.633985e-07 -3.104904e-07 -2.722913e-07 1.327544e-05 -6.189672e-04 -4.773599e-05 -2.204048e-05
 8864.000000 -3.318080e-05 -4.662427e-07 -3.126332e-07 -2.736011e-07 8.552848e-06 -6.242201e-04 -4.962722e-05 -1.743986e-05
 8869.000000 -3.304879e-05 -4.668791e-07 -3.132541e-07 -2.732973e-07 1.181525e-06 -6.167816e-04 -5.660864e-05 -2.520296e-05
 8874.000000 -3.290073e-05 -4.676905e-07 -3.140386e-07 -2.732197e-07 1.230557e-06 -6.255559e-04 -4.478834e-05 -2.489204e-05
 8879.000000 -3.259223e-05 -4.655868e-07 -3.128344e-07 -2.714285e-07 7.215034e-06 -6.451490e-04 -3.122847e-05 -1.882429e-05
 8884.000000 -3.252746e-05 -4.686325e-07 -3.149490e-07 -2.720721e-07 9.832104e-06 -6.361408e-04 -3.472704e-05 -2.523676e-05
 8889.000000 -3.223327e-05 -4.684071e-07 -3.152098e-07 -2.709075e-07 1.212927e-05 -6.387713e-04 -3.571309e-05 -1.671205e-05
 8894.000000 -3.239504e-05 -4.738444e-07 -3.187280e-07 -2.725186e-07 1.038000e-05 -6.146982e-04 -3.617987e-05 -1.724404e-05
 8899.000000 -3.239591e-05 -4.766557e-07 -3.208279e-07 -2.729478e-07 9.598776e-06 -6.005183e-04 -3.374120e-05 -1.920411e-05
 8904.000000 -3.222941e-05 -4.782580e-07 -3.222686e-07 -2.717533e-07 1.345592e-05 -5.956059e-04 -3.813640e-05 -1.558387e-05
 8909.000000 -3.211543e-05 -4.793237e-07 -3.229916e-07 -2.712288e-07 1.225032e-05 -5.980138e-04 -2.622746e-05 -9.998475e-06
 8914.000000 -3.184332e-05 -4.776942e-07 -3.222073e-07 -2.695198e-07 1.374163e-05 -5.641913e-04 -3.501049e-05 -1.710281e-05
 8919.000000 -3.171006e-05 -4.780030e-07 -3.225059e-07 -2.694705e-07 1.415072e-05 -5.872868e-04 -2.888523e-05 -2.310787e-05
 8924.000000 -3.163417e-05 -4.808078e-07 -3.243818e-07 -2.699147e-07 1.245993e-05 -5.978076e-04 -2.065078e-05 -2.272268e-05
 8929.000000 -3.165036e-05 -4.843962e-07 -3.268173e-07 -2.713247e-07 9.868611e-06 -5.875186e-04 -2.777355e-05 -1.745714e-05
 8934.000000 -3.153716e-05 -4.857785e-07 -3.277964e-07 -2.714827e-07 5.900330e-06 -5.858453e-04 -3.473205e-05 -2.469771e-05
 8939.000000 -3.136741e-05 -4.862097e-07 -3.280224e-07 -2.710525e-07 1.033572e-05 -5.717855e-04 -3.529822e-05 -2.607944e-05
 8944.000000 -3.125808e-05 -4.865732e-07 -3.281279e-07 -2.711451e-07 1.390542e-05 -5.830722e-04 -3.258184e-05 -1.216179e-05
 8949.000000 -3.116514e-05 -4.856884e-07 -3.273815e-07 -2.714026e-07 2.462193e-05 -5.761232e-04 -2.771108e-05 -1.795099e-05
 8953.000000 -3.109761e-05 -4.871883e-07 -3.282352e-07 -2.719918e-07 3.032792e-05 -5.645579e-04 -3.792588e-05 -1.086518e-05
 8956.000000 -3.103754e-05 -4.884066e-07 -3.286542e-07 -2.726432e-07 3.832878e-05 -5.801795e-04 -3.478490e-05 -1.854286e-05
 8958.000000 -3.101611e-05 -4.892909e-07 -3.288498e-07 -2.729958e-07 3.589107e-05 -5.975225e-04 -3.368373e-05 -1.683037e-05
 8959.000000 -3.099469e-05 -4.887020e-07 -3.284747e-07 -2.729815e-07 3.839825e-05 -6.137453e-04 -3.330524e-05 -2.098912e-05
 8959.200000 -3.098035e-05 -4.882326e-07 -3.279645e-07 -2.730492e-07 4.455215e-05 -6.277199e-04 -2.812147e-05 -1.269838e-05
 8959.400000 -3.100179e-05 -4.887254e-07 -3.280044e-07 -2.733790e-07 3.962096e-05 -6.246299e-04 -2.649637e-05 -2.027004e-05
 8959.600000 -3.100058e-05 -4.881474e-07 -3.276982e-07 -2.734808e-07 3.877842e-05 -6.044253e-04 -4.095326e-05 -2.515506e-05
 8959.800000 -3.096657e-05 -4.879612e-07 -3.276246e-07 -2.732726e-07 3.175704e-05 -5.975610e-04 -3.546714e-05 -3.104701e-05
 8960.000000 -3.092956e-05 -4.869829e-07 -3.267836e-07 -2.730181e-07 3.292483e-05 -5.848373e-04 -3.884030e-05 -2.895167e-05
 8960.200000 -3.094627e-05 -4.881490e-07 -3.274419e-07 -2.731317e-07 3.393787e-05 -5.851140e-04 -2.932477e-05 -1.895426e-05
 8960.400000 -3.092691e-05 -4.857826e-07 -3.259033e-07 -2.729958e-07 2.627652e-05 -5.910301e-04 -3.441710e-05 -1.958317e-05
 8960.600000 -3.093488e-05 -4.870712e-07 -3.266279e-07 -2.732790e-07 2.046109e-05 -5.684135e-04 -5.122889e-05 -1.028278e-05
 8960.800000 -3.094037e-05 -4.881354e-07 -3.273115e-07 -2.730897e-07 2.365169e-05 -5.863247e-04 -3.680874e-05 -7.585279e-06
 8961.000000 -3.094314e-05 -4.873904e-07 -3.269019e-07 -2.731587e-07 3.028407e-05 -6.088247e-04 -4.669700e-05 -1.977674e-05
 8961.200000 -3.089620e-05 -4.875603e-07 -3.268848e-07 -2.727802e-07 2.946485e-05 -6.083995e-04 -5.093554e-05 -2.458238e-05
 8961.400000 -3.083733e-05 -4.847595e-07 -3.249937e-07 -2.721914e-07 3.009180e-05 -6.105855e-04 -5.289041e-05 -2.570387e-05
 8961.600000 -3.092792e-05 -4.877805e-07 -3.269748e-07 -2.732068e-07 3.054487e-05 -6.180549e-04 -5.097902e-05 -2.895612e-05
 8961.800000 -3.095738e-05 -4.883157e-07 -3.272689e-07 -2.732397e-07 2.458046e-05 -6.300536e-04 -5.587905e-05 -3.635387e-05
 8962.000000 -3.094385e-05 -4.894632e-07 -3.277092e-07 -2.730295e-07 2.338245e-05 -6.405475e-04 -5.448312e-05 -3.444207e-05
 8962.200000 -3.094643e-05 -4.893364e-07 -3.278818e-07 -2.730413e-07 1.128817e-05 -6.421138e-04 -5.844499e-05 -2.945632e-05
 8962.400000 -3.093533e-05 -4.886454e-07 -3.272926e-07 -2.731195e-07 1.438590e-05 -6.336660e-04 -4.396344e-05 -3.485787e-05
 8962.600000 -3.092394e-05 -4.897619e-07 -3.280730e-07 -2.730787e-07 1.714349e-05 -6.353749e-04 -4.323513e-05 -3.481404e-05
 8962.800000 -3.094931e-05 -4.889533e-07 -3.274808e-07 -2.733072e-07 2.394280e-05 -6.365891e-04 -4.456329e-05 -3.582537e-05
 8963.000000 -3.096416e-05 -4.893911e-07 -3.278682e-07 -2.732759e-07 2.712962e-05 -6.103892e-04 -3.969278e-05 -2.689082e-05
 8963.200000 -3.096329e-05 -4.888557e-07 -3.274164e-07 -2.732440e-07 3.611374e-05 -6.028934e-04 -5.437732e-05 -3.734443e-05
 8963.400000 -3.094185e-05 -4.890353e-07 -3.273316e-07 -2.733463e-07 2.972246e-05 -5.939514e-04 -4.523469e-05 -3.258984e-05
 8963.600000 -3.093005e-05 -4.893257e-07 -3.275938e-07 -2.729994e-07 2.766447e-05 -5.865419e-04 -4.843372e-05 -3.781925e-05
 8963.800000 -3.092438e-05 -4.891216e-07 -3.271948e-07 -2.732109e-07 3.847646e-05 -6.008422e-04 -3.741214e-05 -3.001212e-05
 8964.000000 -3.089293e-05 -4.887508e-07 -3.270264e-07 -2.731820e-07 3.023535e-05 -5.836015e-04 -4.540191e-05 -3.337854e-05
 8964.200000 -3.085745e-05 -4.884471e-07 -3.267010e-07 -2.728874e-07 2.481814e-05 -6.507993e-04 -2.999345e-05 -3.932702e-05
 8964.400000 -3.086470e-05 -4.887274e-07 -3.268443e-07 -2.729966e-07 2.917101e-05 -6.367915e-04 -1.633254e-05 -3.107342e-05
 8964.600000 -3.087834e-05 -4.884518e-07 -3.264829e-07 -2.731574e-07 3.061499e-05 -6.306718e-04 -1.786387e-05 -2.926931e-05
 8964.800000 -3.085800e-05 -4.890272e-07 -3.267725e-07 -2.731525e-07 2.783288e-05 -6.241498e-04 -2.767510e-05 -3.144470e-05
 8965.000000 -3.087986e-05 -4.872629e-07 -3.258331e-07 -2.734002e-07 2.691950e-05 -6.236141e-04 -2.441802e-05 -3.188959e-05
 8965.200000 -3.087268e-05 -4.889741e-07 -3.270069e-07 -2.734872e-07 2.693277e-05 -6.497474e-04 -2.159936e-05 -2.744993e-05
 8965.400000 -3.086504e-05 -4.870006e-07 -3.255384e-07 -2.733961e-07 1.895007e-05 -6.800082e-04 -3.390528e-05 -3.633562e-05
 8965.600000 -3.086005e-05 -4.886535e-07 -3.265535e-07 -2.735879e-07 3.119743e-05 -6.553806e-04 -2.881632e-05 -3.829690e-05
 8965.800000 -3.084923e-05 -4.879833e-07 -3.259659e-07 -2.734341e-07 3.315241e-05 -6.547806e-04 -2.904034e-05 -4.410757e-05
 8966.000000 -3.080009e-05 -4.878015e-07 -3.255188e-07 -2.732051e-07 3.210636e-05 -6.825596e-04 -2.061460e-05 -3.812917e-05
 8966.200000 -3.072565e-05 -4.855747e-07 -3.237349e-07 -2.725333e-07 3.185128e-05 -6.683565e-04 -2.735506e-05 -2.744960e-05
 8966.400000 -3.075928e-05 -4.863623e-07 -3.244292e-07 -2.731434e-07 3.061766e-05 -6.935772e-04 -2.796864e-05 -2.751582e-05
 8966.600000 -3.077535e-05 -4.878256e-07 -3.251496e-07 -2.733777e-07 2.275201e-05 -6.779546e-04 -1.983678e-05 -2.642960e-05
 8966.800000 -3.077558e-05 -4.875366e-07 -3.249736e-07 -2.732512e-07 2.181318e-05 -6.948235e-04 -2.728770e-05 -2.810390e-05
 8967.000000 -3.079741e-05 -4.877659e-07 -3.250311e-07 -2.735975e-07 1.042833e-05 -6.840667e-04 -3.019610e-05 -2.828587e-05
 8967.200000 -3.082069e-05 -4.882328e-07 -3.253649e-07 -2.738865e-07 2.155943e-05 -6.786289e-04 -2.348792e-05 -1.448836e-05
 8967.400000 -3.080978e-05 -4.885347e-07 -3.253993e-07 -2.740259e-07 3.088729e-05 -6.862694e-04 -3.124315e-05 -1.870017e-05
 8967.600000 -3.081583e-05 -4.896021e-07 -3.261467e-07 -2.744467e-07 2.570982e-05 -6.825065e-04 -3.582175e-05 -1.821773e-05
 8967.800000 -3.081206e-05 -4.889335e-07 -3.254696e-07 -2.745421e-07 1.618386e-05 -6.789979e-04 -3.730521e-05 -2.107181e-05
 8968.000000 -3.079748e-05 -4.894610e-07 -3.252741e-07 -2.746069e-07 1.325877e-05 -6.619862e-04 -3.500403e-05 -2.019649e-05
 8968.200000 -3.075292e-05 -4.885373e-07 -3.243933e-07 -2.743561e-07 1.724005e-05 -6.690312e-04 -3.696774e-05 -1.595218e-05
 8968.400000 -3.073328e-05 -4.865778e-07 -3.227952e-07 -2.743273e-07 1.277816e-05 -6.562384e-04 -3.205653e-05 -2.248025e-05
 8968.600000 -3.071953e-05 -4.886160e-07 -3.238870e-07 -2.741705e-07 1.422398e-05 -6.492919e-04 -2.974807e-05 -2.273355e-05
 8968.800000 -3.073702e-05 -4.868334e-07 -3.224609e-07 -2.744869e-07 1.599007e-05 -6.637278e-04 -3.464143e-05 -3.404930e-05
 8969.000000 -3.073934e-05 -4.875214e-07 -3.230616e-07 -2.744425e-07 2.232320e-05 -6.603146e-04 -2.328053e-05 -2.665093e-05
 8969.200000 -3.073234e-05 -4.878246e-07 -3.231251e-07 -2.743412e-07 2.546590e-05 -6.640984e-04 -2.878553e-05 -3.100302e-05
 8969.400000 -3.075053e-05 -4.869866e-07 -3.224084e-07 -2.748323e-07 2.262314e-05 -6.623548e-04 -3.509544e-05 -2.414564e-05
 8969.600000 -3.076560e-05 -4.880705e-07 -3.233677e-07 -2.751980e-07 2.268668e-05 -6.573801e-04 -3.467960e-05 -2.641343e-05
 8969.800000 -3.077854e-05 -4.871641e-07 -3.225401e-07 -2.754100e-07 2.235588e-05 -6.696034e-04 -4.010115e-05 -1.614773e-05
 8970.000000 -3.078588e-05 -4.886721e-07 -3.232197e-07 -2.757823e-07 2.379785e-05 -6.739478e-04 -4.850078e-05 -1.803322e-05
 8970.200000 -3.078758e-05 -4.886275e-07 -3.228392e-07 -2.758143e-07 1.978561e-05 -6.488422e-04 -3.998602e-05 -2.031329e-05
 8970.400000 -3.074564e-05 -4.879484e-07 -3.222376e-07 -2.753454e-07 8.544505e-06 -6.451307e-04 -3.892297e-05 -1.945985e-05
 8970.600000 -3.068972e-05 -4.868028e-07 -3.211341e-07 -2.749714e-07 1.541237e-05 -6.445438e-04 -2.830908e-05 -1.321823e-05
 8970.800000 -3.063929e-05 -4.841697e-07 -3.191923e-07 -2.746048e-07 2.142791e-05 -6.449757e-04 -3.903893e-05 -2.007243e-05
 8971.000000 -3.064125e-05 -4.860155e-07 -3.201966e-07 -2.747708e-07 1.957064e-05 -6.412370e-04 -3.688673e-05 -1.581476e-05
 8971.200000 -3.063889e-05 -4.844000e-07 -3.187840e-07 -2.748851e-07 2.173525e-05 -6.676525e-04 -3.521761e-05 -1.645993e-05
 8971.400000 -3.068848e-05 -4.855830e-07 -3.191638e-07 -2.757752e-07 1.778637e-05 -6.656502e-04 -3.304965e-05 -1.318687e-05
 8971.600000 -3.073594e-05 -4.882841e-07 -3.208882e-07 -2.762756e-07 4.889770e-06 -6.564625e-04 -4.443169e-05 -1.705974e-05
 8971.800000 -3.075987e-05 -4.897583e-07 -3.215612e-07 -2.765802e-07 9.396549e-06 -6.538412e-04 -3.418292e-05 -1.068349e-05
 8972.000000 -3.074538e-05 -4.898040e-07 -3.212274e-07 -2.765195e-07 1.859799e-05 -6.643695e-04 -3.765542e-05 -1.425888e-05
 8972.200000 -3.073894e-05 -4.885304e-07 -3.198880e-07 -2.765890e-07 1.454284e-05 -6.532086e-04 -4.052345e-05 -1.447585e-05
 8972.400000 -3.074039e-05 -4.894831e-07 -3.198791e-07 -2.767350e-07 1.812541e-05 -6.423180e-04 -3.766518e-05 -2.010246e-05
