# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2796012777219
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000488
# Detector.I1.voltage: -1649.998535
# Detector.I2.voltage: -1650.001831
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370639
# Scan.uid: 0aa58a78-aa42-4ae3-8c2c-b451f499417d
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  17:03:20.595555
# Scan.end_time: 06/22/2023  17:03:54.909125
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 171.40923665629492
# SampleHeater.temperature2.readback: 171.0
# SampleHeater.voltage.setpoint: 0.4730043012929189
# SampleHeater.voltage.readback: 0.46900000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.48
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.03662109375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.6884e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.02652e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.61851e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.40971e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.49778e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 9.976e-09
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.37802e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.05965e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.451001e-05 -4.664405e-07 -3.090321e-07 -2.713915e-07 2.470406e-05 -6.167867e-04 -4.469008e-05 -7.602371e-06
 8784.000000 -3.459967e-05 -4.648378e-07 -3.082238e-07 -2.728311e-07 2.980383e-05 -6.291074e-04 -5.093674e-05 -3.566968e-06
 8789.000000 -3.456136e-05 -4.637173e-07 -3.077483e-07 -2.733439e-07 3.575511e-05 -6.084808e-04 -5.937667e-05 -8.082452e-06
 8794.000000 -3.432308e-05 -4.608824e-07 -3.060480e-07 -2.721342e-07 2.998620e-05 -6.179496e-04 -5.349540e-05 -1.231187e-05
 8799.000000 -3.396726e-05 -4.571254e-07 -3.036107e-07 -2.702174e-07 3.418656e-05 -6.474498e-04 -5.096024e-05 -1.102376e-05
 8804.000000 -3.424399e-05 -4.616050e-07 -3.070624e-07 -2.728214e-07 4.048981e-05 -6.473066e-04 -4.445209e-05 -8.511189e-06
 8809.000000 -3.424050e-05 -4.631132e-07 -3.082332e-07 -2.733149e-07 3.478845e-05 -6.481384e-04 -5.528696e-05 -1.429011e-05
 8814.000000 -3.404850e-05 -4.618161e-07 -3.073999e-07 -2.720544e-07 2.968494e-05 -6.300037e-04 -5.376752e-05 -2.107277e-05
 8819.000000 -3.400673e-05 -4.637895e-07 -3.090124e-07 -2.723352e-07 2.957773e-05 -6.476675e-04 -5.164376e-05 -1.645498e-05
 8824.000000 -3.392872e-05 -4.654232e-07 -3.103200e-07 -2.723835e-07 2.879809e-05 -6.392506e-04 -5.170451e-05 -1.128818e-05
 8829.000000 -3.383925e-05 -4.662817e-07 -3.108831e-07 -2.726362e-07 3.287534e-05 -6.481771e-04 -6.183007e-05 -2.187911e-05
 8834.000000 -3.378830e-05 -4.679960e-07 -3.119837e-07 -2.732473e-07 3.013184e-05 -6.704115e-04 -6.905115e-05 -1.336382e-05
 8839.000000 -3.371491e-05 -4.699036e-07 -3.135744e-07 -2.737021e-07 2.843218e-05 -6.756207e-04 -6.289952e-05 -1.307743e-05
 8844.000000 -3.360907e-05 -4.709561e-07 -3.147645e-07 -2.736892e-07 1.587068e-05 -6.555965e-04 -5.546026e-05 -7.077218e-06
 8849.000000 -3.348499e-05 -4.725275e-07 -3.161748e-07 -2.737494e-07 1.985276e-05 -6.522636e-04 -5.782083e-05 -2.361799e-05
 8854.000000 -3.333502e-05 -4.736548e-07 -3.171923e-07 -2.735983e-07 2.085588e-05 -6.619841e-04 -4.091001e-05 -1.176002e-05
 8859.000000 -3.326722e-05 -4.756394e-07 -3.187837e-07 -2.740322e-07 2.215917e-05 -6.683523e-04 -4.546014e-05 -1.357777e-05
 8864.000000 -3.319391e-05 -4.772917e-07 -3.198994e-07 -2.743078e-07 2.205499e-05 -6.578986e-04 -5.291507e-05 -2.168544e-05
 8869.000000 -3.304659e-05 -4.786140e-07 -3.210394e-07 -2.737668e-07 2.673924e-05 -6.521853e-04 -5.465894e-05 -9.716989e-06
 8874.000000 -3.276666e-05 -4.778926e-07 -3.206364e-07 -2.721030e-07 2.468762e-05 -6.528867e-04 -4.905999e-05 -3.890163e-06
 8879.000000 -3.270359e-05 -4.799364e-07 -3.221993e-07 -2.726445e-07 1.083033e-05 -6.704776e-04 -5.603466e-05 -8.088102e-06
 8884.000000 -3.252617e-05 -4.794343e-07 -3.222004e-07 -2.723175e-07 8.206846e-06 -6.786353e-04 -5.698433e-05 -3.442706e-06
 8889.000000 -3.227703e-05 -4.792734e-07 -3.224355e-07 -2.715578e-07 1.762916e-05 -6.758507e-04 -4.336725e-05 -1.153279e-05
 8894.000000 -3.240246e-05 -4.832642e-07 -3.251004e-07 -2.728898e-07 2.054633e-05 -6.543627e-04 -4.392415e-05 -1.302633e-05
 8899.000000 -3.231031e-05 -4.851667e-07 -3.264437e-07 -2.727770e-07 2.405697e-05 -6.360628e-04 -5.627618e-05 -1.802218e-05
 8904.000000 -3.215925e-05 -4.856053e-07 -3.268631e-07 -2.717542e-07 1.958162e-05 -6.339069e-04 -5.539557e-05 -1.315415e-05
 8909.000000 -3.211215e-05 -4.870947e-07 -3.283435e-07 -2.716157e-07 1.617387e-05 -6.515504e-04 -5.432595e-05 -1.479702e-05
 8914.000000 -3.184196e-05 -4.856041e-07 -3.272564e-07 -2.697564e-07 1.274618e-05 -6.721493e-04 -5.164903e-05 -1.899243e-05
 8919.000000 -3.173644e-05 -4.869711e-07 -3.285449e-07 -2.696171e-07 1.731285e-05 -6.882140e-04 -4.980106e-05 -2.334168e-05
 8924.000000 -3.157914e-05 -4.881210e-07 -3.292874e-07 -2.695518e-07 1.630535e-05 -7.051527e-04 -5.234888e-05 -1.349821e-05
 8929.000000 -3.161345e-05 -4.916223e-07 -3.316599e-07 -2.712354e-07 1.762740e-05 -6.949558e-04 -4.287955e-05 -1.485867e-05
 8934.000000 -3.145726e-05 -4.926167e-07 -3.323751e-07 -2.709778e-07 2.068687e-05 -6.790198e-04 -4.316513e-05 -1.150451e-05
 8939.000000 -3.136621e-05 -4.942281e-07 -3.334728e-07 -2.714636e-07 2.961292e-05 -7.007565e-04 -4.690406e-05 -1.113469e-05
 8944.000000 -3.123687e-05 -4.937907e-07 -3.329080e-07 -2.714072e-07 2.566413e-05 -7.378143e-04 -4.513642e-05 -1.029025e-05
 8949.000000 -3.113762e-05 -4.935811e-07 -3.326006e-07 -2.714432e-07 3.596824e-05 -7.402442e-04 -4.497591e-05 -6.650489e-06
 8953.000000 -3.103824e-05 -4.918925e-07 -3.311251e-07 -2.715673e-07 3.220818e-05 -7.114808e-04 -4.700482e-05 -7.041969e-06
 8956.000000 -3.098002e-05 -4.919351e-07 -3.308599e-07 -2.718586e-07 2.839924e-05 -7.055834e-04 -4.866090e-05 -2.071469e-06
 8958.000000 -3.097681e-05 -4.929718e-07 -3.315082e-07 -2.720802e-07 2.439202e-05 -6.931934e-04 -4.355426e-05 -7.295706e-06
 8959.000000 -3.098621e-05 -4.939632e-07 -3.322046e-07 -2.725481e-07 2.630018e-05 -6.875407e-04 -3.718827e-05 -7.445623e-06
 8959.200000 -3.097806e-05 -4.939543e-07 -3.319000e-07 -2.725626e-07 2.242047e-05 -6.812888e-04 -3.998170e-05 -9.823272e-07
 8959.400000 -3.097073e-05 -4.941949e-07 -3.319750e-07 -2.726964e-07 2.276123e-05 -6.681446e-04 -3.356986e-05 -2.344412e-07
