# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.2609141787097
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001831
# Detector.I1.voltage: -1650.002563
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370647
# Scan.uid: 4c414542-450d-4d2e-804d-d06ea8bbe3c3
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  17:11:18.532232
# Scan.end_time: 06/22/2023  17:11:52.476404
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 32.4
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.44
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.83503e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 5.82596e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.71369e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.18311e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.71346e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2814e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.51575e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.79416e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.462138e-05 -5.073464e-07 -3.362729e-07 -2.731649e-07 1.054010e-05 -7.197931e-04 -6.009450e-05 -2.762953e-05
 8784.000000 -3.470228e-05 -5.037500e-07 -3.341434e-07 -2.743754e-07 1.262307e-05 -7.217901e-04 -5.749488e-05 -3.781352e-05
 8789.000000 -3.464401e-05 -5.001853e-07 -3.318104e-07 -2.746551e-07 1.921315e-05 -7.446091e-04 -4.716710e-05 -3.310702e-05
 8794.000000 -3.451204e-05 -4.989365e-07 -3.313018e-07 -2.743254e-07 9.224254e-06 -7.347716e-04 -5.126736e-05 -2.112479e-05
 8799.000000 -3.408939e-05 -4.942789e-07 -3.285389e-07 -2.715979e-07 8.291558e-06 -7.552043e-04 -5.153674e-05 -1.969054e-05
 8804.000000 -3.439447e-05 -4.986942e-07 -3.316202e-07 -2.745891e-07 -7.185138e-06 -7.565400e-04 -4.747456e-05 -2.698462e-05
 8809.000000 -3.432331e-05 -4.991938e-07 -3.322862e-07 -2.747185e-07 -9.230447e-07 -7.673865e-04 -4.810808e-05 -2.608030e-05
 8814.000000 -3.411768e-05 -4.991057e-07 -3.327587e-07 -2.733422e-07 4.557895e-06 -7.639460e-04 -4.959104e-05 -2.349822e-05
 8819.000000 -3.413194e-05 -5.022874e-07 -3.351661e-07 -2.736892e-07 1.377734e-05 -7.439859e-04 -6.737316e-05 -1.928292e-05
 8824.000000 -3.408433e-05 -5.046524e-07 -3.367477e-07 -2.741832e-07 9.082351e-06 -7.585225e-04 -5.973399e-05 -1.629510e-05
 8829.000000 -3.395630e-05 -5.063443e-07 -3.378951e-07 -2.742019e-07 2.454030e-06 -7.574159e-04 -5.642757e-05 -2.140358e-05
 8834.000000 -3.379199e-05 -5.065390e-07 -3.380997e-07 -2.737963e-07 6.454997e-07 -7.371198e-04 -6.113954e-05 -1.808219e-05
 8839.000000 -3.371602e-05 -5.079478e-07 -3.394842e-07 -2.741443e-07 1.061006e-06 -7.364368e-04 -6.891969e-05 -1.253921e-05
 8844.000000 -3.367354e-05 -5.093788e-07 -3.406676e-07 -2.750643e-07 1.413789e-06 -7.174198e-04 -6.383041e-05 -1.366507e-05
 8849.000000 -3.357589e-05 -5.095636e-07 -3.410764e-07 -2.755739e-07 1.783659e-06 -6.981417e-04 -5.417643e-05 -1.096589e-05
 8854.000000 -3.346411e-05 -5.099129e-07 -3.413459e-07 -2.756335e-07 2.766847e-06 -7.017774e-04 -5.578632e-05 1.374760e-06
 8859.000000 -3.332685e-05 -5.104121e-07 -3.419229e-07 -2.753043e-07 -1.795541e-06 -6.926128e-04 -4.851172e-05 3.219212e-05
 8864.000000 -3.323308e-05 -5.116115e-07 -3.429014e-07 -2.755589e-07 -3.116740e-06 -6.982924e-04 -5.652051e-05 3.541006e-05
 8869.000000 -3.308984e-05 -5.129869e-07 -3.442810e-07 -2.752223e-07 -5.419081e-06 -7.032357e-04 -5.921302e-05 3.215529e-05
 8874.000000 -3.301700e-05 -5.161345e-07 -3.466812e-07 -2.753213e-07 -1.529686e-06 -6.883584e-04 -5.370212e-05 3.820851e-05
 8879.000000 -3.289436e-05 -5.180502e-07 -3.482278e-07 -2.751408e-07 -1.069549e-05 -6.644380e-04 -5.433024e-05 3.174414e-05
 8884.000000 -3.259370e-05 -5.168357e-07 -3.473922e-07 -2.739623e-07 -9.566816e-06 -7.067338e-04 -5.811462e-05 3.591549e-05
 8889.000000 -3.236896e-05 -5.173731e-07 -3.479472e-07 -2.733666e-07 3.298656e-07 -6.851447e-04 -5.966291e-05 3.167380e-05
 8894.000000 -3.252724e-05 -5.227506e-07 -3.515236e-07 -2.749967e-07 -9.171427e-06 -6.838852e-04 -5.910263e-05 3.019934e-05
 8899.000000 -3.240018e-05 -5.237344e-07 -3.524304e-07 -2.743421e-07 -7.754043e-06 -6.751471e-04 -6.026391e-05 3.177080e-05
 8904.000000 -3.227775e-05 -5.253430e-07 -3.540015e-07 -2.737313e-07 -1.166344e-06 -6.609969e-04 -5.507471e-05 4.973087e-05
 8909.000000 -3.217186e-05 -5.267787e-07 -3.551618e-07 -2.734157e-07 -7.583956e-06 -6.585470e-04 -6.368520e-05 3.849203e-05
 8914.000000 -3.193429e-05 -5.264300e-07 -3.549335e-07 -2.718591e-07 -1.393456e-05 -6.729155e-04 -5.700207e-05 1.861023e-05
 8919.000000 -3.184150e-05 -5.272926e-07 -3.558247e-07 -2.719040e-07 -9.020646e-06 -6.695345e-04 -5.114568e-05 -2.581961e-05
 8924.000000 -3.167895e-05 -5.282930e-07 -3.565680e-07 -2.715320e-07 3.410223e-06 -6.785645e-04 -5.873678e-05 -2.961828e-05
 8929.000000 -3.153343e-05 -5.278194e-07 -3.560469e-07 -2.714816e-07 -1.502872e-07 -6.694937e-04 -6.310865e-05 -2.829990e-05
 8934.000000 -3.126307e-05 -5.244631e-07 -3.538327e-07 -2.702743e-07 1.223537e-06 -6.686780e-04 -6.531654e-05 -2.941598e-05
 8939.000000 -3.132725e-05 -5.307229e-07 -3.582672e-07 -2.720954e-07 3.347646e-06 -6.704626e-04 -7.391100e-05 -2.460094e-05
 8944.000000 -3.132896e-05 -5.334754e-07 -3.598823e-07 -2.731219e-07 1.114498e-05 -6.485166e-04 -7.087486e-05 -1.975085e-05
 8949.000000 -3.124505e-05 -5.323054e-07 -3.589315e-07 -2.733259e-07 5.062289e-06 -6.465180e-04 -6.370319e-05 -6.773806e-06
 8953.000000 -3.114518e-05 -5.314285e-07 -3.580251e-07 -2.733575e-07 1.104217e-05 -6.488056e-04 -6.457698e-05 2.428660e-05
 8956.000000 -3.106169e-05 -5.312941e-07 -3.575864e-07 -2.731607e-07 1.589249e-05 -6.365744e-04 -6.701389e-05 3.945119e-05
 8958.000000 -3.104495e-05 -5.333907e-07 -3.584905e-07 -2.735477e-07 1.266345e-05 -6.581620e-04 -6.386667e-05 2.957221e-06
 8959.000000 -3.106159e-05 -5.341467e-07 -3.589675e-07 -2.738936e-07 1.900821e-05 -6.625709e-04 -6.394509e-05 -4.781838e-07
 8959.200000 -3.104992e-05 -5.337153e-07 -3.587069e-07 -2.738008e-07 1.002901e-05 -6.378306e-04 -5.800885e-05 6.862934e-06
 8959.400000 -3.105260e-05 -5.358152e-07 -3.600878e-07 -2.739984e-07 1.125319e-06 -6.713069e-04 -7.606057e-05 -4.132726e-06
