# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.25224308770464
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999146
# Detector.I1.voltage: -1650.011475
# Detector.I2.voltage: -1650.010376
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370585
# Scan.uid: fd7144d4-ba68-4eb7-9766-502a1bb5acf6
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  16:08:41.077969
# Scan.end_time: 06/22/2023  16:09:14.456141
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 42.07936426470734
# SampleHeater.temperature2.readback: 36.6
# SampleHeater.voltage.setpoint: 0.322845295088487
# SampleHeater.voltage.readback: 0.319
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.002
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.15
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.80966e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 7.62309e-09
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 4.2672e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 7.56531e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 6.923e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2943e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 2.17822e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.97176e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -4.496688e-05 -6.839586e-07 -4.532975e-07 -3.578839e-07 8.013129e-05 -2.080353e-04 -4.243622e-05 2.676808e-05
 8784.000000 -4.502711e-05 -6.796614e-07 -4.508136e-07 -3.593770e-07 7.226866e-05 -1.968811e-04 -3.963426e-05 2.584436e-05
 8789.000000 -4.504545e-05 -6.768620e-07 -4.493725e-07 -3.605553e-07 6.337129e-05 -2.031571e-04 -2.963861e-05 2.988618e-05
 8794.000000 -4.478221e-05 -6.732473e-07 -4.473846e-07 -3.592077e-07 7.356960e-05 -2.055014e-04 -2.947255e-05 2.334153e-05
 8799.000000 -4.426277e-05 -6.677718e-07 -4.438545e-07 -3.559775e-07 7.741382e-05 -1.922032e-04 -3.261722e-05 2.818812e-05
 8804.000000 -4.468101e-05 -6.762849e-07 -4.497079e-07 -3.600178e-07 7.613089e-05 -1.834267e-04 -3.681855e-05 3.063334e-05
 8809.000000 -4.461414e-05 -6.794616e-07 -4.523314e-07 -3.603946e-07 6.567795e-05 -1.972100e-04 -4.492232e-05 2.451707e-05
 8814.000000 -4.434782e-05 -6.781861e-07 -4.518514e-07 -3.587623e-07 7.168410e-05 -2.096808e-04 -4.720612e-05 1.412515e-05
 8819.000000 -4.431184e-05 -6.800936e-07 -4.533919e-07 -3.589561e-07 7.821991e-05 -1.916762e-04 -3.565908e-05 2.446357e-05
 8824.000000 -4.418800e-05 -6.808314e-07 -4.541785e-07 -3.588519e-07 8.093575e-05 -2.214651e-04 -4.081995e-05 2.261202e-05
 8829.000000 -4.400984e-05 -6.800625e-07 -4.541102e-07 -3.586180e-07 7.935028e-05 -2.037792e-04 -4.889533e-05 2.326189e-05
 8834.000000 -4.384433e-05 -6.786237e-07 -4.534497e-07 -3.586686e-07 8.450285e-05 -2.095288e-04 -4.972970e-05 2.464353e-05
 8839.000000 -4.367406e-05 -6.788064e-07 -4.536389e-07 -3.586002e-07 8.207899e-05 -2.225497e-04 -5.028402e-05 3.249457e-05
 8844.000000 -4.342233e-05 -6.776226e-07 -4.531016e-07 -3.575546e-07 8.663483e-05 -2.203150e-04 -5.111030e-05 3.095580e-05
 8849.000000 -4.334901e-05 -6.803196e-07 -4.553108e-07 -3.582613e-07 9.197653e-05 -2.151006e-04 -4.584760e-05 2.864108e-05
 8854.000000 -4.330403e-05 -6.825160e-07 -4.571302e-07 -3.596255e-07 8.321477e-05 -2.145459e-04 -3.561160e-05 3.191794e-05
 8859.000000 -4.313181e-05 -6.823862e-07 -4.570035e-07 -3.592288e-07 7.453077e-05 -2.222815e-04 -3.465762e-05 1.443708e-05
 8864.000000 -4.295319e-05 -6.814035e-07 -4.568866e-07 -3.590143e-07 7.375114e-05 -2.023724e-04 -3.574038e-05 1.795173e-05
 8869.000000 -4.279678e-05 -6.822024e-07 -4.578124e-07 -3.587115e-07 7.579770e-05 -1.790832e-04 -3.967525e-05 1.648527e-05
 8874.000000 -4.265939e-05 -6.849013e-07 -4.601207e-07 -3.585080e-07 7.454449e-05 -1.697389e-04 -4.498220e-05 1.360559e-05
 8879.000000 -4.249010e-05 -6.862988e-07 -4.611329e-07 -3.579812e-07 8.021119e-05 -1.823419e-04 -3.482833e-05 2.121670e-05
 8884.000000 -4.215995e-05 -6.839309e-07 -4.597724e-07 -3.567253e-07 7.994964e-05 -1.763337e-04 -4.816207e-05 1.911924e-05
 8889.000000 -4.184720e-05 -6.847387e-07 -4.605797e-07 -3.556378e-07 8.642330e-05 -1.589620e-04 -4.612895e-05 1.905634e-05
 8894.000000 -4.202129e-05 -6.930699e-07 -4.663551e-07 -3.574383e-07 8.594967e-05 -1.374369e-04 -5.120806e-05 1.834843e-05
 8899.000000 -4.184963e-05 -6.948007e-07 -4.674954e-07 -3.567391e-07 8.613630e-05 -1.201998e-04 -4.505910e-05 1.649791e-05
 8904.000000 -4.162418e-05 -6.954582e-07 -4.684096e-07 -3.553212e-07 9.154120e-05 -1.346716e-04 -4.669631e-05 2.252638e-05
 8909.000000 -4.140602e-05 -6.957648e-07 -4.688678e-07 -3.539584e-07 8.834256e-05 -1.334980e-04 -4.767628e-05 1.819805e-05
 8914.000000 -4.113541e-05 -6.957856e-07 -4.690653e-07 -3.525277e-07 8.926555e-05 -1.443660e-04 -5.665974e-05 2.258506e-05
 8919.000000 -4.093932e-05 -6.973791e-07 -4.703138e-07 -3.519406e-07 9.138382e-05 -1.246485e-04 -5.997342e-05 2.538950e-05
 8924.000000 -4.073061e-05 -6.997904e-07 -4.720703e-07 -3.515303e-07 8.935448e-05 -1.328876e-04 -6.339262e-05 2.218934e-05
 8929.000000 -4.071596e-05 -7.031191e-07 -4.743384e-07 -3.530439e-07 9.240336e-05 -1.308570e-04 -5.193784e-05 2.718460e-05
 8934.000000 -4.064068e-05 -7.049647e-07 -4.755380e-07 -3.540005e-07 8.625211e-05 -1.466716e-04 -4.723219e-05 2.301959e-05
 8939.000000 -4.048741e-05 -7.065705e-07 -4.767179e-07 -3.539586e-07 8.448780e-05 -1.438312e-04 -5.080685e-05 2.825677e-05
 8944.000000 -4.030569e-05 -7.075081e-07 -4.771878e-07 -3.537986e-07 8.504465e-05 -1.544772e-04 -5.030781e-05 2.602427e-05
 8949.000000 -4.013287e-05 -7.075541e-07 -4.769303e-07 -3.537571e-07 8.013159e-05 -2.073382e-04 -5.070063e-05 2.016306e-05
 8953.000000 -4.003165e-05 -7.075775e-07 -4.765157e-07 -3.539513e-07 8.082296e-05 -2.407630e-04 -4.757554e-05 1.571014e-05
 8956.000000 -3.992725e-05 -7.068146e-07 -4.755988e-07 -3.541334e-07 8.096424e-05 -2.317718e-04 -4.144092e-05 1.567313e-05
 8958.000000 -3.984608e-05 -7.076216e-07 -4.755356e-07 -3.541505e-07 7.229924e-05 -2.028276e-04 -3.715799e-05 1.446492e-05
 8959.000000 -3.966754e-05 -6.997579e-07 -4.698167e-07 -3.529044e-07 7.177250e-05 -2.377413e-04 -3.502043e-05 1.182570e-05
 8959.200000 -3.958976e-05 -6.974399e-07 -4.683068e-07 -3.522380e-07 7.174923e-05 -2.502318e-04 -3.113111e-05 1.630048e-05
 8959.400000 -3.962010e-05 -6.986926e-07 -4.691183e-07 -3.527324e-07 7.450940e-05 -2.712028e-04 -4.269207e-05 1.642715e-05
