# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8353628693145
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.98938
# Detector.I1.voltage: -1650.001099
# Detector.I2.voltage: -1650.002197
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370586
# Scan.uid: ed2b05db-08ea-47fb-813a-ba03636c21a3
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:09:41.074260
# Scan.end_time: 06/22/2023  16:10:16.444592
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 51.719172412078485
# SampleHeater.temperature2.readback: 45.800000000000004
# SampleHeater.voltage.setpoint: 0.38975443612432503
# SampleHeater.voltage.readback: 0.388
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.004
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.32
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.64368e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 5.50937e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 3.78587e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.56058e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 5.34678e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1051e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 2.1023e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.64937e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.515197e-05 -1.111717e-06 -3.258392e-07 -1.208644e-06 4.544071e-05 -2.636749e-04 -5.546409e-05 -3.894455e-05
10172.000000 -3.502115e-05 -1.105287e-06 -3.224297e-07 -1.206614e-06 4.680784e-05 -2.770850e-04 -5.851893e-05 -4.230378e-05
10177.000000 -3.487682e-05 -1.104821e-06 -3.188173e-07 -1.201689e-06 3.849326e-05 -2.575005e-04 -5.564287e-05 -4.846773e-05
10182.000000 -3.480775e-05 -1.107009e-06 -3.137968e-07 -1.202856e-06 4.084845e-05 -2.684905e-04 -4.742746e-05 -6.245985e-05
10187.000000 -3.479056e-05 -1.103942e-06 -3.018842e-07 -1.205553e-06 3.271376e-05 -2.666575e-04 -5.600714e-05 -6.390387e-05
10192.000000 -3.482511e-05 -1.105026e-06 -2.765081e-07 -1.208478e-06 3.453955e-05 -2.548529e-04 -4.579909e-05 -5.854576e-05
10197.000000 -3.483593e-05 -1.109744e-06 -2.062262e-07 -1.213711e-06 3.839841e-05 -2.527024e-04 -3.784562e-05 -5.125693e-05
10202.000000 -3.483869e-05 -1.113915e-06 -6.968951e-08 -1.219437e-06 4.354268e-05 -2.576831e-04 -3.811733e-05 -5.093817e-05
10207.000000 -3.478754e-05 -1.116018e-06 -2.769867e-08 -1.219547e-06 4.284678e-05 -2.617522e-04 -3.555826e-05 -5.904846e-05
10212.000000 -3.473396e-05 -1.116875e-06 -5.596358e-08 -1.219174e-06 4.647088e-05 -2.702736e-04 -2.794551e-05 -7.034424e-05
10217.000000 -3.469879e-05 -1.118848e-06 -7.297258e-08 -1.221172e-06 3.518909e-05 -2.571158e-04 -3.654507e-05 -6.928686e-05
10222.000000 -3.460961e-05 -1.118724e-06 -8.548639e-08 -1.220006e-06 3.256003e-05 -2.645732e-04 -3.592921e-05 -6.706079e-05
10227.000000 -3.450730e-05 -1.118449e-06 -9.421324e-08 -1.217369e-06 4.062966e-05 -2.615420e-04 -3.478032e-05 -6.542471e-05
10232.000000 -3.450529e-05 -1.125015e-06 -9.835640e-08 -1.223379e-06 3.722932e-05 -2.675184e-04 -4.125128e-05 -6.802232e-05
10237.000000 -3.449487e-05 -1.128656e-06 -1.005998e-07 -1.226623e-06 2.980043e-05 -2.752970e-04 -2.981044e-05 -5.925445e-05
10242.000000 -3.446425e-05 -1.131733e-06 -1.025046e-07 -1.228771e-06 3.651198e-05 -2.638902e-04 -3.440427e-05 -4.849540e-05
10247.000000 -3.442565e-05 -1.135680e-06 -1.070504e-07 -1.232595e-06 2.585679e-05 -2.740253e-04 -4.687224e-05 -5.838517e-05
10252.000000 -3.437150e-05 -1.137145e-06 -1.063008e-07 -1.232704e-06 2.509242e-05 -2.906056e-04 -3.878017e-05 -5.369234e-05
10257.000000 -3.433833e-05 -1.140470e-06 -1.026918e-07 -1.234113e-06 3.575790e-05 -2.564313e-04 -3.618443e-05 -5.347774e-05
10262.000000 -3.424888e-05 -1.141468e-06 -1.021062e-07 -1.233486e-06 3.909979e-05 -2.493895e-04 -2.728531e-05 -5.653734e-05
10267.000000 -3.428611e-05 -1.146019e-06 -1.042297e-07 -1.238030e-06 3.485202e-05 -2.590124e-04 -2.123152e-05 -5.154615e-05
10272.000000 -3.421237e-05 -1.147156e-06 -1.048528e-07 -1.236633e-06 3.610057e-05 -2.815478e-04 -2.255908e-05 -4.738818e-05
10277.000000 -3.407803e-05 -1.147457e-06 -1.040050e-07 -1.232660e-06 3.740543e-05 -2.910107e-04 -2.365323e-05 -4.730454e-05
10282.000000 -3.400634e-05 -1.152699e-06 -1.033600e-07 -1.237607e-06 4.680367e-05 -2.759201e-04 -3.661878e-05 -5.618585e-05
10287.000000 -3.406057e-05 -1.158867e-06 -1.044137e-07 -1.242523e-06 4.464697e-05 -2.572637e-04 -3.920321e-05 -5.508693e-05
10292.000000 -3.398855e-05 -1.159016e-06 -1.069882e-07 -1.241804e-06 4.257222e-05 -2.666165e-04 -3.163751e-05 -4.633511e-05
10297.000000 -3.394367e-05 -1.161541e-06 -1.089002e-07 -1.243562e-06 4.904749e-05 -2.625688e-04 -3.885318e-05 -4.221305e-05
10302.000000 -3.388667e-05 -1.162701e-06 -1.085524e-07 -1.243123e-06 5.075505e-05 -2.563630e-04 -4.305293e-05 -4.086919e-05
10307.000000 -3.387140e-05 -1.166962e-06 -1.087514e-07 -1.247997e-06 4.857730e-05 -2.438261e-04 -4.611511e-05 -3.492855e-05
10312.000000 -3.383923e-05 -1.171423e-06 -1.094458e-07 -1.251551e-06 4.217280e-05 -2.704209e-04 -4.813838e-05 -3.963323e-05
10317.000000 -3.375807e-05 -1.171445e-06 -1.084164e-07 -1.251461e-06 4.230190e-05 -2.956547e-04 -4.390401e-05 -4.077607e-05
10322.000000 -3.369274e-05 -1.172196e-06 -1.072453e-07 -1.252465e-06 3.935981e-05 -2.847944e-04 -3.801935e-05 -3.571862e-05
10327.000000 -3.367632e-05 -1.177129e-06 -1.067675e-07 -1.258040e-06 3.516230e-05 -2.794201e-04 -4.959616e-05 -3.211624e-05
10332.000000 -3.353758e-05 -1.175229e-06 -1.056477e-07 -1.258001e-06 3.793764e-05 -2.956247e-04 -4.806012e-05 -2.768408e-05
10337.000000 -3.362346e-05 -1.181518e-06 -1.060642e-07 -1.265518e-06 4.359233e-05 -3.121882e-04 -4.712740e-05 -2.419415e-05
10341.000000 -3.359208e-05 -1.184280e-06 -1.069998e-07 -1.269888e-06 5.145251e-05 -2.886414e-04 -4.709842e-05 -2.432455e-05
10344.000000 -3.355349e-05 -1.185004e-06 -1.080213e-07 -1.272873e-06 4.152400e-05 -2.834095e-04 -3.681926e-05 -2.752902e-05
10346.000000 -3.351758e-05 -1.185985e-06 -1.091370e-07 -1.274261e-06 3.548263e-05 -3.037943e-04 -3.566872e-05 -2.311001e-05
10347.000000 -3.352333e-05 -1.186999e-06 -1.096375e-07 -1.276760e-06 3.337526e-05 -3.293472e-04 -4.685667e-05 -2.677546e-05
10347.200000 -3.352115e-05 -1.187267e-06 -1.097149e-07 -1.277174e-06 3.926338e-05 -3.314346e-04 -4.978926e-05 -3.390475e-05
10347.400000 -3.350360e-05 -1.186973e-06 -1.098323e-07 -1.276080e-06 3.911434e-05 -2.918730e-04 -4.127963e-05 -3.653048e-05
