# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.6392987469679
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.987671
# Detector.I1.voltage: -1649.989258
# Detector.I2.voltage: -1649.989258
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370598
# Scan.uid: bf170f58-30d5-4424-9ca9-3ca2326aca39
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:22:29.088354
# Scan.end_time: 06/22/2023  16:23:02.546075
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.4940166265
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 180.12003705815857
# SampleHeater.temperature2.readback: 178.8
# SampleHeater.voltage.setpoint: 0.5607485957653859
# SampleHeater.voltage.readback: 0.587
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.120000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.14832e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 9.27994e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.18044e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.89534e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.83103e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0664e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.48215e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.4673e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.527242e-05 -1.045681e-06 -3.048729e-07 -1.204421e-06 3.407312e-05 -4.082195e-04 -6.187941e-05 -1.243058e-05
10172.000000 -3.516101e-05 -1.039642e-06 -3.015609e-07 -1.204449e-06 3.928529e-05 -4.146010e-04 -6.698205e-05 -1.150410e-05
10177.000000 -3.504474e-05 -1.040583e-06 -2.988175e-07 -1.201032e-06 4.215345e-05 -4.095720e-04 -6.428100e-05 -1.041777e-05
10182.000000 -3.490365e-05 -1.037175e-06 -2.926749e-07 -1.195043e-06 4.182221e-05 -3.925661e-04 -5.229735e-05 -7.583376e-06
10187.000000 -3.495266e-05 -1.039301e-06 -2.828111e-07 -1.202627e-06 3.009802e-05 -3.854803e-04 -4.627302e-05 -1.151695e-05
10192.000000 -3.503977e-05 -1.043239e-06 -2.595400e-07 -1.210025e-06 4.070200e-05 -3.687030e-04 -4.133675e-05 -1.575854e-05
10197.000000 -3.503239e-05 -1.047834e-06 -1.932676e-07 -1.213621e-06 4.523389e-05 -3.776196e-04 -4.506575e-05 -8.262987e-06
10202.000000 -3.492523e-05 -1.045351e-06 -6.460735e-08 -1.209837e-06 4.366965e-05 -3.817181e-04 -4.327351e-05 5.585590e-06
10207.000000 -3.485773e-05 -1.045784e-06 -2.546441e-08 -1.208976e-06 4.530873e-05 -3.927877e-04 -4.466545e-05 -3.348805e-06
10212.000000 -3.494739e-05 -1.055865e-06 -5.252542e-08 -1.221227e-06 3.951018e-05 -4.074876e-04 -4.110527e-05 -2.960420e-06
10217.000000 -3.489327e-05 -1.057108e-06 -6.827992e-08 -1.221887e-06 3.669102e-05 -4.098238e-04 -3.316863e-05 -1.331511e-05
10222.000000 -3.476520e-05 -1.054280e-06 -7.998762e-08 -1.216552e-06 3.779803e-05 -3.976569e-04 -3.151199e-05 -6.787388e-06
10227.000000 -3.472125e-05 -1.057293e-06 -8.843806e-08 -1.217481e-06 3.031254e-05 -3.939672e-04 -3.869901e-05 -4.515858e-06
10232.000000 -3.465498e-05 -1.059783e-06 -9.193295e-08 -1.219174e-06 2.860700e-05 -4.009336e-04 -4.072644e-05 -1.396518e-05
10237.000000 -3.469575e-05 -1.065523e-06 -9.451518e-08 -1.226832e-06 2.529187e-05 -3.859696e-04 -4.767297e-05 -1.564904e-05
10242.000000 -3.465881e-05 -1.068835e-06 -9.616278e-08 -1.229277e-06 2.673513e-05 -3.697516e-04 -4.257435e-05 -1.416688e-05
10247.000000 -3.449624e-05 -1.064798e-06 -9.961740e-08 -1.222188e-06 2.543540e-05 -3.709744e-04 -4.209292e-05 -3.471201e-06
10252.000000 -3.447426e-05 -1.068226e-06 -9.943763e-08 -1.225505e-06 3.362512e-05 -3.797034e-04 -4.654334e-05 -1.097620e-05
10257.000000 -3.446842e-05 -1.074234e-06 -9.618672e-08 -1.230102e-06 3.975375e-05 -3.791537e-04 -5.144485e-05 -2.163383e-05
10262.000000 -3.428332e-05 -1.070161e-06 -9.508488e-08 -1.222527e-06 2.937305e-05 -3.604693e-04 -4.011744e-05 -2.063603e-05
10267.000000 -3.439640e-05 -1.080805e-06 -9.756519e-08 -1.232811e-06 3.590592e-05 -3.829085e-04 -4.015800e-05 -1.916883e-05
10272.000000 -3.441378e-05 -1.085186e-06 -9.867619e-08 -1.238561e-06 2.367544e-05 -3.841405e-04 -4.499514e-05 -1.296802e-05
10277.000000 -3.434121e-05 -1.087369e-06 -9.801500e-08 -1.240304e-06 2.494918e-05 -3.483071e-04 -5.783921e-05 -1.524176e-05
10282.000000 -3.412163e-05 -1.085249e-06 -9.642549e-08 -1.233086e-06 2.699122e-05 -3.374061e-04 -4.978320e-05 -1.792860e-05
10287.000000 -3.412947e-05 -1.087962e-06 -9.753679e-08 -1.234519e-06 1.545663e-05 -3.571413e-04 -4.955504e-05 -2.213229e-05
10292.000000 -3.416708e-05 -1.095222e-06 -1.009216e-07 -1.242722e-06 1.665689e-05 -3.498846e-04 -4.734888e-05 -2.795582e-05
10297.000000 -3.410923e-05 -1.098130e-06 -1.022310e-07 -1.243510e-06 1.569481e-05 -3.375670e-04 -4.632897e-05 -2.229491e-05
10302.000000 -3.409927e-05 -1.100738e-06 -1.019423e-07 -1.247931e-06 1.849009e-05 -3.669866e-04 -4.463097e-05 -1.695825e-05
10307.000000 -3.402722e-05 -1.102108e-06 -1.021683e-07 -1.247448e-06 2.347188e-05 -3.827118e-04 -4.403810e-05 -2.892184e-05
10312.000000 -3.388345e-05 -1.101046e-06 -1.019598e-07 -1.241857e-06 2.512670e-05 -3.592869e-04 -3.817046e-05 -2.319964e-05
10317.000000 -3.388204e-05 -1.107391e-06 -1.017210e-07 -1.247627e-06 3.059968e-05 -3.590915e-04 -4.466673e-05 -1.462339e-05
10322.000000 -3.390558e-05 -1.114072e-06 -1.013618e-07 -1.255590e-06 2.881351e-05 -3.376734e-04 -4.731510e-05 -2.500712e-05
10327.000000 -3.383959e-05 -1.114495e-06 -1.003103e-07 -1.257440e-06 3.261286e-05 -3.167441e-04 -4.417401e-05 -3.096585e-05
10332.000000 -3.367894e-05 -1.111513e-06 -9.898912e-08 -1.255726e-06 3.164418e-05 -2.966479e-04 -4.967778e-05 -3.655643e-05
10337.000000 -3.377344e-05 -1.116367e-06 -9.944769e-08 -1.263415e-06 3.850272e-05 -3.257125e-04 -4.894349e-05 -3.799987e-05
10341.000000 -3.370496e-05 -1.113000e-06 -9.985547e-08 -1.264781e-06 4.318326e-05 -3.483916e-04 -4.640225e-05 -3.061014e-05
10344.000000 -3.369228e-05 -1.115736e-06 -1.009264e-07 -1.269535e-06 2.760058e-05 -3.076934e-04 -4.967783e-05 -3.039076e-05
10346.000000 -3.365280e-05 -1.114933e-06 -1.018441e-07 -1.270823e-06 3.609253e-05 -3.270030e-04 -5.339415e-05 -3.856594e-05
10347.000000 -3.361715e-05 -1.114770e-06 -1.023650e-07 -1.269733e-06 4.446553e-05 -3.127366e-04 -4.499112e-05 -4.079627e-05
10347.200000 -3.360898e-05 -1.113744e-06 -1.023886e-07 -1.269807e-06 4.033638e-05 -3.283530e-04 -4.332824e-05 -3.327483e-05
10347.400000 -3.362026e-05 -1.114691e-06 -1.028193e-07 -1.272446e-06 4.203828e-05 -3.289283e-04 -4.369170e-05 -1.427939e-05
10347.600000 -3.365205e-05 -1.116435e-06 -1.031484e-07 -1.274395e-06 3.550975e-05 -3.211001e-04 -4.927183e-05 -5.941806e-06
