# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.74245513090204
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998779
# Detector.I1.voltage: -1650.008301
# Detector.I2.voltage: -1650.006348
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370600
# Scan.uid: 0f8c6e98-fdd2-4f0a-b1e1-541e0901829e
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:24:29.560695
# Scan.end_time: 06/22/2023  16:25:05.190026
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.15884320614703
# SampleHeater.temperature2.readback: 201.8
# SampleHeater.voltage.setpoint: 0.5583798736207372
# SampleHeater.voltage.readback: 0.625
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.09
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.26442e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 8.10679e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.14069e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.876e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.8794e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0449e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.45259e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.63567e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.960717e-05 -8.625722e-07 -2.516234e-07 -1.005912e-06 4.482247e-05 -3.343238e-04 -5.003403e-05 1.891083e-05
10172.000000 -2.952294e-05 -8.591423e-07 -2.498183e-07 -1.006141e-06 4.358991e-05 -3.453089e-04 -4.484329e-05 1.531950e-05
10177.000000 -2.946377e-05 -8.628600e-07 -2.484780e-07 -1.005959e-06 4.314623e-05 -3.314339e-04 -4.461627e-05 8.736470e-06
10182.000000 -2.938672e-05 -8.630305e-07 -2.440056e-07 -1.004559e-06 4.597269e-05 -3.208910e-04 -5.089254e-05 1.229132e-05
10187.000000 -2.938293e-05 -8.618157e-07 -2.349082e-07 -1.007063e-06 4.546945e-05 -3.258911e-04 -4.881355e-05 1.643466e-05
10192.000000 -2.941276e-05 -8.634389e-07 -2.153334e-07 -1.009427e-06 3.638837e-05 -3.461856e-04 -5.425058e-05 1.223294e-05
10197.000000 -2.940909e-05 -8.664771e-07 -1.601827e-07 -1.011769e-06 3.267236e-05 -3.682635e-04 -4.853587e-05 7.795278e-06
10202.000000 -2.943402e-05 -8.726247e-07 -5.405544e-08 -1.018186e-06 3.723356e-05 -3.548338e-04 -4.375537e-05 1.461894e-05
10207.000000 -2.939146e-05 -8.728420e-07 -2.147153e-08 -1.018577e-06 3.837511e-05 -3.528305e-04 -4.027421e-05 2.243136e-05
10212.000000 -2.937945e-05 -8.749722e-07 -4.381528e-08 -1.020938e-06 3.495587e-05 -3.415062e-04 -4.161574e-05 2.649636e-05
10217.000000 -2.927556e-05 -8.728660e-07 -5.670717e-08 -1.016568e-06 2.492756e-05 -3.565936e-04 -3.579428e-05 3.581868e-05
10222.000000 -2.923763e-05 -8.742183e-07 -6.632535e-08 -1.017505e-06 2.136290e-05 -3.575735e-04 -4.255488e-05 3.101323e-05
10227.000000 -2.918268e-05 -8.752704e-07 -7.338853e-08 -1.017124e-06 3.104964e-05 -3.480693e-04 -4.433960e-05 3.668838e-05
10232.000000 -2.914069e-05 -8.781919e-07 -7.652427e-08 -1.019445e-06 3.319397e-05 -3.603957e-04 -4.866808e-05 3.999313e-05
10237.000000 -2.909241e-05 -8.768594e-07 -7.785980e-08 -1.018772e-06 4.271642e-05 -3.445569e-04 -5.325183e-05 4.125353e-05
10242.000000 -2.912962e-05 -8.832345e-07 -7.966426e-08 -1.025231e-06 3.819859e-05 -3.368388e-04 -4.546231e-05 4.731067e-05
10247.000000 -2.908659e-05 -8.862838e-07 -8.308863e-08 -1.027117e-06 3.945316e-05 -3.585837e-04 -3.590063e-05 4.361269e-05
10252.000000 -2.909526e-05 -8.903045e-07 -8.302935e-08 -1.031807e-06 3.706723e-05 -3.581884e-04 -4.220441e-05 3.975956e-05
10257.000000 -2.904019e-05 -8.914062e-07 -7.985565e-08 -1.031364e-06 3.439578e-05 -3.478230e-04 -4.402977e-05 4.032357e-05
10262.000000 -2.895474e-05 -8.917066e-07 -7.914870e-08 -1.030412e-06 2.967429e-05 -3.358345e-04 -4.619935e-05 4.184385e-05
10267.000000 -2.881079e-05 -8.830588e-07 -7.952840e-08 -1.021132e-06 3.566612e-05 -3.384712e-04 -3.842243e-05 4.854394e-05
10272.000000 -2.897508e-05 -8.981246e-07 -8.205935e-08 -1.036234e-06 3.621348e-05 -3.297361e-04 -4.115349e-05 4.565490e-05
10277.000000 -2.892351e-05 -9.007689e-07 -8.181170e-08 -1.036826e-06 4.188221e-05 -3.330822e-04 -4.147010e-05 5.539674e-05
10282.000000 -2.878440e-05 -9.002831e-07 -8.040204e-08 -1.034656e-06 3.076987e-05 -3.457517e-04 -3.816124e-05 5.567842e-05
10287.000000 -2.887300e-05 -9.063510e-07 -8.112093e-08 -1.042503e-06 2.548385e-05 -3.480221e-04 -4.048527e-05 5.321577e-05
10292.000000 -2.883570e-05 -9.083253e-07 -8.371642e-08 -1.043985e-06 3.147775e-05 -3.262734e-04 -4.754494e-05 4.778840e-05
10297.000000 -2.877852e-05 -9.098095e-07 -8.494793e-08 -1.043804e-06 3.617095e-05 -3.455306e-04 -6.105509e-05 5.161660e-05
10302.000000 -2.878580e-05 -9.132124e-07 -8.481139e-08 -1.047679e-06 3.290851e-05 -3.599016e-04 -6.883876e-05 5.255612e-05
10307.000000 -2.875846e-05 -9.158048e-07 -8.476143e-08 -1.050316e-06 2.435214e-05 -3.525560e-04 -6.387988e-05 4.317595e-05
10312.000000 -2.872298e-05 -9.188149e-07 -8.487498e-08 -1.051980e-06 3.364670e-05 -3.269885e-04 -5.886585e-05 4.178470e-05
10317.000000 -2.870312e-05 -9.214030e-07 -8.486296e-08 -1.055224e-06 3.204650e-05 -3.160576e-04 -7.176844e-05 3.119610e-05
10322.000000 -2.865767e-05 -9.229959e-07 -8.426545e-08 -1.055939e-06 3.481781e-05 -2.927639e-04 -7.247296e-05 3.836440e-05
10327.000000 -2.860498e-05 -9.248881e-07 -8.342381e-08 -1.056765e-06 4.353447e-05 -3.010048e-04 -5.442394e-05 4.687935e-05
10332.000000 -2.850401e-05 -9.260873e-07 -8.268099e-08 -1.057034e-06 5.433768e-05 -2.871655e-04 -4.804964e-05 4.492998e-05
10337.000000 -2.857592e-05 -9.292429e-07 -8.276366e-08 -1.063720e-06 6.152228e-05 -2.684756e-04 -4.520370e-05 3.896602e-05
10341.000000 -2.849907e-05 -9.271647e-07 -8.299361e-08 -1.063091e-06 6.504227e-05 -2.915135e-04 -4.451935e-05 3.978252e-05
10344.000000 -2.853573e-05 -9.323605e-07 -8.433984e-08 -1.070541e-06 7.264319e-05 -2.770850e-04 -4.563226e-05 3.494776e-05
10346.000000 -2.852390e-05 -9.336767e-07 -8.550812e-08 -1.073875e-06 7.966601e-05 -2.682211e-04 -4.538312e-05 3.286898e-05
10347.000000 -2.849399e-05 -9.324641e-07 -8.585858e-08 -1.073379e-06 7.705169e-05 -2.400710e-04 -5.184019e-05 3.416168e-05
10347.200000 -2.849089e-05 -9.301983e-07 -8.559214e-08 -1.073526e-06 7.407181e-05 -2.553003e-04 -5.294786e-05 2.812174e-05
10347.400000 -2.850390e-05 -9.336300e-07 -8.598940e-08 -1.074683e-06 5.887309e-05 -2.492017e-04 -7.113741e-05 1.829743e-05
10347.600000 -2.850000e-05 -9.334913e-07 -8.601966e-08 -1.074560e-06 6.306708e-05 -2.674799e-04 -5.674872e-05 2.446562e-05
