# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3526793484656
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998413
# Detector.I1.voltage: -1650.002319
# Detector.I2.voltage: -1649.998413
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370602
# Scan.uid: 3f4d4e68-6b0b-4fba-91d0-421e70344dbd
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:26:29.547846
# Scan.end_time: 06/22/2023  16:27:04.405192
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 220.2073366464195
# SampleHeater.temperature2.readback: 215.4
# SampleHeater.voltage.setpoint: 0.7459118869514401
# SampleHeater.voltage.readback: 0.712
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.14
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.27904e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 6.68843e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.11306e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.03335e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.87806e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1266e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.47409e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.42451e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.960777e-05 -8.960294e-07 -2.612128e-07 -1.016396e-06 4.593250e-05 -3.163584e-04 -5.866430e-05 -2.393408e-05
10172.000000 -2.947715e-05 -8.903290e-07 -2.581191e-07 -1.013276e-06 4.635922e-05 -3.065695e-04 -5.854853e-05 -1.899421e-05
10177.000000 -2.939134e-05 -8.910750e-07 -2.560210e-07 -1.011464e-06 4.779960e-05 -2.872549e-04 -5.582936e-05 -2.406499e-05
10182.000000 -2.936943e-05 -8.924359e-07 -2.519492e-07 -1.015014e-06 4.882689e-05 -3.150334e-04 -5.795344e-05 -2.802620e-05
10187.000000 -2.937289e-05 -8.907552e-07 -2.425785e-07 -1.018605e-06 4.652119e-05 -3.352509e-04 -5.761566e-05 -2.761228e-05
10192.000000 -2.942588e-05 -8.926667e-07 -2.224828e-07 -1.023013e-06 4.494044e-05 -3.212341e-04 -6.256997e-05 -2.563506e-05
10197.000000 -2.941462e-05 -8.952251e-07 -1.655511e-07 -1.025055e-06 4.294654e-05 -3.165209e-04 -5.984494e-05 -2.894546e-05
10202.000000 -2.934977e-05 -8.955816e-07 -5.584962e-08 -1.024339e-06 5.347712e-05 -3.293233e-04 -6.118191e-05 -3.530959e-05
10207.000000 -2.936002e-05 -8.995927e-07 -2.218224e-08 -1.028887e-06 5.455285e-05 -3.353296e-04 -5.357404e-05 -3.534489e-05
10212.000000 -2.931533e-05 -9.003642e-07 -4.463678e-08 -1.028322e-06 6.044854e-05 -3.196058e-04 -5.796114e-05 -2.334170e-05
10217.000000 -2.928120e-05 -9.023320e-07 -5.817710e-08 -1.029286e-06 5.325504e-05 -3.171459e-04 -6.291936e-05 -3.426972e-05
10222.000000 -2.924976e-05 -9.043402e-07 -6.883953e-08 -1.031056e-06 4.898774e-05 -3.221485e-04 -4.619874e-05 -2.989724e-05
10227.000000 -2.920540e-05 -9.060616e-07 -7.589893e-08 -1.032262e-06 5.220399e-05 -3.014564e-04 -4.039705e-05 -3.031577e-05
10232.000000 -2.916537e-05 -9.079574e-07 -7.872530e-08 -1.034165e-06 5.597652e-05 -3.162084e-04 -4.541962e-05 -3.036487e-05
10237.000000 -2.915085e-05 -9.096786e-07 -8.037087e-08 -1.035362e-06 5.405049e-05 -3.258950e-04 -4.872476e-05 -2.921103e-05
10242.000000 -2.912308e-05 -9.121178e-07 -8.200221e-08 -1.037723e-06 5.888528e-05 -3.396322e-04 -4.831750e-05 -2.172592e-05
10247.000000 -2.897318e-05 -9.070824e-07 -8.469752e-08 -1.031578e-06 6.458697e-05 -3.370198e-04 -5.383820e-05 -2.233030e-05
10252.000000 -2.901375e-05 -9.139987e-07 -8.508115e-08 -1.037899e-06 6.490183e-05 -3.272152e-04 -5.203987e-05 -2.959800e-05
10257.000000 -2.901331e-05 -9.186277e-07 -8.194804e-08 -1.040994e-06 6.413307e-05 -3.313527e-04 -4.961297e-05 -3.093797e-05
10262.000000 -2.893402e-05 -9.196908e-07 -8.158605e-08 -1.040161e-06 6.356889e-05 -3.590368e-04 -5.544584e-05 -2.970744e-05
10267.000000 -2.899062e-05 -9.245845e-07 -8.354933e-08 -1.045942e-06 6.986120e-05 -3.451538e-04 -5.330551e-05 -1.878290e-05
10272.000000 -2.896642e-05 -9.264706e-07 -8.437853e-08 -1.047369e-06 6.968336e-05 -3.366431e-04 -6.115400e-05 -2.771304e-05
10277.000000 -2.884792e-05 -9.240767e-07 -8.302882e-08 -1.043281e-06 5.593465e-05 -3.366636e-04 -6.674662e-05 -3.070153e-05
10282.000000 -2.874421e-05 -9.268607e-07 -8.243783e-08 -1.043890e-06 6.605584e-05 -3.291483e-04 -5.747975e-05 -2.136493e-05
10287.000000 -2.878891e-05 -9.317488e-07 -8.335184e-08 -1.048494e-06 7.036857e-05 -3.225680e-04 -6.706148e-05 -2.319221e-05
10292.000000 -2.878417e-05 -9.363497e-07 -8.605770e-08 -1.052327e-06 6.437784e-05 -3.245282e-04 -6.921969e-05 -1.654082e-05
10297.000000 -2.876326e-05 -9.401667e-07 -8.754041e-08 -1.054654e-06 6.667973e-05 -3.168864e-04 -5.795781e-05 -1.867536e-05
10302.000000 -2.876770e-05 -9.440492e-07 -8.776282e-08 -1.058301e-06 6.350186e-05 -2.998271e-04 -5.156053e-05 -2.250777e-05
10307.000000 -2.872416e-05 -9.460221e-07 -8.765192e-08 -1.059808e-06 6.249686e-05 -2.811765e-04 -4.928336e-05 -2.472773e-05
10312.000000 -2.869043e-05 -9.499201e-07 -8.786087e-08 -1.061853e-06 6.828634e-05 -2.993242e-04 -4.027272e-05 -2.391633e-05
10317.000000 -2.866002e-05 -9.525007e-07 -8.766942e-08 -1.063390e-06 6.956765e-05 -2.887423e-04 -4.315425e-05 -3.418360e-05
10322.000000 -2.863260e-05 -9.556154e-07 -8.681152e-08 -1.065782e-06 6.739444e-05 -2.881716e-04 -3.907574e-05 -3.239650e-05
10327.000000 -2.859854e-05 -9.585586e-07 -8.633565e-08 -1.068391e-06 5.516304e-05 -2.726076e-04 -3.519796e-05 -4.402703e-05
10332.000000 -2.849036e-05 -9.582224e-07 -8.542761e-08 -1.068893e-06 5.933479e-05 -2.875832e-04 -5.030372e-05 -3.884532e-05
10337.000000 -2.855375e-05 -9.628421e-07 -8.567163e-08 -1.074144e-06 4.928180e-05 -2.795188e-04 -4.807716e-05 -2.630744e-05
10341.000000 -2.852258e-05 -9.645121e-07 -8.623479e-08 -1.077142e-06 4.868510e-05 -2.987485e-04 -4.612727e-05 -2.402991e-05
10344.000000 -2.850884e-05 -9.659856e-07 -8.710639e-08 -1.081617e-06 4.940840e-05 -3.334311e-04 -5.578806e-05 -3.170496e-05
10346.000000 -2.847593e-05 -9.667984e-07 -8.812994e-08 -1.082406e-06 5.567981e-05 -3.434183e-04 -4.920354e-05 -2.745494e-05
10347.000000 -2.847186e-05 -9.676971e-07 -8.879378e-08 -1.083378e-06 5.244809e-05 -3.614646e-04 -3.963817e-05 -3.047547e-05
10347.200000 -2.848372e-05 -9.672978e-07 -8.887908e-08 -1.084926e-06 5.087320e-05 -3.718532e-04 -3.316716e-05 -2.541253e-05
10347.400000 -2.848039e-05 -9.694145e-07 -8.921761e-08 -1.084633e-06 4.322992e-05 -3.594880e-04 -4.294849e-05 -1.174517e-05
10347.600000 -2.847285e-05 -9.680107e-07 -8.907626e-08 -1.084702e-06 4.082173e-05 -3.564145e-04 -4.386888e-05 -1.352538e-05
10347.800000 -2.849227e-05 -9.711544e-07 -8.936995e-08 -1.087010e-06 4.654356e-05 -3.351772e-04 -5.029901e-05 -1.196355e-05
10348.000000 -2.849611e-05 -9.695465e-07 -8.920354e-08 -1.086805e-06 5.110784e-05 -3.474080e-04 -4.903511e-05 -2.464076e-05
10348.200000 -2.849033e-05 -9.698783e-07 -8.949023e-08 -1.086824e-06 5.512753e-05 -3.409812e-04 -4.367398e-05 -3.145849e-05
10348.400000 -2.847893e-05 -9.701824e-07 -8.956944e-08 -1.086966e-06 4.614917e-05 -3.324293e-04 -4.629605e-05 -3.558205e-05
10348.600000 -2.848441e-05 -9.682866e-07 -8.956364e-08 -1.087141e-06 5.061555e-05 -3.168620e-04 -4.718544e-05 -3.228119e-05
10348.800000 -2.848487e-05 -9.720633e-07 -9.007398e-08 -1.088559e-06 4.253715e-05 -3.274401e-04 -5.475778e-05 -2.882977e-05
10349.000000 -2.847773e-05 -9.688764e-07 -8.995510e-08 -1.087528e-06 3.884360e-05 -3.187957e-04 -4.015036e-05 -2.650061e-05
10349.200000 -2.847153e-05 -9.719257e-07 -9.011738e-08 -1.087738e-06 4.156323e-05 -3.113412e-04 -4.306924e-05 -3.569357e-05
10349.400000 -2.845390e-05 -9.682149e-07 -8.984044e-08 -1.087223e-06 3.234790e-05 -3.231035e-04 -3.842621e-05 -3.424747e-05
10349.600000 -2.844457e-05 -9.680635e-07 -9.020184e-08 -1.087386e-06 3.408429e-05 -3.078788e-04 -3.571747e-05 -2.394239e-05
