# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2037349008362
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002075
# Detector.I1.voltage: -1650.000244
# Detector.I2.voltage: -1650.000366
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370604
# Scan.uid: 6e18e883-d6aa-4912-a3ba-d0ebbbab64d1
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:28:30.518147
# Scan.end_time: 06/22/2023  16:29:05.681819
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 240.41977241147038
# SampleHeater.temperature2.readback: 243.5
# SampleHeater.voltage.setpoint: 0.5465963327622205
# SampleHeater.voltage.readback: 0.549
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.01
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.31086e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 5.88487e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.02295e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 5.15126e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.85185e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1825e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.52314e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.16819e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.954253e-05 -8.683751e-07 -2.530686e-07 -1.005348e-06 3.443712e-05 -3.065470e-04 -5.592022e-05 -2.291519e-05
10172.000000 -2.942153e-05 -8.630604e-07 -2.503875e-07 -1.002912e-06 3.857337e-05 -2.768885e-04 -5.208316e-05 -2.323930e-05
10177.000000 -2.935817e-05 -8.642514e-07 -2.482858e-07 -1.003478e-06 3.293733e-05 -2.818172e-04 -4.664095e-05 -2.854359e-05
10182.000000 -2.930365e-05 -8.647029e-07 -2.440383e-07 -1.004296e-06 2.806173e-05 -2.683428e-04 -5.998171e-05 -3.059485e-05
10187.000000 -2.932067e-05 -8.642479e-07 -2.352434e-07 -1.008828e-06 2.891923e-05 -2.635524e-04 -5.919585e-05 -2.212070e-05
10192.000000 -2.938920e-05 -8.677078e-07 -2.160897e-07 -1.014255e-06 3.190477e-05 -2.769570e-04 -5.263385e-05 -1.727613e-05
10197.000000 -2.934961e-05 -8.690095e-07 -1.602859e-07 -1.014021e-06 2.789591e-05 -2.892155e-04 -6.197052e-05 -1.860681e-05
10202.000000 -2.933239e-05 -8.733933e-07 -5.379785e-08 -1.016850e-06 2.742051e-05 -3.039502e-04 -6.544132e-05 -2.056738e-05
10207.000000 -2.931014e-05 -8.746841e-07 -2.137491e-08 -1.018984e-06 2.511410e-05 -3.092866e-04 -6.520136e-05 -2.274269e-05
10212.000000 -2.924168e-05 -8.736645e-07 -4.349203e-08 -1.016950e-06 2.796738e-05 -2.870015e-04 -7.436193e-05 -1.922408e-05
10217.000000 -2.917262e-05 -8.734705e-07 -5.614346e-08 -1.015670e-06 2.162271e-05 -2.689200e-04 -7.939354e-05 -2.605942e-05
10222.000000 -2.920118e-05 -8.793277e-07 -6.688900e-08 -1.021729e-06 2.327545e-05 -2.856266e-04 -6.919353e-05 -2.890297e-05
10227.000000 -2.917041e-05 -8.813405e-07 -7.391272e-08 -1.023350e-06 2.279455e-05 -2.994169e-04 -6.402864e-05 -3.593410e-05
10232.000000 -2.911288e-05 -8.835467e-07 -7.637872e-08 -1.023456e-06 1.486302e-05 -3.108080e-04 -6.823132e-05 -3.069977e-05
10237.000000 -2.912260e-05 -8.870715e-07 -7.858911e-08 -1.026451e-06 2.487674e-05 -3.192045e-04 -6.616742e-05 -2.978993e-05
10242.000000 -2.905716e-05 -8.872269e-07 -7.967072e-08 -1.025824e-06 2.165151e-05 -2.834423e-04 -6.221032e-05 -4.146024e-05
10247.000000 -2.897478e-05 -8.869649e-07 -8.259938e-08 -1.024858e-06 2.052008e-05 -2.791719e-04 -6.030696e-05 -3.665586e-05
10252.000000 -2.898774e-05 -8.916257e-07 -8.288817e-08 -1.028815e-06 2.334850e-05 -2.681457e-04 -5.328225e-05 -1.877131e-05
10257.000000 -2.896315e-05 -8.951030e-07 -8.008949e-08 -1.030496e-06 2.457332e-05 -2.906376e-04 -6.423545e-05 -2.222534e-05
10262.000000 -2.892284e-05 -8.982189e-07 -7.969314e-08 -1.032295e-06 2.809081e-05 -2.896682e-04 -6.160360e-05 -2.368805e-05
10267.000000 -2.893158e-05 -9.005500e-07 -8.134500e-08 -1.034304e-06 2.444196e-05 -2.828277e-04 -5.748145e-05 -1.235828e-05
10272.000000 -2.887381e-05 -9.005225e-07 -8.174933e-08 -1.032966e-06 3.273203e-05 -2.837371e-04 -6.325956e-05 -9.986147e-06
10277.000000 -2.881298e-05 -9.019216e-07 -8.118314e-08 -1.033500e-06 3.442888e-05 -2.648122e-04 -6.845790e-05 -2.189582e-05
10282.000000 -2.874617e-05 -9.067285e-07 -8.054346e-08 -1.037012e-06 2.155848e-05 -2.972822e-04 -5.803568e-05 -1.852882e-05
10287.000000 -2.879151e-05 -9.106829e-07 -8.156487e-08 -1.041543e-06 1.074001e-05 -3.145759e-04 -6.069522e-05 -1.441405e-05
10292.000000 -2.875770e-05 -9.129953e-07 -8.400035e-08 -1.043276e-06 1.434211e-05 -3.091460e-04 -6.035528e-05 -9.656414e-06
10297.000000 -2.869546e-05 -9.138055e-07 -8.540940e-08 -1.042416e-06 1.493970e-05 -2.686197e-04 -6.303532e-05 -1.188167e-05
10302.000000 -2.871592e-05 -9.182980e-07 -8.502465e-08 -1.046911e-06 1.610575e-05 -2.913055e-04 -7.146405e-05 -1.152991e-05
10307.000000 -2.869191e-05 -9.212831e-07 -8.530763e-08 -1.049283e-06 1.542696e-05 -3.044380e-04 -7.377446e-05 -1.460650e-05
10312.000000 -2.863929e-05 -9.234931e-07 -8.536637e-08 -1.049868e-06 1.543908e-05 -2.997864e-04 -7.153590e-05 -1.553880e-05
10317.000000 -2.857631e-05 -9.236847e-07 -8.490914e-08 -1.049495e-06 1.563715e-05 -2.767068e-04 -6.724708e-05 -1.942834e-05
10322.000000 -2.856422e-05 -9.267812e-07 -8.424768e-08 -1.053070e-06 2.566244e-05 -2.914987e-04 -6.684002e-05 -1.748907e-05
10327.000000 -2.850345e-05 -9.279043e-07 -8.338890e-08 -1.053348e-06 3.301875e-05 -2.906678e-04 -7.378879e-05 -2.370373e-05
10332.000000 -2.844800e-05 -9.318089e-07 -8.301443e-08 -1.058380e-06 2.775301e-05 -2.784593e-04 -6.080632e-05 -1.959717e-05
10337.000000 -2.853471e-05 -9.374348e-07 -8.344474e-08 -1.065156e-06 2.829607e-05 -2.633083e-04 -5.784215e-05 -2.193637e-05
10341.000000 -2.848571e-05 -9.369901e-07 -8.387292e-08 -1.067151e-06 2.341653e-05 -2.619229e-04 -6.965636e-05 -2.280619e-05
10344.000000 -2.846120e-05 -9.386258e-07 -8.488361e-08 -1.070206e-06 2.350133e-05 -2.747354e-04 -7.556043e-05 -2.255621e-05
10346.000000 -2.844765e-05 -9.399795e-07 -8.589420e-08 -1.073344e-06 1.667791e-05 -2.532588e-04 -7.427963e-05 -3.095433e-05
10347.000000 -2.843480e-05 -9.398199e-07 -8.589023e-08 -1.074232e-06 2.701662e-05 -2.601696e-04 -6.637691e-05 -3.104541e-05
10347.200000 -2.843299e-05 -9.398684e-07 -8.574180e-08 -1.074531e-06 3.019252e-05 -2.779018e-04 -5.555147e-05 -2.020135e-05
10347.400000 -2.842118e-05 -9.397541e-07 -8.628212e-08 -1.074352e-06 2.789566e-05 -3.070420e-04 -6.075583e-05 -2.073505e-05
