# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.2856305189892
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.99939
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1650.0
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370606
# Scan.uid: 1b50c42f-33b2-4ca9-879e-4b3730f12631
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:30:29.078530
# Scan.end_time: 06/22/2023  16:31:04.184990
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 260.25004981471096
# SampleHeater.temperature2.readback: 264.5
# SampleHeater.voltage.setpoint: 0.5430197059664101
# SampleHeater.voltage.readback: 0.899
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.93
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.34784e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.80503e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 2.01007e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.9458e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.86462e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0707e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.56546e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 8.32843e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.949751e-05 -8.720551e-07 -2.531399e-07 -1.004377e-06 2.858288e-05 -1.726989e-04 -3.772151e-05 -1.339170e-05
10172.000000 -2.940689e-05 -8.679933e-07 -2.507551e-07 -1.004449e-06 2.532526e-05 -1.525750e-04 -4.180227e-05 -1.679494e-05
10177.000000 -2.933092e-05 -8.690750e-07 -2.486374e-07 -1.004359e-06 2.476856e-05 -1.343330e-04 -4.594606e-05 -2.263009e-05
10182.000000 -2.929216e-05 -8.705749e-07 -2.444678e-07 -1.006456e-06 2.842730e-05 -1.307792e-04 -4.883274e-05 -1.840240e-05
10187.000000 -2.928300e-05 -8.681408e-07 -2.352513e-07 -1.008508e-06 3.703313e-05 -1.316098e-04 -3.893773e-05 -1.419236e-05
10192.000000 -2.932778e-05 -8.702526e-07 -2.156777e-07 -1.012016e-06 3.643305e-05 -1.396984e-04 -2.777827e-05 -1.510998e-05
10197.000000 -2.928718e-05 -8.713021e-07 -1.602720e-07 -1.011834e-06 4.012236e-05 -1.639121e-04 -2.381980e-05 -1.593002e-05
10202.000000 -2.927479e-05 -8.747347e-07 -5.405135e-08 -1.015082e-06 4.183857e-05 -1.622391e-04 -2.838656e-05 -1.645144e-05
10207.000000 -2.924895e-05 -8.760087e-07 -2.120233e-08 -1.016321e-06 4.208148e-05 -1.821557e-04 -3.767441e-05 -2.310086e-05
10212.000000 -2.923271e-05 -8.778095e-07 -4.344230e-08 -1.018188e-06 4.433097e-05 -1.825516e-04 -4.566173e-05 -1.835120e-05
10217.000000 -2.922766e-05 -8.813618e-07 -5.649138e-08 -1.021945e-06 4.457132e-05 -1.782262e-04 -3.738952e-05 -5.452939e-06
10222.000000 -2.917043e-05 -8.818157e-07 -6.681285e-08 -1.021381e-06 4.217335e-05 -1.603793e-04 -3.322574e-05 -3.904667e-07
10227.000000 -2.913838e-05 -8.831265e-07 -7.369292e-08 -1.022667e-06 4.680738e-05 -1.762522e-04 -3.671029e-05 -5.047896e-07
10232.000000 -2.909415e-05 -8.858642e-07 -7.629001e-08 -1.024146e-06 4.899295e-05 -1.983312e-04 -3.472990e-05 8.810256e-07
10237.000000 -2.906185e-05 -8.862845e-07 -7.808653e-08 -1.024131e-06 4.077829e-05 -1.989594e-04 -4.001928e-05 6.414847e-08
10242.000000 -2.906510e-05 -8.907901e-07 -7.967984e-08 -1.028814e-06 3.665814e-05 -2.187310e-04 -3.792277e-05 3.575499e-06
10247.000000 -2.901729e-05 -8.930561e-07 -8.285570e-08 -1.029998e-06 3.598994e-05 -2.346031e-04 -4.430385e-05 -3.581426e-06
10252.000000 -2.898874e-05 -8.952745e-07 -8.296560e-08 -1.031057e-06 3.013444e-05 -2.071909e-04 -3.878367e-05 -1.652161e-06
10257.000000 -2.894460e-05 -8.968307e-07 -7.996031e-08 -1.030931e-06 3.759237e-05 -2.132763e-04 -3.509421e-05 -2.509714e-06
10262.000000 -2.887716e-05 -8.988847e-07 -7.945737e-08 -1.031400e-06 3.079587e-05 -2.358257e-04 -3.724953e-05 -6.601643e-06
10267.000000 -2.885004e-05 -8.995434e-07 -8.061463e-08 -1.030800e-06 3.151311e-05 -2.428010e-04 -4.278122e-05 -5.100305e-08
10272.000000 -2.888776e-05 -9.047183e-07 -8.176098e-08 -1.037073e-06 2.992007e-05 -2.337093e-04 -3.805053e-05 -8.559231e-07
10277.000000 -2.883713e-05 -9.068206e-07 -8.116121e-08 -1.038610e-06 3.365920e-05 -2.228344e-04 -3.535350e-05 -4.578971e-06
10282.000000 -2.871597e-05 -9.080573e-07 -8.019456e-08 -1.037796e-06 4.298952e-05 -2.311884e-04 -3.812540e-05 -9.433021e-06
10287.000000 -2.876389e-05 -9.120997e-07 -8.133781e-08 -1.042788e-06 4.392633e-05 -2.139851e-04 -3.781044e-05 -9.963260e-06
10292.000000 -2.870982e-05 -9.128937e-07 -8.332037e-08 -1.043231e-06 5.096506e-05 -2.081031e-04 -4.480243e-05 -1.637317e-05
10297.000000 -2.869957e-05 -9.170611e-07 -8.501020e-08 -1.047026e-06 5.637356e-05 -2.087152e-04 -3.128696e-05 -4.018890e-06
10302.000000 -2.869319e-05 -9.199319e-07 -8.489484e-08 -1.049433e-06 5.018736e-05 -2.061423e-04 -2.647385e-05 -2.640546e-06
10307.000000 -2.866403e-05 -9.228323e-07 -8.472959e-08 -1.050928e-06 3.397737e-05 -2.087993e-04 -3.167707e-05 1.147227e-06
10312.000000 -2.862739e-05 -9.261409e-07 -8.518295e-08 -1.052321e-06 2.652228e-05 -2.163042e-04 -4.461639e-05 -5.679287e-06
10317.000000 -2.857402e-05 -9.276629e-07 -8.462251e-08 -1.052933e-06 3.103002e-05 -2.431330e-04 -4.469588e-05 -8.440461e-06
10322.000000 -2.857142e-05 -9.320130e-07 -8.441359e-08 -1.057603e-06 4.578689e-05 -2.326246e-04 -5.041127e-05 -9.379192e-06
10327.000000 -2.853517e-05 -9.346963e-07 -8.365264e-08 -1.059483e-06 4.812005e-05 -2.440872e-04 -4.663157e-05 -4.234144e-06
10332.000000 -2.840629e-05 -9.318385e-07 -8.262293e-08 -1.058407e-06 4.484467e-05 -2.628327e-04 -4.538197e-05 -9.197660e-06
10337.000000 -2.848270e-05 -9.346621e-07 -8.276929e-08 -1.064685e-06 4.216529e-05 -2.453207e-04 -4.528820e-05 -1.256353e-05
10341.000000 -2.843017e-05 -9.327655e-07 -8.300978e-08 -1.066031e-06 4.584629e-05 -2.052356e-04 -4.660199e-05 -1.402970e-05
10344.000000 -2.841880e-05 -9.343796e-07 -8.387407e-08 -1.070744e-06 4.806739e-05 -1.885859e-04 -5.142518e-05 -1.399659e-05
10346.000000 -2.837598e-05 -9.347026e-07 -8.485231e-08 -1.070265e-06 4.175984e-05 -2.159370e-04 -5.008261e-05 -1.505421e-05
10347.000000 -2.834015e-05 -9.336420e-07 -8.507030e-08 -1.068243e-06 3.315337e-05 -2.220062e-04 -5.033875e-05 -1.357462e-05
10347.200000 -2.832226e-05 -9.325512e-07 -8.524047e-08 -1.066449e-06 3.764343e-05 -2.228671e-04 -5.442326e-05 -1.335474e-05
10347.400000 -2.829335e-05 -9.308292e-07 -8.515277e-08 -1.065688e-06 3.313389e-05 -2.144364e-04 -4.829761e-05 -6.532853e-06
10347.600000 -2.830645e-05 -9.324620e-07 -8.538975e-08 -1.066737e-06 2.888161e-05 -2.282339e-04 -5.817845e-05 -7.614176e-06
10347.800000 -2.832115e-05 -9.333049e-07 -8.548281e-08 -1.068959e-06 2.873785e-05 -2.329697e-04 -5.947365e-05 -7.014358e-06
10348.000000 -2.833950e-05 -9.339999e-07 -8.528848e-08 -1.071123e-06 3.252634e-05 -2.364235e-04 -5.067025e-05 -1.452282e-05
10348.200000 -2.837709e-05 -9.370067e-07 -8.568169e-08 -1.074345e-06 4.248516e-05 -2.318898e-04 -5.014613e-05 -1.937318e-05
10348.400000 -2.838792e-05 -9.366010e-07 -8.593350e-08 -1.075613e-06 3.561535e-05 -2.336012e-04 -6.005489e-05 -1.819030e-05
10348.600000 -2.837716e-05 -9.366766e-07 -8.628454e-08 -1.074588e-06 3.905765e-05 -2.382010e-04 -5.738573e-05 -1.682167e-05
10348.800000 -2.836567e-05 -9.356305e-07 -8.648279e-08 -1.074727e-06 4.068182e-05 -2.236936e-04 -5.028709e-05 -1.679125e-05
10349.000000 -2.835916e-05 -9.349717e-07 -8.667753e-08 -1.075144e-06 3.934462e-05 -2.427009e-04 -6.781249e-05 -1.986622e-05
10349.200000 -2.837859e-05 -9.385107e-07 -8.695755e-08 -1.076808e-06 3.705008e-05 -2.517240e-04 -7.148794e-05 -1.746884e-05
10349.400000 -2.835819e-05 -9.363564e-07 -8.666927e-08 -1.074695e-06 3.440333e-05 -2.392609e-04 -6.755713e-05 -2.161900e-05
10349.600000 -2.836311e-05 -9.381400e-07 -8.665998e-08 -1.076507e-06 3.958385e-05 -2.597826e-04 -7.244689e-05 -2.355017e-05
10349.800000 -2.836320e-05 -9.363688e-07 -8.659371e-08 -1.076999e-06 3.588682e-05 -2.716953e-04 -6.396130e-05 -1.677903e-05
10350.000000 -2.836619e-05 -9.374152e-07 -8.691976e-08 -1.076924e-06 3.992079e-05 -2.758320e-04 -6.032016e-05 -1.575697e-05
10350.200000 -2.838631e-05 -9.386545e-07 -8.737813e-08 -1.077883e-06 4.521447e-05 -2.878560e-04 -6.261474e-05 -1.047879e-05
10350.400000 -2.835364e-05 -9.346667e-07 -8.707703e-08 -1.076491e-06 3.763081e-05 -2.995748e-04 -7.800628e-05 -1.602556e-05
10350.600000 -2.835678e-05 -9.374338e-07 -8.742862e-08 -1.078350e-06 3.915015e-05 -2.772548e-04 -7.836065e-05 -1.842847e-05
10350.800000 -2.836811e-05 -9.371140e-07 -8.751825e-08 -1.079630e-06 4.313091e-05 -2.848925e-04 -6.905866e-05 -7.692063e-06
10351.000000 -2.836801e-05 -9.387388e-07 -8.756915e-08 -1.080253e-06 5.428352e-05 -2.985643e-04 -6.506625e-05 -1.185525e-05
10351.200000 -2.835179e-05 -9.365576e-07 -8.743680e-08 -1.079259e-06 4.999964e-05 -3.109647e-04 -7.817682e-05 -1.441403e-05
10351.400000 -2.835671e-05 -9.358197e-07 -8.745190e-08 -1.079731e-06 6.034570e-05 -3.228029e-04 -7.095519e-05 -1.082502e-05
10351.600000 -2.835309e-05 -9.371104e-07 -8.751756e-08 -1.080892e-06 5.310623e-05 -2.995371e-04 -6.944749e-05 -1.381257e-05
10351.800000 -2.834187e-05 -9.344446e-07 -8.741082e-08 -1.080359e-06 4.221607e-05 -2.941523e-04 -7.811669e-05 -9.292088e-06
10352.000000 -2.834866e-05 -9.368254e-07 -8.758758e-08 -1.080862e-06 4.456242e-05 -2.970924e-04 -6.664936e-05 -5.294346e-06
10352.200000 -2.834639e-05 -9.353290e-07 -8.756804e-08 -1.081323e-06 4.201905e-05 -3.076873e-04 -6.745930e-05 -1.101719e-05
10352.400000 -2.834774e-05 -9.360604e-07 -8.777748e-08 -1.081611e-06 5.017998e-05 -2.990049e-04 -7.172687e-05 -1.629707e-05
10352.600000 -2.834424e-05 -9.370874e-07 -8.805322e-08 -1.081839e-06 4.705706e-05 -2.944617e-04 -7.400706e-05 -1.655868e-05
10352.800000 -2.831845e-05 -9.341799e-07 -8.784427e-08 -1.080533e-06 5.410866e-05 -2.852609e-04 -6.997794e-05 -8.344170e-06
10353.000000 -2.832422e-05 -9.363079e-07 -8.801197e-08 -1.081775e-06 4.677867e-05 -2.935438e-04 -6.515983e-05 -9.585984e-06
10353.200000 -2.830620e-05 -9.352620e-07 -8.769408e-08 -1.080484e-06 4.529182e-05 -2.778812e-04 -6.774011e-05 -1.238709e-06
10353.400000 -2.827158e-05 -9.330230e-07 -8.745388e-08 -1.077834e-06 4.071846e-05 -2.836917e-04 -8.073555e-05 -1.169950e-05
10353.600000 -2.827231e-05 -9.321750e-07 -8.721034e-08 -1.078862e-06 4.826347e-05 -2.702501e-04 -8.248161e-05 -9.168719e-06
10353.800000 -2.826909e-05 -9.337316e-07 -8.753721e-08 -1.078426e-06 5.932557e-05 -2.609585e-04 -7.211209e-05 9.162908e-06
10354.000000 -2.827517e-05 -9.331588e-07 -8.781214e-08 -1.079777e-06 5.980310e-05 -2.526392e-04 -7.628074e-05 4.520725e-06
10354.200000 -2.827992e-05 -9.341898e-07 -8.817283e-08 -1.080007e-06 4.837675e-05 -2.402502e-04 -7.664059e-05 -4.070412e-06
10354.400000 -2.829519e-05 -9.369792e-07 -8.857173e-08 -1.081121e-06 4.356489e-05 -2.680988e-04 -7.735672e-05 -1.036776e-05
10354.600000 -2.829690e-05 -9.346500e-07 -8.833730e-08 -1.082521e-06 3.978506e-05 -2.704161e-04 -7.494614e-05 -2.251713e-06
10354.800000 -2.829479e-05 -9.367143e-07 -8.823010e-08 -1.082912e-06 3.831137e-05 -2.863097e-04 -7.063174e-05 -2.065577e-06
10355.000000 -2.825261e-05 -9.315851e-07 -8.755746e-08 -1.080713e-06 4.218601e-05 -2.980104e-04 -6.232053e-05 -4.724654e-06
10355.200000 -2.823577e-05 -9.307852e-07 -8.753267e-08 -1.080235e-06 3.437914e-05 -3.085436e-04 -7.172576e-05 -5.899308e-06
10355.400000 -2.824712e-05 -9.328811e-07 -8.789570e-08 -1.081143e-06 3.620675e-05 -2.965192e-04 -8.047961e-05 2.902857e-06
10355.600000 -2.825284e-05 -9.315732e-07 -8.794005e-08 -1.082968e-06 2.808580e-05 -2.961514e-04 -8.931918e-05 1.590661e-06
10355.800000 -2.826828e-05 -9.335713e-07 -8.844169e-08 -1.085018e-06 3.886986e-05 -3.071532e-04 -8.217394e-05 -1.223549e-05
10356.000000 -2.827242e-05 -9.324771e-07 -8.851978e-08 -1.085478e-06 4.480981e-05 -3.068455e-04 -7.372580e-05 -1.344329e-05
10356.200000 -2.827141e-05 -9.332448e-07 -8.860815e-08 -1.087193e-06 4.483625e-05 -2.825844e-04 -9.068105e-05 -1.930322e-05
10356.400000 -2.824590e-05 -9.309177e-07 -8.805831e-08 -1.085236e-06 4.647004e-05 -2.664288e-04 -8.780070e-05 -1.082413e-05
10356.600000 -2.824145e-05 -9.308906e-07 -8.791873e-08 -1.085996e-06 5.184222e-05 -2.714451e-04 -7.782760e-05 -4.438631e-07
10356.800000 -2.824159e-05 -9.311819e-07 -8.780655e-08 -1.086263e-06 5.209700e-05 -2.698480e-04 -6.232599e-05 -8.564106e-06
10357.000000 -2.825124e-05 -9.300001e-07 -8.789279e-08 -1.087275e-06 5.689980e-05 -2.696980e-04 -6.785671e-05 -1.857926e-05
10357.200000 -2.826701e-05 -9.326841e-07 -8.814054e-08 -1.089807e-06 5.175867e-05 -2.585430e-04 -7.732416e-05 -1.718872e-05
10357.400000 -2.824744e-05 -9.297481e-07 -8.784545e-08 -1.089184e-06 4.500832e-05 -2.788772e-04 -6.904254e-05 -9.195450e-06
10357.600000 -2.820314e-05 -9.292673e-07 -8.792040e-08 -1.086449e-06 4.143098e-05 -2.997164e-04 -6.983521e-05 -7.102032e-06
10357.800000 -2.811721e-05 -9.216312e-07 -8.715690e-08 -1.080833e-06 4.537309e-05 -3.008386e-04 -7.109949e-05 -1.893719e-05
10358.000000 -2.811821e-05 -9.226062e-07 -8.729377e-08 -1.080941e-06 5.483189e-05 -2.995995e-04 -7.028340e-05 -9.115326e-06
10358.200000 -2.816168e-05 -9.240924e-07 -8.744420e-08 -1.086505e-06 5.007126e-05 -2.940384e-04 -6.828188e-05 -6.275256e-06
10358.400000 -2.818462e-05 -9.257001e-07 -8.767228e-08 -1.088709e-06 4.619017e-05 -2.827441e-04 -6.756282e-05 -3.193526e-06
10358.600000 -2.820859e-05 -9.280928e-07 -8.786066e-08 -1.092567e-06 3.844618e-05 -2.654429e-04 -6.566434e-05 -2.081974e-06
10358.800000 -2.822672e-05 -9.285589e-07 -8.788123e-08 -1.094154e-06 4.013679e-05 -2.585878e-04 -6.395183e-05 -1.089615e-05
10359.000000 -2.819937e-05 -9.270246e-07 -8.771664e-08 -1.093629e-06 3.910873e-05 -2.654568e-04 -6.775788e-05 -1.256701e-05
10359.200000 -2.821270e-05 -9.286302e-07 -8.791685e-08 -1.095484e-06 3.715649e-05 -2.401144e-04 -8.186931e-05 -1.840086e-05
10359.400000 -2.819665e-05 -9.264258e-07 -8.794273e-08 -1.095306e-06 4.162071e-05 -2.546037e-04 -7.335462e-05 -2.002029e-05
10359.600000 -2.816464e-05 -9.254960e-07 -8.781713e-08 -1.094004e-06 3.912470e-05 -2.279337e-04 -7.036522e-05 -1.694166e-05
10359.800000 -2.815456e-05 -9.261606e-07 -8.804973e-08 -1.093968e-06 4.795310e-05 -2.319497e-04 -7.111861e-05 -1.678512e-05
