# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.05502666456607
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002808
# Detector.I1.voltage: -1650.000488
# Detector.I2.voltage: -1649.998657
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370616
# Scan.uid: c80e484c-8751-44e0-8327-4f9964f79434
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:40:25.050863
# Scan.end_time: 06/22/2023  16:40:59.842585
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 359.783387259979
# SampleHeater.temperature2.readback: 361.0
# SampleHeater.voltage.setpoint: 0.8390167137132828
# SampleHeater.voltage.readback: 0.847
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.06
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.4949e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.8982e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.86523e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.87291e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.77325e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0793e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.37263e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.24921e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.962042e-05 -8.058220e-07 -2.337197e-07 -1.000276e-06 2.956010e-05 -4.870012e-04 -3.869990e-05 3.744001e-05
10172.000000 -2.951374e-05 -8.022750e-07 -2.314777e-07 -9.995191e-07 2.265740e-05 -4.786879e-04 -3.869295e-05 3.595051e-05
10177.000000 -2.943693e-05 -8.041851e-07 -2.297270e-07 -9.992710e-07 2.462105e-05 -4.750304e-04 -4.418346e-05 4.096204e-05
10182.000000 -2.937274e-05 -8.046270e-07 -2.255678e-07 -9.992668e-07 2.423498e-05 -4.882939e-04 -4.231346e-05 4.183119e-05
10187.000000 -2.942653e-05 -8.081017e-07 -2.188739e-07 -1.006054e-06 1.910044e-05 -5.065572e-04 -3.444190e-05 3.628471e-05
10192.000000 -2.948128e-05 -8.108369e-07 -2.007552e-07 -1.010324e-06 1.951013e-05 -4.852208e-04 -4.064656e-05 3.455212e-05
10197.000000 -2.949238e-05 -8.151098e-07 -1.496434e-07 -1.014071e-06 2.118510e-05 -4.898762e-04 -3.691411e-05 4.441562e-05
10202.000000 -2.944836e-05 -8.160053e-07 -4.994180e-08 -1.015761e-06 2.069245e-05 -4.859405e-04 -3.658600e-05 4.213892e-05
10207.000000 -2.941891e-05 -8.186330e-07 -1.987438e-08 -1.017243e-06 2.507155e-05 -4.692423e-04 -4.406969e-05 3.940389e-05
10212.000000 -2.937590e-05 -8.193419e-07 -4.044135e-08 -1.016502e-06 1.380905e-05 -4.839861e-04 -3.836154e-05 3.756824e-05
10217.000000 -2.929179e-05 -8.169344e-07 -5.224723e-08 -1.013678e-06 5.091743e-06 -5.094395e-04 -3.806536e-05 4.013139e-05
10222.000000 -2.930829e-05 -8.243829e-07 -6.187861e-08 -1.019444e-06 1.803430e-05 -5.192705e-04 -4.222950e-05 3.854540e-05
10227.000000 -2.927042e-05 -8.253247e-07 -6.838438e-08 -1.020429e-06 3.050182e-05 -4.995882e-04 -4.439323e-05 3.083460e-05
10232.000000 -2.920869e-05 -8.272721e-07 -7.112266e-08 -1.021016e-06 3.876276e-05 -4.781214e-04 -4.185064e-05 3.005859e-05
10237.000000 -2.919583e-05 -8.286456e-07 -7.269385e-08 -1.023062e-06 2.917730e-05 -4.739843e-04 -3.442020e-05 2.417386e-05
10242.000000 -2.917978e-05 -8.330063e-07 -7.409348e-08 -1.026042e-06 3.013803e-05 -4.823034e-04 -3.144521e-05 2.960004e-05
10247.000000 -2.906542e-05 -8.308516e-07 -7.689301e-08 -1.022113e-06 2.982225e-05 -4.948242e-04 -3.930773e-05 3.230370e-05
10252.000000 -2.908405e-05 -8.373858e-07 -7.745862e-08 -1.027257e-06 2.862378e-05 -4.835721e-04 -2.859171e-05 3.299431e-05
10257.000000 -2.908062e-05 -8.424242e-07 -7.510204e-08 -1.031226e-06 2.502465e-05 -4.678194e-04 -3.434189e-05 3.966180e-05
10262.000000 -2.899497e-05 -8.435448e-07 -7.428903e-08 -1.031164e-06 2.714832e-05 -4.825362e-04 -3.878340e-05 3.559324e-05
10267.000000 -2.897115e-05 -8.423311e-07 -7.499785e-08 -1.029915e-06 3.086699e-05 -4.604070e-04 -4.558746e-05 3.052773e-05
10272.000000 -2.892297e-05 -8.422384e-07 -7.538893e-08 -1.029454e-06 2.971213e-05 -4.527976e-04 -5.728768e-05 2.770453e-05
10277.000000 -2.888512e-05 -8.468339e-07 -7.544164e-08 -1.032420e-06 3.535837e-05 -4.836759e-04 -5.573697e-05 1.879418e-05
10282.000000 -2.880606e-05 -8.531945e-07 -7.525974e-08 -1.034813e-06 3.256600e-05 -4.895439e-04 -4.184519e-05 1.590830e-05
10287.000000 -2.883177e-05 -8.556435e-07 -7.584382e-08 -1.037013e-06 3.152580e-05 -4.946822e-04 -4.064904e-05 1.513257e-05
10292.000000 -2.880171e-05 -8.586564e-07 -7.816088e-08 -1.038893e-06 3.057510e-05 -4.984766e-04 -3.730811e-05 1.640661e-05
10297.000000 -2.877625e-05 -8.611377e-07 -7.952559e-08 -1.041330e-06 3.573331e-05 -4.976426e-04 -3.471504e-05 2.512758e-05
10302.000000 -2.873028e-05 -8.604938e-07 -7.927892e-08 -1.039878e-06 3.703776e-05 -4.954647e-04 -4.482848e-05 2.355800e-05
10307.000000 -2.869060e-05 -8.629022e-07 -7.915882e-08 -1.042075e-06 3.075975e-05 -5.003437e-04 -4.452544e-05 2.692076e-05
10312.000000 -2.866449e-05 -8.669534e-07 -7.948707e-08 -1.045082e-06 3.012933e-05 -4.884049e-04 -3.973167e-05 2.288556e-05
10317.000000 -2.866728e-05 -8.723105e-07 -7.932354e-08 -1.050048e-06 4.104136e-05 -5.305195e-04 -3.931199e-05 2.103756e-05
10322.000000 -2.864163e-05 -8.746148e-07 -7.897847e-08 -1.052945e-06 3.512753e-05 -5.393809e-04 -4.195999e-05 2.315305e-05
10327.000000 -2.859431e-05 -8.761861e-07 -7.820858e-08 -1.054407e-06 3.881075e-05 -5.461340e-04 -4.829746e-05 2.663097e-05
10332.000000 -2.848192e-05 -8.755100e-07 -7.737436e-08 -1.054551e-06 4.439494e-05 -5.201538e-04 -5.794055e-05 2.173864e-05
10337.000000 -2.853615e-05 -8.776624e-07 -7.737254e-08 -1.059254e-06 4.418110e-05 -5.226940e-04 -4.397614e-05 1.858934e-05
10341.000000 -2.846502e-05 -8.757832e-07 -7.752465e-08 -1.058433e-06 5.212421e-05 -5.054893e-04 -4.748902e-05 1.396862e-05
10344.000000 -2.847831e-05 -8.794140e-07 -7.871946e-08 -1.065196e-06 5.221391e-05 -5.236090e-04 -4.757725e-05 1.177523e-05
10346.000000 -2.842531e-05 -8.777187e-07 -7.945449e-08 -1.064161e-06 4.605774e-05 -5.062353e-04 -4.211645e-05 1.359337e-05
10347.000000 -2.844130e-05 -8.800700e-07 -8.008134e-08 -1.067276e-06 3.915213e-05 -4.923790e-04 -3.236317e-05 1.774730e-05
10347.200000 -2.847381e-05 -8.836653e-07 -8.049630e-08 -1.070472e-06 3.963326e-05 -4.766217e-04 -3.226059e-05 1.298200e-05
10347.400000 -2.847713e-05 -8.831035e-07 -8.065631e-08 -1.069506e-06 4.276100e-05 -4.902239e-04 -3.493896e-05 2.019218e-05
10347.600000 -2.845786e-05 -8.821496e-07 -8.087695e-08 -1.069529e-06 4.674333e-05 -5.236580e-04 -3.105938e-05 2.539905e-05
