# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.67354845497675
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000122
# Detector.I1.voltage: -1650.002686
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370624
# Scan.uid: 190f1acf-4a0d-4f37-a404-bc6c9e6b7e34
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:48:23.507679
# Scan.end_time: 06/22/2023  16:48:59.465735
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 379.3
# SampleHeater.voltage.setpoint: 0.9470786226096751
# SampleHeater.voltage.readback: 0.9480000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.200000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.52715e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.20514e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.73128e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.71662e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.65029e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0793e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.4022e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.19839e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.972373e-05 -7.835990e-07 -2.269241e-07 -1.002024e-06 4.260547e-05 -5.255629e-04 -3.928537e-05 -2.229275e-05
10172.000000 -2.962297e-05 -7.808896e-07 -2.250042e-07 -1.001458e-06 3.656555e-05 -5.023698e-04 -2.939681e-05 -5.511205e-06
10177.000000 -2.957391e-05 -7.852993e-07 -2.243050e-07 -1.003558e-06 3.122709e-05 -5.167212e-04 -3.243430e-05 -5.317956e-07
10182.000000 -2.952695e-05 -7.860601e-07 -2.204508e-07 -1.004512e-06 4.511428e-05 -5.255347e-04 -4.202480e-05 2.705146e-05
10187.000000 -2.952616e-05 -7.836752e-07 -2.120703e-07 -1.006572e-06 4.735750e-05 -5.199482e-04 -3.227850e-05 2.738350e-05
10192.000000 -2.957871e-05 -7.866649e-07 -1.944739e-07 -1.010805e-06 4.108239e-05 -5.194394e-04 -3.703446e-05 2.675792e-05
10197.000000 -2.958131e-05 -7.914186e-07 -1.448979e-07 -1.014771e-06 4.189973e-05 -5.184547e-04 -3.759798e-05 2.978013e-05
10202.000000 -2.953172e-05 -7.921863e-07 -4.850565e-08 -1.015063e-06 3.940771e-05 -5.272882e-04 -4.477221e-05 3.065019e-05
10207.000000 -2.950111e-05 -7.938497e-07 -1.924317e-08 -1.016067e-06 3.683942e-05 -5.265166e-04 -4.055089e-05 3.512882e-05
10212.000000 -2.949232e-05 -7.978398e-07 -3.942661e-08 -1.018844e-06 4.079602e-05 -5.400039e-04 -3.513816e-05 2.984318e-05
10217.000000 -2.945865e-05 -7.998201e-07 -5.119269e-08 -1.019712e-06 3.990484e-05 -5.218395e-04 -4.225827e-05 2.344857e-05
10222.000000 -2.942757e-05 -8.034246e-07 -6.031396e-08 -1.021378e-06 3.030738e-05 -5.273911e-04 -3.900716e-05 2.526627e-05
10227.000000 -2.938208e-05 -8.043225e-07 -6.653642e-08 -1.021796e-06 2.822975e-05 -5.663460e-04 -3.954550e-05 2.957000e-05
10232.000000 -2.931770e-05 -8.061028e-07 -6.918335e-08 -1.022255e-06 2.758121e-05 -5.718850e-04 -4.012216e-05 3.176134e-05
10237.000000 -2.929313e-05 -8.069452e-07 -7.080075e-08 -1.022906e-06 3.773382e-05 -5.605050e-04 -3.204938e-05 3.019443e-05
10242.000000 -2.923051e-05 -8.058147e-07 -7.149120e-08 -1.021989e-06 3.697958e-05 -5.554151e-04 -2.710833e-05 2.262874e-05
10247.000000 -2.922556e-05 -8.144665e-07 -7.510444e-08 -1.027934e-06 3.200975e-05 -5.543440e-04 -3.980318e-05 2.064491e-05
10252.000000 -2.920884e-05 -8.175995e-07 -7.525408e-08 -1.029405e-06 3.803983e-05 -5.565050e-04 -4.784614e-05 2.446956e-05
10257.000000 -2.913003e-05 -8.153809e-07 -7.221726e-08 -1.027351e-06 5.244384e-05 -5.547476e-04 -4.271797e-05 -8.480613e-06
10262.000000 -2.910525e-05 -8.222059e-07 -7.214333e-08 -1.032066e-06 5.201288e-05 -5.433193e-04 -4.744400e-05 -1.613930e-05
10267.000000 -2.913500e-05 -8.250374e-07 -7.371381e-08 -1.035750e-06 4.642410e-05 -5.466335e-04 -5.037227e-05 -2.416541e-05
10272.000000 -2.907671e-05 -8.234637e-07 -7.428608e-08 -1.035021e-06 3.770719e-05 -5.449895e-04 -4.007924e-05 -3.039635e-05
10277.000000 -2.900735e-05 -8.246532e-07 -7.355803e-08 -1.034814e-06 3.913462e-05 -5.435696e-04 -3.482455e-05 -1.187047e-05
10282.000000 -2.888644e-05 -8.263787e-07 -7.268690e-08 -1.033930e-06 4.803347e-05 -5.644822e-04 -3.981415e-05 -7.220782e-06
10287.000000 -2.891160e-05 -8.293786e-07 -7.341861e-08 -1.036723e-06 5.698158e-05 -5.763916e-04 -4.001517e-05 -1.258706e-05
10292.000000 -2.891728e-05 -8.368843e-07 -7.621108e-08 -1.041306e-06 5.640921e-05 -5.666878e-04 -3.560671e-05 -1.527873e-05
10297.000000 -2.890104e-05 -8.416057e-07 -7.746638e-08 -1.043884e-06 5.496053e-05 -5.616377e-04 -3.305037e-05 -1.492854e-05
10302.000000 -2.890739e-05 -8.461824e-07 -7.783395e-08 -1.047504e-06 5.153534e-05 -5.769332e-04 -3.981775e-05 -1.458091e-05
10307.000000 -2.884402e-05 -8.460596e-07 -7.764178e-08 -1.047033e-06 4.920094e-05 -5.993565e-04 -2.992053e-05 -1.565884e-05
10312.000000 -2.880966e-05 -8.489031e-07 -7.773633e-08 -1.049286e-06 4.801647e-05 -6.167192e-04 -3.506107e-05 1.235135e-05
10317.000000 -2.877830e-05 -8.513425e-07 -7.734237e-08 -1.051334e-06 5.039489e-05 -6.327135e-04 -2.788226e-05 2.667272e-05
10322.000000 -2.873670e-05 -8.525917e-07 -7.683666e-08 -1.053289e-06 5.106523e-05 -6.372344e-04 -3.017026e-05 1.591171e-05
10327.000000 -2.868935e-05 -8.536700e-07 -7.614137e-08 -1.055083e-06 4.403362e-05 -6.093056e-04 -3.647069e-05 9.423248e-06
10332.000000 -2.853317e-05 -8.486926e-07 -7.501427e-08 -1.051155e-06 3.816503e-05 -5.781935e-04 -4.355534e-05 -2.973916e-05
10337.000000 -2.867244e-05 -8.599772e-07 -7.595911e-08 -1.063154e-06 3.527852e-05 -5.815763e-04 -4.389004e-05 -1.989429e-05
10341.000000 -2.862852e-05 -8.600673e-07 -7.640306e-08 -1.065554e-06 3.700999e-05 -5.932620e-04 -3.933238e-05 -1.748343e-05
10344.000000 -2.859384e-05 -8.605998e-07 -7.733587e-08 -1.067670e-06 4.363557e-05 -5.536455e-04 -2.747794e-05 -2.009241e-05
10346.000000 -2.855875e-05 -8.592219e-07 -7.784717e-08 -1.070444e-06 4.573966e-05 -5.522243e-04 -2.604566e-05 -1.249388e-05
10347.000000 -2.854859e-05 -8.586656e-07 -7.830686e-08 -1.071908e-06 4.313690e-05 -5.420698e-04 -3.213136e-05 -2.569557e-05
10347.200000 -2.855090e-05 -8.595893e-07 -7.849898e-08 -1.072811e-06 5.111134e-05 -5.367024e-04 -3.160501e-05 -2.696291e-05
10347.400000 -2.855416e-05 -8.601452e-07 -7.871416e-08 -1.074426e-06 5.865989e-05 -5.063570e-04 -2.424381e-05 -2.223964e-05
10347.600000 -2.855895e-05 -8.600652e-07 -7.862669e-08 -1.074093e-06 6.360334e-05 -5.335987e-04 -4.579948e-05 -1.783883e-05
