# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.52037225608734
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997192
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1649.997681
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370630
# Scan.uid: 431935a1-6995-4d64-b4e0-a574cb557311
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  16:54:24.548121
# Scan.end_time: 06/22/2023  16:54:58.288966
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 382.6
# SampleHeater.voltage.setpoint: 0.8640356211189867
# SampleHeater.voltage.readback: 0.904
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.18
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.61745e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.89146e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.69821e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.99404e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.72622e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1739e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.50297e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.25804e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.973990e-05 -8.036318e-07 -2.331534e-07 -1.009136e-06 3.307678e-05 -6.584983e-04 -3.217531e-05 -2.816107e-05
10172.000000 -2.964115e-05 -7.995829e-07 -2.308119e-07 -1.008860e-06 2.797208e-05 -6.479598e-04 -2.859054e-05 -3.102395e-05
10177.000000 -2.955223e-05 -7.993849e-07 -2.287002e-07 -1.007628e-06 2.605314e-05 -6.630139e-04 -3.172795e-05 -3.122514e-05
10182.000000 -2.944890e-05 -7.953437e-07 -2.234553e-07 -1.004496e-06 3.085163e-05 -6.581568e-04 -2.548423e-05 -3.234404e-05
10187.000000 -2.951247e-05 -8.007348e-07 -2.167041e-07 -1.012670e-06 2.952143e-05 -6.597913e-04 -3.859349e-05 -3.822898e-05
10192.000000 -2.956141e-05 -8.026018e-07 -1.987364e-07 -1.015695e-06 2.853015e-05 -6.355363e-04 -3.657025e-05 -2.718446e-05
10197.000000 -2.956433e-05 -8.067338e-07 -1.480830e-07 -1.019244e-06 3.252996e-05 -6.194322e-04 -3.700608e-05 -2.812526e-05
10202.000000 -2.953035e-05 -8.095766e-07 -4.981483e-08 -1.020507e-06 3.804227e-05 -6.203640e-04 -2.755599e-05 -2.599131e-05
10207.000000 -2.951192e-05 -8.133170e-07 -1.964965e-08 -1.022898e-06 3.622535e-05 -5.975922e-04 -3.671424e-05 -2.036470e-05
10212.000000 -2.949299e-05 -8.152740e-07 -4.025530e-08 -1.024543e-06 2.665959e-05 -6.108486e-04 -3.551080e-05 -1.820638e-05
10217.000000 -2.946197e-05 -8.180807e-07 -5.274244e-08 -1.025587e-06 3.016420e-05 -6.158169e-04 -3.324254e-05 -2.423867e-05
10222.000000 -2.942604e-05 -8.198037e-07 -6.176815e-08 -1.027535e-06 3.237217e-05 -6.226516e-04 -3.998761e-05 -2.945161e-05
10227.000000 -2.937134e-05 -8.197009e-07 -6.766066e-08 -1.026919e-06 4.431818e-05 -6.251038e-04 -4.586765e-05 -3.145730e-05
10232.000000 -2.931553e-05 -8.214020e-07 -7.039149e-08 -1.027092e-06 4.274953e-05 -5.992404e-04 -5.682637e-05 -2.850666e-05
10237.000000 -2.931346e-05 -8.236118e-07 -7.229494e-08 -1.029950e-06 3.827541e-05 -5.857055e-04 -6.206750e-05 -2.469563e-05
10242.000000 -2.922203e-05 -8.198482e-07 -7.288729e-08 -1.026333e-06 4.125823e-05 -6.047995e-04 -5.483384e-05 -2.263325e-05
10247.000000 -2.920405e-05 -8.253638e-07 -7.633412e-08 -1.030593e-06 5.012970e-05 -6.282370e-04 -4.319975e-05 -2.212871e-05
10252.000000 -2.918824e-05 -8.286712e-07 -7.642618e-08 -1.033158e-06 5.291403e-05 -6.108277e-04 -3.846240e-05 -2.127110e-05
10257.000000 -2.916667e-05 -8.320071e-07 -7.382469e-08 -1.035954e-06 5.133114e-05 -5.874416e-04 -4.351665e-05 -2.818605e-05
10262.000000 -2.910357e-05 -8.339241e-07 -7.343363e-08 -1.036848e-06 6.094444e-05 -5.701756e-04 -4.665599e-05 -3.112620e-05
10267.000000 -2.913785e-05 -8.381070e-07 -7.493276e-08 -1.040619e-06 5.889658e-05 -5.627993e-04 -5.652344e-05 -3.141322e-05
10272.000000 -2.911618e-05 -8.405282e-07 -7.587649e-08 -1.042352e-06 5.386299e-05 -5.472990e-04 -5.779782e-05 -3.746292e-05
10277.000000 -2.904327e-05 -8.412881e-07 -7.545981e-08 -1.042228e-06 6.005677e-05 -5.651144e-04 -6.263793e-05 -4.236045e-05
10282.000000 -2.888040e-05 -8.389316e-07 -7.391758e-08 -1.038640e-06 4.689901e-05 -5.732727e-04 -6.559627e-05 -3.610341e-05
10287.000000 -2.892132e-05 -8.424667e-07 -7.455295e-08 -1.043034e-06 4.248952e-05 -5.477430e-04 -6.200212e-05 -2.436933e-05
10292.000000 -2.889144e-05 -8.455099e-07 -7.723657e-08 -1.044710e-06 4.412636e-05 -5.256747e-04 -6.124739e-05 -3.264010e-05
10297.000000 -2.885034e-05 -8.476896e-07 -7.830546e-08 -1.045329e-06 4.204999e-05 -5.440899e-04 -5.860188e-05 -4.425292e-05
10302.000000 -2.882354e-05 -8.488833e-07 -7.823347e-08 -1.046018e-06 3.954803e-05 -5.496008e-04 -5.815008e-05 -3.668704e-05
10307.000000 -2.882746e-05 -8.551371e-07 -7.871156e-08 -1.050894e-06 3.368722e-05 -5.342230e-04 -5.543114e-05 -2.775367e-05
10312.000000 -2.874434e-05 -8.534704e-07 -7.827711e-08 -1.048625e-06 3.543840e-05 -5.295901e-04 -5.178423e-05 -2.917157e-05
10317.000000 -2.876253e-05 -8.605172e-07 -7.854608e-08 -1.055209e-06 3.364905e-05 -5.653377e-04 -4.099348e-05 -2.409274e-05
10322.000000 -2.872166e-05 -8.621915e-07 -7.786540e-08 -1.056702e-06 2.883136e-05 -5.627727e-04 -4.502372e-05 -2.085904e-05
10327.000000 -2.870536e-05 -8.661393e-07 -7.752929e-08 -1.061900e-06 2.921608e-05 -5.893322e-04 -5.333109e-05 -2.229264e-05
10332.000000 -2.857108e-05 -8.629978e-07 -7.638695e-08 -1.060695e-06 2.063797e-05 -5.623100e-04 -4.776168e-05 -3.206325e-05
10337.000000 -2.864819e-05 -8.675025e-07 -7.656415e-08 -1.065375e-06 2.769309e-05 -5.441628e-04 -5.087009e-05 -3.195049e-05
10341.000000 -2.864389e-05 -8.716018e-07 -7.718970e-08 -1.070188e-06 3.613542e-05 -5.202908e-04 -5.703669e-05 -2.612618e-05
10344.000000 -2.861130e-05 -8.729403e-07 -7.823824e-08 -1.071806e-06 3.300138e-05 -4.947270e-04 -6.125900e-05 -3.171914e-05
10346.000000 -2.858190e-05 -8.727553e-07 -7.940093e-08 -1.072866e-06 4.363074e-05 -4.925684e-04 -7.397208e-05 -4.380412e-05
10347.000000 -2.857610e-05 -8.725110e-07 -7.988421e-08 -1.075127e-06 4.187933e-05 -4.756156e-04 -7.322281e-05 -4.261511e-05
10347.200000 -2.857869e-05 -8.722258e-07 -7.997987e-08 -1.076010e-06 4.799205e-05 -4.839000e-04 -7.371426e-05 -4.526520e-05
10347.400000 -2.858499e-05 -8.740992e-07 -8.010193e-08 -1.077189e-06 3.845390e-05 -4.840628e-04 -7.885058e-05 -3.967133e-05
