# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.6125080264515
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999146
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1650.001587
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370642
# Scan.uid: 2e31b9d8-360b-413e-bd1c-977a68bf0a43
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:06:22.067512
# Scan.end_time: 06/22/2023  17:06:54.294377
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 101.55363461706372
# SampleHeater.temperature2.readback: 100.0
# SampleHeater.voltage.setpoint: 0.32439430826471755
# SampleHeater.voltage.readback: 0.328
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.51
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.75333e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 5.12409e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.57366e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.45366e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.56093e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 9.976e-09
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.16301e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.23301e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.962021e-05 -8.791101e-07 -2.545391e-07 -1.002612e-06 4.990158e-06 -7.446150e-04 -1.800227e-05 -6.990137e-06
10172.000000 -2.951028e-05 -8.745865e-07 -2.520451e-07 -1.001021e-06 -6.612954e-07 -7.518291e-04 -2.311767e-05 -6.425576e-06
10177.000000 -2.941205e-05 -8.752359e-07 -2.494773e-07 -9.984066e-07 2.206647e-06 -7.265762e-04 -1.960910e-05 -8.136250e-06
10182.000000 -2.934236e-05 -8.755807e-07 -2.451285e-07 -9.970720e-07 2.732905e-07 -7.282671e-04 -1.943561e-05 -1.430321e-05
10187.000000 -2.940038e-05 -8.776068e-07 -2.372870e-07 -1.004181e-06 -7.536587e-06 -7.186931e-04 -2.782399e-05 -1.184015e-05
10192.000000 -2.942806e-05 -8.792862e-07 -2.173114e-07 -1.006201e-06 2.156223e-06 -7.026469e-04 -2.454335e-05 -7.182280e-06
10197.000000 -2.944497e-05 -8.836564e-07 -1.621755e-07 -1.010960e-06 9.682185e-06 -6.904521e-04 -2.683070e-05 2.918229e-06
10202.000000 -2.942452e-05 -8.869479e-07 -5.480295e-08 -1.014223e-06 6.245797e-06 -6.550069e-04 -2.507958e-05 -4.988586e-06
10207.000000 -2.938499e-05 -8.885866e-07 -2.191448e-08 -1.014393e-06 1.813568e-05 -6.552048e-04 -1.716861e-05 2.490175e-06
10212.000000 -2.937075e-05 -8.915259e-07 -4.414168e-08 -1.016389e-06 1.020804e-05 -6.559179e-04 -1.420185e-05 -6.195984e-06
10217.000000 -2.934154e-05 -8.934151e-07 -5.775670e-08 -1.017862e-06 -1.039070e-06 -6.421252e-04 -1.822931e-05 -4.730394e-06
10222.000000 -2.926777e-05 -8.934951e-07 -6.765972e-08 -1.016741e-06 3.765085e-06 -6.410376e-04 -1.906673e-05 1.482482e-05
10227.000000 -2.925286e-05 -8.958479e-07 -7.446397e-08 -1.020139e-06 4.130176e-06 -6.453872e-04 -1.198696e-05 4.382740e-05
10232.000000 -2.920950e-05 -8.989158e-07 -7.763800e-08 -1.022096e-06 1.810877e-06 -6.491016e-04 -2.545826e-05 3.179499e-05
10237.000000 -2.920919e-05 -9.019794e-07 -7.948303e-08 -1.023968e-06 3.400898e-06 -6.727624e-04 -3.633589e-05 -6.459225e-06
10242.000000 -2.917182e-05 -9.040229e-07 -8.120142e-08 -1.024635e-06 4.313739e-06 -6.330120e-04 -3.359874e-05 -8.397287e-06
10247.000000 -2.908794e-05 -9.050707e-07 -8.455126e-08 -1.023196e-06 1.088935e-05 -6.488976e-04 -2.325137e-05 -5.495784e-06
10252.000000 -2.908038e-05 -9.081650e-07 -8.418961e-08 -1.025478e-06 1.465315e-05 -6.609038e-04 -2.511110e-05 -4.048386e-06
10257.000000 -2.905767e-05 -9.113153e-07 -8.123132e-08 -1.027191e-06 1.421777e-05 -6.578329e-04 -3.554285e-05 -8.663491e-06
10262.000000 -2.895842e-05 -9.119791e-07 -8.075070e-08 -1.025106e-06 1.202257e-05 -6.538858e-04 -3.181659e-05 -1.474453e-05
10267.000000 -2.901630e-05 -9.167146e-07 -8.213585e-08 -1.031632e-06 2.477037e-06 -6.700695e-04 -3.735070e-05 -1.984958e-05
10272.000000 -2.892370e-05 -9.153731e-07 -8.269666e-08 -1.026576e-06 1.619851e-05 -6.918207e-04 -3.624339e-05 -5.370035e-06
10277.000000 -2.890278e-05 -9.191425e-07 -8.250738e-08 -1.030698e-06 1.924965e-05 -7.029622e-04 -3.372557e-05 4.895790e-06
10282.000000 -2.879474e-05 -9.210860e-07 -8.134152e-08 -1.031139e-06 2.146483e-05 -7.099439e-04 -3.654668e-05 5.573116e-07
10287.000000 -2.883876e-05 -9.250247e-07 -8.239909e-08 -1.035328e-06 2.658086e-05 -7.029785e-04 -4.242046e-05 -6.314161e-06
10292.000000 -2.881927e-05 -9.278810e-07 -8.493714e-08 -1.038481e-06 2.546271e-05 -7.055215e-04 -3.858807e-05 -1.541810e-05
10297.000000 -2.878430e-05 -9.303055e-07 -8.596093e-08 -1.040078e-06 2.081556e-05 -7.237298e-04 -3.143738e-05 -5.322593e-06
10302.000000 -2.879105e-05 -9.339308e-07 -8.608442e-08 -1.043779e-06 1.595362e-05 -7.233382e-04 -2.715911e-05 -1.168368e-05
10307.000000 -2.874440e-05 -9.361257e-07 -8.617205e-08 -1.044661e-06 2.255993e-05 -7.257356e-04 -2.154385e-05 -1.335530e-05
10312.000000 -2.868074e-05 -9.367868e-07 -8.622308e-08 -1.044913e-06 1.310393e-05 -7.194551e-04 -1.835984e-05 -8.857398e-06
10317.000000 -2.864723e-05 -9.377220e-07 -8.585789e-08 -1.046957e-06 8.698413e-06 -7.274898e-04 -2.556866e-05 -4.610106e-06
10322.000000 -2.861139e-05 -9.392433e-07 -8.494331e-08 -1.049686e-06 9.498751e-06 -7.145009e-04 -2.999705e-05 -5.823887e-06
10327.000000 -2.856552e-05 -9.404465e-07 -8.425405e-08 -1.051437e-06 1.981707e-05 -7.168030e-04 -3.548682e-05 -9.211066e-06
10332.000000 -2.843274e-05 -9.390170e-07 -8.334246e-08 -1.049459e-06 1.399262e-05 -7.200602e-04 -3.333098e-05 -1.925798e-05
10337.000000 -2.854038e-05 -9.458832e-07 -8.367623e-08 -1.058023e-06 1.085326e-05 -7.116395e-04 -2.672950e-05 -1.983074e-05
10341.000000 -2.850876e-05 -9.473107e-07 -8.415805e-08 -1.061528e-06 1.688367e-05 -7.177530e-04 -2.553781e-05 -1.890761e-05
10344.000000 -2.846394e-05 -9.480725e-07 -8.504274e-08 -1.062045e-06 1.387443e-05 -7.116318e-04 -2.648641e-05 -2.999040e-05
10346.000000 -2.842164e-05 -9.467629e-07 -8.578744e-08 -1.061588e-06 7.785057e-06 -7.234590e-04 -1.978021e-05 -3.160195e-05
10347.000000 -2.831985e-05 -9.403852e-07 -8.577978e-08 -1.054898e-06 5.807180e-06 -7.189158e-04 -3.572096e-05 -2.737792e-05
10347.200000 -2.831265e-05 -9.408212e-07 -8.603334e-08 -1.054897e-06 2.148632e-06 -6.973893e-04 -4.059914e-05 -3.158523e-05
10347.400000 -2.830797e-05 -9.382756e-07 -8.609365e-08 -1.054443e-06 5.302655e-06 -6.932234e-04 -2.797148e-05 -2.206404e-05
10347.600000 -2.837366e-05 -9.438908e-07 -8.686071e-08 -1.060613e-06 2.048892e-06 -6.845558e-04 -2.926827e-05 -1.800236e-05
