# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.34582982787674
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997437
# Detector.I1.voltage: -1650.002563
# Detector.I2.voltage: -1650.0
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370650
# Scan.uid: 84f2cc74-df0f-44b1-95df-0ae17cdbec83
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:14:16.525361
# Scan.end_time: 06/22/2023  17:14:50.381372
# Scan.name: CuGaO2-2nd H2 ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 28.700000000000003
# SampleHeater.voltage.setpoint: 0.06822206838981065
# SampleHeater.voltage.readback: 0.068
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.35
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.03662109375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.69227e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.77246e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.59854e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 4.74505e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.60999e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1137e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.45931e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.96707e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.953007e-05 -9.146434e-07 -2.656702e-07 -1.005247e-06 4.344212e-06 -7.228497e-04 -3.616667e-05 -3.684512e-06
10172.000000 -2.939892e-05 -9.098730e-07 -2.627616e-07 -1.001154e-06 -3.171362e-06 -7.052984e-04 -2.979089e-05 -9.832240e-06
10177.000000 -2.929983e-05 -9.108129e-07 -2.603844e-07 -9.975972e-07 5.633632e-06 -6.976143e-04 -2.289034e-05 -1.189164e-05
10182.000000 -2.930504e-05 -9.143057e-07 -2.569599e-07 -1.003401e-06 6.087019e-06 -7.144157e-04 -1.908698e-05 -7.356507e-06
10187.000000 -2.929969e-05 -9.122581e-07 -2.472859e-07 -1.006217e-06 9.167035e-07 -7.340096e-04 -3.400622e-05 -2.590433e-06
10192.000000 -2.930623e-05 -9.132798e-07 -2.268370e-07 -1.005320e-06 1.196945e-05 -7.364739e-04 -4.771964e-05 2.697172e-06
10197.000000 -2.928242e-05 -9.154786e-07 -1.689035e-07 -1.005619e-06 1.239923e-05 -7.323299e-04 -4.921029e-05 -1.221648e-05
10202.000000 -2.930767e-05 -9.211969e-07 -5.725740e-08 -1.012306e-06 9.661501e-06 -7.185783e-04 -5.035679e-05 -2.292726e-05
10207.000000 -2.928284e-05 -9.226998e-07 -2.249500e-08 -1.013983e-06 3.375482e-06 -7.152323e-04 -4.980535e-05 -1.848241e-05
10212.000000 -2.927418e-05 -9.259133e-07 -4.620748e-08 -1.017390e-06 6.373527e-06 -6.811347e-04 -4.640288e-05 -1.417182e-05
10217.000000 -2.923766e-05 -9.278567e-07 -6.009598e-08 -1.018437e-06 -8.805191e-06 -6.937515e-04 -4.207190e-05 -1.244903e-05
10222.000000 -2.918596e-05 -9.293996e-07 -7.075543e-08 -1.018183e-06 -1.102275e-05 -7.084493e-04 -4.509636e-05 -2.830633e-06
10227.000000 -2.916860e-05 -9.317623e-07 -7.794128e-08 -1.020671e-06 -9.044989e-06 -6.831852e-04 -5.196550e-05 -3.015666e-06
10232.000000 -2.911351e-05 -9.326156e-07 -8.082620e-08 -1.022012e-06 2.240685e-06 -6.535182e-04 -5.092337e-05 -1.355167e-05
10237.000000 -2.910336e-05 -9.353062e-07 -8.291397e-08 -1.023616e-06 6.858417e-06 -6.841563e-04 -5.446109e-05 -1.505515e-05
10242.000000 -2.905652e-05 -9.370247e-07 -8.436076e-08 -1.023742e-06 1.047255e-05 -7.057393e-04 -5.908888e-05 -1.132789e-05
10247.000000 -2.900328e-05 -9.388591e-07 -8.796043e-08 -1.025499e-06 1.178168e-05 -6.834873e-04 -4.251261e-05 -1.189321e-05
10252.000000 -2.898101e-05 -9.419515e-07 -8.765214e-08 -1.026963e-06 1.500301e-05 -6.696795e-04 -3.495429e-05 -6.257333e-06
10257.000000 -2.896218e-05 -9.448052e-07 -8.466416e-08 -1.028694e-06 1.457919e-05 -6.527605e-04 -3.418461e-05 -8.502826e-06
10262.000000 -2.888541e-05 -9.468808e-07 -8.390578e-08 -1.028395e-06 3.231311e-06 -6.812862e-04 -3.570282e-05 -1.366961e-05
10267.000000 -2.886567e-05 -9.478317e-07 -8.522555e-08 -1.027574e-06 8.851429e-06 -6.846181e-04 -4.499933e-05 -1.875057e-05
10272.000000 -2.889262e-05 -9.522945e-07 -8.643328e-08 -1.033002e-06 9.152529e-06 -6.953960e-04 -4.443805e-05 -1.917567e-05
10277.000000 -2.882803e-05 -9.540340e-07 -8.604856e-08 -1.032892e-06 2.180313e-05 -7.138718e-04 -5.126925e-05 -2.345670e-05
10282.000000 -2.868198e-05 -9.532960e-07 -8.482583e-08 -1.029423e-06 1.858666e-05 -7.211894e-04 -4.530878e-05 -2.084119e-05
10287.000000 -2.873611e-05 -9.581472e-07 -8.570855e-08 -1.034412e-06 1.730677e-05 -7.261433e-04 -3.493820e-05 -1.255759e-05
10292.000000 -2.864976e-05 -9.568052e-07 -8.769977e-08 -1.031418e-06 1.108105e-05 -7.045861e-04 -3.346721e-05 1.872505e-05
10297.000000 -2.865567e-05 -9.614872e-07 -8.952948e-08 -1.036721e-06 1.667585e-05 -6.829855e-04 -4.393738e-05 3.068440e-05
10302.000000 -2.868158e-05 -9.661605e-07 -8.975635e-08 -1.042126e-06 2.383481e-05 -6.848134e-04 -4.320287e-05 1.074507e-05
10307.000000 -2.862678e-05 -9.674521e-07 -8.960233e-08 -1.042477e-06 2.121534e-05 -6.976098e-04 -5.205275e-05 -1.151804e-05
10312.000000 -2.855120e-05 -9.677110e-07 -8.930335e-08 -1.041722e-06 9.474480e-06 -6.978633e-04 -6.218512e-05 1.580306e-05
10317.000000 -2.855473e-05 -9.718790e-07 -8.954782e-08 -1.047071e-06 1.005411e-05 -7.084854e-04 -5.166647e-05 2.568997e-05
10322.000000 -2.854094e-05 -9.757098e-07 -8.897455e-08 -1.051028e-06 1.579775e-05 -7.222650e-04 -4.586399e-05 3.121350e-05
10327.000000 -2.850583e-05 -9.778681e-07 -8.833200e-08 -1.054077e-06 2.094358e-05 -7.148130e-04 -4.869952e-05 2.662990e-05
10332.000000 -2.835686e-05 -9.742459e-07 -8.696847e-08 -1.051631e-06 2.135028e-05 -7.221560e-04 -5.338890e-05 -1.561446e-05
10337.000000 -2.845970e-05 -9.795844e-07 -8.735302e-08 -1.059632e-06 1.235127e-05 -7.171266e-04 -5.009944e-05 -2.457319e-05
10341.000000 -2.841426e-05 -9.797101e-07 -8.781246e-08 -1.061423e-06 8.515798e-06 -6.920110e-04 -5.121410e-05 -2.562302e-05
10344.000000 -2.838361e-05 -9.803525e-07 -8.867595e-08 -1.063597e-06 9.584483e-06 -7.058318e-04 -4.582074e-05 -1.703739e-05
10346.000000 -2.837195e-05 -9.820408e-07 -8.963634e-08 -1.066489e-06 8.278630e-07 -7.187147e-04 -5.240273e-05 -3.027227e-05
10347.000000 -2.836247e-05 -9.823587e-07 -9.035353e-08 -1.067542e-06 8.681374e-07 -7.253911e-04 -6.056663e-05 -2.602799e-05
10347.200000 -2.835428e-05 -9.808186e-07 -9.040815e-08 -1.066500e-06 6.762182e-06 -7.295327e-04 -5.751597e-05 -2.137868e-05
10347.400000 -2.832400e-05 -9.803725e-07 -9.045810e-08 -1.063859e-06 3.450447e-06 -7.325796e-04 -5.616888e-05 -2.369013e-05
10347.600000 -2.829227e-05 -9.779508e-07 -9.046662e-08 -1.062654e-06 6.293885e-06 -7.260971e-04 -5.050638e-05 -2.463188e-05
