# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1879672313905
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999634
# Detector.I1.voltage: -1649.999023
# Detector.I2.voltage: -1649.998169
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370654
# Scan.uid: 2cc5de19-701c-4d46-99f8-3038357a77d6
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:29:13.076845
# Scan.end_time: 06/22/2023  17:29:46.051657
# Scan.name: CuGaO2-2nd O2- RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 28.6
# SampleHeater.voltage.setpoint: 0.08239153489600841
# SampleHeater.voltage.readback: 0.081
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 7.82
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.95423e-09
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.07174e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.48781e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 3.7551e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 8.78135e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 2.31797e-09
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 2.2962e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.66796e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.954497e-05 -9.204566e-07 -2.678307e-07 -1.005953e-06 4.018692e-05 -5.244262e-04 -9.017319e-05 7.858903e-06
10172.000000 -2.942181e-05 -9.159629e-07 -2.650538e-07 -1.002660e-06 3.327704e-05 -5.009296e-04 -9.152733e-05 -2.281589e-05
10177.000000 -2.932329e-05 -9.183480e-07 -2.631934e-07 -9.997863e-07 2.563537e-05 -5.210367e-04 -8.117177e-05 -1.874868e-05
10182.000000 -2.929749e-05 -9.206399e-07 -2.591538e-07 -1.002718e-06 3.155278e-05 -5.251168e-04 -7.168561e-05 -1.906723e-05
10187.000000 -2.926788e-05 -9.166070e-07 -2.489855e-07 -1.002828e-06 3.334093e-05 -5.017172e-04 -6.382558e-05 -2.298231e-05
10192.000000 -2.928259e-05 -9.163549e-07 -2.278740e-07 -1.003624e-06 2.950201e-05 -4.724130e-04 -6.032271e-05 -2.265184e-05
10197.000000 -2.931743e-05 -9.218395e-07 -1.705986e-07 -1.008921e-06 3.446003e-05 -4.576701e-04 -5.676239e-05 -1.607881e-05
10202.000000 -2.929773e-05 -9.254699e-07 -5.777615e-08 -1.011764e-06 3.310149e-05 -4.543974e-04 -6.925342e-05 -1.003064e-05
10207.000000 -2.927298e-05 -9.282469e-07 -2.286457e-08 -1.013910e-06 3.658218e-05 -4.613992e-04 -6.653412e-05 -1.710218e-05
10212.000000 -2.919953e-05 -9.269356e-07 -4.648639e-08 -1.011214e-06 3.073533e-05 -4.574789e-04 -6.497064e-05 -1.667678e-05
10217.000000 -2.919554e-05 -9.307765e-07 -6.046422e-08 -1.015187e-06 3.027999e-05 -4.781567e-04 -7.438807e-05 -2.040503e-05
10222.000000 -2.917736e-05 -9.336484e-07 -7.139067e-08 -1.017981e-06 3.013991e-05 -4.832006e-04 -7.050814e-05 -1.860485e-05
10227.000000 -2.905982e-05 -9.301875e-07 -7.818191e-08 -1.012725e-06 3.072577e-05 -4.851260e-04 -6.000644e-05 -2.308427e-05
10232.000000 -2.899733e-05 -9.317396e-07 -8.116519e-08 -1.013338e-06 2.163614e-05 -4.779757e-04 -6.245454e-05 -2.778344e-05
10237.000000 -2.910997e-05 -9.410939e-07 -8.392474e-08 -1.025032e-06 1.901569e-05 -4.639165e-04 -6.073700e-05 -2.365830e-05
10242.000000 -2.906625e-05 -9.431324e-07 -8.522304e-08 -1.025445e-06 1.676405e-05 -4.387355e-04 -7.505209e-05 -2.478036e-05
10247.000000 -2.900273e-05 -9.443483e-07 -8.852683e-08 -1.025609e-06 1.393844e-05 -4.281836e-04 -6.957037e-05 -2.456520e-05
10252.000000 -2.900664e-05 -9.483498e-07 -8.861071e-08 -1.029299e-06 1.850718e-05 -4.542291e-04 -7.054328e-05 -1.918941e-05
10257.000000 -2.896468e-05 -9.509798e-07 -8.551281e-08 -1.029375e-06 1.115967e-05 -4.647862e-04 -6.968154e-05 -1.385199e-05
10262.000000 -2.889426e-05 -9.522373e-07 -8.482603e-08 -1.029241e-06 9.073580e-06 -4.576671e-04 -5.974527e-05 -1.117386e-05
10267.000000 -2.891264e-05 -9.558395e-07 -8.633107e-08 -1.031573e-06 1.424858e-05 -4.406092e-04 -6.525871e-05 -5.373732e-06
10272.000000 -2.886830e-05 -9.569278e-07 -8.723846e-08 -1.030412e-06 1.599805e-05 -4.374089e-04 -6.003101e-05 3.576094e-06
10277.000000 -2.881260e-05 -9.591697e-07 -8.709210e-08 -1.031504e-06 9.361194e-06 -4.472965e-04 -6.717826e-05 -9.134212e-06
10282.000000 -2.866830e-05 -9.585782e-07 -8.549460e-08 -1.029314e-06 6.976626e-06 -4.417274e-04 -7.323621e-05 -1.504258e-05
10287.000000 -2.876450e-05 -9.655156e-07 -8.659039e-08 -1.037882e-06 1.090351e-05 -4.204186e-04 -7.361020e-05 -1.326445e-05
10292.000000 -2.874196e-05 -9.685811e-07 -8.918541e-08 -1.040459e-06 1.572441e-05 -4.204437e-04 -5.728204e-05 -1.819423e-05
10297.000000 -2.869316e-05 -9.702694e-07 -9.076436e-08 -1.041163e-06 1.641107e-05 -4.318473e-04 -6.530873e-05 -1.475730e-05
10302.000000 -2.868334e-05 -9.737571e-07 -9.049912e-08 -1.043684e-06 2.109157e-05 -4.327770e-04 -7.094561e-05 -8.411567e-06
10307.000000 -2.864424e-05 -9.766490e-07 -9.047929e-08 -1.045379e-06 1.442884e-05 -3.987921e-04 -8.027311e-05 -2.546687e-05
10312.000000 -2.861132e-05 -9.798464e-07 -9.091972e-08 -1.047970e-06 1.250037e-05 -3.932310e-04 -6.154960e-05 -1.540875e-05
10317.000000 -2.854139e-05 -9.794802e-07 -9.002950e-08 -1.047346e-06 1.321889e-05 -3.987165e-04 -5.200445e-05 7.936730e-06
10322.000000 -2.855600e-05 -9.853670e-07 -8.992683e-08 -1.053365e-06 9.850692e-06 -3.950851e-04 -6.064714e-05 -3.442244e-06
10327.000000 -2.850708e-05 -9.877672e-07 -8.916339e-08 -1.054922e-06 1.583683e-05 -4.122036e-04 -6.428193e-05 -1.624071e-05
10332.000000 -2.841662e-05 -9.889246e-07 -8.839568e-08 -1.056875e-06 2.068347e-05 -4.178613e-04 -6.733072e-05 -9.548026e-06
10337.000000 -2.850011e-05 -9.951349e-07 -8.884673e-08 -1.063172e-06 7.371908e-06 -4.367352e-04 -6.780470e-05 -3.075724e-05
10341.000000 -2.844779e-05 -9.949143e-07 -8.899895e-08 -1.064264e-06 1.124758e-06 -4.507801e-04 -5.992425e-05 -2.644739e-05
10344.000000 -2.841541e-05 -9.946936e-07 -9.006688e-08 -1.065851e-06 -5.542480e-06 -4.408295e-04 -6.423968e-05 -2.416142e-05
10346.000000 -2.840339e-05 -9.961312e-07 -9.138167e-08 -1.068126e-06 2.628903e-06 -4.599544e-04 -6.541203e-05 -2.825983e-05
10347.000000 -2.834462e-05 -9.932818e-07 -9.118941e-08 -1.065095e-06 2.731691e-07 -4.866545e-04 -6.542721e-05 -3.248239e-05
10347.200000 -2.834797e-05 -9.926691e-07 -9.112831e-08 -1.066220e-06 -2.390899e-06 -4.880764e-04 -6.945548e-05 -2.586997e-05
10347.400000 -2.835665e-05 -9.958430e-07 -9.127364e-08 -1.066433e-06 5.141422e-06 -4.857810e-04 -6.754881e-05 -2.255299e-05
