# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.28228976633847
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001953
# Detector.I1.voltage: -1650.000366
# Detector.I2.voltage: -1650.002441
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370656
# Scan.uid: 084ba5df-33da-45d4-a80e-c1c0f0b00231
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:31:10.011095
# Scan.end_time: 06/22/2023  17:31:45.046691
# Scan.name: CuGaO2-2nd O2- RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 28.3
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.73
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.18167e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.38048e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 1.15746e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 3.00193e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 6.13328e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 4.95567e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6469e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 4.01061e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.963928e-05 -9.383529e-07 -2.727968e-07 -1.012336e-06 3.186174e-05 -5.255819e-04 -7.441738e-05 -1.766851e-05
10172.000000 -2.953989e-05 -9.349820e-07 -2.706241e-07 -1.010978e-06 2.940508e-05 -5.024089e-04 -6.818602e-05 -1.816328e-05
10177.000000 -2.942898e-05 -9.348224e-07 -2.678418e-07 -1.007025e-06 3.417947e-05 -4.980226e-04 -6.616422e-05 -2.090849e-05
10182.000000 -2.939352e-05 -9.361422e-07 -2.633301e-07 -1.008881e-06 3.313038e-05 -5.368224e-04 -7.396453e-05 -1.853657e-05
10187.000000 -2.942534e-05 -9.366508e-07 -2.541976e-07 -1.014017e-06 3.959150e-05 -5.502066e-04 -6.923307e-05 -2.259890e-05
10192.000000 -2.946139e-05 -9.387752e-07 -2.331417e-07 -1.016442e-06 4.399457e-05 -5.356189e-04 -7.098063e-05 -2.230897e-05
10197.000000 -2.945945e-05 -9.424004e-07 -1.736535e-07 -1.018268e-06 4.882744e-05 -5.197784e-04 -7.426415e-05 -2.808823e-05
10202.000000 -2.943632e-05 -9.455911e-07 -5.853474e-08 -1.020854e-06 5.162241e-05 -4.821053e-04 -6.578995e-05 -3.019690e-05
10207.000000 -2.941120e-05 -9.483431e-07 -2.349677e-08 -1.023129e-06 4.643311e-05 -4.544059e-04 -6.333811e-05 -3.069771e-05
10212.000000 -2.939521e-05 -9.515992e-07 -4.782158e-08 -1.025677e-06 4.209163e-05 -4.724121e-04 -7.125044e-05 -3.283319e-05
10217.000000 -2.935345e-05 -9.535436e-07 -6.200644e-08 -1.026012e-06 3.459131e-05 -4.982747e-04 -6.648795e-05 -2.076083e-05
10222.000000 -2.920015e-05 -9.482217e-07 -7.200642e-08 -1.018068e-06 4.504192e-05 -5.011915e-04 -5.992495e-05 -1.376837e-05
10227.000000 -2.914493e-05 -9.489866e-07 -7.926073e-08 -1.018067e-06 4.353318e-05 -5.000967e-04 -6.934819e-05 -1.756036e-05
10232.000000 -2.916706e-05 -9.549906e-07 -8.269930e-08 -1.025230e-06 4.572003e-05 -5.129683e-04 -7.058808e-05 -1.909527e-05
10237.000000 -2.910658e-05 -9.533985e-07 -8.449193e-08 -1.023499e-06 4.658523e-05 -5.331250e-04 -6.135772e-05 -2.003772e-05
10242.000000 -2.900306e-05 -9.522539e-07 -8.560551e-08 -1.019256e-06 4.804422e-05 -5.259778e-04 -6.589999e-05 -1.341557e-06
10247.000000 -2.904067e-05 -9.592877e-07 -9.000523e-08 -1.027476e-06 5.078370e-05 -5.253998e-04 -6.795804e-05 -1.068219e-05
10252.000000 -2.904586e-05 -9.634344e-07 -9.017671e-08 -1.031427e-06 5.923788e-05 -5.293590e-04 -6.574362e-05 -1.557405e-05
10257.000000 -2.884335e-05 -9.559425e-07 -8.590673e-08 -1.019488e-06 6.158856e-05 -5.441220e-04 -6.014295e-05 -1.620400e-05
10262.000000 -2.882699e-05 -9.606536e-07 -8.543559e-08 -1.024212e-06 5.732265e-05 -5.490931e-04 -5.593758e-05 -2.352754e-05
10267.000000 -2.897493e-05 -9.721825e-07 -8.774555e-08 -1.036872e-06 4.594917e-05 -5.609870e-04 -6.279807e-05 -3.587991e-05
10272.000000 -2.898059e-05 -9.765004e-07 -8.875152e-08 -1.040832e-06 4.839197e-05 -5.483751e-04 -6.793878e-05 -3.923183e-05
10277.000000 -2.892736e-05 -9.782154e-07 -8.842558e-08 -1.041678e-06 4.818336e-05 -5.176819e-04 -6.429497e-05 -4.657518e-05
10282.000000 -2.876872e-05 -9.774837e-07 -8.716014e-08 -1.037501e-06 4.982262e-05 -5.210985e-04 -5.716660e-05 -4.189776e-05
10287.000000 -2.883327e-05 -9.824844e-07 -8.812655e-08 -1.043166e-06 4.518783e-05 -5.156516e-04 -6.318216e-05 -4.056757e-05
10292.000000 -2.880970e-05 -9.854797e-07 -9.077170e-08 -1.045823e-06 3.568436e-05 -5.295451e-04 -6.504151e-05 -4.546027e-05
10297.000000 -2.878259e-05 -9.888425e-07 -9.237684e-08 -1.047376e-06 3.546182e-05 -5.363616e-04 -6.040013e-05 -2.506865e-05
10302.000000 -2.868967e-05 -9.867313e-07 -9.157170e-08 -1.042826e-06 3.886543e-05 -5.506465e-04 -6.055266e-05 1.870839e-07
10307.000000 -2.870076e-05 -9.924676e-07 -9.201895e-08 -1.048863e-06 3.809598e-05 -5.645978e-04 -5.990713e-05 -2.995879e-06
10312.000000 -2.864824e-05 -9.942853e-07 -9.198611e-08 -1.049897e-06 4.668253e-05 -5.732592e-04 -6.653234e-05 -3.849998e-05
10317.000000 -2.866660e-05 -9.994919e-07 -9.198113e-08 -1.056360e-06 4.874889e-05 -5.613386e-04 -7.532450e-05 -4.125683e-05
10322.000000 -2.864258e-05 -1.002554e-06 -9.158358e-08 -1.059903e-06 4.102699e-05 -5.768747e-04 -7.761513e-05 -1.643777e-05
10327.000000 -2.859228e-05 -1.004180e-06 -9.069050e-08 -1.061650e-06 3.774602e-05 -5.563350e-04 -8.122380e-05 -1.849144e-05
10332.000000 -2.845662e-05 -1.000995e-06 -8.948448e-08 -1.059766e-06 4.567296e-05 -5.177385e-04 -8.211419e-05 -3.707531e-05
10337.000000 -2.854401e-05 -1.006382e-06 -8.981046e-08 -1.067391e-06 4.108880e-05 -4.997949e-04 -7.003130e-05 -2.657432e-05
10341.000000 -2.851362e-05 -1.008000e-06 -9.033220e-08 -1.071027e-06 4.191762e-05 -5.084952e-04 -7.063912e-05 -1.896827e-05
10344.000000 -2.848039e-05 -1.008203e-06 -9.126124e-08 -1.072796e-06 4.772646e-05 -4.869837e-04 -8.367607e-05 8.884028e-06
10346.000000 -2.844803e-05 -1.008628e-06 -9.196584e-08 -1.073545e-06 4.471416e-05 -4.817864e-04 -9.254319e-05 -1.214270e-05
10347.000000 -2.843334e-05 -1.008633e-06 -9.269744e-08 -1.073819e-06 3.953135e-05 -4.879969e-04 -9.411454e-05 -4.890723e-05
10347.200000 -2.842079e-05 -1.008186e-06 -9.275035e-08 -1.073468e-06 3.881470e-05 -5.081797e-04 -9.026587e-05 -5.006172e-05
10347.400000 -2.843628e-05 -1.008140e-06 -9.295544e-08 -1.074237e-06 4.397650e-05 -4.971439e-04 -8.904821e-05 -5.087550e-05
