# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.07798302701843
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001587
# Detector.I1.voltage: -1650.002075
# Detector.I2.voltage: -1650.000488
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370667
# Scan.uid: 8702130e-6575-42ea-bef9-b490abccb907
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  17:52:38.097596
# Scan.end_time: 06/22/2023  17:53:13.111608
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 123.35445013552796
# SampleHeater.temperature2.readback: 119.30000000000001
# SampleHeater.voltage.setpoint: 0.5217354218864044
# SampleHeater.voltage.readback: 0.517
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.56
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.16507e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.26653e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.25177e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.99321e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.29206e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 7.82245e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6684e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.84656e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.438620e-05 -4.905844e-07 -3.253127e-07 -2.711617e-07 6.896243e-06 -7.299063e-04 -7.905934e-05 4.497698e-05
 8784.000000 -3.441445e-05 -4.896506e-07 -3.244867e-07 -2.721525e-07 -2.679688e-06 -7.527201e-04 -7.654828e-05 4.193269e-05
 8789.000000 -3.431608e-05 -4.891975e-07 -3.244803e-07 -2.721951e-07 -7.325706e-06 -7.544200e-04 -7.730168e-05 4.602818e-05
 8794.000000 -3.422683e-05 -4.884617e-07 -3.243966e-07 -2.723087e-07 -1.167183e-05 -7.526297e-04 -8.008114e-05 4.342581e-05
 8799.000000 -3.373373e-05 -4.824499e-07 -3.205275e-07 -2.691915e-07 -6.738079e-06 -7.449395e-04 -7.375198e-05 4.537525e-05
 8804.000000 -3.409697e-05 -4.877521e-07 -3.242253e-07 -2.724221e-07 -5.249710e-06 -7.350418e-04 -7.465221e-05 4.257616e-05
 8809.000000 -3.388275e-05 -4.865210e-07 -3.235714e-07 -2.709728e-07 -1.226394e-06 -7.665255e-04 -7.935132e-05 3.791043e-05
 8814.000000 -3.386043e-05 -4.889204e-07 -3.255897e-07 -2.711665e-07 3.447285e-06 -7.509996e-04 -7.724510e-05 4.278103e-05
 8819.000000 -3.385000e-05 -4.908903e-07 -3.271598e-07 -2.715309e-07 -6.585887e-07 -7.539493e-04 -7.664649e-05 4.993088e-05
 8824.000000 -3.387323e-05 -4.937480e-07 -3.295934e-07 -2.724901e-07 2.821497e-06 -7.115354e-04 -6.832037e-05 4.366109e-05
 8829.000000 -3.379617e-05 -4.949759e-07 -3.306418e-07 -2.727421e-07 -3.996476e-06 -6.984625e-04 -6.442617e-05 4.087148e-05
 8834.000000 -3.370242e-05 -4.956658e-07 -3.311371e-07 -2.731606e-07 -1.061248e-05 -7.154751e-04 -7.863996e-05 3.383293e-05
 8839.000000 -3.359408e-05 -4.965149e-07 -3.316259e-07 -2.732117e-07 -1.002531e-05 -7.484697e-04 -8.207350e-05 2.999658e-05
 8844.000000 -3.346407e-05 -4.975397e-07 -3.326575e-07 -2.730076e-07 1.062430e-06 -7.365399e-04 -8.418848e-05 3.807523e-05
 8849.000000 -3.329140e-05 -4.971862e-07 -3.326369e-07 -2.726084e-07 -2.659960e-06 -7.348613e-04 -7.301112e-05 4.306330e-05
 8854.000000 -3.315739e-05 -4.971845e-07 -3.329806e-07 -2.726832e-07 1.579814e-07 -7.556752e-04 -8.143971e-05 4.014466e-05
 8859.000000 -3.312847e-05 -4.997341e-07 -3.347860e-07 -2.737300e-07 3.816941e-06 -7.760214e-04 -7.735986e-05 3.563271e-05
 8864.000000 -3.303773e-05 -5.011962e-07 -3.359926e-07 -2.741089e-07 3.578354e-06 -7.544562e-04 -7.985434e-05 3.567251e-05
 8869.000000 -3.289171e-05 -5.024516e-07 -3.369873e-07 -2.735323e-07 -8.264031e-07 -7.319623e-04 -8.689482e-05 3.412771e-05
 8874.000000 -3.271662e-05 -5.028486e-07 -3.375237e-07 -2.726444e-07 9.035076e-07 -7.147236e-04 -8.122492e-05 3.521032e-05
 8879.000000 -3.249377e-05 -5.017525e-07 -3.369159e-07 -2.717399e-07 6.691792e-06 -7.372529e-04 -8.025020e-05 2.260207e-05
 8884.000000 -3.225850e-05 -5.001411e-07 -3.357826e-07 -2.709937e-07 -1.457834e-06 -7.454090e-04 -8.079120e-05 2.409859e-05
 8889.000000 -3.214579e-05 -5.020554e-07 -3.375027e-07 -2.714429e-07 -3.352961e-06 -7.845043e-04 -7.466138e-05 3.305426e-05
 8894.000000 -3.233486e-05 -5.075311e-07 -3.416334e-07 -2.729916e-07 -5.117686e-06 -7.648976e-04 -8.426766e-05 4.285513e-05
 8899.000000 -3.220097e-05 -5.086305e-07 -3.428572e-07 -2.722323e-07 -1.911605e-06 -7.713595e-04 -8.358044e-05 3.833084e-05
 8904.000000 -3.206996e-05 -5.104019e-07 -3.441170e-07 -2.716678e-07 -4.562492e-06 -7.566454e-04 -7.993409e-05 3.060026e-05
 8909.000000 -3.174844e-05 -5.084274e-07 -3.426458e-07 -2.696555e-07 -6.732424e-06 -7.530456e-04 -7.598477e-05 3.646181e-05
 8914.000000 -3.159899e-05 -5.101109e-07 -3.438273e-07 -2.689012e-07 -1.692461e-06 -7.592277e-04 -7.570224e-05 3.391711e-05
 8919.000000 -3.153124e-05 -5.121373e-07 -3.454812e-07 -2.691505e-07 -3.287603e-07 -7.756467e-04 -7.591148e-05 2.776473e-05
 8924.000000 -3.139419e-05 -5.132371e-07 -3.463277e-07 -2.690976e-07 -1.183295e-05 -7.995232e-04 -7.196178e-05 2.826551e-05
 8929.000000 -3.141547e-05 -5.159229e-07 -3.482001e-07 -2.705691e-07 -8.046120e-06 -8.058615e-04 -6.657796e-05 2.931884e-05
 8934.000000 -3.137398e-05 -5.173742e-07 -3.490655e-07 -2.714822e-07 -1.155847e-05 -7.790130e-04 -7.892102e-05 2.606732e-05
 8939.000000 -3.122607e-05 -5.170783e-07 -3.488025e-07 -2.709943e-07 -7.859168e-06 -7.677694e-04 -7.969547e-05 3.341284e-05
 8944.000000 -3.111843e-05 -5.171027e-07 -3.488175e-07 -2.710454e-07 -7.319063e-06 -7.394134e-04 -6.735199e-05 3.402614e-05
 8949.000000 -3.098582e-05 -5.167435e-07 -3.484363e-07 -2.709867e-07 -7.950351e-06 -7.307701e-04 -7.126433e-05 4.284968e-05
 8953.000000 -3.090518e-05 -5.181666e-07 -3.491581e-07 -2.711030e-07 -7.591539e-06 -7.256207e-04 -7.737015e-05 3.869650e-05
 8956.000000 -3.086487e-05 -5.187670e-07 -3.490171e-07 -2.714655e-07 -9.044259e-06 -7.460628e-04 -7.624149e-05 4.621587e-05
 8958.000000 -3.084762e-05 -5.182375e-07 -3.480922e-07 -2.721461e-07 -6.781881e-06 -7.261637e-04 -7.306274e-05 5.032694e-05
 8959.000000 -3.081913e-05 -5.179007e-07 -3.475669e-07 -2.719304e-07 -1.194680e-05 -7.199710e-04 -8.139871e-05 4.431372e-05
 8959.200000 -3.080700e-05 -5.174041e-07 -3.470588e-07 -2.717885e-07 -4.552557e-06 -7.249700e-04 -7.946927e-05 3.901953e-05
 8959.400000 -3.077048e-05 -5.169194e-07 -3.466459e-07 -2.714609e-07 -7.924658e-06 -7.313072e-04 -7.510246e-05 4.360793e-05
