# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.57168303317263
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998535
# Detector.I1.voltage: -1649.999878
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370675
# Scan.uid: 2f844eb2-c3f5-49fa-aa78-1f9ace948c34
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  18:00:37.520904
# Scan.end_time: 06/22/2023  18:01:09.816062
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 205.63765019239526
# SampleHeater.temperature2.readback: 207.10000000000002
# SampleHeater.voltage.setpoint: 0.5743212345355408
# SampleHeater.voltage.readback: 0.607
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.4
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.84593e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.27599e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.59419e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.97372e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.02995e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 6.23403e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6684e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.7455e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.446194e-05 -4.696982e-07 -3.115924e-07 -2.711876e-07 -2.271392e-05 -7.532373e-04 -4.979494e-05 6.366832e-05
 8784.000000 -3.453508e-05 -4.698230e-07 -3.117521e-07 -2.724321e-07 -2.230459e-05 -7.587466e-04 -5.926743e-05 5.900666e-05
 8789.000000 -3.445970e-05 -4.687579e-07 -3.111586e-07 -2.727769e-07 -1.446027e-05 -7.644116e-04 -5.829947e-05 6.121935e-05
 8794.000000 -3.428845e-05 -4.670427e-07 -3.102501e-07 -2.722005e-07 -1.468800e-05 -7.577001e-04 -5.116178e-05 6.514595e-05
 8799.000000 -3.392666e-05 -4.628896e-07 -3.079029e-07 -2.699675e-07 -1.990054e-05 -7.500547e-04 -5.391082e-05 6.078813e-05
 8804.000000 -3.422150e-05 -4.679790e-07 -3.114314e-07 -2.726327e-07 -1.479206e-05 -7.483852e-04 -6.063822e-05 6.816126e-05
 8809.000000 -3.414011e-05 -4.677101e-07 -3.112039e-07 -2.725251e-07 -1.312713e-05 -7.560816e-04 -5.901486e-05 7.594918e-05
 8814.000000 -3.378956e-05 -4.650107e-07 -3.098823e-07 -2.699756e-07 -1.158159e-05 -7.334029e-04 -5.713131e-05 6.313283e-05
 8819.000000 -3.389504e-05 -4.691975e-07 -3.125452e-07 -2.715149e-07 -9.614502e-06 -7.406000e-04 -5.927236e-05 6.075183e-05
 8824.000000 -3.388537e-05 -4.713470e-07 -3.141742e-07 -2.721864e-07 -1.761342e-05 -7.615867e-04 -5.942526e-05 7.120122e-05
 8829.000000 -3.375445e-05 -4.709315e-07 -3.142402e-07 -2.722296e-07 -6.926750e-06 -7.416663e-04 -5.833208e-05 7.120511e-05
 8834.000000 -3.371280e-05 -4.723782e-07 -3.154719e-07 -2.726276e-07 -3.918103e-06 -7.439464e-04 -5.310638e-05 7.465796e-05
 8839.000000 -3.360688e-05 -4.739481e-07 -3.168739e-07 -2.727987e-07 -9.683371e-07 -7.468345e-04 -5.349237e-05 7.700075e-05
 8844.000000 -3.348863e-05 -4.757841e-07 -3.182502e-07 -2.728328e-07 4.059789e-06 -7.332880e-04 -5.367873e-05 8.257381e-05
 8849.000000 -3.333629e-05 -4.762929e-07 -3.186064e-07 -2.727379e-07 2.843272e-06 -7.323620e-04 -5.893444e-05 7.525540e-05
 8854.000000 -3.321890e-05 -4.765377e-07 -3.190224e-07 -2.730114e-07 -1.752022e-08 -7.381154e-04 -6.005139e-05 8.233820e-05
 8859.000000 -3.307273e-05 -4.775393e-07 -3.198316e-07 -2.727739e-07 4.258784e-06 -7.373966e-04 -5.798630e-05 8.549292e-05
 8864.000000 -3.293206e-05 -4.784825e-07 -3.208501e-07 -2.726420e-07 -4.685726e-06 -7.485257e-04 -5.629473e-05 7.851965e-05
 8869.000000 -3.291034e-05 -4.813517e-07 -3.232480e-07 -2.730816e-07 -5.275526e-06 -7.560667e-04 -5.872123e-05 7.512547e-05
 8874.000000 -3.267498e-05 -4.813413e-07 -3.232337e-07 -2.720761e-07 -4.943310e-06 -7.588152e-04 -5.584475e-05 7.420584e-05
 8879.000000 -3.250671e-05 -4.813477e-07 -3.232908e-07 -2.717078e-07 -8.377205e-06 -7.430992e-04 -5.288832e-05 6.829114e-05
 8884.000000 -3.234418e-05 -4.809552e-07 -3.234500e-07 -2.716606e-07 -1.166550e-06 -7.419356e-04 -5.146151e-05 6.667694e-05
 8889.000000 -3.215275e-05 -4.813522e-07 -3.237350e-07 -2.715273e-07 1.842985e-08 -7.207096e-04 -5.263606e-05 6.112608e-05
 8894.000000 -3.220791e-05 -4.851637e-07 -3.262215e-07 -2.721182e-07 3.112979e-06 -7.150121e-04 -5.670494e-05 6.350769e-05
 8899.000000 -3.210686e-05 -4.865224e-07 -3.277954e-07 -2.719490e-07 -2.711321e-08 -7.286206e-04 -4.300078e-05 7.554456e-05
 8904.000000 -3.205405e-05 -4.890874e-07 -3.297734e-07 -2.718133e-07 -4.405983e-06 -7.302431e-04 -4.876602e-05 7.019586e-05
 8909.000000 -3.188768e-05 -4.890674e-07 -3.298158e-07 -2.706676e-07 -7.260705e-06 -7.217242e-04 -4.827455e-05 7.732175e-05
 8914.000000 -3.164924e-05 -4.868331e-07 -3.285070e-07 -2.692980e-07 -7.680442e-06 -7.098279e-04 -4.629902e-05 7.755075e-05
 8919.000000 -3.129896e-05 -4.821735e-07 -3.252352e-07 -2.669370e-07 -7.508456e-06 -7.164587e-04 -3.911312e-05 7.754268e-05
 8924.000000 -3.125842e-05 -4.862170e-07 -3.279234e-07 -2.679455e-07 -5.098003e-06 -7.115341e-04 -4.604400e-05 7.689399e-05
 8929.000000 -3.136660e-05 -4.916265e-07 -3.318647e-07 -2.699260e-07 -9.372031e-06 -7.091637e-04 -5.247416e-05 7.620869e-05
 8934.000000 -3.130916e-05 -4.929636e-07 -3.326845e-07 -2.705532e-07 -4.396947e-06 -7.249204e-04 -5.060965e-05 7.878478e-05
 8939.000000 -3.127624e-05 -4.956199e-07 -3.345601e-07 -2.714477e-07 -6.988108e-06 -7.134818e-04 -4.626292e-05 7.011674e-05
 8944.000000 -3.115142e-05 -4.958402e-07 -3.346059e-07 -2.715465e-07 -8.001919e-06 -6.854392e-04 -4.765290e-05 6.545797e-05
 8949.000000 -3.101016e-05 -4.953435e-07 -3.340158e-07 -2.713294e-07 -6.596772e-07 -6.848600e-04 -4.833283e-05 7.975711e-05
 8953.000000 -3.092457e-05 -4.961727e-07 -3.343278e-07 -2.711231e-07 8.429172e-08 -6.690590e-04 -4.198002e-05 7.992938e-05
 8956.000000 -3.090343e-05 -4.960632e-07 -3.338967e-07 -2.719647e-07 -6.194182e-06 -7.027093e-04 -4.817449e-05 7.608947e-05
 8958.000000 -3.086979e-05 -4.956407e-07 -3.332533e-07 -2.723930e-07 2.026897e-06 -7.201136e-04 -5.133661e-05 6.938950e-05
 8959.000000 -3.084171e-05 -4.964802e-07 -3.335986e-07 -2.724222e-07 1.154443e-05 -7.104410e-04 -3.880299e-05 6.966817e-05
 8959.200000 -3.083862e-05 -4.968011e-07 -3.337546e-07 -2.723388e-07 6.376373e-06 -7.088660e-04 -3.448654e-05 6.502190e-05
 8959.400000 -3.081786e-05 -4.961869e-07 -3.334499e-07 -2.721494e-07 2.913294e-06 -7.021181e-04 -3.764140e-05 6.130871e-05
