# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.4377840999519
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998657
# Detector.I1.voltage: -1650.000366
# Detector.I2.voltage: -1649.99939
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370683
# Scan.uid: 65c366d9-27d9-4618-8dcf-387f7d44d57a
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  18:08:34.994140
# Scan.end_time: 06/22/2023  18:09:08.516059
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 287.63572461976236
# SampleHeater.temperature2.readback: 290.40000000000003
# SampleHeater.voltage.setpoint: 0.6774648096390317
# SampleHeater.voltage.readback: 0.6980000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.27
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.57421e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.28674e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.37425e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 3.00193e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.87737e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.54205e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6942e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.75722e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.416298e-05 -3.956431e-07 -2.620566e-07 -2.683451e-07 -8.529846e-06 -6.922277e-04 -4.878671e-05 1.816716e-05
 8784.000000 -3.411553e-05 -3.857660e-07 -2.557929e-07 -2.683241e-07 1.218759e-06 -6.883179e-04 -5.258797e-05 1.439142e-05
 8789.000000 -3.403348e-05 -3.802908e-07 -2.521906e-07 -2.685006e-07 1.314795e-06 -7.197207e-04 -4.992961e-05 1.853434e-05
 8794.000000 -3.395007e-05 -3.812073e-07 -2.529489e-07 -2.690057e-07 -7.894775e-06 -7.326805e-04 -3.720239e-05 2.331703e-05
 8799.000000 -3.359345e-05 -3.809699e-07 -2.529508e-07 -2.664860e-07 -7.843677e-06 -7.291129e-04 -4.788418e-05 3.223577e-05
 8804.000000 -3.393310e-05 -3.877375e-07 -2.577148e-07 -2.691874e-07 -1.133989e-05 -7.356311e-04 -5.122823e-05 2.861812e-05
 8809.000000 -3.391547e-05 -3.911445e-07 -2.603087e-07 -2.698386e-07 -3.064344e-07 -7.326616e-04 -5.086840e-05 1.852396e-05
 8814.000000 -3.374948e-05 -3.923514e-07 -2.610751e-07 -2.691445e-07 -2.279503e-06 -7.435883e-04 -5.647606e-05 2.251266e-05
 8819.000000 -3.378460e-05 -3.970528e-07 -2.644973e-07 -2.697815e-07 -7.551952e-06 -7.607443e-04 -4.639227e-05 1.619902e-05
 8824.000000 -3.373659e-05 -4.001068e-07 -2.665975e-07 -2.702375e-07 -1.454168e-05 -7.221578e-04 -4.845201e-05 2.305825e-05
 8829.000000 -3.370557e-05 -4.038638e-07 -2.691264e-07 -2.709288e-07 -1.193846e-05 -7.194645e-04 -4.926937e-05 1.892760e-05
 8834.000000 -3.363599e-05 -4.061631e-07 -2.711867e-07 -2.713631e-07 -1.440013e-05 -7.358862e-04 -5.076696e-05 1.472125e-05
 8839.000000 -3.345311e-05 -4.069429e-07 -2.718423e-07 -2.710820e-07 -1.111856e-05 -7.392396e-04 -5.381678e-05 4.201357e-05
 8844.000000 -3.339839e-05 -4.106602e-07 -2.746095e-07 -2.715467e-07 -9.213938e-06 -7.247528e-04 -5.166742e-05 5.523792e-05
 8849.000000 -3.334073e-05 -4.139402e-07 -2.771005e-07 -2.720744e-07 -1.124573e-05 -7.331292e-04 -3.782491e-05 5.998595e-05
 8854.000000 -3.317924e-05 -4.153463e-07 -2.782065e-07 -2.716974e-07 -1.537509e-05 -7.404910e-04 -4.214503e-05 5.508392e-05
 8859.000000 -3.305390e-05 -4.172982e-07 -2.794675e-07 -2.717099e-07 -1.332427e-05 -7.352915e-04 -4.577959e-05 5.552524e-05
 8864.000000 -3.302379e-05 -4.213887e-07 -2.822693e-07 -2.724094e-07 -1.181532e-05 -7.046783e-04 -5.169667e-05 5.439630e-05
 8869.000000 -3.291449e-05 -4.236477e-07 -2.841178e-07 -2.722158e-07 -1.392894e-05 -7.275358e-04 -4.223574e-05 6.130287e-05
 8874.000000 -3.283016e-05 -4.262544e-07 -2.858446e-07 -2.724360e-07 -1.010874e-05 -7.573368e-04 -4.477922e-05 6.373957e-05
 8879.000000 -3.275426e-05 -4.292670e-07 -2.883392e-07 -2.725350e-07 -7.135511e-06 -7.568502e-04 -3.907734e-05 5.644395e-05
 8884.000000 -3.247536e-05 -4.285462e-07 -2.882196e-07 -2.711134e-07 2.756965e-06 -7.462554e-04 -4.163653e-05 5.284981e-05
 8889.000000 -3.225622e-05 -4.304415e-07 -2.893381e-07 -2.709050e-07 -9.389210e-07 -7.385685e-04 -3.094303e-05 4.815025e-05
 8894.000000 -3.242123e-05 -4.359580e-07 -2.931215e-07 -2.724114e-07 -1.982568e-06 -7.294847e-04 -3.494179e-05 4.568003e-05
 8899.000000 -3.231453e-05 -4.384108e-07 -2.950040e-07 -2.722441e-07 6.725743e-06 -7.093287e-04 -4.340802e-05 4.629612e-05
 8904.000000 -3.219200e-05 -4.404993e-07 -2.963743e-07 -2.718142e-07 5.321143e-06 -7.074468e-04 -4.497500e-05 5.001016e-05
 8909.000000 -3.203556e-05 -4.416623e-07 -2.976306e-07 -2.709600e-07 5.567050e-06 -7.114968e-04 -5.197012e-05 4.455111e-05
 8914.000000 -3.179557e-05 -4.423257e-07 -2.982353e-07 -2.694637e-07 1.161877e-05 -7.240276e-04 -4.298287e-05 4.457772e-05
 8919.000000 -3.170386e-05 -4.440930e-07 -2.994337e-07 -2.694646e-07 -6.816858e-08 -7.205399e-04 -4.971932e-05 3.283497e-05
 8924.000000 -3.153515e-05 -4.449496e-07 -3.001042e-07 -2.694123e-07 -1.433443e-06 -7.151100e-04 -4.838561e-05 1.475195e-05
 8929.000000 -3.158415e-05 -4.483589e-07 -3.022595e-07 -2.713148e-07 -4.962329e-06 -7.274681e-04 -4.470710e-05 1.687741e-05
 8934.000000 -3.148285e-05 -4.488957e-07 -3.027777e-07 -2.714567e-07 -4.118734e-06 -7.341480e-04 -5.229500e-05 1.855393e-05
 8939.000000 -3.135244e-05 -4.500150e-07 -3.035977e-07 -2.715618e-07 -5.407770e-06 -7.364969e-04 -5.334992e-05 1.381355e-05
 8944.000000 -3.123216e-05 -4.508255e-07 -3.041049e-07 -2.716610e-07 -6.099533e-06 -7.063829e-04 -4.070108e-05 8.095182e-06
 8949.000000 -3.108957e-05 -4.502520e-07 -3.035515e-07 -2.709451e-07 2.341325e-06 -6.855952e-04 -3.122741e-05 1.615157e-05
 8953.000000 -3.101446e-05 -4.508811e-07 -3.036911e-07 -2.714344e-07 1.358160e-05 -6.733027e-04 -3.395361e-05 1.388793e-05
 8956.000000 -3.097258e-05 -4.516701e-07 -3.038942e-07 -2.719731e-07 6.460600e-06 -6.556426e-04 -4.826828e-05 1.369237e-05
 8958.000000 -3.093927e-05 -4.516177e-07 -3.033798e-07 -2.724879e-07 -1.811900e-06 -6.767965e-04 -4.745793e-05 1.810051e-05
 8959.000000 -3.091285e-05 -4.519347e-07 -3.033650e-07 -2.725582e-07 -5.538756e-07 -6.779430e-04 -4.615752e-05 1.007806e-05
 8959.200000 -3.091638e-05 -4.525325e-07 -3.037540e-07 -2.725943e-07 9.618979e-07 -6.873774e-04 -4.702775e-05 6.247115e-06
 8959.400000 -3.090283e-05 -4.527705e-07 -3.037672e-07 -2.726649e-07 3.393847e-06 -6.702347e-04 -5.978756e-05 -2.481547e-06
