# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1769560981471
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999146
# Detector.I1.voltage: -1649.998413
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370691
# Scan.uid: d8b33c4c-cdf0-419c-a649-4c2a409b09cc
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  18:16:31.107166
# Scan.end_time: 06/22/2023  18:17:07.328285
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 369.3142166170445
# SampleHeater.temperature2.readback: 367.20000000000005
# SampleHeater.voltage.setpoint: 0.9355614771829591
# SampleHeater.voltage.readback: 0.921
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.25
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.03772e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.24761e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.11496e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.96229e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.80018e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.21343e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6727e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.60783e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.449233e-05 -4.048668e-07 -2.683035e-07 -2.713599e-07 6.810271e-06 -7.483472e-04 -5.932178e-05 6.273974e-05
 8784.000000 -3.454223e-05 -4.017663e-07 -2.664665e-07 -2.725015e-07 -2.048918e-06 -7.573187e-04 -6.014653e-05 6.171784e-05
 8789.000000 -3.441875e-05 -3.974870e-07 -2.636944e-07 -2.724971e-07 -5.755303e-06 -7.783374e-04 -6.067716e-05 5.985018e-05
 8794.000000 -3.432433e-05 -3.974861e-07 -2.636530e-07 -2.724079e-07 7.743923e-06 -7.871727e-04 -6.314495e-05 6.300121e-05
 8799.000000 -3.392465e-05 -3.926692e-07 -2.609253e-07 -2.697393e-07 1.107817e-05 -7.772876e-04 -5.711177e-05 6.877546e-05
 8804.000000 -3.420881e-05 -3.947915e-07 -2.625535e-07 -2.725265e-07 7.422545e-06 -7.538502e-04 -5.304615e-05 6.719759e-05
 8809.000000 -3.411476e-05 -3.928486e-07 -2.613942e-07 -2.725247e-07 1.488041e-06 -7.508791e-04 -5.319522e-05 5.882129e-05
 8814.000000 -3.392993e-05 -3.901904e-07 -2.599342e-07 -2.718434e-07 6.869647e-06 -7.684699e-04 -5.628277e-05 5.261394e-05
 8819.000000 -3.390706e-05 -3.893641e-07 -2.594239e-07 -2.720657e-07 7.498364e-06 -7.642218e-04 -5.815860e-05 5.684064e-05
 8824.000000 -3.377446e-05 -3.883290e-07 -2.588133e-07 -2.715060e-07 4.741430e-06 -7.417113e-04 -6.545080e-05 5.631965e-05
 8829.000000 -3.350625e-05 -3.852868e-07 -2.570791e-07 -2.702642e-07 3.334480e-07 -7.252811e-04 -6.115041e-05 5.578350e-05
 8834.000000 -3.360230e-05 -3.881073e-07 -2.590178e-07 -2.721676e-07 6.415460e-06 -7.276208e-04 -6.084502e-05 5.673779e-05
 8839.000000 -3.349388e-05 -3.898980e-07 -2.601587e-07 -2.726932e-07 -4.622571e-06 -7.253623e-04 -6.145556e-05 6.234800e-05
 8844.000000 -3.340357e-05 -3.927597e-07 -2.622947e-07 -2.732257e-07 -2.970273e-06 -7.297848e-04 -5.422919e-05 6.110277e-05
 8849.000000 -3.330399e-05 -3.951908e-07 -2.644712e-07 -2.734708e-07 -2.278261e-06 -7.414590e-04 -4.521348e-05 5.477230e-05
 8854.000000 -3.315780e-05 -3.970395e-07 -2.657597e-07 -2.732494e-07 -3.253227e-06 -7.575327e-04 -5.460200e-05 5.371793e-05
 8859.000000 -3.303796e-05 -3.996443e-07 -2.675062e-07 -2.732300e-07 -7.599340e-06 -7.575534e-04 -5.647665e-05 5.607181e-05
 8864.000000 -3.301383e-05 -4.032622e-07 -2.700645e-07 -2.736688e-07 6.360526e-07 -7.661729e-04 -6.168195e-05 5.855409e-05
 8869.000000 -3.282660e-05 -4.043063e-07 -2.711106e-07 -2.727550e-07 3.224158e-06 -7.769666e-04 -5.748139e-05 6.147566e-05
 8874.000000 -3.285287e-05 -4.093569e-07 -2.743386e-07 -2.736246e-07 -3.935373e-06 -7.770630e-04 -4.818730e-05 6.064643e-05
 8879.000000 -3.271638e-05 -4.107681e-07 -2.755744e-07 -2.732619e-07 5.400392e-06 -7.764421e-04 -5.968077e-05 4.234369e-05
 8884.000000 -3.248387e-05 -4.115544e-07 -2.763929e-07 -2.724841e-07 3.234344e-06 -7.801522e-04 -5.850843e-05 3.529305e-05
 8889.000000 -3.225786e-05 -4.136457e-07 -2.782039e-07 -2.717733e-07 9.210535e-07 -7.947525e-04 -5.680105e-05 2.945732e-05
 8894.000000 -3.239073e-05 -4.183211e-07 -2.813735e-07 -2.730329e-07 9.546377e-06 -7.923817e-04 -5.718610e-05 3.081208e-05
 8899.000000 -3.232940e-05 -4.214188e-07 -2.835003e-07 -2.732856e-07 7.792998e-07 -7.836962e-04 -6.677266e-05 3.204932e-05
 8904.000000 -3.222092e-05 -4.238454e-07 -2.853507e-07 -2.733226e-07 -3.497761e-06 -7.864286e-04 -6.410073e-05 3.305324e-05
 8909.000000 -3.208206e-05 -4.252433e-07 -2.864392e-07 -2.727441e-07 5.254407e-06 -7.925693e-04 -5.801390e-05 3.427475e-05
 8914.000000 -3.186343e-05 -4.264814e-07 -2.870716e-07 -2.714461e-07 3.262856e-06 -7.894797e-04 -6.729611e-05 3.276681e-05
 8919.000000 -3.170622e-05 -4.269710e-07 -2.876746e-07 -2.707818e-07 5.971241e-07 -7.985509e-04 -6.928214e-05 3.853988e-05
 8924.000000 -3.158645e-05 -4.300402e-07 -2.899797e-07 -2.706052e-07 6.454991e-06 -7.804159e-04 -6.067628e-05 4.191736e-05
 8929.000000 -3.162295e-05 -4.351456e-07 -2.935251e-07 -2.719960e-07 1.600598e-05 -7.811238e-04 -5.711348e-05 5.301444e-05
 8934.000000 -3.153988e-05 -4.376425e-07 -2.953529e-07 -2.726285e-07 2.294029e-05 -7.983045e-04 -6.181114e-05 5.186901e-05
 8939.000000 -3.140789e-05 -4.395105e-07 -2.963423e-07 -2.726447e-07 1.623202e-05 -7.896136e-04 -4.890035e-05 5.745439e-05
 8944.000000 -3.127322e-05 -4.401487e-07 -2.967934e-07 -2.731372e-07 1.404510e-05 -7.785099e-04 -4.273665e-05 6.730293e-05
 8949.000000 -3.114888e-05 -4.408536e-07 -2.970387e-07 -2.730982e-07 1.426812e-05 -7.750349e-04 -5.410083e-05 6.288126e-05
 8953.000000 -3.110566e-05 -4.417876e-07 -2.974576e-07 -2.732881e-07 1.117496e-05 -7.515876e-04 -5.181585e-05 6.475584e-05
 8956.000000 -3.102543e-05 -4.413611e-07 -2.968934e-07 -2.731140e-07 1.281342e-05 -7.528909e-04 -4.288571e-05 6.678452e-05
 8958.000000 -3.097688e-05 -4.403017e-07 -2.959045e-07 -2.733918e-07 1.350985e-05 -7.580612e-04 -4.185440e-05 7.575923e-05
 8959.000000 -3.096289e-05 -4.399666e-07 -2.954771e-07 -2.738146e-07 1.535512e-05 -7.833322e-04 -4.905934e-05 6.576176e-05
 8959.200000 -3.095458e-05 -4.389274e-07 -2.947000e-07 -2.738734e-07 7.857158e-06 -7.698648e-04 -6.088928e-05 6.477093e-05
 8959.400000 -3.096029e-05 -4.396499e-07 -2.949741e-07 -2.740329e-07 2.188751e-06 -7.935942e-04 -5.310090e-05 5.671963e-05
