# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.43980054144373
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00061
# Detector.I1.voltage: -1649.998169
# Detector.I2.voltage: -1650.000488
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370699
# Scan.uid: c325f096-df72-4b34-8c92-b3570c93805e
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  18:24:32.521565
# Scan.end_time: 06/22/2023  18:25:07.358270
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 400.90000000000003
# SampleHeater.voltage.setpoint: 0.9225661502711228
# SampleHeater.voltage.readback: 0.913
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.77
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.77892e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.22224e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.25546e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.94483e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.82133e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 4.89232e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6469e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.53094e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.449787e-05 -3.893731e-07 -2.579690e-07 -2.710412e-07 -6.609472e-06 -6.494028e-04 -6.938051e-05 -1.940601e-05
 8784.000000 -3.458501e-05 -3.884557e-07 -2.574225e-07 -2.719850e-07 -1.044648e-05 -6.664502e-04 -6.798700e-05 -1.509275e-05
 8789.000000 -3.463146e-05 -3.905395e-07 -2.591447e-07 -2.731658e-07 8.492109e-07 -6.802919e-04 -6.789759e-05 -2.141612e-05
 8794.000000 -3.445400e-05 -3.895059e-07 -2.585139e-07 -2.724660e-07 1.241190e-07 -6.702256e-04 -7.229644e-05 -1.579868e-05
 8799.000000 -3.407614e-05 -3.865331e-07 -2.565144e-07 -2.702146e-07 -1.137895e-06 -6.506979e-04 -7.274363e-05 -2.053673e-05
 8804.000000 -3.433597e-05 -3.887217e-07 -2.580811e-07 -2.727401e-07 -3.536492e-06 -6.482150e-04 -7.476773e-05 -1.892762e-05
 8809.000000 -3.418177e-05 -3.878174e-07 -2.579536e-07 -2.721558e-07 -3.615555e-06 -6.659367e-04 -6.797560e-05 -1.474745e-05
 8814.000000 -3.402941e-05 -3.886261e-07 -2.587685e-07 -2.714983e-07 3.882440e-06 -6.697245e-04 -6.681014e-05 -1.459230e-05
 8819.000000 -3.400770e-05 -3.899212e-07 -2.596256e-07 -2.720434e-07 4.673557e-07 -6.702525e-04 -5.632262e-05 -1.417735e-05
 8824.000000 -3.400880e-05 -3.926349e-07 -2.616453e-07 -2.728739e-07 -3.001637e-06 -6.666228e-04 -6.487263e-05 -9.289621e-06
 8829.000000 -3.383318e-05 -3.898759e-07 -2.598617e-07 -2.723827e-07 -8.037701e-06 -6.672090e-04 -6.475166e-05 -3.633960e-06
 8834.000000 -3.366113e-05 -3.885993e-07 -2.593904e-07 -2.718294e-07 1.653279e-06 -6.485423e-04 -5.640359e-05 2.472154e-08
 8839.000000 -3.343215e-05 -3.871972e-07 -2.584986e-07 -2.708794e-07 -4.425059e-06 -6.650423e-04 -6.191641e-05 -1.093514e-05
 8844.000000 -3.346153e-05 -3.914422e-07 -2.612516e-07 -2.722291e-07 -1.101002e-05 -6.699466e-04 -6.290280e-05 -1.112945e-05
 8849.000000 -3.348754e-05 -3.955855e-07 -2.641952e-07 -2.733364e-07 -4.502488e-06 -6.547832e-04 -6.438351e-05 -6.048842e-06
 8854.000000 -3.336465e-05 -3.964872e-07 -2.651858e-07 -2.731272e-07 -4.160621e-06 -6.640953e-04 -6.171494e-05 -1.276059e-05
 8859.000000 -3.322470e-05 -3.973040e-07 -2.660247e-07 -2.727495e-07 2.437932e-06 -6.833595e-04 -6.391072e-05 -1.157287e-05
 8864.000000 -3.311537e-05 -3.987941e-07 -2.675138e-07 -2.727899e-07 -8.729861e-07 -6.842775e-04 -5.584830e-05 -9.702055e-06
 8869.000000 -3.294010e-05 -3.982548e-07 -2.672895e-07 -2.723643e-07 -7.091782e-06 -7.045107e-04 -6.675259e-05 -3.032205e-05
 8874.000000 -3.293808e-05 -4.022976e-07 -2.699335e-07 -2.731879e-07 -8.426351e-06 -6.916411e-04 -6.126465e-05 -1.624167e-05
 8879.000000 -3.279592e-05 -4.019656e-07 -2.700256e-07 -2.729550e-07 -1.321354e-05 -6.932020e-04 -7.199659e-05 -7.204233e-07
 8884.000000 -3.252021e-05 -3.998114e-07 -2.686335e-07 -2.718934e-07 -1.541933e-05 -7.053174e-04 -7.983304e-05 -4.695660e-06
 8889.000000 -3.224887e-05 -4.003281e-07 -2.690511e-07 -2.711515e-07 -1.402679e-05 -7.175669e-04 -7.266735e-05 -6.960399e-06
 8894.000000 -3.242244e-05 -4.051343e-07 -2.723777e-07 -2.733248e-07 -1.606203e-05 -7.506465e-04 -7.406028e-05 -8.892052e-07
 8899.000000 -3.230190e-05 -4.067025e-07 -2.736968e-07 -2.729234e-07 -7.744509e-06 -7.503605e-04 -7.364976e-05 -3.426031e-06
 8904.000000 -3.221504e-05 -4.095112e-07 -2.757167e-07 -2.724160e-07 2.358550e-06 -7.261646e-04 -7.411940e-05 5.782337e-07
 8909.000000 -3.207212e-05 -4.101401e-07 -2.763489e-07 -2.713826e-07 -2.156447e-06 -7.070594e-04 -7.420837e-05 -1.018042e-06
 8914.000000 -3.185730e-05 -4.102071e-07 -2.765798e-07 -2.701746e-07 -8.480412e-07 -7.144405e-04 -7.138470e-05 -9.210629e-06
 8919.000000 -3.177083e-05 -4.110795e-07 -2.771519e-07 -2.712365e-07 -3.986761e-06 -7.343428e-04 -7.610591e-05 -1.285302e-05
 8924.000000 -3.159646e-05 -4.108304e-07 -2.770477e-07 -2.711394e-07 1.361168e-05 -7.229635e-04 -7.256803e-05 -8.018295e-06
 8929.000000 -3.160431e-05 -4.134462e-07 -2.788167e-07 -2.717318e-07 2.049559e-05 -7.088458e-04 -6.991379e-05 -2.992047e-06
 8934.000000 -3.152543e-05 -4.150974e-07 -2.799772e-07 -2.718702e-07 7.868592e-06 -6.740647e-04 -7.111925e-05 1.213836e-06
 8939.000000 -3.137503e-05 -4.141693e-07 -2.792668e-07 -2.717297e-07 6.113393e-06 -6.868557e-04 -6.343066e-05 -3.960384e-06
 8944.000000 -3.124939e-05 -4.139129e-07 -2.791263e-07 -2.718513e-07 6.398634e-06 -6.840791e-04 -6.908824e-05 -5.282013e-06
 8949.000000 -3.114082e-05 -4.156787e-07 -2.801697e-07 -2.715602e-07 1.547127e-05 -6.948333e-04 -6.595974e-05 4.126806e-06
 8953.000000 -3.100714e-05 -4.133141e-07 -2.781868e-07 -2.711971e-07 5.307012e-06 -6.857562e-04 -6.192163e-05 6.288603e-06
 8956.000000 -3.100288e-05 -4.150612e-07 -2.792638e-07 -2.718407e-07 6.908445e-07 -6.545959e-04 -5.721723e-05 9.677047e-06
 8958.000000 -3.099521e-05 -4.159379e-07 -2.794353e-07 -2.725533e-07 -9.422546e-06 -6.478094e-04 -5.815427e-05 9.046053e-06
 8959.000000 -3.097103e-05 -4.159258e-07 -2.791008e-07 -2.724488e-07 -3.964939e-06 -6.436346e-04 -5.311015e-05 1.254865e-05
 8959.200000 -3.096142e-05 -4.149639e-07 -2.783446e-07 -2.722456e-07 7.644666e-06 -6.568615e-04 -6.499210e-05 3.869956e-06
 8959.400000 -3.098224e-05 -4.173315e-07 -2.799010e-07 -2.726500e-07 3.202437e-06 -6.479394e-04 -6.768721e-05 -6.580500e-07
