# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.7533461998906
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.005127
# Detector.I1.voltage: -1649.999634
# Detector.I2.voltage: -1650.001831
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370701
# Scan.uid: 5b1c8847-153d-4155-84a7-9dbf8f109e71
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  18:26:34.522003
# Scan.end_time: 06/22/2023  18:27:07.659247
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 398.8
# SampleHeater.voltage.setpoint: 0.99023094028722
# SampleHeater.voltage.readback: 0.964
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.93
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0732421875
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.75198e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.23944e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.77028e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.92601e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.82611e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 4.82213e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6469e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.66499e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.455161e-05 -3.908609e-07 -2.589964e-07 -2.723217e-07 1.420188e-05 -7.994066e-04 -5.872421e-05 2.257307e-05
 8784.000000 -3.462021e-05 -3.908036e-07 -2.592206e-07 -2.736108e-07 2.158611e-05 -8.010501e-04 -6.886592e-05 2.301823e-05
 8789.000000 -3.460451e-05 -3.910042e-07 -2.595282e-07 -2.738045e-07 2.287849e-05 -8.264407e-04 -6.788200e-05 2.817812e-05
 8794.000000 -3.443612e-05 -3.893002e-07 -2.581774e-07 -2.731837e-07 1.284011e-05 -8.293910e-04 -5.523017e-05 3.055931e-05
 8799.000000 -3.402052e-05 -3.852226e-07 -2.558435e-07 -2.706359e-07 1.985193e-05 -8.552075e-04 -5.630844e-05 1.695627e-05
 8804.000000 -3.427632e-05 -3.876215e-07 -2.578325e-07 -2.732850e-07 2.030055e-05 -8.645491e-04 -6.331987e-05 2.179128e-05
 8809.000000 -3.422929e-05 -3.876200e-07 -2.577390e-07 -2.735485e-07 1.248276e-05 -8.620056e-04 -6.254404e-05 2.989717e-05
 8814.000000 -3.402610e-05 -3.856786e-07 -2.566681e-07 -2.721910e-07 1.309754e-05 -8.413619e-04 -6.226947e-05 3.131708e-05
 8819.000000 -3.400470e-05 -3.870559e-07 -2.577792e-07 -2.724055e-07 2.063191e-05 -8.427651e-04 -6.545802e-05 3.006536e-05
 8824.000000 -3.399288e-05 -3.891873e-07 -2.595823e-07 -2.726556e-07 2.145409e-05 -8.390971e-04 -5.336441e-05 3.244751e-05
 8829.000000 -3.391543e-05 -3.895799e-07 -2.599892e-07 -2.728471e-07 2.278998e-05 -8.286116e-04 -5.276226e-05 3.011651e-05
 8834.000000 -3.380827e-05 -3.892147e-07 -2.598881e-07 -2.731839e-07 1.086396e-05 -8.487736e-04 -5.227898e-05 2.707113e-05
 8839.000000 -3.366804e-05 -3.885630e-07 -2.594255e-07 -2.731848e-07 1.519065e-05 -8.679652e-04 -4.693764e-05 2.076247e-05
 8844.000000 -3.354282e-05 -3.903875e-07 -2.609790e-07 -2.734154e-07 2.276851e-05 -8.631951e-04 -5.124711e-05 2.846572e-05
 8849.000000 -3.341369e-05 -3.906838e-07 -2.613633e-07 -2.734034e-07 1.418747e-05 -8.532781e-04 -4.653630e-05 3.599839e-05
 8854.000000 -3.333660e-05 -3.924865e-07 -2.625601e-07 -2.739939e-07 2.719283e-06 -8.598973e-04 -4.965456e-05 2.725044e-05
 8859.000000 -3.317521e-05 -3.920143e-07 -2.622535e-07 -2.735735e-07 5.032242e-06 -9.009398e-04 -5.070621e-05 2.819716e-05
 8864.000000 -3.306273e-05 -3.928749e-07 -2.630816e-07 -2.730105e-07 8.655597e-06 -8.851866e-04 -4.615538e-05 3.263191e-05
 8869.000000 -3.296065e-05 -3.944797e-07 -2.645761e-07 -2.726415e-07 1.142094e-05 -8.791556e-04 -4.286028e-05 3.587025e-05
 8874.000000 -3.284965e-05 -3.962327e-07 -2.657543e-07 -2.726075e-07 1.962660e-05 -8.903710e-04 -4.474745e-05 3.192129e-05
 8879.000000 -3.274633e-05 -3.982853e-07 -2.674771e-07 -2.728845e-07 1.604816e-05 -8.798894e-04 -5.106849e-05 3.634227e-05
 8884.000000 -3.252421e-05 -3.980402e-07 -2.673690e-07 -2.721208e-07 1.374379e-05 -8.598583e-04 -4.652425e-05 4.007511e-05
 8889.000000 -3.226696e-05 -3.979565e-07 -2.675358e-07 -2.710665e-07 1.086702e-05 -8.410693e-04 -5.989611e-05 3.614330e-05
 8894.000000 -3.243287e-05 -4.028260e-07 -2.709248e-07 -2.731013e-07 1.217340e-05 -8.381031e-04 -5.057593e-05 2.886895e-05
 8899.000000 -3.227411e-05 -4.029632e-07 -2.710480e-07 -2.725009e-07 1.293077e-05 -8.499232e-04 -4.632534e-05 2.336477e-05
 8904.000000 -3.212819e-05 -4.046673e-07 -2.723079e-07 -2.719356e-07 2.751015e-05 -8.760148e-04 -3.981233e-05 1.622676e-05
 8909.000000 -3.189042e-05 -4.024754e-07 -2.711254e-07 -2.705622e-07 2.637157e-05 -8.718388e-04 -4.088534e-05 1.774926e-05
 8914.000000 -3.176005e-05 -4.052877e-07 -2.730323e-07 -2.703134e-07 2.496935e-05 -8.660816e-04 -4.630985e-05 1.982466e-05
 8919.000000 -3.168089e-05 -4.062813e-07 -2.737189e-07 -2.704862e-07 2.596146e-05 -8.679055e-04 -5.684086e-05 2.086722e-05
 8924.000000 -3.152109e-05 -4.074717e-07 -2.748818e-07 -2.700773e-07 2.687855e-05 -8.760506e-04 -6.218039e-05 1.077130e-05
 8929.000000 -3.153216e-05 -4.100263e-07 -2.765679e-07 -2.713753e-07 2.975448e-05 -8.776152e-04 -5.822526e-05 1.330617e-05
 8934.000000 -3.148410e-05 -4.124110e-07 -2.782469e-07 -2.719748e-07 3.290493e-05 -8.543314e-04 -5.511848e-05 1.661233e-05
 8939.000000 -3.136855e-05 -4.146334e-07 -2.796377e-07 -2.719181e-07 3.190238e-05 -8.496238e-04 -4.650772e-05 2.320279e-05
 8944.000000 -3.122944e-05 -4.154405e-07 -2.801142e-07 -2.715537e-07 2.341844e-05 -8.617317e-04 -5.046130e-05 1.963166e-05
 8949.000000 -3.111924e-05 -4.158815e-07 -2.801900e-07 -2.713505e-07 1.860594e-05 -8.402869e-04 -3.870891e-05 1.786378e-05
 8953.000000 -3.100864e-05 -4.139040e-07 -2.785332e-07 -2.711958e-07 1.945706e-05 -8.399825e-04 -3.993229e-05 2.397450e-05
 8956.000000 -3.094089e-05 -4.127494e-07 -2.776392e-07 -2.714422e-07 1.748764e-05 -8.554725e-04 -3.499445e-05 1.460071e-05
 8958.000000 -3.095608e-05 -4.145310e-07 -2.785041e-07 -2.722797e-07 1.416185e-05 -8.868998e-04 -4.527065e-05 2.182507e-05
 8959.000000 -3.095909e-05 -4.147912e-07 -2.786377e-07 -2.726643e-07 2.733702e-06 -8.947628e-04 -4.286295e-05 2.963952e-05
 8959.200000 -3.096002e-05 -4.150147e-07 -2.788406e-07 -2.727231e-07 -1.587845e-06 -9.100625e-04 -3.959822e-05 3.904765e-05
 8959.400000 -3.094658e-05 -4.147455e-07 -2.784232e-07 -2.727783e-07 -9.618922e-07 -9.065329e-04 -4.907066e-05 3.738325e-05
