# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6290683495193
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00061
# Detector.I1.voltage: -1650.002197
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370659
# Scan.uid: 17d4df77-351b-47bb-9018-aec790be947a
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/22/2023  17:44:41.557525
# Scan.end_time: 06/22/2023  17:45:14.293108
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 41.59115736480162
# SampleHeater.temperature2.readback: 36.300000000000004
# SampleHeater.voltage.setpoint: 0.3143652902002751
# SampleHeater.voltage.readback: 0.209
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.19
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.73596e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.33189e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.62275e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.98178e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.67509e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.13358e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6813e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.22403e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.453156e-05 -5.279543e-07 -3.500376e-07 -2.728219e-07 2.818037e-05 -6.812426e-04 -3.913360e-05 2.460137e-05
 8784.000000 -3.458686e-05 -5.267168e-07 -3.494147e-07 -2.739121e-07 2.900475e-05 -6.623340e-04 -3.639715e-05 9.463393e-07
 8789.000000 -3.448079e-05 -5.235547e-07 -3.475980e-07 -2.739595e-07 2.419917e-05 -6.922683e-04 -4.082943e-05 2.635593e-05
 8794.000000 -3.429606e-05 -5.215903e-07 -3.466304e-07 -2.730732e-07 2.579766e-05 -7.005481e-04 -4.233967e-05 3.227981e-05
 8799.000000 -3.387918e-05 -5.160509e-07 -3.432175e-07 -2.706516e-07 4.000969e-05 -7.059842e-04 -5.053463e-05 3.089746e-05
 8804.000000 -3.415852e-05 -5.224631e-07 -3.478661e-07 -2.734193e-07 4.304411e-05 -6.959580e-04 -6.375126e-05 2.322692e-05
 8809.000000 -3.418841e-05 -5.252802e-07 -3.497821e-07 -2.742072e-07 4.402068e-05 -6.821927e-04 -5.577464e-05 2.029343e-05
 8814.000000 -3.403016e-05 -5.251687e-07 -3.499288e-07 -2.732714e-07 4.248473e-05 -7.004621e-04 -4.965171e-05 2.692036e-05
 8819.000000 -3.400260e-05 -5.277489e-07 -3.518614e-07 -2.734227e-07 4.312796e-05 -6.873272e-04 -5.256534e-05 2.095805e-05
 8824.000000 -3.396645e-05 -5.301494e-07 -3.537148e-07 -2.740110e-07 4.212472e-05 -6.882770e-04 -5.446886e-05 2.381682e-05
 8829.000000 -3.377457e-05 -5.292482e-07 -3.534701e-07 -2.735442e-07 3.193085e-05 -6.718811e-04 -5.953593e-05 2.316471e-05
 8834.000000 -3.365282e-05 -5.294584e-07 -3.535998e-07 -2.737459e-07 3.743191e-05 -6.698737e-04 -5.613855e-05 1.876213e-05
 8839.000000 -3.359828e-05 -5.314713e-07 -3.552949e-07 -2.741203e-07 3.665195e-05 -6.714520e-04 -5.490279e-05 -1.882469e-05
 8844.000000 -3.341894e-05 -5.312655e-07 -3.551114e-07 -2.736020e-07 3.980962e-05 -6.905355e-04 -5.939718e-05 -1.512863e-05
 8849.000000 -3.331568e-05 -5.328567e-07 -3.564196e-07 -2.737001e-07 4.807098e-05 -7.206273e-04 -4.873995e-05 -1.060533e-05
 8854.000000 -3.327589e-05 -5.335208e-07 -3.572764e-07 -2.742590e-07 4.189053e-05 -7.063348e-04 -4.707308e-05 -1.834475e-05
 8859.000000 -3.300395e-05 -5.308005e-07 -3.557036e-07 -2.731989e-07 3.190533e-05 -6.920158e-04 -5.236388e-05 -1.693648e-05
 8864.000000 -3.306491e-05 -5.348891e-07 -3.587678e-07 -2.745664e-07 3.852894e-05 -7.282635e-04 -4.853073e-05 -1.653221e-05
 8869.000000 -3.286612e-05 -5.349232e-07 -3.591127e-07 -2.738129e-07 3.137873e-05 -7.402581e-04 -4.464004e-05 -1.812009e-05
 8874.000000 -3.280828e-05 -5.367080e-07 -3.603113e-07 -2.742358e-07 2.645343e-05 -7.453731e-04 -4.047727e-05 -1.428255e-05
 8879.000000 -3.276359e-05 -5.390090e-07 -3.620181e-07 -2.745979e-07 3.015575e-05 -7.281871e-04 -4.152333e-05 -2.658686e-05
 8884.000000 -3.249654e-05 -5.371473e-07 -3.611093e-07 -2.733716e-07 2.786372e-05 -7.308901e-04 -4.662467e-05 -2.857735e-05
 8889.000000 -3.217951e-05 -5.355192e-07 -3.602305e-07 -2.721303e-07 4.111341e-05 -7.407348e-04 -5.318310e-05 -2.609613e-05
 8894.000000 -3.235934e-05 -5.406343e-07 -3.639588e-07 -2.740018e-07 3.628657e-05 -7.390871e-04 -5.141537e-05 -2.412580e-05
 8899.000000 -3.217117e-05 -5.402310e-07 -3.637201e-07 -2.728403e-07 3.390364e-05 -7.485515e-04 -5.341441e-05 -1.871706e-05
 8904.000000 -3.217461e-05 -5.439868e-07 -3.665292e-07 -2.734484e-07 3.238317e-05 -7.449050e-04 -4.964114e-05 -2.015663e-05
 8909.000000 -3.198299e-05 -5.442547e-07 -3.669287e-07 -2.721789e-07 2.834937e-05 -7.380571e-04 -5.571684e-05 -1.837171e-05
 8914.000000 -3.179627e-05 -5.443889e-07 -3.674054e-07 -2.710169e-07 3.300272e-05 -7.243190e-04 -6.787857e-05 -1.432683e-05
 8919.000000 -3.171107e-05 -5.461170e-07 -3.683779e-07 -2.711638e-07 3.328377e-05 -7.391296e-04 -5.923585e-05 -2.160458e-05
 8924.000000 -3.151922e-05 -5.469851e-07 -3.689608e-07 -2.705678e-07 2.667693e-05 -7.282316e-04 -5.112239e-05 -1.186908e-05
 8929.000000 -3.154913e-05 -5.504166e-07 -3.715037e-07 -2.722007e-07 2.444026e-05 -7.212549e-04 -5.755689e-05 1.755699e-05
 8934.000000 -3.145705e-05 -5.515329e-07 -3.721133e-07 -2.726549e-07 3.242775e-05 -7.357677e-04 -6.262798e-05 -3.282278e-06
 8939.000000 -3.131727e-05 -5.523389e-07 -3.728502e-07 -2.724463e-07 3.911838e-05 -7.341754e-04 -4.371110e-05 -1.710435e-05
 8944.000000 -3.123400e-05 -5.534972e-07 -3.734383e-07 -2.726706e-07 3.851086e-05 -7.221205e-04 -3.821494e-05 -1.319873e-05
 8949.000000 -3.110846e-05 -5.525783e-07 -3.725815e-07 -2.725115e-07 2.687616e-05 -7.253037e-04 -3.712179e-05 -1.897934e-05
 8953.000000 -3.101668e-05 -5.511253e-07 -3.712621e-07 -2.726223e-07 1.864526e-05 -7.199669e-04 -3.593701e-05 -1.946875e-05
 8956.000000 -3.097256e-05 -5.516586e-07 -3.712003e-07 -2.730675e-07 1.035830e-05 -6.929276e-04 -3.516293e-05 -2.051689e-05
 8958.000000 -3.096599e-05 -5.518880e-07 -3.709493e-07 -2.736464e-07 8.944999e-06 -6.801354e-04 -4.340455e-05 -2.016473e-05
 8959.000000 -3.095613e-05 -5.514628e-07 -3.705341e-07 -2.738673e-07 1.155828e-05 -6.760328e-04 -5.964193e-05 -2.213712e-05
 8959.200000 -3.095951e-05 -5.505521e-07 -3.699753e-07 -2.741706e-07 1.181089e-05 -6.743173e-04 -5.616182e-05 -2.256754e-05
 8959.400000 -3.095972e-05 -5.528266e-07 -3.714907e-07 -2.741642e-07 1.306461e-05 -6.966005e-04 -4.957366e-05 -1.867668e-05
