# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.00720521320886
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999634
# Detector.I1.voltage: -1649.999512
# Detector.I2.voltage: -1650.0
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370674
# Scan.uid: 439da186-33d6-4184-b56e-a18a80077acb
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  17:59:38.001621
# Scan.end_time: 06/22/2023  18:00:13.146035
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 195.0851689579286
# SampleHeater.temperature2.readback: 192.8
# SampleHeater.voltage.setpoint: 0.6286156891612495
# SampleHeater.voltage.readback: 0.634
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.46
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.0229e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.26352e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 6.03225e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.97035e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.0585e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 6.3196e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6813e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.75488e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.959049e-05 -8.582999e-07 -2.487064e-07 -9.979556e-07 9.661269e-06 -7.221143e-04 -4.348905e-05 5.304022e-05
10172.000000 -2.954578e-05 -8.575056e-07 -2.473381e-07 -1.001602e-06 1.108261e-05 -7.254159e-04 -4.358341e-05 5.852035e-05
10177.000000 -2.947977e-05 -8.592109e-07 -2.454238e-07 -1.002106e-06 9.414380e-06 -7.165438e-04 -3.789797e-05 5.838542e-05
10182.000000 -2.938960e-05 -8.573493e-07 -2.406801e-07 -1.000226e-06 1.555859e-05 -7.188591e-04 -3.820633e-05 6.133840e-05
10187.000000 -2.941338e-05 -8.582291e-07 -2.322174e-07 -1.004323e-06 1.944962e-05 -7.082306e-04 -4.658891e-05 5.812912e-05
10192.000000 -2.947801e-05 -8.617140e-07 -2.133540e-07 -1.008881e-06 1.976229e-05 -7.037380e-04 -3.838860e-05 4.296924e-05
10197.000000 -2.941404e-05 -8.623203e-07 -1.585525e-07 -1.006851e-06 2.256521e-05 -7.257112e-04 -2.402734e-05 4.483219e-05
10202.000000 -2.945656e-05 -8.699608e-07 -5.410092e-08 -1.014651e-06 2.203701e-05 -7.121659e-04 -3.161439e-05 4.447771e-05
10207.000000 -2.941514e-05 -8.709097e-07 -2.169866e-08 -1.015419e-06 1.688086e-05 -7.081208e-04 -3.917090e-05 4.648586e-05
10212.000000 -2.939498e-05 -8.726126e-07 -4.352642e-08 -1.017774e-06 9.621753e-06 -6.856154e-04 -3.426442e-05 4.818809e-05
10217.000000 -2.929023e-05 -8.685472e-07 -5.567555e-08 -1.014710e-06 9.638234e-06 -6.839306e-04 -4.158851e-05 4.510375e-05
10222.000000 -2.908787e-05 -8.582702e-07 -6.465328e-08 -1.004667e-06 1.358757e-06 -6.889243e-04 -4.643482e-05 4.211575e-05
10227.000000 -2.922593e-05 -8.728279e-07 -7.266844e-08 -1.016477e-06 1.354370e-05 -6.812300e-04 -5.160480e-05 4.177408e-05
10232.000000 -2.918744e-05 -8.769347e-07 -7.565403e-08 -1.018587e-06 2.125720e-05 -6.942959e-04 -5.576244e-05 3.616590e-05
10237.000000 -2.920159e-05 -8.807256e-07 -7.748730e-08 -1.022853e-06 2.120017e-05 -7.196576e-04 -5.181232e-05 3.627331e-05
10242.000000 -2.916486e-05 -8.824861e-07 -7.898298e-08 -1.023333e-06 1.684386e-05 -7.032168e-04 -3.651534e-05 4.444020e-05
10247.000000 -2.903385e-05 -8.793939e-07 -8.185742e-08 -1.017992e-06 1.220944e-05 -6.689984e-04 -5.269071e-05 3.843193e-05
10252.000000 -2.909247e-05 -8.878816e-07 -8.238689e-08 -1.025574e-06 9.196911e-07 -7.065071e-04 -5.278040e-05 4.848244e-05
10257.000000 -2.902459e-05 -8.885565e-07 -7.902609e-08 -1.023838e-06 -5.357912e-07 -7.293701e-04 -4.490049e-05 5.297537e-05
10262.000000 -2.887077e-05 -8.847473e-07 -7.799044e-08 -1.018032e-06 -3.123266e-06 -7.382001e-04 -4.599140e-05 5.395179e-05
10267.000000 -2.899842e-05 -8.949703e-07 -8.021267e-08 -1.029269e-06 2.306413e-06 -7.557362e-04 -3.970574e-05 5.940448e-05
10272.000000 -2.894894e-05 -8.951862e-07 -8.099219e-08 -1.028630e-06 7.173093e-06 -7.550819e-04 -4.212990e-05 5.662617e-05
10277.000000 -2.892732e-05 -8.997918e-07 -8.085458e-08 -1.032705e-06 7.016003e-06 -7.239490e-04 -4.443605e-05 5.590823e-05
10282.000000 -2.882789e-05 -9.029570e-07 -7.974898e-08 -1.034918e-06 2.871096e-06 -7.273274e-04 -5.243709e-05 6.173483e-05
10287.000000 -2.886937e-05 -9.075271e-07 -8.043810e-08 -1.039322e-06 -2.118279e-06 -7.410270e-04 -6.550876e-05 6.133842e-05
10292.000000 -2.882741e-05 -9.099292e-07 -8.333789e-08 -1.040159e-06 -1.218007e-06 -7.243785e-04 -5.644918e-05 6.547515e-05
10297.000000 -2.879226e-05 -9.129391e-07 -8.482843e-08 -1.041703e-06 3.786040e-06 -7.375599e-04 -6.004563e-05 5.687904e-05
10302.000000 -2.877661e-05 -9.157021e-07 -8.449413e-08 -1.043837e-06 4.452227e-06 -7.516367e-04 -5.521617e-05 5.267521e-05
10307.000000 -2.874702e-05 -9.187320e-07 -8.458676e-08 -1.046324e-06 9.145251e-06 -7.437769e-04 -5.566921e-05 5.210462e-05
10312.000000 -2.870568e-05 -9.223620e-07 -8.502720e-08 -1.047697e-06 1.776933e-05 -7.374546e-04 -5.287106e-05 5.271326e-05
10317.000000 -2.869690e-05 -9.262017e-07 -8.472298e-08 -1.051878e-06 1.500879e-05 -7.447698e-04 -5.472889e-05 5.636103e-05
10322.000000 -2.864151e-05 -9.266593e-07 -8.391212e-08 -1.052610e-06 1.157512e-05 -7.406233e-04 -5.826357e-05 4.735338e-05
10327.000000 -2.860223e-05 -9.284415e-07 -8.327443e-08 -1.055186e-06 1.790187e-05 -7.327279e-04 -6.281508e-05 4.325827e-05
10332.000000 -2.848097e-05 -9.271080e-07 -8.236619e-08 -1.053519e-06 1.990134e-05 -7.319730e-04 -5.827143e-05 4.447263e-05
10337.000000 -2.858439e-05 -9.328474e-07 -8.274965e-08 -1.061251e-06 1.657968e-05 -7.079824e-04 -5.717946e-05 4.103893e-05
10341.000000 -2.854103e-05 -9.330187e-07 -8.319000e-08 -1.062724e-06 1.100688e-05 -7.022954e-04 -5.760122e-05 4.539310e-05
10344.000000 -2.850084e-05 -9.338568e-07 -8.408608e-08 -1.064208e-06 8.473630e-06 -6.896400e-04 -5.267165e-05 4.761449e-05
10346.000000 -2.848202e-05 -9.353303e-07 -8.525938e-08 -1.066123e-06 9.384312e-06 -7.015534e-04 -4.722714e-05 4.374544e-05
10347.000000 -2.848855e-05 -9.365362e-07 -8.593832e-08 -1.068748e-06 3.262791e-06 -7.107652e-04 -4.593735e-05 4.196307e-05
10347.200000 -2.849405e-05 -9.379616e-07 -8.615029e-08 -1.069443e-06 3.940249e-06 -7.116434e-04 -3.780179e-05 4.814707e-05
10347.400000 -2.848532e-05 -9.369180e-07 -8.614016e-08 -1.068559e-06 4.033114e-06 -7.191930e-04 -5.441606e-05 4.275613e-05
10347.600000 -2.845990e-05 -9.339878e-07 -8.574374e-08 -1.067323e-06 1.355748e-06 -7.121942e-04 -4.443295e-05 4.344802e-05
