# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.11767620275634
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999023
# Detector.I1.voltage: -1649.999756
# Detector.I2.voltage: -1650.001587
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370680
# Scan.uid: 5b65fd7f-0c23-4db2-94b0-a5283b8b7396
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:05:40.619056
# Scan.end_time: 06/22/2023  18:06:14.110897
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 257.22736707471665
# SampleHeater.temperature2.readback: 258.90000000000003
# SampleHeater.voltage.setpoint: 0.647657057390203
# SampleHeater.voltage.readback: 0.735
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.290000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.66075e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.24675e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.90379e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.91862e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.91473e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.76598e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6684e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.71212e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.964035e-05 -8.339315e-07 -2.421038e-07 -1.001764e-06 2.431882e-05 -6.665857e-04 -6.791168e-05 -3.189258e-06
10172.000000 -2.949063e-05 -8.276358e-07 -2.389767e-07 -9.973114e-07 1.992682e-05 -6.576306e-04 -6.754540e-05 -1.627528e-06
10177.000000 -2.948253e-05 -8.342633e-07 -2.386945e-07 -1.001866e-06 8.943246e-06 -6.466342e-04 -5.915917e-05 -2.268810e-06
10182.000000 -2.939324e-05 -8.326491e-07 -2.339088e-07 -9.990565e-07 9.516192e-06 -6.424961e-04 -6.281218e-05 1.297479e-05
10187.000000 -2.942260e-05 -8.333320e-07 -2.255982e-07 -1.004402e-06 1.070550e-05 -6.229228e-04 -5.700394e-05 3.451074e-05
10192.000000 -2.949612e-05 -8.375586e-07 -2.075588e-07 -1.010389e-06 -2.373406e-06 -6.223978e-04 -6.453746e-05 5.652332e-06
10197.000000 -2.947089e-05 -8.403878e-07 -1.550019e-07 -1.011140e-06 8.997868e-06 -6.414144e-04 -5.744325e-05 -4.487286e-07
10202.000000 -2.944718e-05 -8.433906e-07 -5.216752e-08 -1.013935e-06 1.815728e-05 -6.442079e-04 -6.182954e-05 -5.681861e-06
10207.000000 -2.943121e-05 -8.457511e-07 -2.052891e-08 -1.016013e-06 1.860919e-05 -6.521993e-04 -6.014409e-05 -3.906440e-06
10212.000000 -2.939129e-05 -8.465607e-07 -4.154562e-08 -1.016383e-06 1.890745e-05 -6.486131e-04 -6.627835e-05 -5.925020e-06
10217.000000 -2.937653e-05 -8.495936e-07 -5.459924e-08 -1.019492e-06 2.061765e-05 -6.263774e-04 -6.270763e-05 -3.005641e-06
10222.000000 -2.932238e-05 -8.503506e-07 -6.448226e-08 -1.019368e-06 1.107348e-05 -6.300250e-04 -6.515124e-05 -5.914529e-06
10227.000000 -2.928542e-05 -8.519133e-07 -7.108436e-08 -1.020519e-06 2.223308e-05 -6.257458e-04 -6.223483e-05 2.303043e-06
10232.000000 -2.923001e-05 -8.541007e-07 -7.379505e-08 -1.021500e-06 2.971055e-05 -6.161316e-04 -5.657120e-05 1.325815e-06
10237.000000 -2.923088e-05 -8.566491e-07 -7.584294e-08 -1.024726e-06 2.589459e-05 -6.272524e-04 -5.947719e-05 1.639238e-06
10242.000000 -2.919703e-05 -8.588290e-07 -7.709687e-08 -1.025975e-06 2.474930e-05 -6.166549e-04 -5.786918e-05 1.585451e-06
10247.000000 -2.910020e-05 -8.577974e-07 -7.992325e-08 -1.024052e-06 3.081801e-05 -6.455963e-04 -5.578968e-05 -6.068684e-06
10252.000000 -2.903946e-05 -8.577476e-07 -7.952239e-08 -1.022223e-06 2.842835e-05 -6.525922e-04 -5.764458e-05 -9.486565e-06
10257.000000 -2.901865e-05 -8.619904e-07 -7.708552e-08 -1.024164e-06 2.739394e-05 -6.506003e-04 -4.985202e-05 1.473679e-06
10262.000000 -2.891213e-05 -8.610067e-07 -7.603615e-08 -1.021878e-06 2.872859e-05 -6.549429e-04 -5.942659e-05 4.143115e-06
10267.000000 -2.900117e-05 -8.685739e-07 -7.818500e-08 -1.030207e-06 2.414771e-05 -6.558869e-04 -5.808446e-05 1.439034e-06
10272.000000 -2.896296e-05 -8.692550e-07 -7.895750e-08 -1.030652e-06 2.700322e-05 -6.530169e-04 -6.540969e-05 4.942617e-06
10277.000000 -2.889286e-05 -8.704979e-07 -7.821330e-08 -1.031087e-06 2.270469e-05 -6.539107e-04 -5.963298e-05 2.974516e-06
10282.000000 -2.873210e-05 -8.685014e-07 -7.696877e-08 -1.027869e-06 1.327413e-05 -6.276388e-04 -5.057384e-05 -3.263345e-06
10287.000000 -2.872208e-05 -8.682473e-07 -7.752965e-08 -1.028536e-06 1.388212e-05 -6.346063e-04 -4.809577e-05 7.332672e-06
10292.000000 -2.872150e-05 -8.725249e-07 -7.974948e-08 -1.032884e-06 1.918885e-05 -6.422165e-04 -5.971126e-05 -5.216996e-06
10297.000000 -2.866386e-05 -8.724823e-07 -8.083372e-08 -1.032323e-06 2.308534e-05 -6.154132e-04 -5.138264e-05 -3.124512e-06
10302.000000 -2.869508e-05 -8.780345e-07 -8.116852e-08 -1.037298e-06 2.313491e-05 -6.010210e-04 -5.506392e-05 -1.583160e-05
10307.000000 -2.867968e-05 -8.822990e-07 -8.150244e-08 -1.040240e-06 2.342137e-05 -5.913565e-04 -6.258541e-05 -1.277884e-05
10312.000000 -2.866829e-05 -8.869162e-07 -8.190959e-08 -1.044212e-06 2.224283e-05 -5.889438e-04 -6.027751e-05 -9.832847e-07
10317.000000 -2.865063e-05 -8.905582e-07 -8.147202e-08 -1.047265e-06 3.008644e-05 -5.845289e-04 -6.660610e-05 -1.093893e-06
10322.000000 -2.859112e-05 -8.896120e-07 -8.063617e-08 -1.047488e-06 2.612253e-05 -6.025386e-04 -6.512595e-05 -4.384153e-06
10327.000000 -2.856384e-05 -8.915226e-07 -8.014074e-08 -1.050972e-06 1.799761e-05 -6.022770e-04 -6.444642e-05 -5.809138e-06
10332.000000 -2.842660e-05 -8.888702e-07 -7.901867e-08 -1.049475e-06 2.589947e-05 -6.378117e-04 -6.565309e-05 5.552069e-06
10337.000000 -2.855032e-05 -8.959916e-07 -7.940320e-08 -1.060185e-06 3.277368e-05 -6.731508e-04 -6.953951e-05 1.976372e-06
10341.000000 -2.851104e-05 -8.977372e-07 -8.006268e-08 -1.062185e-06 3.457178e-05 -6.528507e-04 -5.703511e-05 2.341949e-06
10344.000000 -2.846062e-05 -8.974319e-07 -8.074025e-08 -1.063128e-06 3.756359e-05 -6.415799e-04 -6.647288e-05 6.949990e-07
10346.000000 -2.844553e-05 -8.981910e-07 -8.156062e-08 -1.065623e-06 2.593982e-05 -6.371481e-04 -6.961735e-05 3.254951e-07
10347.000000 -2.843142e-05 -8.986426e-07 -8.214081e-08 -1.066465e-06 2.596187e-05 -6.378050e-04 -7.024172e-05 5.485684e-06
10347.200000 -2.841481e-05 -8.979234e-07 -8.205209e-08 -1.064411e-06 2.231297e-05 -6.347462e-04 -7.157845e-05 8.768074e-06
10347.400000 -2.837347e-05 -8.948201e-07 -8.193744e-08 -1.061662e-06 2.794015e-05 -6.320948e-04 -7.476886e-05 1.059887e-05
10347.600000 -2.835763e-05 -8.918592e-07 -8.171372e-08 -1.060563e-06 3.035280e-05 -6.318696e-04 -6.576902e-05 7.552792e-06
