# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.27156089309324
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000244
# Detector.I1.voltage: -1650.002808
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370682
# Scan.uid: 84490425-2bfd-4682-bafa-9ce5e666bcb1
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:07:37.513194
# Scan.end_time: 06/22/2023  18:08:10.773925
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 277.3988057114266
# SampleHeater.temperature2.readback: 280.1
# SampleHeater.voltage.setpoint: 0.6476275855001027
# SampleHeater.voltage.readback: 0.655
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.23
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.3175e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.24374e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.40875e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.93274e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.87018e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 5.60268e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6555e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.65028e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.965416e-05 -8.253263e-07 -2.394098e-07 -1.002113e-06 -3.898949e-08 -7.429656e-04 -6.294909e-05 -4.850606e-06
10172.000000 -2.953798e-05 -8.210804e-07 -2.371659e-07 -9.997207e-07 8.008788e-06 -7.396596e-04 -7.232665e-05 -3.654525e-06
10177.000000 -2.950315e-05 -8.260547e-07 -2.361313e-07 -1.002643e-06 3.571064e-06 -7.544954e-04 -7.910100e-05 -4.032720e-06
10182.000000 -2.943754e-05 -8.260531e-07 -2.316606e-07 -1.002516e-06 -6.802338e-06 -7.393156e-04 -7.273588e-05 -7.927959e-06
10187.000000 -2.939790e-05 -8.226583e-07 -2.228146e-07 -1.001841e-06 -1.027551e-05 -7.404074e-04 -7.241924e-05 -1.086880e-05
10192.000000 -2.950937e-05 -8.302476e-07 -2.057783e-07 -1.011200e-06 -8.586400e-06 -7.349867e-04 -6.754826e-05 -9.907977e-06
10197.000000 -2.951262e-05 -8.334190e-07 -1.529774e-07 -1.014274e-06 -7.509683e-06 -7.045092e-04 -7.348272e-05 -7.964968e-06
10202.000000 -2.947388e-05 -8.352179e-07 -5.134430e-08 -1.016521e-06 -4.274494e-07 -7.320253e-04 -7.151527e-05 -1.112608e-05
10207.000000 -2.942370e-05 -8.357492e-07 -2.035307e-08 -1.016216e-06 -1.292032e-07 -7.380603e-04 -6.582491e-05 -1.229377e-05
10212.000000 -2.942644e-05 -8.399363e-07 -4.158780e-08 -1.019537e-06 -5.382105e-07 -7.447534e-04 -6.691882e-05 -1.464673e-05
10217.000000 -2.939341e-05 -8.426432e-07 -5.418980e-08 -1.020876e-06 7.391729e-06 -7.276658e-04 -7.059404e-05 -2.255549e-05
10222.000000 -2.929957e-05 -8.418751e-07 -6.346980e-08 -1.016904e-06 -2.896125e-07 -7.364539e-04 -8.052794e-05 -1.565068e-05
10227.000000 -2.930862e-05 -8.471531e-07 -7.025703e-08 -1.021898e-06 -1.329644e-05 -7.500648e-04 -7.900617e-05 -1.267910e-05
10232.000000 -2.924376e-05 -8.480553e-07 -7.278122e-08 -1.022143e-06 -1.770205e-05 -7.501202e-04 -8.165232e-05 -2.818297e-06
10237.000000 -2.924345e-05 -8.504087e-07 -7.481167e-08 -1.025697e-06 -1.678220e-05 -7.386536e-04 -8.882793e-05 -9.975378e-06
10242.000000 -2.915363e-05 -8.468155e-07 -7.594846e-08 -1.022266e-06 -8.116252e-06 -7.253636e-04 -7.955958e-05 -6.818535e-06
10247.000000 -2.909755e-05 -8.488721e-07 -7.935551e-08 -1.022771e-06 2.590705e-06 -7.289562e-04 -8.536824e-05 -8.355064e-08
10252.000000 -2.912960e-05 -8.554639e-07 -7.968457e-08 -1.028917e-06 7.748100e-07 -7.459767e-04 -7.822371e-05 9.331633e-06
10257.000000 -2.908330e-05 -8.565136e-07 -7.659149e-08 -1.029168e-06 -1.267158e-05 -7.671623e-04 -7.654850e-05 1.327510e-06
10262.000000 -2.902222e-05 -8.594096e-07 -7.607230e-08 -1.031129e-06 -1.478761e-05 -7.656197e-04 -6.540097e-05 7.894682e-06
10267.000000 -2.905743e-05 -8.629580e-07 -7.744928e-08 -1.035375e-06 -1.055519e-05 -7.677503e-04 -6.202451e-05 -1.696668e-06
10272.000000 -2.903961e-05 -8.645029e-07 -7.818125e-08 -1.038161e-06 -6.193457e-06 -7.607014e-04 -6.250836e-05 -4.974075e-06
10277.000000 -2.894815e-05 -8.641424e-07 -7.763360e-08 -1.036599e-06 -9.029229e-06 -7.655094e-04 -6.855433e-05 -1.222561e-05
10282.000000 -2.876372e-05 -8.609429e-07 -7.618376e-08 -1.030598e-06 -7.052070e-06 -7.652092e-04 -7.944913e-05 -5.703598e-06
10287.000000 -2.884229e-05 -8.690162e-07 -7.731840e-08 -1.038017e-06 -1.046336e-05 -7.527208e-04 -6.272672e-05 -1.973534e-06
10292.000000 -2.882361e-05 -8.734522e-07 -7.980277e-08 -1.041052e-06 -1.001687e-05 -7.672744e-04 -6.045743e-05 -8.154177e-06
10297.000000 -2.879745e-05 -8.761108e-07 -8.110125e-08 -1.042948e-06 -4.964188e-06 -7.732296e-04 -7.361473e-05 -7.321660e-06
10302.000000 -2.875458e-05 -8.762096e-07 -8.098668e-08 -1.041942e-06 -6.403785e-06 -7.499091e-04 -6.317520e-05 9.631856e-06
10307.000000 -2.872520e-05 -8.797063e-07 -8.129193e-08 -1.043631e-06 -1.058153e-05 -7.367891e-04 -6.222724e-05 7.094672e-06
10312.000000 -2.867350e-05 -8.818180e-07 -8.152404e-08 -1.043885e-06 -1.114239e-05 -7.470590e-04 -5.616246e-05 5.126219e-06
10317.000000 -2.863900e-05 -8.845559e-07 -8.088484e-08 -1.046207e-06 -8.742315e-06 -7.249312e-04 -5.416094e-05 1.085738e-05
10322.000000 -2.863547e-05 -8.880262e-07 -8.028031e-08 -1.050060e-06 -5.921586e-06 -7.215074e-04 -4.768364e-05 1.358572e-05
10327.000000 -2.862523e-05 -8.917697e-07 -7.977643e-08 -1.054632e-06 -8.800076e-06 -7.453433e-04 -4.795006e-05 1.196990e-05
10332.000000 -2.847643e-05 -8.883732e-07 -7.881301e-08 -1.051749e-06 1.625177e-06 -7.253864e-04 -5.556351e-05 2.132206e-06
10337.000000 -2.853864e-05 -8.920310e-07 -7.905572e-08 -1.057166e-06 7.511640e-06 -7.043425e-04 -4.664267e-05 5.010677e-06
10341.000000 -2.848600e-05 -8.912912e-07 -7.944500e-08 -1.058412e-06 1.107809e-05 -6.750623e-04 -4.926243e-05 7.358898e-06
10344.000000 -2.850311e-05 -8.946595e-07 -8.048665e-08 -1.065135e-06 1.846482e-05 -6.729358e-04 -6.180407e-05 4.172317e-06
10346.000000 -2.846017e-05 -8.937239e-07 -8.135684e-08 -1.064995e-06 2.427844e-05 -6.791839e-04 -6.205821e-05 1.191860e-05
10347.000000 -2.848662e-05 -8.956565e-07 -8.196639e-08 -1.069105e-06 1.497327e-05 -6.862577e-04 -5.721574e-05 3.946936e-06
10347.200000 -2.849935e-05 -8.964911e-07 -8.223512e-08 -1.071191e-06 1.188624e-05 -6.757147e-04 -4.908103e-05 3.165910e-06
10347.400000 -2.850036e-05 -8.962055e-07 -8.212278e-08 -1.071047e-06 1.080334e-05 -6.678207e-04 -5.238750e-05 5.776711e-06
