# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.28354116249625
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.994995
# Detector.I1.voltage: -1649.997925
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370702
# Scan.uid: 6ecdc63b-e1d1-4d42-8658-a604378c0206
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:27:34.554435
# Scan.end_time: 06/22/2023  18:28:07.540433
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 401.40000000000003
# SampleHeater.voltage.setpoint: 0.9218507627777176
# SampleHeater.voltage.readback: 0.924
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.97
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.75634e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.236e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.38962e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.96297e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.8687e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 4.77665e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6684e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.65846e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.970579e-05 -7.628540e-07 -2.205238e-07 -1.004728e-06 1.094556e-05 -8.328736e-04 -4.226759e-05 2.251838e-05
10172.000000 -2.958929e-05 -7.579693e-07 -2.180844e-07 -1.002904e-06 2.514111e-05 -8.373201e-04 -4.234010e-05 2.413109e-05
10177.000000 -2.948164e-05 -7.546227e-07 -2.150977e-07 -9.995057e-07 2.547681e-05 -8.257353e-04 -4.989666e-05 2.315263e-05
10182.000000 -2.944528e-05 -7.565122e-07 -2.115775e-07 -1.001634e-06 2.234957e-05 -8.406805e-04 -4.383710e-05 2.427558e-05
10187.000000 -2.937126e-05 -7.485456e-07 -2.018685e-07 -9.998588e-07 1.961318e-05 -8.102477e-04 -5.362520e-05 2.595814e-05
10192.000000 -2.940729e-05 -7.499634e-07 -1.846617e-07 -1.002939e-06 2.640543e-05 -7.942178e-04 -6.019524e-05 2.203259e-05
10197.000000 -2.948597e-05 -7.604910e-07 -1.388800e-07 -1.011151e-06 2.311812e-05 -7.814525e-04 -6.391101e-05 1.551058e-05
10202.000000 -2.940701e-05 -7.584886e-07 -4.564883e-08 -1.009250e-06 2.543808e-05 -7.840248e-04 -6.538694e-05 2.424921e-05
10207.000000 -2.942786e-05 -7.646898e-07 -1.813378e-08 -1.014474e-06 2.622584e-05 -8.057358e-04 -6.032422e-05 2.449459e-05
10212.000000 -2.932047e-05 -7.563219e-07 -3.684148e-08 -1.009196e-06 1.895869e-05 -8.042447e-04 -6.072209e-05 2.310093e-05
10217.000000 -2.930960e-05 -7.609377e-07 -4.828905e-08 -1.011973e-06 2.789930e-05 -7.994524e-04 -6.185764e-05 2.211844e-05
10222.000000 -2.935014e-05 -7.717603e-07 -5.795472e-08 -1.019087e-06 3.042027e-05 -7.919198e-04 -5.791678e-05 1.193544e-05
10227.000000 -2.929075e-05 -7.708967e-07 -6.361103e-08 -1.019201e-06 2.118773e-05 -8.196855e-04 -5.690647e-05 1.838751e-05
10232.000000 -2.920742e-05 -7.696428e-07 -6.562883e-08 -1.018980e-06 2.638535e-05 -8.278102e-04 -5.871342e-05 2.369324e-05
10237.000000 -2.922994e-05 -7.758455e-07 -6.786159e-08 -1.024022e-06 2.645301e-05 -8.327999e-04 -6.658228e-05 4.611964e-05
10242.000000 -2.920424e-05 -7.789908e-07 -6.914715e-08 -1.025727e-06 2.498547e-05 -8.405916e-04 -6.393045e-05 7.227142e-05
10247.000000 -2.913238e-05 -7.803633e-07 -7.209622e-08 -1.025771e-06 2.588614e-05 -8.455855e-04 -5.703667e-05 7.504764e-05
10252.000000 -2.909509e-05 -7.814855e-07 -7.186953e-08 -1.026179e-06 2.094053e-05 -8.072766e-04 -5.160620e-05 7.484003e-05
10257.000000 -2.909268e-05 -7.886180e-07 -7.001529e-08 -1.030017e-06 2.410894e-05 -8.053526e-04 -6.044739e-05 7.525045e-05
10262.000000 -2.902103e-05 -7.909058e-07 -6.955954e-08 -1.030136e-06 2.947171e-05 -7.987541e-04 -5.528602e-05 7.751829e-05
10267.000000 -2.906981e-05 -7.968980e-07 -7.114828e-08 -1.035260e-06 3.701796e-05 -7.944697e-04 -5.232001e-05 7.902831e-05
10272.000000 -2.904468e-05 -7.993999e-07 -7.199548e-08 -1.037021e-06 3.454563e-05 -7.917452e-04 -5.552423e-05 7.607578e-05
10277.000000 -2.897114e-05 -8.011851e-07 -7.160488e-08 -1.037167e-06 2.954063e-05 -7.970676e-04 -5.765513e-05 6.741292e-05
10282.000000 -2.882744e-05 -8.005310e-07 -7.053166e-08 -1.034894e-06 2.818672e-05 -8.174466e-04 -5.662263e-05 7.075482e-05
10287.000000 -2.886417e-05 -8.031430e-07 -7.122968e-08 -1.039095e-06 2.887762e-05 -7.945492e-04 -6.365440e-05 7.444186e-05
10292.000000 -2.878957e-05 -8.001750e-07 -7.294448e-08 -1.037906e-06 3.168236e-05 -7.976052e-04 -6.541883e-05 8.074670e-05
10297.000000 -2.873242e-05 -8.000846e-07 -7.396307e-08 -1.037484e-06 3.831203e-05 -7.951462e-04 -5.837112e-05 7.990186e-05
10302.000000 -2.876645e-05 -8.081767e-07 -7.431634e-08 -1.043488e-06 3.990569e-05 -7.847006e-04 -5.798193e-05 6.902162e-05
10307.000000 -2.869091e-05 -8.069050e-07 -7.418501e-08 -1.042431e-06 3.567228e-05 -7.838132e-04 -5.035301e-05 5.867109e-05
10312.000000 -2.860679e-05 -8.040374e-07 -7.406485e-08 -1.040710e-06 3.351078e-05 -7.830992e-04 -5.538691e-05 5.470645e-05
10317.000000 -2.864311e-05 -8.129631e-07 -7.403124e-08 -1.048726e-06 2.995225e-05 -7.967922e-04 -5.768423e-05 5.946772e-05
10322.000000 -2.863461e-05 -8.187340e-07 -7.356058e-08 -1.053056e-06 2.882374e-05 -7.845707e-04 -5.515067e-05 6.778850e-05
10327.000000 -2.860335e-05 -8.222880e-07 -7.315175e-08 -1.055317e-06 3.250937e-05 -7.686459e-04 -5.806297e-05 6.394579e-05
10332.000000 -2.848283e-05 -8.219906e-07 -7.248008e-08 -1.055222e-06 2.255262e-05 -7.437831e-04 -6.447037e-05 5.288136e-05
10337.000000 -2.854439e-05 -8.251799e-07 -7.260698e-08 -1.059520e-06 2.428338e-05 -7.753404e-04 -5.894803e-05 4.094114e-05
10341.000000 -2.848580e-05 -8.255708e-07 -7.319217e-08 -1.060728e-06 3.004040e-05 -7.764545e-04 -5.810714e-05 6.099928e-05
10344.000000 -2.842445e-05 -8.282272e-07 -7.406406e-08 -1.062434e-06 3.404026e-05 -7.907684e-04 -5.447536e-05 2.628669e-05
10346.000000 -2.830740e-05 -8.178053e-07 -7.387307e-08 -1.057019e-06 3.325067e-05 -7.954213e-04 -5.940818e-05 5.164138e-05
10347.000000 -2.827856e-05 -8.151904e-07 -7.406726e-08 -1.056311e-06 4.008674e-05 -8.020182e-04 -6.698621e-05 5.082383e-05
10347.200000 -2.828227e-05 -8.156821e-07 -7.417669e-08 -1.056257e-06 3.591947e-05 -8.032347e-04 -7.245483e-05 4.417654e-05
10347.400000 -2.824182e-05 -8.122512e-07 -7.382449e-08 -1.053808e-06 4.190512e-05 -7.900223e-04 -7.595879e-05 5.331483e-05
10347.600000 -2.823397e-05 -8.110928e-07 -7.386667e-08 -1.053254e-06 3.670142e-05 -7.857007e-04 -6.480751e-05 6.585615e-05
