# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.33237239839315
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999878
# Detector.I1.voltage: -1649.99707
# Detector.I2.voltage: -1650.000854
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370704
# Scan.uid: 7f4dec4f-7f94-4614-82ea-273d8a475ab6
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:30:00.582234
# Scan.end_time: 06/22/2023  18:30:34.496315
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.590026611
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 400.90000000000003
# SampleHeater.voltage.setpoint: 0.9271907466693096
# SampleHeater.voltage.readback: 0.9480000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.09
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.69976e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.22783e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 5.11603e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.88166e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.82799e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 4.76924e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6641e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.48496e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.969133e-05 -7.496597e-07 -2.167631e-07 -1.001815e-06 3.212141e-05 -9.454038e-04 -6.017820e-05 3.155527e-05
10172.000000 -2.958246e-05 -7.454055e-07 -2.145347e-07 -9.998031e-07 4.059475e-05 -9.454036e-04 -5.853828e-05 2.910895e-05
10177.000000 -2.952079e-05 -7.490265e-07 -2.133250e-07 -1.000352e-06 4.004301e-05 -9.386517e-04 -5.879988e-05 3.180638e-05
10182.000000 -2.943283e-05 -7.462703e-07 -2.088496e-07 -9.985894e-07 3.362364e-05 -9.240960e-04 -6.437499e-05 3.069211e-05
10187.000000 -2.944484e-05 -7.468435e-07 -2.011851e-07 -1.002041e-06 3.054199e-05 -9.170007e-04 -5.963102e-05 2.066774e-05
10192.000000 -2.953574e-05 -7.540728e-07 -1.858628e-07 -1.008399e-06 2.282481e-05 -9.197265e-04 -5.658204e-05 1.470355e-05
10197.000000 -2.952208e-05 -7.565126e-07 -1.383741e-07 -1.010093e-06 2.087793e-05 -9.027233e-04 -5.508946e-05 2.088318e-05
10202.000000 -2.945092e-05 -7.550271e-07 -4.571895e-08 -1.009073e-06 1.619565e-05 -9.046987e-04 -6.174926e-05 2.087811e-05
10207.000000 -2.944453e-05 -7.600927e-07 -1.820545e-08 -1.012327e-06 1.777744e-05 -9.140967e-04 -6.180126e-05 2.448898e-05
10212.000000 -2.942319e-05 -7.617638e-07 -3.750498e-08 -1.014515e-06 1.044335e-05 -8.917764e-04 -6.321160e-05 2.000535e-05
10217.000000 -2.936583e-05 -7.604632e-07 -4.862086e-08 -1.014596e-06 8.130927e-06 -8.830554e-04 -7.708971e-05 1.204920e-05
10222.000000 -2.935072e-05 -7.659643e-07 -5.761458e-08 -1.017761e-06 1.923283e-05 -9.165494e-04 -6.211453e-05 1.729335e-05
10227.000000 -2.930676e-05 -7.675063e-07 -6.324548e-08 -1.018621e-06 1.958660e-05 -9.239715e-04 -5.825083e-05 2.108821e-05
10232.000000 -2.923259e-05 -7.676317e-07 -6.527511e-08 -1.018118e-06 1.851780e-05 -9.258967e-04 -6.906552e-05 2.062665e-05
10237.000000 -2.919899e-05 -7.669370e-07 -6.666538e-08 -1.018485e-06 1.167477e-05 -9.395733e-04 -6.804736e-05 1.617644e-05
10242.000000 -2.917206e-05 -7.703846e-07 -6.852926e-08 -1.020568e-06 1.130890e-05 -9.398728e-04 -6.320550e-05 1.239582e-05
10247.000000 -2.914662e-05 -7.756266e-07 -7.187196e-08 -1.024074e-06 1.236566e-05 -9.301903e-04 -5.489706e-05 1.644888e-05
10252.000000 -2.911683e-05 -7.766576e-07 -7.134800e-08 -1.025274e-06 2.342729e-05 -9.335573e-04 -4.720430e-05 1.780437e-05
10257.000000 -2.909888e-05 -7.819976e-07 -6.895102e-08 -1.027773e-06 2.526258e-05 -9.299360e-04 -4.363542e-05 2.454314e-05
10262.000000 -2.901233e-05 -7.820719e-07 -6.857672e-08 -1.026944e-06 2.210389e-05 -9.328712e-04 -4.728810e-05 3.808136e-05
10267.000000 -2.906156e-05 -7.886564e-07 -7.034705e-08 -1.032361e-06 1.444686e-05 -9.492830e-04 -4.901719e-05 3.516815e-05
10272.000000 -2.904208e-05 -7.914358e-07 -7.132879e-08 -1.034260e-06 1.414393e-05 -9.427870e-04 -5.795850e-05 3.158446e-05
10277.000000 -2.894922e-05 -7.895187e-07 -7.047702e-08 -1.032458e-06 2.329745e-05 -9.654029e-04 -4.889839e-05 5.046363e-05
10282.000000 -2.877715e-05 -7.868420e-07 -6.905279e-08 -1.027764e-06 1.955167e-05 -9.825666e-04 -4.833517e-05 7.033137e-05
10287.000000 -2.882654e-05 -7.911021e-07 -6.970838e-08 -1.032473e-06 1.878360e-05 -9.942384e-04 -4.877502e-05 6.904111e-05
10292.000000 -2.874731e-05 -7.890599e-07 -7.150078e-08 -1.030718e-06 1.918123e-05 -9.858813e-04 -5.536000e-05 6.685329e-05
10297.000000 -2.874070e-05 -7.946378e-07 -7.314723e-08 -1.034042e-06 2.137184e-05 -9.815520e-04 -5.878335e-05 5.925952e-05
10302.000000 -2.877881e-05 -8.027725e-07 -7.348031e-08 -1.039989e-06 2.167362e-05 -9.794038e-04 -5.618088e-05 5.439151e-05
10307.000000 -2.875020e-05 -8.073136e-07 -7.382548e-08 -1.042577e-06 2.558153e-05 -9.684230e-04 -5.918314e-05 5.714616e-05
10312.000000 -2.870235e-05 -8.088120e-07 -7.421864e-08 -1.043988e-06 3.055281e-05 -9.846812e-04 -5.455045e-05 6.787698e-05
10317.000000 -2.865253e-05 -8.091317e-07 -7.346734e-08 -1.044850e-06 3.613087e-05 -9.909869e-04 -5.984298e-05 6.239299e-05
10322.000000 -2.859653e-05 -8.078448e-07 -7.264559e-08 -1.044732e-06 3.334117e-05 -1.002933e-03 -5.499789e-05 4.487686e-05
10327.000000 -2.853044e-05 -8.078540e-07 -7.187599e-08 -1.045807e-06 2.929499e-05 -1.022886e-03 -4.972711e-05 2.715933e-05
10332.000000 -2.842062e-05 -8.077013e-07 -7.121249e-08 -1.046792e-06 2.517553e-05 -1.024877e-03 -5.170826e-05 2.451109e-05
10337.000000 -2.854149e-05 -8.162171e-07 -7.198661e-08 -1.056579e-06 1.809430e-05 -9.927957e-04 -5.262520e-05 2.345877e-05
10341.000000 -2.850141e-05 -8.167412e-07 -7.237941e-08 -1.059240e-06 2.730735e-05 -9.834932e-04 -4.984950e-05 3.315638e-05
10344.000000 -2.846092e-05 -8.184911e-07 -7.326982e-08 -1.059883e-06 2.298345e-05 -9.701309e-04 -3.746780e-05 3.223354e-05
10346.000000 -2.843137e-05 -8.195594e-07 -7.409123e-08 -1.061157e-06 2.424625e-05 -9.672057e-04 -2.961517e-05 3.155679e-05
10347.000000 -2.844383e-05 -8.220123e-07 -7.447681e-08 -1.064886e-06 1.562149e-05 -9.846623e-04 -3.344739e-05 4.275119e-05
10347.200000 -2.843688e-05 -8.224925e-07 -7.467965e-08 -1.065185e-06 4.094170e-07 -9.971873e-04 -3.822177e-05 4.678234e-05
10347.400000 -2.839134e-05 -8.130112e-07 -7.398814e-08 -1.062607e-06 -2.041917e-06 -9.959370e-04 -4.533415e-05 4.037472e-05
10347.600000 -2.841642e-05 -8.189032e-07 -7.473248e-08 -1.063554e-06 6.407317e-06 -9.964790e-04 -3.655307e-05 3.824208e-05
