# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 398.8477358303716
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001099
# Detector.I1.voltage: -1650.001343
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370722
# Scan.uid: da7fe769-4b70-4ab1-821f-7c4ed6b4fa78
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/22/2023  18:47:57.525720
# Scan.end_time: 06/22/2023  18:48:30.517071
# Scan.name: CuGaO2-2nd O2-ramp  (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-2nd
# Sample.comment: 
# Sample.position.x: -66.493997553
# Sample.position.y: 31.5900075375
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 33.7
# SampleHeater.voltage.setpoint: 0.0021010698474574624
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.08544921875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0732421875
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1180013045668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.22541e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.20719e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 12
# SampleGasHandlingSystem.RGA.ch3.readback: 4.70022e-13
# SampleGasHandlingSystem.RGA.ch4.mass: 16
# SampleGasHandlingSystem.RGA.ch4.readback: 2.95289e-09
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.46303e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.72905e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6985e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 40
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.19516e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.966958e-05 -8.773579e-07 -2.529109e-07 -1.003106e-06 9.235897e-06 -9.289665e-04 -8.425285e-05 3.951963e-05
10172.000000 -2.953664e-05 -8.711818e-07 -2.499608e-07 -1.000020e-06 1.707697e-05 -9.167737e-04 -7.763018e-05 4.366548e-05
10177.000000 -2.942582e-05 -8.710193e-07 -2.472997e-07 -9.970984e-07 9.489249e-06 -9.113136e-04 -7.660474e-05 5.720977e-05
10182.000000 -2.943947e-05 -8.753901e-07 -2.442414e-07 -1.001455e-06 8.951142e-06 -9.206276e-04 -7.169898e-05 5.945791e-05
10187.000000 -2.946824e-05 -8.759632e-07 -2.357924e-07 -1.005755e-06 4.693852e-06 -9.243180e-04 -7.431536e-05 4.947465e-05
10192.000000 -2.952916e-05 -8.796202e-07 -2.168613e-07 -1.009963e-06 7.747041e-06 -9.485170e-04 -6.664651e-05 5.410820e-05
10197.000000 -2.950892e-05 -8.822569e-07 -1.614586e-07 -1.011391e-06 1.108536e-05 -9.483098e-04 -5.936640e-05 6.633722e-05
10202.000000 -2.945068e-05 -8.831468e-07 -5.393329e-08 -1.012163e-06 5.170867e-06 -9.458771e-04 -6.697288e-05 6.343826e-05
10207.000000 -2.943695e-05 -8.864005e-07 -2.167957e-08 -1.014565e-06 1.632503e-05 -9.305206e-04 -7.518876e-05 5.055595e-05
10212.000000 -2.942536e-05 -8.896360e-07 -4.415991e-08 -1.016437e-06 8.539109e-06 -9.342204e-04 -6.497420e-05 5.174656e-05
10217.000000 -2.938422e-05 -8.913101e-07 -5.702665e-08 -1.016970e-06 1.129869e-05 -9.431295e-04 -7.157783e-05 5.865510e-05
10222.000000 -2.931442e-05 -8.909563e-07 -6.694851e-08 -1.016229e-06 1.298610e-05 -9.249723e-04 -7.356043e-05 6.051622e-05
10227.000000 -2.917993e-05 -8.870631e-07 -7.348196e-08 -1.011537e-06 6.990952e-06 -9.249187e-04 -6.922108e-05 6.488647e-05
10232.000000 -2.914353e-05 -8.907627e-07 -7.666099e-08 -1.014090e-06 1.210264e-05 -9.403985e-04 -6.155998e-05 6.812003e-05
10237.000000 -2.918330e-05 -8.952167e-07 -7.875107e-08 -1.019816e-06 1.507035e-05 -9.320250e-04 -7.084014e-05 6.747472e-05
10242.000000 -2.914071e-05 -8.976547e-07 -8.024071e-08 -1.020331e-06 1.041927e-05 -9.517895e-04 -7.141623e-05 5.797309e-05
10247.000000 -2.911526e-05 -9.025760e-07 -8.404837e-08 -1.023395e-06 1.559126e-05 -9.365729e-04 -6.805185e-05 5.518389e-05
10252.000000 -2.903424e-05 -9.019750e-07 -8.340012e-08 -1.021173e-06 2.304247e-05 -9.210616e-04 -6.654368e-05 5.793665e-05
10257.000000 -2.901805e-05 -9.051035e-07 -8.004410e-08 -1.023645e-06 2.249122e-05 -9.519223e-04 -5.598502e-05 5.901566e-05
10262.000000 -2.901532e-05 -9.110236e-07 -7.995533e-08 -1.027939e-06 2.530791e-05 -9.533129e-04 -6.108850e-05 5.590582e-05
10267.000000 -2.903244e-05 -9.142417e-07 -8.183782e-08 -1.030584e-06 2.542621e-05 -9.558428e-04 -6.978166e-05 5.271633e-05
10272.000000 -2.898450e-05 -9.150601e-07 -8.264126e-08 -1.031046e-06 2.159799e-05 -9.389146e-04 -6.269710e-05 5.467095e-05
10277.000000 -2.893322e-05 -9.174784e-07 -8.196574e-08 -1.032910e-06 1.618127e-05 -9.343944e-04 -4.636201e-05 5.470277e-05
10282.000000 -2.879484e-05 -9.168810e-07 -8.104574e-08 -1.030648e-06 2.287718e-05 -9.154056e-04 -4.298796e-05 5.726483e-05
10287.000000 -2.881416e-05 -9.203610e-07 -8.186501e-08 -1.033360e-06 1.511467e-05 -9.257782e-04 -4.539858e-05 5.389935e-05
10292.000000 -2.879030e-05 -9.237783e-07 -8.428479e-08 -1.035719e-06 1.225076e-05 -9.226927e-04 -4.810729e-05 6.034522e-05
10297.000000 -2.876833e-05 -9.273029e-07 -8.564286e-08 -1.038072e-06 8.701057e-06 -9.188203e-04 -4.518598e-05 5.767452e-05
10302.000000 -2.875702e-05 -9.298411e-07 -8.562591e-08 -1.040640e-06 1.148883e-05 -9.217560e-04 -5.428606e-05 5.202828e-05
10307.000000 -2.873258e-05 -9.328106e-07 -8.579079e-08 -1.043383e-06 1.794858e-05 -9.162989e-04 -5.208105e-05 5.220201e-05
10312.000000 -2.869244e-05 -9.355648e-07 -8.576854e-08 -1.045659e-06 2.430005e-05 -9.108497e-04 -5.346333e-05 4.845500e-05
10317.000000 -2.861776e-05 -9.354772e-07 -8.542612e-08 -1.044642e-06 2.479621e-05 -9.205296e-04 -6.024565e-05 4.951423e-05
10322.000000 -2.859183e-05 -9.385671e-07 -8.483121e-08 -1.047380e-06 2.845787e-05 -8.860180e-04 -6.607206e-05 5.044335e-05
10327.000000 -2.853538e-05 -9.402900e-07 -8.403242e-08 -1.048599e-06 2.670070e-05 -8.882269e-04 -6.139067e-05 5.149077e-05
10332.000000 -2.839345e-05 -9.384292e-07 -8.309525e-08 -1.046494e-06 3.018372e-05 -9.133026e-04 -7.231873e-05 4.651229e-05
10337.000000 -2.852309e-05 -9.467349e-07 -8.365051e-08 -1.057063e-06 3.113166e-05 -8.903082e-04 -9.138103e-05 4.349704e-05
10341.000000 -2.849510e-05 -9.476353e-07 -8.424211e-08 -1.060213e-06 2.141174e-05 -8.835558e-04 -9.292021e-05 3.846110e-05
10344.000000 -2.847410e-05 -9.487399e-07 -8.525545e-08 -1.063198e-06 2.278311e-05 -8.684052e-04 -9.843401e-05 3.868305e-05
10346.000000 -2.841237e-05 -9.472154e-07 -8.569396e-08 -1.061560e-06 2.173997e-05 -8.614662e-04 -9.118436e-05 3.600841e-05
10347.000000 -2.842782e-05 -9.499635e-07 -8.650192e-08 -1.064495e-06 1.202984e-05 -8.629301e-04 -8.690898e-05 3.552078e-05
10347.200000 -2.846042e-05 -9.517875e-07 -8.694016e-08 -1.067607e-06 2.942950e-06 -8.617670e-04 -8.954660e-05 3.856228e-05
10347.400000 -2.846424e-05 -9.536764e-07 -8.730832e-08 -1.068407e-06 4.101108e-06 -8.616879e-04 -8.735417e-05 3.965787e-05
10347.600000 -2.844536e-05 -9.512461e-07 -8.720238e-08 -1.067235e-06 1.809736e-05 -8.450876e-04 -8.710057e-05 3.696299e-05
