# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8284535457735
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001831
# Detector.I1.voltage: -1650.00415
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370797
# Scan.uid: e759e66b-8596-4dd5-8f4c-b11da38a9d1c
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  00:17:26.095513
# Scan.end_time: 06/23/2023  00:18:01.128730
# Scan.name: Cu2O+Ga2O3-1st H2-RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 29.1
# SampleHeater.voltage.setpoint: 0.08360770553032279
# SampleHeater.voltage.readback: 0.077
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.620000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0244140625
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0244140625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.01627604104578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.71309e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 9.675e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.04158e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.3201e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.99009e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.96308e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.525806e-05 -4.301252e-07 -2.845273e-07 -2.905875e-07 1.243722e-04 1.376233e-03 -4.404369e-06 4.331628e-05
 8784.000000 -3.531726e-05 -4.303533e-07 -2.849567e-07 -2.914673e-07 1.246607e-04 1.366666e-03 -6.423775e-07 4.152953e-05
 8789.000000 -3.528456e-05 -4.306078e-07 -2.853912e-07 -2.920624e-07 1.282780e-04 1.360907e-03 4.644377e-06 4.142723e-05
 8794.000000 -3.514658e-05 -4.307170e-07 -2.853956e-07 -2.916804e-07 1.325513e-04 1.342402e-03 -3.458181e-06 3.760251e-05
 8799.000000 -3.477893e-05 -4.280144e-07 -2.837929e-07 -2.894841e-07 1.318512e-04 1.365059e-03 -6.127527e-06 4.583248e-05
 8804.000000 -3.499660e-05 -4.325519e-07 -2.871481e-07 -2.918762e-07 1.387140e-04 1.355964e-03 -3.873217e-06 4.051291e-05
 8809.000000 -3.481277e-05 -4.322072e-07 -2.871809e-07 -2.912087e-07 1.371840e-04 1.360006e-03 -4.039443e-06 4.603171e-05
 8814.000000 -3.442831e-05 -4.293932e-07 -2.853010e-07 -2.886948e-07 1.315763e-04 1.353872e-03 -1.022489e-06 5.374747e-05
 8819.000000 -3.472424e-05 -4.356747e-07 -2.897412e-07 -2.913187e-07 1.332690e-04 1.360691e-03 5.700692e-06 5.485090e-05
 8824.000000 -3.469241e-05 -4.376218e-07 -2.914191e-07 -2.917470e-07 1.296182e-04 1.368833e-03 3.799165e-06 5.640043e-05
 8829.000000 -3.463453e-05 -4.393792e-07 -2.931745e-07 -2.924729e-07 1.283215e-04 1.379622e-03 5.890788e-06 5.095894e-05
 8834.000000 -3.457961e-05 -4.411060e-07 -2.943311e-07 -2.930399e-07 1.263697e-04 1.388974e-03 1.104977e-05 4.545802e-05
 8839.000000 -3.444833e-05 -4.420409e-07 -2.950727e-07 -2.930241e-07 1.293715e-04 1.391185e-03 1.905646e-05 4.248781e-05
 8844.000000 -3.428598e-05 -4.418955e-07 -2.950924e-07 -2.928525e-07 1.317438e-04 1.397187e-03 8.181760e-06 4.079964e-05
 8849.000000 -3.417436e-05 -4.427417e-07 -2.960088e-07 -2.929237e-07 1.398465e-04 1.385667e-03 1.062214e-05 4.204664e-05
 8854.000000 -3.402898e-05 -4.432162e-07 -2.964040e-07 -2.927682e-07 1.436879e-04 1.368957e-03 2.135714e-05 4.418073e-05
 8859.000000 -3.377691e-05 -4.419763e-07 -2.957534e-07 -2.918617e-07 1.417271e-04 1.366523e-03 1.814198e-05 4.475045e-05
 8864.000000 -3.369976e-05 -4.437518e-07 -2.969202e-07 -2.923236e-07 1.299308e-04 1.379887e-03 1.099469e-05 4.298917e-05
 8869.000000 -3.368145e-05 -4.463848e-07 -2.989239e-07 -2.930958e-07 1.304420e-04 1.377432e-03 -5.597793e-06 4.958844e-05
 8874.000000 -3.358120e-05 -4.482173e-07 -3.005145e-07 -2.933140e-07 1.339882e-04 1.393930e-03 1.851185e-06 5.497280e-05
 8879.000000 -3.355355e-05 -4.510086e-07 -3.028153e-07 -2.943615e-07 1.333595e-04 1.400272e-03 2.574077e-07 5.840995e-05
 8884.000000 -3.330753e-05 -4.500488e-07 -3.022072e-07 -2.937935e-07 1.277235e-04 1.389405e-03 1.878072e-07 6.249942e-05
 8889.000000 -3.286092e-05 -4.460986e-07 -2.994729e-07 -2.912716e-07 1.358305e-04 1.372846e-03 -2.056652e-06 6.996583e-05
 8894.000000 -3.289119e-05 -4.487640e-07 -3.014100e-07 -2.912159e-07 1.294691e-04 1.381193e-03 4.846392e-06 6.714035e-05
 8899.000000 -3.286902e-05 -4.518115e-07 -3.037279e-07 -2.913749e-07 1.287120e-04 1.383046e-03 8.229180e-07 6.094653e-05
 8904.000000 -3.287336e-05 -4.545474e-07 -3.057151e-07 -2.918379e-07 1.274416e-04 1.386729e-03 -1.139136e-05 5.883299e-05
 8909.000000 -3.272783e-05 -4.553703e-07 -3.063203e-07 -2.908339e-07 1.292985e-04 1.407356e-03 -5.582743e-06 6.060623e-05
 8914.000000 -3.259010e-05 -4.567287e-07 -3.071024e-07 -2.901025e-07 1.225786e-04 1.417242e-03 -3.242538e-06 6.292460e-05
 8919.000000 -3.250791e-05 -4.585350e-07 -3.084941e-07 -2.901338e-07 1.225046e-04 1.421999e-03 -6.770083e-06 5.534107e-05
 8924.000000 -3.233746e-05 -4.589532e-07 -3.090929e-07 -2.894995e-07 1.262098e-04 1.405083e-03 -6.931687e-06 4.650349e-05
 8929.000000 -3.234018e-05 -4.624132e-07 -3.114708e-07 -2.907251e-07 1.232091e-04 1.424714e-03 -6.605203e-06 4.953805e-05
 8934.000000 -3.224278e-05 -4.646432e-07 -3.129919e-07 -2.908808e-07 1.362838e-04 1.407682e-03 -5.598064e-07 5.164331e-05
 8939.000000 -3.211255e-05 -4.660312e-07 -3.138128e-07 -2.906855e-07 1.348171e-04 1.401170e-03 1.058956e-06 5.138846e-05
 8944.000000 -3.199095e-05 -4.679400e-07 -3.150597e-07 -2.906249e-07 1.256847e-04 1.393253e-03 -2.519416e-06 4.525141e-05
 8949.000000 -3.180639e-05 -4.679586e-07 -3.147320e-07 -2.900340e-07 1.289257e-04 1.439119e-03 6.718169e-06 3.020977e-05
 8953.000000 -3.172915e-05 -4.682306e-07 -3.147353e-07 -2.899778e-07 1.311341e-04 1.450794e-03 9.055220e-06 4.228385e-05
 8956.000000 -3.169285e-05 -4.694947e-07 -3.151974e-07 -2.901981e-07 1.339958e-04 1.450552e-03 5.960043e-06 4.768403e-05
 8958.000000 -3.158960e-05 -4.678815e-07 -3.139485e-07 -2.897724e-07 1.282617e-04 1.449165e-03 4.998288e-06 4.332350e-05
 8959.000000 -3.157902e-05 -4.676038e-07 -3.139119e-07 -2.898281e-07 1.264165e-04 1.436949e-03 9.793826e-06 3.990988e-05
 8959.200000 -3.158066e-05 -4.681616e-07 -3.143497e-07 -2.899447e-07 1.329624e-04 1.417770e-03 1.017741e-05 3.747288e-05
 8959.400000 -3.154325e-05 -4.669601e-07 -3.132376e-07 -2.896242e-07 1.280538e-04 1.435221e-03 1.078752e-05 4.550540e-05
 8959.600000 -3.153819e-05 -4.672279e-07 -3.130988e-07 -2.894713e-07 1.287285e-04 1.440937e-03 1.238582e-07 4.903886e-05
