# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.71940872385227
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001221
# Detector.I1.voltage: -1650.002808
# Detector.I2.voltage: -1650.002197
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370799
# Scan.uid: f4854925-acc7-405a-95ec-0fbcf7c71b9a
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  00:19:28.074955
# Scan.end_time: 06/23/2023  00:20:02.528689
# Scan.name: Cu2O+Ga2O3-1st H2-RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.6
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.006
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.52
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0244140625
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0244140625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.01627604104578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.28438e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 7.27707e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.94349e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2556e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.86378e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.09394e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.515668e-05 -4.268621e-07 -2.822343e-07 -2.898120e-07 1.229221e-04 1.205230e-03 1.712865e-05 9.605634e-05
 8784.000000 -3.526099e-05 -4.282484e-07 -2.832422e-07 -2.910421e-07 1.261062e-04 1.200765e-03 1.765265e-05 9.383148e-05
 8789.000000 -3.515482e-05 -4.276291e-07 -2.832794e-07 -2.908951e-07 1.242508e-04 1.176484e-03 3.917401e-06 1.002536e-04
 8794.000000 -3.503993e-05 -4.277772e-07 -2.834826e-07 -2.907253e-07 1.252859e-04 1.184525e-03 4.449286e-06 1.046303e-04
 8799.000000 -3.468175e-05 -4.248319e-07 -2.817385e-07 -2.884812e-07 1.197234e-04 1.174285e-03 1.010982e-05 1.036840e-04
 8804.000000 -3.494727e-05 -4.298460e-07 -2.852015e-07 -2.912659e-07 1.118081e-04 1.169564e-03 6.482032e-06 9.949016e-05
 8809.000000 -3.486759e-05 -4.307000e-07 -2.862732e-07 -2.911551e-07 1.217596e-04 1.170529e-03 6.065975e-06 9.797741e-05
 8814.000000 -3.472625e-05 -4.316766e-07 -2.870536e-07 -2.904779e-07 1.199453e-04 1.186566e-03 1.144342e-05 9.802201e-05
 8819.000000 -3.474350e-05 -4.346341e-07 -2.890910e-07 -2.912514e-07 1.272120e-04 1.193173e-03 1.261545e-05 9.530574e-05
 8824.000000 -3.468857e-05 -4.359425e-07 -2.904953e-07 -2.916700e-07 1.245723e-04 1.199482e-03 7.320190e-06 1.053026e-04
 8829.000000 -3.461894e-05 -4.378424e-07 -2.917151e-07 -2.922200e-07 1.140598e-04 1.199497e-03 3.577927e-06 9.844278e-05
 8834.000000 -3.449828e-05 -4.383978e-07 -2.921336e-07 -2.923408e-07 1.201197e-04 1.220112e-03 5.624270e-06 1.014533e-04
 8839.000000 -3.434090e-05 -4.390405e-07 -2.930181e-07 -2.922990e-07 1.176059e-04 1.217495e-03 8.043822e-06 9.991235e-05
 8844.000000 -3.416024e-05 -4.384979e-07 -2.927415e-07 -2.920002e-07 1.107569e-04 1.221896e-03 9.356567e-06 1.034609e-04
 8849.000000 -3.402433e-05 -4.386942e-07 -2.930009e-07 -2.918226e-07 1.125203e-04 1.220296e-03 7.015634e-06 9.981130e-05
 8854.000000 -3.398473e-05 -4.400655e-07 -2.942940e-07 -2.924628e-07 1.081076e-04 1.216542e-03 1.361052e-05 9.518728e-05
 8859.000000 -3.391068e-05 -4.409830e-07 -2.951579e-07 -2.928907e-07 1.121663e-04 1.219506e-03 1.677715e-05 1.001034e-04
 8864.000000 -3.385264e-05 -4.429884e-07 -2.965503e-07 -2.933218e-07 1.207721e-04 1.220059e-03 1.050859e-05 9.809011e-05
 8869.000000 -3.371264e-05 -4.446693e-07 -2.981401e-07 -2.931371e-07 1.266854e-04 1.204061e-03 2.330169e-05 1.024405e-04
 8874.000000 -3.350946e-05 -4.452668e-07 -2.983996e-07 -2.927582e-07 1.233089e-04 1.217000e-03 1.724299e-05 1.030911e-04
 8879.000000 -3.332592e-05 -4.455326e-07 -2.985902e-07 -2.925759e-07 1.193366e-04 1.222457e-03 1.678085e-05 9.710956e-05
 8884.000000 -3.307506e-05 -4.452942e-07 -2.986060e-07 -2.916138e-07 1.237957e-04 1.221100e-03 1.238359e-05 1.020767e-04
 8889.000000 -3.288871e-05 -4.467904e-07 -3.001550e-07 -2.913079e-07 1.224028e-04 1.230087e-03 1.039413e-05 1.050400e-04
 8894.000000 -3.299141e-05 -4.502146e-07 -3.025225e-07 -2.920749e-07 1.192079e-04 1.225505e-03 8.841508e-06 1.025000e-04
 8899.000000 -3.303543e-05 -4.541889e-07 -3.051725e-07 -2.926367e-07 1.156300e-04 1.236631e-03 6.220263e-06 1.034926e-04
 8904.000000 -3.293104e-05 -4.555944e-07 -3.063707e-07 -2.920741e-07 1.099182e-04 1.258775e-03 -7.791009e-06 9.393762e-05
 8909.000000 -3.277777e-05 -4.562705e-07 -3.071095e-07 -2.912264e-07 1.198353e-04 1.274062e-03 6.887940e-06 1.003618e-04
 8914.000000 -3.248882e-05 -4.556709e-07 -3.066523e-07 -2.890581e-07 1.243560e-04 1.254136e-03 -1.176827e-06 1.035335e-04
 8919.000000 -3.241863e-05 -4.579959e-07 -3.082931e-07 -2.891984e-07 1.203603e-04 1.266572e-03 1.025266e-06 1.003698e-04
 8924.000000 -3.226846e-05 -4.585809e-07 -3.089129e-07 -2.888474e-07 1.240859e-04 1.294279e-03 1.264854e-05 1.022036e-04
 8929.000000 -3.225316e-05 -4.614307e-07 -3.107565e-07 -2.897878e-07 1.270483e-04 1.283058e-03 7.890849e-06 1.006254e-04
 8934.000000 -3.216569e-05 -4.626857e-07 -3.116427e-07 -2.902625e-07 1.329338e-04 1.279136e-03 7.562407e-06 9.738274e-05
 8939.000000 -3.199318e-05 -4.630804e-07 -3.118271e-07 -2.897138e-07 1.298160e-04 1.293807e-03 -5.605346e-06 8.627749e-05
 8944.000000 -3.191332e-05 -4.655211e-07 -3.132897e-07 -2.900308e-07 1.232068e-04 1.289895e-03 -5.981781e-06 8.343809e-05
 8949.000000 -3.175888e-05 -4.670544e-07 -3.142358e-07 -2.895183e-07 1.255810e-04 1.233559e-03 -9.232753e-06 5.194311e-05
 8953.000000 -3.166000e-05 -4.678829e-07 -3.144158e-07 -2.894242e-07 1.232427e-04 1.215037e-03 2.337222e-07 3.102927e-05
 8956.000000 -3.159320e-05 -4.681422e-07 -3.142879e-07 -2.895209e-07 1.162932e-04 1.240102e-03 5.349723e-06 3.409576e-05
 8958.000000 -3.154306e-05 -4.678890e-07 -3.136594e-07 -2.895343e-07 1.174479e-04 1.245041e-03 1.400278e-05 4.141700e-05
 8959.000000 -3.155676e-05 -4.689752e-07 -3.146105e-07 -2.899107e-07 1.183294e-04 1.237430e-03 2.354470e-05 4.510272e-05
 8959.200000 -3.155624e-05 -4.693130e-07 -3.147239e-07 -2.900800e-07 1.152581e-04 1.245880e-03 3.339916e-05 4.600546e-05
 8959.400000 -3.155754e-05 -4.691096e-07 -3.145078e-07 -2.901799e-07 1.206168e-04 1.264804e-03 2.511793e-05 3.885633e-05
 8959.600000 -3.154423e-05 -4.692111e-07 -3.145449e-07 -2.900724e-07 1.154280e-04 1.249883e-03 1.684067e-05 3.638458e-05
