# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1913321371382
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002075
# Detector.I1.voltage: -1650.003052
# Detector.I2.voltage: -1650.003418
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370798
# Scan.uid: 350aac37-12ae-4d2b-a401-a67bcd04d4c5
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:18:28.078380
# Scan.end_time: 06/23/2023  00:19:03.695372
# Scan.name: Cu2O+Ga2O3-1st H2-RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.900000000000002
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.64
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0244140625
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0244140625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.01627604104578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.4409e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 8.25412e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.98178e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.3072e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 2.07206e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.31499e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.011088e-05 -1.122458e-06 -3.273873e-07 -8.308273e-07 1.323951e-04 1.215356e-03 1.181131e-05 4.887522e-05
10172.000000 -2.998847e-05 -1.117597e-06 -3.241999e-07 -8.290110e-07 1.404866e-04 1.215070e-03 1.650745e-05 4.573393e-05
10177.000000 -2.996944e-05 -1.118054e-06 -3.212305e-07 -8.293610e-07 1.360868e-04 1.221817e-03 1.935232e-05 4.724244e-05
10182.000000 -2.991753e-05 -1.118475e-06 -3.155116e-07 -8.298874e-07 1.294509e-04 1.227352e-03 2.371853e-05 5.364695e-05
10187.000000 -2.987374e-05 -1.118819e-06 -3.042193e-07 -8.314107e-07 1.202708e-04 1.231796e-03 2.177648e-05 5.686109e-05
10192.000000 -2.984344e-05 -1.120267e-06 -2.784596e-07 -8.328197e-07 1.115569e-04 1.197433e-03 2.748217e-05 5.727942e-05
10197.000000 -2.992396e-05 -1.128062e-06 -2.072917e-07 -8.364077e-07 1.175607e-04 1.203847e-03 2.191477e-05 6.495051e-05
10202.000000 -2.988329e-05 -1.130079e-06 -6.665172e-08 -8.376986e-07 1.177811e-04 1.206917e-03 1.922079e-05 5.905149e-05
10207.000000 -2.987776e-05 -1.134452e-06 -2.714623e-08 -8.397679e-07 1.125764e-04 1.206720e-03 1.582567e-05 5.766033e-05
10212.000000 -2.987682e-05 -1.138742e-06 -5.599926e-08 -8.417800e-07 1.092103e-04 1.196799e-03 5.522908e-06 6.236184e-05
10217.000000 -2.984752e-05 -1.143132e-06 -7.280203e-08 -8.427702e-07 1.059673e-04 1.192953e-03 6.763087e-06 6.279126e-05
10222.000000 -2.980941e-05 -1.147061e-06 -8.584768e-08 -8.439315e-07 1.052659e-04 1.196333e-03 6.799475e-06 5.589519e-05
10227.000000 -2.976732e-05 -1.151368e-06 -9.483189e-08 -8.447386e-07 1.153088e-04 1.183747e-03 3.990591e-06 4.876343e-05
10232.000000 -2.971750e-05 -1.154585e-06 -9.865376e-08 -8.455428e-07 1.271158e-04 1.196276e-03 9.584532e-06 5.228818e-05
10237.000000 -2.971661e-05 -1.159770e-06 -1.012116e-07 -8.478088e-07 1.223451e-04 1.216436e-03 1.781203e-05 4.332806e-05
10242.000000 -2.967014e-05 -1.163390e-06 -1.032799e-07 -8.494378e-07 1.161943e-04 1.206253e-03 1.816885e-05 4.071015e-05
10247.000000 -2.959044e-05 -1.165130e-06 -1.075479e-07 -8.497855e-07 1.131612e-04 1.233629e-03 2.070583e-05 4.700659e-05
10252.000000 -2.949704e-05 -1.166000e-06 -1.069074e-07 -8.501960e-07 1.138840e-04 1.243027e-03 1.145441e-05 3.746673e-05
10257.000000 -2.949287e-05 -1.170979e-06 -1.032415e-07 -8.521381e-07 1.144003e-04 1.228974e-03 1.519472e-05 4.141728e-05
10262.000000 -2.943359e-05 -1.173834e-06 -1.026298e-07 -8.524614e-07 1.149794e-04 1.234598e-03 1.579317e-05 4.535562e-05
10267.000000 -2.946111e-05 -1.180506e-06 -1.050124e-07 -8.560213e-07 1.087158e-04 1.227839e-03 2.331729e-05 5.626396e-05
10272.000000 -2.946071e-05 -1.185829e-06 -1.060532e-07 -8.579847e-07 1.076143e-04 1.219373e-03 1.782273e-05 5.575489e-05
10277.000000 -2.939699e-05 -1.189575e-06 -1.057939e-07 -8.579653e-07 1.131976e-04 1.238050e-03 1.871512e-05 5.929992e-05
10282.000000 -2.925330e-05 -1.189021e-06 -1.041516e-07 -8.556871e-07 1.125688e-04 1.253376e-03 1.816611e-05 6.208042e-05
10287.000000 -2.929824e-05 -1.199249e-06 -1.058944e-07 -8.592150e-07 1.066228e-04 1.245676e-03 2.083081e-05 6.672858e-05
10292.000000 -2.926521e-05 -1.204723e-06 -1.094409e-07 -8.605170e-07 1.086432e-04 1.217576e-03 8.350685e-06 6.853160e-05
10297.000000 -2.920739e-05 -1.207474e-06 -1.110361e-07 -8.614910e-07 1.061036e-04 1.227840e-03 7.693797e-06 6.991397e-05
10302.000000 -2.919435e-05 -1.212683e-06 -1.111549e-07 -8.636005e-07 1.060990e-04 1.235144e-03 3.849532e-06 7.282237e-05
10307.000000 -2.918948e-05 -1.220923e-06 -1.115867e-07 -8.652599e-07 1.061309e-04 1.232441e-03 1.076636e-05 6.562991e-05
10312.000000 -2.916016e-05 -1.227677e-06 -1.119866e-07 -8.666677e-07 1.139254e-04 1.227542e-03 7.544418e-06 5.367480e-05
10317.000000 -2.912231e-05 -1.234502e-06 -1.119870e-07 -8.685820e-07 1.107718e-04 1.231452e-03 2.940675e-06 4.742062e-05
10322.000000 -2.907107e-05 -1.238355e-06 -1.113902e-07 -8.703786e-07 1.078096e-04 1.217118e-03 6.531287e-06 4.651875e-05
10327.000000 -2.902702e-05 -1.241076e-06 -1.102113e-07 -8.719946e-07 1.144466e-04 1.210637e-03 1.132252e-05 5.342086e-05
10332.000000 -2.890249e-05 -1.238837e-06 -1.088713e-07 -8.718179e-07 1.085478e-04 1.204811e-03 1.771724e-05 4.734152e-05
10337.000000 -2.897515e-05 -1.243078e-06 -1.090628e-07 -8.765346e-07 1.141170e-04 1.199713e-03 2.729504e-05 4.970618e-05
10341.000000 -2.890213e-05 -1.242494e-06 -1.097364e-07 -8.777599e-07 1.197052e-04 1.231807e-03 2.339163e-05 3.920311e-05
10344.000000 -2.888505e-05 -1.248257e-06 -1.115235e-07 -8.797004e-07 1.196758e-04 1.256104e-03 1.448744e-05 4.173829e-05
10346.000000 -2.882710e-05 -1.245874e-06 -1.126098e-07 -8.803134e-07 1.187766e-04 1.224606e-03 1.402195e-06 4.672240e-05
10347.000000 -2.872096e-05 -1.235186e-06 -1.120409e-07 -8.788593e-07 1.190151e-04 1.209308e-03 -2.242086e-06 5.179216e-05
10347.200000 -2.869291e-05 -1.230954e-06 -1.117515e-07 -8.781828e-07 1.263796e-04 1.215595e-03 -3.004140e-06 5.644389e-05
10347.400000 -2.876570e-05 -1.238945e-06 -1.125388e-07 -8.807196e-07 1.237638e-04 1.223254e-03 -6.373578e-06 4.881667e-05
10347.600000 -2.885461e-05 -1.250812e-06 -1.137983e-07 -8.827810e-07 1.258446e-04 1.216867e-03 -4.366383e-06 3.392759e-05
10347.800000 -2.884079e-05 -1.249335e-06 -1.138842e-07 -8.830058e-07 1.312224e-04 1.228274e-03 1.447995e-05 2.987375e-05
