# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 401.14990908798313
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00293
# Detector.I1.voltage: -1650.000977
# Detector.I2.voltage: -1650.002808
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370794
# Scan.uid: d6f4d68f-d732-4b9e-ae38-8480f11a4b00
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:14:28.516338
# Scan.end_time: 06/23/2023  00:15:03.530872
# Scan.name: Cu2O+Ga2O3-1st H2-RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.609811845
# Sample.position.y: 30.049650750999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 29.8
# SampleHeater.voltage.setpoint: 0.0753179090887479
# SampleHeater.voltage.readback: 0.08
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 9.964
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 24.2
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.03662109375
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0244140625
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.01627604104578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.67406e-09
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.07379e-09
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.06442e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.25087e-07
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 2.0425e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.862e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.017573e-05 -1.130438e-06 -3.299017e-07 -8.317166e-07 1.383039e-04 1.366722e-03 7.357173e-07 8.765116e-05
10172.000000 -3.006576e-05 -1.125047e-06 -3.262315e-07 -8.302574e-07 1.359197e-04 1.372961e-03 1.448572e-07 8.345958e-05
10177.000000 -2.999811e-05 -1.122900e-06 -3.224937e-07 -8.295361e-07 1.441861e-04 1.353006e-03 1.430278e-05 7.935200e-05
10182.000000 -2.995297e-05 -1.124141e-06 -3.171030e-07 -8.301722e-07 1.412999e-04 1.369722e-03 1.594691e-05 8.301036e-05
10187.000000 -2.997523e-05 -1.130633e-06 -3.071669e-07 -8.330922e-07 1.318565e-04 1.367659e-03 2.097334e-05 7.545224e-05
10192.000000 -2.996716e-05 -1.133685e-06 -2.815904e-07 -8.354362e-07 1.223867e-04 1.367298e-03 2.170167e-05 7.730422e-05
10197.000000 -2.997917e-05 -1.138808e-06 -2.087451e-07 -8.378653e-07 1.314907e-04 1.379050e-03 1.370199e-05 7.841634e-05
10202.000000 -2.992963e-05 -1.140890e-06 -6.690587e-08 -8.391781e-07 1.359061e-04 1.383742e-03 2.076304e-05 7.885789e-05
10207.000000 -2.980994e-05 -1.138278e-06 -2.682383e-08 -8.384724e-07 1.307778e-04 1.351374e-03 1.703146e-05 7.983948e-05
10212.000000 -2.981453e-05 -1.143587e-06 -5.628512e-08 -8.402183e-07 1.356639e-04 1.368995e-03 1.466058e-05 7.991468e-05
10217.000000 -2.983794e-05 -1.149908e-06 -7.320434e-08 -8.426366e-07 1.403004e-04 1.380868e-03 9.896819e-06 7.632795e-05
10222.000000 -2.978535e-05 -1.152653e-06 -8.639543e-08 -8.432913e-07 1.415571e-04 1.365459e-03 9.302649e-06 6.391387e-05
10227.000000 -2.973018e-05 -1.155892e-06 -9.534025e-08 -8.436786e-07 1.306138e-04 1.345631e-03 1.034825e-05 7.132546e-05
10232.000000 -2.970869e-05 -1.161491e-06 -9.929785e-08 -8.449509e-07 1.257235e-04 1.333615e-03 2.350482e-05 7.807849e-05
10237.000000 -2.969785e-05 -1.167369e-06 -1.020705e-07 -8.475194e-07 1.265476e-04 1.327745e-03 1.301404e-05 7.220852e-05
10242.000000 -2.968414e-05 -1.172804e-06 -1.040372e-07 -8.496014e-07 1.225570e-04 1.324965e-03 1.524501e-05 7.177213e-05
10247.000000 -2.953676e-05 -1.169619e-06 -1.080388e-07 -8.485406e-07 1.185101e-04 1.338216e-03 2.390752e-05 7.405166e-05
10252.000000 -2.958250e-05 -1.179645e-06 -1.083067e-07 -8.517184e-07 1.184601e-04 1.316997e-03 1.917356e-05 7.887455e-05
10257.000000 -2.957969e-05 -1.185374e-06 -1.043689e-07 -8.538856e-07 1.097553e-04 1.348901e-03 1.717072e-05 8.425245e-05
10262.000000 -2.948327e-05 -1.186844e-06 -1.034715e-07 -8.532960e-07 1.150370e-04 1.342464e-03 1.311222e-05 8.591385e-05
10267.000000 -2.952464e-05 -1.194980e-06 -1.061362e-07 -8.567642e-07 1.124496e-04 1.326561e-03 1.307105e-05 9.062362e-05
10272.000000 -2.950495e-05 -1.199385e-06 -1.071763e-07 -8.584702e-07 1.218852e-04 1.327304e-03 1.280944e-05 8.929709e-05
10277.000000 -2.943572e-05 -1.202177e-06 -1.067944e-07 -8.583237e-07 1.259511e-04 1.314651e-03 5.438235e-06 8.880580e-05
10282.000000 -2.929450e-05 -1.203106e-06 -1.055566e-07 -8.564835e-07 1.212275e-04 1.302374e-03 5.481579e-06 9.036660e-05
10287.000000 -2.930051e-05 -1.209741e-06 -1.068247e-07 -8.594539e-07 1.259724e-04 1.324554e-03 7.001798e-06 9.834222e-05
10292.000000 -2.927109e-05 -1.214850e-06 -1.101375e-07 -8.609476e-07 1.229537e-04 1.331110e-03 9.336631e-06 9.065644e-05
10297.000000 -2.926609e-05 -1.221817e-06 -1.124335e-07 -8.627547e-07 1.176377e-04 1.330396e-03 1.538288e-05 8.487085e-05
10302.000000 -2.923006e-05 -1.223686e-06 -1.119439e-07 -8.642817e-07 1.135633e-04 1.335427e-03 1.394802e-05 8.975637e-05
10307.000000 -2.915929e-05 -1.224988e-06 -1.120868e-07 -8.649246e-07 1.056237e-04 1.340708e-03 9.407839e-06 8.926733e-05
10312.000000 -2.903943e-05 -1.221879e-06 -1.117414e-07 -8.645077e-07 1.113401e-04 1.346630e-03 1.221430e-05 9.138832e-05
10317.000000 -2.903503e-05 -1.229630e-06 -1.116197e-07 -8.667883e-07 1.184358e-04 1.353256e-03 2.455359e-05 9.768404e-05
10322.000000 -2.909448e-05 -1.242074e-06 -1.116146e-07 -8.705196e-07 1.200966e-04 1.351017e-03 2.805369e-05 9.344604e-05
10327.000000 -2.902740e-05 -1.243928e-06 -1.105961e-07 -8.718433e-07 1.274161e-04 1.363395e-03 2.718876e-05 8.721076e-05
10332.000000 -2.889737e-05 -1.243991e-06 -1.094500e-07 -8.716155e-07 1.286816e-04 1.388564e-03 3.197044e-05 8.796758e-05
10337.000000 -2.899933e-05 -1.253807e-06 -1.099622e-07 -8.775109e-07 1.267279e-04 1.401977e-03 2.327762e-05 8.641756e-05
10341.000000 -2.897481e-05 -1.256192e-06 -1.107943e-07 -8.797641e-07 1.268292e-04 1.382596e-03 1.296027e-05 7.945303e-05
10344.000000 -2.894082e-05 -1.256877e-06 -1.119551e-07 -8.814632e-07 1.179696e-04 1.366040e-03 1.960531e-05 8.992395e-05
10346.000000 -2.892109e-05 -1.259041e-06 -1.134556e-07 -8.825676e-07 1.156242e-04 1.338999e-03 2.910843e-05 8.768470e-05
10347.000000 -2.891224e-05 -1.260192e-06 -1.142541e-07 -8.835220e-07 1.150690e-04 1.354069e-03 2.375113e-05 8.762236e-05
10347.200000 -2.889826e-05 -1.258317e-06 -1.140145e-07 -8.837496e-07 1.102869e-04 1.360328e-03 1.839885e-05 8.442621e-05
10347.400000 -2.889273e-05 -1.260323e-06 -1.145048e-07 -8.838586e-07 1.137899e-04 1.362667e-03 2.508208e-05 8.660451e-05
10347.600000 -2.890770e-05 -1.261205e-06 -1.147430e-07 -8.842331e-07 1.172088e-04 1.343461e-03 8.873450e-06 7.641096e-05
10347.800000 -2.888534e-05 -1.258133e-06 -1.149166e-07 -8.835841e-07 1.108469e-04 1.336307e-03 4.269516e-06 7.067025e-05
