# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.5934805104003
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002075
# Detector.I1.voltage: -1650.002808
# Detector.I2.voltage: -1650.003296
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370803
# Scan.uid: 9764a5c8-f709-43ab-8f84-2c8ce726b05e
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  00:26:31.103463
# Scan.end_time: 06/23/2023  00:27:06.037281
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049975000499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 60.0605050910286
# SampleHeater.temperature2.readback: 57.800000000000004
# SampleHeater.voltage.setpoint: 0.33256016939793964
# SampleHeater.voltage.readback: 0.34400000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.25
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.09765625
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0244140625
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.06103515625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02034505270421505
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.98553e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.50479e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.63038e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1782e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.70588e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.05214e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.517101e-05 -4.243208e-07 -2.807248e-07 -2.898223e-07 1.173691e-04 1.169694e-03 -7.044684e-06 6.503726e-05
 8784.000000 -3.527968e-05 -4.253848e-07 -2.816355e-07 -2.912642e-07 1.184706e-04 1.185165e-03 -7.478780e-06 6.368346e-05
 8789.000000 -3.525428e-05 -4.250280e-07 -2.816011e-07 -2.918373e-07 1.212040e-04 1.150018e-03 9.660331e-07 6.551366e-05
 8794.000000 -3.509930e-05 -4.244731e-07 -2.815757e-07 -2.911467e-07 1.246317e-04 1.116199e-03 -8.959329e-06 6.188406e-05
 8799.000000 -3.469661e-05 -4.216947e-07 -2.799309e-07 -2.886466e-07 1.124547e-04 1.104414e-03 -5.166922e-06 5.821836e-05
 8804.000000 -3.493703e-05 -4.260381e-07 -2.827248e-07 -2.913801e-07 1.122414e-04 1.109309e-03 -2.539398e-06 6.234444e-05
 8809.000000 -3.481170e-05 -4.260301e-07 -2.830368e-07 -2.909249e-07 1.266918e-04 1.091550e-03 -3.588089e-06 6.018042e-05
 8814.000000 -3.462640e-05 -4.260590e-07 -2.829667e-07 -2.898007e-07 1.248933e-04 1.101880e-03 -7.576916e-06 6.445168e-05
 8819.000000 -3.466991e-05 -4.297900e-07 -2.859329e-07 -2.904406e-07 1.206189e-04 1.117920e-03 1.498531e-06 7.513538e-05
 8824.000000 -3.463323e-05 -4.321359e-07 -2.877355e-07 -2.910185e-07 1.165069e-04 1.099994e-03 5.646983e-06 7.041457e-05
 8829.000000 -3.458995e-05 -4.336776e-07 -2.887267e-07 -2.917462e-07 1.197470e-04 1.110575e-03 9.822720e-07 7.121995e-05
 8834.000000 -3.452949e-05 -4.355880e-07 -2.902730e-07 -2.924007e-07 1.227683e-04 1.108481e-03 -2.415261e-06 6.343860e-05
 8839.000000 -3.440203e-05 -4.358320e-07 -2.906305e-07 -2.922800e-07 1.226604e-04 1.103411e-03 -5.626415e-06 5.328034e-05
 8844.000000 -3.420737e-05 -4.350189e-07 -2.902190e-07 -2.917128e-07 1.222411e-04 1.090907e-03 -5.484023e-06 5.221892e-05
 8849.000000 -3.407954e-05 -4.362494e-07 -2.915244e-07 -2.916943e-07 1.274381e-04 1.078706e-03 -1.380573e-05 5.125009e-05
 8854.000000 -3.395643e-05 -4.373975e-07 -2.922120e-07 -2.917156e-07 1.202260e-04 1.075868e-03 -1.651029e-05 4.464640e-05
 8859.000000 -3.386953e-05 -4.389698e-07 -2.936810e-07 -2.922219e-07 1.301479e-04 1.085177e-03 -5.772834e-06 5.009931e-05
 8864.000000 -3.385073e-05 -4.419103e-07 -2.958005e-07 -2.930812e-07 1.299091e-04 1.078053e-03 -7.266468e-06 4.350988e-05
 8869.000000 -3.375200e-05 -4.434976e-07 -2.969610e-07 -2.933514e-07 1.216419e-04 1.075778e-03 9.061180e-06 5.035992e-05
 8874.000000 -3.367164e-05 -4.449375e-07 -2.982428e-07 -2.936023e-07 1.251138e-04 1.052127e-03 5.807717e-06 5.423568e-05
 8879.000000 -3.357471e-05 -4.461692e-07 -2.993600e-07 -2.937841e-07 1.237878e-04 1.031964e-03 4.409071e-07 5.073638e-05
 8884.000000 -3.333182e-05 -4.453646e-07 -2.988433e-07 -2.928973e-07 1.160773e-04 1.014688e-03 1.203762e-06 5.465179e-05
 8889.000000 -3.304857e-05 -4.443765e-07 -2.986308e-07 -2.917739e-07 1.208093e-04 1.007076e-03 -3.814156e-06 4.468970e-05
 8894.000000 -3.322765e-05 -4.496439e-07 -3.020372e-07 -2.934683e-07 1.209083e-04 9.925031e-04 -7.985482e-07 4.606645e-05
 8899.000000 -3.309903e-05 -4.503797e-07 -3.027777e-07 -2.930518e-07 1.150556e-04 9.919526e-04 -1.908213e-06 4.993593e-05
 8904.000000 -3.296158e-05 -4.515754e-07 -3.037186e-07 -2.928211e-07 1.175395e-04 9.929773e-04 -1.860730e-07 4.831976e-05
 8909.000000 -3.282049e-05 -4.527264e-07 -3.046033e-07 -2.924291e-07 1.180470e-04 9.847023e-04 6.985571e-06 4.097630e-05
 8914.000000 -3.255440e-05 -4.518540e-07 -3.041842e-07 -2.907705e-07 1.172994e-04 9.839188e-04 -4.349549e-06 4.880046e-05
 8919.000000 -3.251961e-05 -4.545766e-07 -3.058811e-07 -2.913694e-07 1.091774e-04 9.852735e-04 -2.704811e-06 5.138554e-05
 8924.000000 -3.234367e-05 -4.550552e-07 -3.062739e-07 -2.902659e-07 1.049715e-04 9.985330e-04 4.918273e-06 5.693200e-05
 8929.000000 -3.226357e-05 -4.570493e-07 -3.077945e-07 -2.903859e-07 1.090460e-04 1.012333e-03 8.443858e-06 6.451059e-05
 8934.000000 -3.219003e-05 -4.595218e-07 -3.094498e-07 -2.910263e-07 1.095359e-04 1.037508e-03 -2.147023e-06 6.142642e-05
 8939.000000 -3.207925e-05 -4.602636e-07 -3.098431e-07 -2.910042e-07 1.105872e-04 1.061034e-03 9.013926e-06 5.827728e-05
 8944.000000 -3.197742e-05 -4.621593e-07 -3.111791e-07 -2.909091e-07 1.126959e-04 1.024690e-03 1.360313e-05 6.160412e-05
 8949.000000 -3.178655e-05 -4.621933e-07 -3.110278e-07 -2.899597e-07 1.113852e-04 1.005889e-03 1.429619e-05 6.040485e-05
 8953.000000 -3.170379e-05 -4.623006e-07 -3.107817e-07 -2.899682e-07 1.140208e-04 1.015131e-03 1.305953e-05 6.386769e-05
 8956.000000 -3.165728e-05 -4.633041e-07 -3.112464e-07 -2.901816e-07 1.211222e-04 1.033837e-03 1.371076e-05 6.469948e-05
 8958.000000 -3.161884e-05 -4.642189e-07 -3.115358e-07 -2.902291e-07 1.276830e-04 1.022660e-03 2.646335e-06 6.569859e-05
 8959.000000 -3.161527e-05 -4.643594e-07 -3.115812e-07 -2.902097e-07 1.193552e-04 1.048933e-03 -5.675330e-07 5.360696e-05
 8959.200000 -3.157896e-05 -4.635975e-07 -3.111791e-07 -2.901497e-07 1.140906e-04 1.045603e-03 6.860816e-06 5.290205e-05
 8959.400000 -3.158428e-05 -4.640965e-07 -3.111981e-07 -2.901786e-07 1.187199e-04 1.028085e-03 9.858121e-06 5.217943e-05
 8959.600000 -3.162439e-05 -4.644458e-07 -3.111934e-07 -2.905997e-07 1.283246e-04 1.016938e-03 3.059390e-06 4.572291e-05
 8959.800000 -3.164412e-05 -4.659271e-07 -3.121996e-07 -2.907169e-07 1.250500e-04 1.017709e-03 6.667004e-06 5.604966e-05
