# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.825877153984
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003296
# Detector.I1.voltage: -1650.006226
# Detector.I2.voltage: -1650.006104
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370813
# Scan.uid: 6576cdb6-c5ad-404a-be15-8afa608fe3f2
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  00:36:26.536051
# Scan.end_time: 06/23/2023  00:37:00.521281
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 163.150569859455
# SampleHeater.temperature2.readback: 167.4
# SampleHeater.voltage.setpoint: 0.3913099029097603
# SampleHeater.voltage.readback: 0.405
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.09
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0244140625
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.048828125
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02034505270421505
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.88792e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 1.95273e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.537e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1309e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.61183e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 3.71401e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.515128e-05 -4.237393e-07 -2.804793e-07 -2.909505e-07 7.336291e-05 7.025736e-04 -7.082626e-06 5.050080e-05
 8784.000000 -3.524641e-05 -4.250452e-07 -2.815934e-07 -2.922801e-07 6.375297e-05 7.149201e-04 -1.995675e-05 4.590787e-05
 8789.000000 -3.522471e-05 -4.259126e-07 -2.823574e-07 -2.928048e-07 6.128712e-05 7.457865e-04 -2.612841e-05 3.832731e-05
 8794.000000 -3.508466e-05 -4.258440e-07 -2.823561e-07 -2.923795e-07 6.755259e-05 7.716336e-04 -1.850766e-05 3.125099e-05
 8799.000000 -3.469004e-05 -4.232310e-07 -2.807456e-07 -2.900608e-07 7.529786e-05 7.605019e-04 -1.479509e-05 3.808831e-05
 8804.000000 -3.497985e-05 -4.286162e-07 -2.848353e-07 -2.928508e-07 7.675939e-05 7.469051e-04 -1.663225e-05 4.096649e-05
 8809.000000 -3.493042e-05 -4.305915e-07 -2.862719e-07 -2.933067e-07 7.247739e-05 7.394508e-04 -1.086496e-06 4.017093e-05
 8814.000000 -3.474744e-05 -4.300216e-07 -2.859388e-07 -2.923454e-07 7.289014e-05 7.492592e-04 -3.984667e-06 3.436838e-05
 8819.000000 -3.472331e-05 -4.316519e-07 -2.872137e-07 -2.925398e-07 6.743260e-05 7.443852e-04 -1.124634e-05 3.583871e-05
 8824.000000 -3.465022e-05 -4.324375e-07 -2.881532e-07 -2.925372e-07 7.445197e-05 7.246722e-04 -1.694980e-05 3.626740e-05
 8829.000000 -3.457127e-05 -4.333237e-07 -2.889440e-07 -2.928351e-07 7.364546e-05 7.201647e-04 -2.038236e-05 4.096768e-05
 8834.000000 -3.451259e-05 -4.354426e-07 -2.903980e-07 -2.936665e-07 5.858790e-05 7.154400e-04 -1.384237e-05 5.211777e-05
 8839.000000 -3.438456e-05 -4.357301e-07 -2.907032e-07 -2.935474e-07 5.318381e-05 7.316712e-04 -7.885016e-06 5.371946e-05
 8844.000000 -3.425467e-05 -4.362186e-07 -2.913110e-07 -2.935962e-07 6.342191e-05 7.360079e-04 -1.592107e-05 4.936264e-05
 8849.000000 -3.414908e-05 -4.375822e-07 -2.923123e-07 -2.936847e-07 6.094637e-05 7.550062e-04 -1.848959e-05 5.227570e-05
 8854.000000 -3.405971e-05 -4.392246e-07 -2.936417e-07 -2.943097e-07 5.751034e-05 7.488385e-04 -1.413138e-05 4.875255e-05
 8859.000000 -3.391953e-05 -4.394069e-07 -2.939404e-07 -2.941495e-07 5.404318e-05 7.540171e-04 -1.860408e-06 5.545321e-05
 8864.000000 -3.378190e-05 -4.398000e-07 -2.944358e-07 -2.937771e-07 6.052516e-05 7.603976e-04 -3.070309e-06 5.848251e-05
 8869.000000 -3.371127e-05 -4.421619e-07 -2.961017e-07 -2.938446e-07 6.597784e-05 7.712548e-04 -1.184727e-05 5.939561e-05
 8874.000000 -3.359837e-05 -4.430774e-07 -2.971395e-07 -2.937555e-07 6.657778e-05 7.610875e-04 -1.649387e-05 5.655602e-05
 8879.000000 -3.350895e-05 -4.448491e-07 -2.985281e-07 -2.936208e-07 6.389087e-05 7.549419e-04 -2.729512e-05 5.437799e-05
 8884.000000 -3.328499e-05 -4.450535e-07 -2.989449e-07 -2.925666e-07 6.469885e-05 7.475490e-04 -2.669952e-05 5.357044e-05
 8889.000000 -3.300915e-05 -4.446379e-07 -2.987095e-07 -2.913561e-07 6.929050e-05 7.608492e-04 -2.182839e-05 5.401935e-05
 8894.000000 -3.317399e-05 -4.498233e-07 -3.022044e-07 -2.931132e-07 6.380021e-05 7.585091e-04 -1.416585e-05 5.759726e-05
 8899.000000 -3.306721e-05 -4.517574e-07 -3.036364e-07 -2.926436e-07 5.941374e-05 7.445589e-04 -1.764084e-05 4.935533e-05
 8904.000000 -3.293143e-05 -4.527452e-07 -3.045068e-07 -2.918596e-07 6.646777e-05 7.453162e-04 -1.949417e-05 4.557288e-05
 8909.000000 -3.278550e-05 -4.529128e-07 -3.048040e-07 -2.913380e-07 6.219443e-05 7.498076e-04 -1.836673e-05 4.563658e-05
 8914.000000 -3.251306e-05 -4.515244e-07 -3.037892e-07 -2.898875e-07 7.193802e-05 7.422226e-04 -1.990082e-05 3.770815e-05
 8919.000000 -3.243573e-05 -4.537739e-07 -3.055016e-07 -2.901105e-07 7.641433e-05 7.557766e-04 -1.574906e-05 4.777750e-05
 8924.000000 -3.224434e-05 -4.537105e-07 -3.058398e-07 -2.895171e-07 6.476932e-05 7.730643e-04 -1.307473e-05 4.792103e-05
 8929.000000 -3.229277e-05 -4.584549e-07 -3.089998e-07 -2.911141e-07 6.599631e-05 8.257249e-04 -2.576051e-06 4.805284e-05
 8934.000000 -3.219061e-05 -4.594935e-07 -3.095839e-07 -2.916246e-07 6.637093e-05 8.032116e-04 -1.116456e-05 4.299588e-05
 8939.000000 -3.203790e-05 -4.601133e-07 -3.099926e-07 -2.914862e-07 6.345842e-05 7.873314e-04 -1.246153e-05 4.851955e-05
 8944.000000 -3.192995e-05 -4.623578e-07 -3.114190e-07 -2.914306e-07 6.292433e-05 8.063426e-04 -1.563309e-05 4.090720e-05
 8949.000000 -3.177618e-05 -4.634519e-07 -3.118684e-07 -2.911063e-07 6.222977e-05 7.892938e-04 -7.176268e-06 5.487350e-05
 8953.000000 -3.170345e-05 -4.650377e-07 -3.126929e-07 -2.913118e-07 5.820107e-05 7.728182e-04 -1.000924e-05 6.496671e-05
 8956.000000 -3.165089e-05 -4.658972e-07 -3.130387e-07 -2.917050e-07 4.803514e-05 7.593458e-04 -2.033023e-05 6.107860e-05
 8958.000000 -3.160795e-05 -4.659930e-07 -3.127895e-07 -2.918502e-07 5.524502e-05 7.660019e-04 -2.128620e-05 5.801930e-05
 8959.000000 -3.159397e-05 -4.665239e-07 -3.128072e-07 -2.920399e-07 4.696989e-05 7.789783e-04 -1.987531e-05 6.112338e-05
 8959.200000 -3.158038e-05 -4.663106e-07 -3.123653e-07 -2.920189e-07 4.695401e-05 7.836295e-04 -1.207714e-05 6.308302e-05
 8959.400000 -3.154224e-05 -4.649976e-07 -3.117094e-07 -2.917629e-07 3.378922e-05 7.789018e-04 -2.826366e-05 4.591381e-05
 8959.600000 -3.151214e-05 -4.650277e-07 -3.120008e-07 -2.915373e-07 4.298797e-05 7.647966e-04 -1.885519e-05 4.545919e-05
