# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.45647655842214
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997925
# Detector.I1.voltage: -1650.002319
# Detector.I2.voltage: -1649.999634
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370845
# Scan.uid: ae040689-2b50-4b8e-b1e6-755da61d277c
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:08:20.586551
# Scan.end_time: 06/23/2023  01:08:56.301657
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 378.20000000000005
# SampleHeater.voltage.setpoint: 0.935056678866174
# SampleHeater.voltage.readback: 0.9460000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.26
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0732421875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.03662109375
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.95629e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.89411e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.84808e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1782e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.78114e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.26405e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.488275e-05 -3.968926e-07 -2.626966e-07 -2.934334e-07 5.895629e-05 7.946235e-05 -4.554448e-05 3.335109e-05
 8784.000000 -3.503130e-05 -4.002803e-07 -2.651631e-07 -2.947668e-07 6.586401e-05 7.113272e-05 -4.673425e-05 2.900024e-05
 8789.000000 -3.499280e-05 -4.014904e-07 -2.660840e-07 -2.952086e-07 7.742663e-05 7.840087e-05 -3.659744e-05 2.836017e-05
 8794.000000 -3.482097e-05 -4.008782e-07 -2.658815e-07 -2.944483e-07 7.402962e-05 1.153639e-04 -4.217881e-05 3.270573e-05
 8799.000000 -3.436220e-05 -3.968777e-07 -2.635950e-07 -2.914007e-07 6.427717e-05 1.059663e-04 -4.907479e-05 3.340001e-05
 8804.000000 -3.465740e-05 -4.018883e-07 -2.672584e-07 -2.945779e-07 6.086779e-05 8.838974e-05 -4.264384e-05 3.867020e-05
 8809.000000 -3.453486e-05 -4.017985e-07 -2.670822e-07 -2.939807e-07 6.112747e-05 9.826123e-05 -3.924148e-05 4.099070e-05
 8814.000000 -3.444548e-05 -4.038616e-07 -2.686005e-07 -2.935187e-07 6.875377e-05 1.085076e-04 -3.271304e-05 4.392202e-05
 8819.000000 -3.445560e-05 -4.054969e-07 -2.698523e-07 -2.947518e-07 7.627453e-05 1.073814e-04 -3.190105e-05 3.920322e-05
 8824.000000 -3.440662e-05 -4.073534e-07 -2.712674e-07 -2.947344e-07 6.095498e-05 1.087486e-04 -3.048229e-05 3.964119e-05
 8829.000000 -3.434671e-05 -4.091355e-07 -2.726156e-07 -2.948105e-07 6.572052e-05 1.110429e-04 -2.775015e-05 4.211928e-05
 8834.000000 -3.424758e-05 -4.095321e-07 -2.733477e-07 -2.953789e-07 6.784942e-05 1.134119e-04 -2.327131e-05 2.907873e-05
 8839.000000 -3.411522e-05 -4.094615e-07 -2.735285e-07 -2.952777e-07 6.494833e-05 1.213208e-04 -3.501437e-05 2.683726e-05
 8844.000000 -3.398347e-05 -4.099466e-07 -2.740307e-07 -2.952338e-07 6.752133e-05 1.050033e-04 -3.623592e-05 3.229539e-05
 8849.000000 -3.385363e-05 -4.102222e-07 -2.741881e-07 -2.959088e-07 7.203319e-05 1.328237e-04 -3.030048e-05 3.415966e-05
 8854.000000 -3.359608e-05 -4.072158e-07 -2.723265e-07 -2.950110e-07 6.978316e-05 1.331877e-04 -3.066211e-05 3.519293e-05
 8859.000000 -3.347275e-05 -4.080092e-07 -2.732172e-07 -2.949092e-07 7.607390e-05 1.346480e-04 -3.901096e-05 3.018051e-05
 8864.000000 -3.343945e-05 -4.109180e-07 -2.751848e-07 -2.956256e-07 8.177935e-05 1.341318e-04 -3.691227e-05 2.583591e-05
 8869.000000 -3.333844e-05 -4.121978e-07 -2.760718e-07 -2.956384e-07 8.158686e-05 1.239436e-04 -4.080159e-05 1.666089e-05
 8874.000000 -3.341462e-05 -4.176573e-07 -2.800269e-07 -2.968384e-07 7.671798e-05 1.146009e-04 -4.302862e-05 1.595450e-05
 8879.000000 -3.334561e-05 -4.199289e-07 -2.817764e-07 -2.970571e-07 6.874259e-05 1.346475e-04 -4.525055e-05 1.711513e-05
 8884.000000 -3.305116e-05 -4.172554e-07 -2.800046e-07 -2.957875e-07 6.767022e-05 1.369471e-04 -4.783906e-05 2.488818e-05
 8889.000000 -3.283670e-05 -4.176895e-07 -2.806579e-07 -2.950087e-07 5.560770e-05 1.435215e-04 -5.076755e-05 2.561571e-05
 8894.000000 -3.297675e-05 -4.215720e-07 -2.833650e-07 -2.966356e-07 6.068198e-05 1.380434e-04 -4.851102e-05 1.284008e-05
 8899.000000 -3.288585e-05 -4.233273e-07 -2.843815e-07 -2.962431e-07 6.454621e-05 1.537080e-04 -5.063823e-05 1.954809e-05
 8904.000000 -3.274612e-05 -4.240731e-07 -2.849719e-07 -2.951631e-07 7.005563e-05 1.627254e-04 -4.752733e-05 1.693372e-05
 8909.000000 -3.264055e-05 -4.258597e-07 -2.864435e-07 -2.947256e-07 6.346297e-05 1.541955e-04 -5.447684e-05 1.427316e-05
 8914.000000 -3.234200e-05 -4.238584e-07 -2.851656e-07 -2.927261e-07 6.048672e-05 1.572588e-04 -5.053708e-05 2.393752e-05
 8919.000000 -3.229008e-05 -4.263529e-07 -2.871248e-07 -2.931606e-07 7.176323e-05 1.622850e-04 -4.534299e-05 2.381916e-05
 8924.000000 -3.213150e-05 -4.266225e-07 -2.872778e-07 -2.928810e-07 7.129543e-05 1.589099e-04 -4.050566e-05 2.898206e-05
 8929.000000 -3.213506e-05 -4.297655e-07 -2.895126e-07 -2.940389e-07 6.375539e-05 1.530667e-04 -3.400432e-05 2.854402e-05
 8934.000000 -3.205831e-05 -4.320720e-07 -2.911708e-07 -2.942145e-07 6.955551e-05 1.504022e-04 -3.678196e-05 2.017540e-05
 8939.000000 -3.197172e-05 -4.343018e-07 -2.925455e-07 -2.947713e-07 6.887129e-05 1.550248e-04 -4.510651e-05 2.102981e-05
 8944.000000 -3.179887e-05 -4.343824e-07 -2.925478e-07 -2.943504e-07 5.750967e-05 1.713553e-04 -4.645888e-05 2.579177e-05
 8949.000000 -3.162087e-05 -4.332211e-07 -2.914920e-07 -2.937604e-07 5.861306e-05 1.558537e-04 -3.406348e-05 2.182992e-05
 8953.000000 -3.151797e-05 -4.328587e-07 -2.909483e-07 -2.934300e-07 7.201379e-05 1.542148e-04 -2.909941e-05 3.249193e-05
 8956.000000 -3.151666e-05 -4.358681e-07 -2.927022e-07 -2.940198e-07 6.716226e-05 1.324565e-04 -2.908240e-05 3.143793e-05
 8958.000000 -3.146611e-05 -4.354565e-07 -2.920332e-07 -2.943648e-07 5.445134e-05 1.421313e-04 -3.148778e-05 2.399935e-05
 8959.000000 -3.147000e-05 -4.362704e-07 -2.927503e-07 -2.945779e-07 5.267006e-05 1.410483e-04 -3.488842e-05 2.487839e-05
 8959.200000 -3.148302e-05 -4.374054e-07 -2.935050e-07 -2.947436e-07 4.758559e-05 1.269452e-04 -3.909352e-05 3.263123e-05
 8959.400000 -3.150178e-05 -4.378794e-07 -2.937241e-07 -2.948037e-07 6.434236e-05 1.474858e-04 -2.920983e-05 3.253950e-05
 8959.600000 -3.148696e-05 -4.380480e-07 -2.938425e-07 -2.944610e-07 6.712989e-05 1.544558e-04 -3.555706e-05 2.524678e-05
