# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.35113086927385
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000732
# Detector.I1.voltage: -1650.000488
# Detector.I2.voltage: -1649.998047
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370853
# Scan.uid: a076cb2f-6178-4139-a457-f98207ef933f
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:16:16.009154
# Scan.end_time: 06/23/2023  01:16:50.376437
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 218.18779043356577
# SampleHeater.temperature2.readback: 216.20000000000002
# SampleHeater.voltage.setpoint: 0.5773818883181565
# SampleHeater.voltage.readback: 0.5700000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.3
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.98639e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.29018e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.79231e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.0621e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6555e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.14817e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.496161e-05 -4.174591e-07 -2.761926e-07 -2.895452e-07 6.777155e-05 -4.260498e-05 -5.728316e-05 8.751149e-06
 8784.000000 -3.496406e-05 -4.161957e-07 -2.754361e-07 -2.901965e-07 7.023723e-05 -4.159183e-05 -5.469862e-05 2.377737e-05
 8789.000000 -3.480421e-05 -4.135403e-07 -2.738724e-07 -2.900985e-07 6.402247e-05 -2.655524e-05 -5.959200e-05 2.603994e-05
 8794.000000 -3.461844e-05 -4.128489e-07 -2.737791e-07 -2.893120e-07 6.319671e-05 -3.101211e-05 -6.583862e-05 3.195666e-05
 8799.000000 -3.430267e-05 -4.122428e-07 -2.734612e-07 -2.872590e-07 6.454373e-05 -2.352992e-05 -5.884823e-05 3.186767e-05
 8804.000000 -3.459082e-05 -4.176328e-07 -2.773077e-07 -2.899307e-07 6.343598e-05 -3.582508e-05 -5.152179e-05 3.329878e-05
 8809.000000 -3.464910e-05 -4.219872e-07 -2.805924e-07 -2.909280e-07 6.987727e-05 -4.248448e-05 -5.277765e-05 -7.882774e-06
 8814.000000 -3.437826e-05 -4.197377e-07 -2.789110e-07 -2.889620e-07 6.928060e-05 -4.054711e-05 -5.178651e-05 -1.721975e-05
 8819.000000 -3.450920e-05 -4.242384e-07 -2.820383e-07 -2.906131e-07 6.952811e-05 -2.834138e-05 -5.099154e-05 -1.595202e-05
 8824.000000 -3.445932e-05 -4.256417e-07 -2.832012e-07 -2.912340e-07 6.366876e-05 -3.170197e-05 -5.809044e-05 -1.930645e-05
 8829.000000 -3.422594e-05 -4.236788e-07 -2.821450e-07 -2.901894e-07 6.570902e-05 -2.933590e-05 -6.719161e-05 -1.959955e-05
 8834.000000 -3.409129e-05 -4.237495e-07 -2.824287e-07 -2.901362e-07 6.435198e-05 -3.309751e-05 -6.844979e-05 -1.399823e-05
 8839.000000 -3.407766e-05 -4.267986e-07 -2.847672e-07 -2.909937e-07 6.161628e-05 -3.251363e-05 -5.595476e-05 -1.046401e-05
 8844.000000 -3.378869e-05 -4.241458e-07 -2.832759e-07 -2.895931e-07 5.645020e-05 -2.834706e-05 -6.188205e-05 -7.371068e-06
 8849.000000 -3.385462e-05 -4.281796e-07 -2.862303e-07 -2.908567e-07 6.307725e-05 -1.599902e-05 -6.453408e-05 -9.917213e-06
 8854.000000 -3.378425e-05 -4.299454e-07 -2.873562e-07 -2.914063e-07 6.884387e-05 9.125952e-06 -5.839034e-05 -1.692301e-05
 8859.000000 -3.374060e-05 -4.323863e-07 -2.891164e-07 -2.920304e-07 6.760335e-05 1.244331e-06 -5.223279e-05 -1.469837e-05
 8864.000000 -3.363627e-05 -4.332607e-07 -2.899909e-07 -2.919310e-07 6.138277e-05 -9.827412e-06 -5.262862e-05 -1.477305e-05
 8869.000000 -3.356361e-05 -4.356190e-07 -2.919379e-07 -2.918589e-07 6.769704e-05 1.542729e-05 -5.733003e-05 -1.336278e-05
 8874.000000 -3.348896e-05 -4.376850e-07 -2.932321e-07 -2.921654e-07 6.378132e-05 4.532913e-05 -5.401707e-05 1.639668e-06
 8879.000000 -3.335411e-05 -4.382306e-07 -2.936689e-07 -2.922372e-07 5.559742e-05 2.901350e-05 -5.701286e-05 -2.362170e-05
 8884.000000 -3.311121e-05 -4.374174e-07 -2.933378e-07 -2.914223e-07 6.246839e-05 2.824968e-05 -5.818863e-05 -2.154469e-05
 8889.000000 -3.283387e-05 -4.368398e-07 -2.932886e-07 -2.905032e-07 6.224849e-05 3.828741e-05 -4.802332e-05 -1.651962e-05
 8894.000000 -3.299538e-05 -4.414865e-07 -2.965277e-07 -2.922319e-07 5.785462e-05 3.160290e-05 -4.892521e-05 -2.216117e-05
 8899.000000 -3.289713e-05 -4.425059e-07 -2.973100e-07 -2.920117e-07 6.557423e-05 3.574875e-05 -4.618533e-05 -2.927601e-05
 8904.000000 -3.267111e-05 -4.411500e-07 -2.965632e-07 -2.905661e-07 6.412734e-05 4.359951e-05 -5.136022e-05 -3.399965e-05
 8909.000000 -3.263290e-05 -4.446454e-07 -2.990390e-07 -2.904676e-07 6.346679e-05 4.716108e-05 -4.381236e-05 -3.235534e-05
 8914.000000 -3.236576e-05 -4.438368e-07 -2.984333e-07 -2.887648e-07 5.261362e-05 4.439728e-05 -4.985724e-05 -3.363269e-05
 8919.000000 -3.232003e-05 -4.466251e-07 -3.005957e-07 -2.890999e-07 5.711316e-05 3.723289e-05 -5.155026e-05 -3.558649e-05
 8924.000000 -3.212913e-05 -4.466897e-07 -3.007453e-07 -2.884036e-07 5.980288e-05 4.855508e-05 -4.623984e-05 -2.796513e-05
 8929.000000 -3.213465e-05 -4.495505e-07 -3.028301e-07 -2.893836e-07 5.781417e-05 5.125753e-05 -4.717510e-05 -2.756301e-05
 8934.000000 -3.201442e-05 -4.501608e-07 -3.031584e-07 -2.896832e-07 5.152922e-05 4.977722e-05 -5.555883e-05 -2.700371e-05
 8939.000000 -3.189847e-05 -4.519563e-07 -3.043840e-07 -2.899668e-07 5.105771e-05 3.070796e-05 -6.385928e-05 -2.975679e-05
 8944.000000 -3.175607e-05 -4.532918e-07 -3.051709e-07 -2.895823e-07 5.874035e-05 1.837965e-05 -6.587513e-05 -3.084918e-05
 8949.000000 -3.163434e-05 -4.544460e-07 -3.057623e-07 -2.894004e-07 6.379235e-05 4.110805e-05 -5.553228e-05 -2.451977e-05
 8953.000000 -3.155760e-05 -4.553661e-07 -3.061134e-07 -2.897745e-07 6.886022e-05 4.342054e-05 -4.764111e-05 1.581990e-05
 8956.000000 -3.150309e-05 -4.554457e-07 -3.059792e-07 -2.899317e-07 6.588326e-05 1.673009e-05 -5.525278e-05 1.077803e-05
 8958.000000 -3.146082e-05 -4.556474e-07 -3.056700e-07 -2.902395e-07 5.957098e-05 -1.004572e-05 -5.020981e-05 -1.407269e-05
 8959.000000 -3.147097e-05 -4.564918e-07 -3.061126e-07 -2.905455e-07 6.735213e-05 1.096090e-06 -5.956849e-05 -1.124069e-05
 8959.200000 -3.145500e-05 -4.563618e-07 -3.062135e-07 -2.905165e-07 6.801685e-05 -4.556167e-06 -6.137773e-05 -2.859242e-05
 8959.400000 -3.145469e-05 -4.558403e-07 -3.058771e-07 -2.906384e-07 7.137598e-05 1.739844e-06 -7.076998e-05 -2.725662e-05
