# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.7185507110466
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001953
# Detector.I1.voltage: -1650.002075
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370861
# Scan.uid: 780e9f67-9ba5-46a5-b415-be92ca8e2451
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:24:12.077877
# Scan.end_time: 06/23/2023  01:24:46.482877
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.6100216535
# Sample.position.y: 30.0500131475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 33.10253614849512
# SampleHeater.temperature2.readback: 43.0
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.4
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1302083283662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.0066e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 3.48837e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.80104e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1653e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.64138e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.99552e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.495937e-05 -4.305813e-07 -2.849903e-07 -2.870800e-07 5.934378e-05 1.457023e-04 -3.558720e-05 -1.525844e-06
 8784.000000 -3.494502e-05 -4.298297e-07 -2.846166e-07 -2.873329e-07 5.505530e-05 1.563006e-04 -3.389970e-05 6.933591e-06
 8789.000000 -3.481982e-05 -4.289773e-07 -2.842240e-07 -2.872080e-07 5.112927e-05 1.515917e-04 -3.112934e-05 -5.960464e-07
 8794.000000 -3.480392e-05 -4.307870e-07 -2.855919e-07 -2.877459e-07 5.079387e-05 1.482342e-04 -2.981067e-05 1.262021e-06
 8799.000000 -3.440652e-05 -4.283340e-07 -2.842591e-07 -2.850465e-07 4.772771e-05 1.527314e-04 -3.592261e-05 -1.885442e-06
 8804.000000 -3.475231e-05 -4.347585e-07 -2.887492e-07 -2.884482e-07 5.155276e-05 1.539331e-04 -4.716674e-05 -2.632865e-06
 8809.000000 -3.467227e-05 -4.356178e-07 -2.895025e-07 -2.882890e-07 4.942868e-05 1.307115e-04 -5.230643e-05 -2.518310e-06
 8814.000000 -3.445550e-05 -4.351660e-07 -2.893131e-07 -2.871491e-07 4.197364e-05 1.339787e-04 -4.698871e-05 5.903735e-06
 8819.000000 -3.439774e-05 -4.362328e-07 -2.903288e-07 -2.872896e-07 4.414485e-05 1.608160e-04 -4.839415e-05 1.158875e-05
 8824.000000 -3.442093e-05 -4.387867e-07 -2.921185e-07 -2.880409e-07 4.849871e-05 1.668659e-04 -3.975854e-05 4.843704e-06
 8829.000000 -3.432409e-05 -4.399800e-07 -2.932062e-07 -2.883339e-07 5.384824e-05 1.605802e-04 -3.512449e-05 1.071403e-05
 8834.000000 -3.422928e-05 -4.402909e-07 -2.935274e-07 -2.887280e-07 4.920995e-05 1.533322e-04 -4.132935e-05 3.263416e-07
 8839.000000 -3.409885e-05 -4.409086e-07 -2.942635e-07 -2.885892e-07 4.271322e-05 1.432992e-04 -3.621621e-05 2.525639e-06
 8844.000000 -3.406234e-05 -4.432342e-07 -2.960830e-07 -2.892615e-07 3.719571e-05 1.231583e-04 -3.383856e-05 5.302603e-06
 8849.000000 -3.392816e-05 -4.438207e-07 -2.966968e-07 -2.894879e-07 4.314800e-05 1.142538e-04 -4.022952e-05 6.463483e-06
 8854.000000 -3.367590e-05 -4.422525e-07 -2.958134e-07 -2.883457e-07 4.424270e-05 9.306077e-05 -4.857748e-05 1.534857e-06
 8859.000000 -3.359398e-05 -4.441637e-07 -2.971320e-07 -2.887134e-07 4.474930e-05 1.039978e-04 -4.159827e-05 -4.980412e-06
 8864.000000 -3.362681e-05 -4.474354e-07 -2.995624e-07 -2.899454e-07 4.413578e-05 1.456571e-04 -2.834337e-05 -7.078686e-06
 8869.000000 -3.341854e-05 -4.470701e-07 -2.997028e-07 -2.888329e-07 5.633079e-05 1.430002e-04 -3.411040e-05 2.923103e-06
 8874.000000 -3.314874e-05 -4.458270e-07 -2.990153e-07 -2.876502e-07 6.452530e-05 1.199813e-04 -2.655296e-05 -2.577883e-07
 8879.000000 -3.318251e-05 -4.490585e-07 -3.011373e-07 -2.887974e-07 5.097241e-05 1.272609e-04 -4.190376e-05 -1.832704e-06
 8884.000000 -3.307721e-05 -4.503073e-07 -3.023937e-07 -2.891002e-07 5.215999e-05 1.324724e-04 -4.565279e-05 -4.838699e-07
 8889.000000 -3.279617e-05 -4.493794e-07 -3.016301e-07 -2.880168e-07 4.664456e-05 1.448192e-04 -3.820445e-05 8.121551e-06
 8894.000000 -3.296689e-05 -4.542077e-07 -3.050546e-07 -2.898710e-07 4.734097e-05 1.309936e-04 -4.375293e-05 -8.219245e-07
 8899.000000 -3.283685e-05 -4.552280e-07 -3.057680e-07 -2.893413e-07 4.906452e-05 1.295025e-04 -4.021793e-05 -2.604350e-06
 8904.000000 -3.264306e-05 -4.551068e-07 -3.061470e-07 -2.882493e-07 5.387080e-05 1.336015e-04 -4.822989e-05 -8.516213e-06
 8909.000000 -3.252470e-05 -4.563639e-07 -3.070035e-07 -2.875709e-07 5.513871e-05 1.212945e-04 -3.228009e-05 -6.291141e-06
 8914.000000 -3.234088e-05 -4.571173e-07 -3.077310e-07 -2.865944e-07 4.615724e-05 1.173672e-04 -2.904013e-05 -1.449118e-05
 8919.000000 -3.229764e-05 -4.597302e-07 -3.096194e-07 -2.869272e-07 4.173921e-05 9.135082e-05 -2.708297e-05 -1.868335e-05
 8924.000000 -3.212403e-05 -4.599282e-07 -3.098865e-07 -2.862142e-07 4.207730e-05 1.092505e-04 -3.536549e-05 -1.266660e-05
 8929.000000 -3.215585e-05 -4.638728e-07 -3.125370e-07 -2.878635e-07 5.130024e-05 1.265723e-04 -4.491509e-05 -1.372064e-05
 8934.000000 -3.204974e-05 -4.653497e-07 -3.134482e-07 -2.879563e-07 5.185844e-05 9.954784e-05 -4.188110e-05 -1.655115e-05
 8939.000000 -3.187986e-05 -4.657947e-07 -3.136892e-07 -2.875797e-07 5.462274e-05 7.652905e-05 -3.305083e-05 -1.529347e-05
 8944.000000 -3.174522e-05 -4.677464e-07 -3.150203e-07 -2.873156e-07 5.913056e-05 9.166823e-05 -2.567471e-05 -7.612328e-06
 8949.000000 -3.161361e-05 -4.677927e-07 -3.147836e-07 -2.870296e-07 5.993932e-05 8.638611e-05 -2.267988e-05 8.955298e-06
 8953.000000 -3.149946e-05 -4.665550e-07 -3.137362e-07 -2.868466e-07 5.323793e-05 7.025929e-05 -1.996137e-05 6.973396e-06
 8956.000000 -3.142251e-05 -4.661279e-07 -3.129923e-07 -2.868428e-07 5.336507e-05 6.064994e-05 -2.391022e-05 9.988788e-07
 8958.000000 -3.132369e-05 -4.657217e-07 -3.125068e-07 -2.865998e-07 5.887692e-05 8.401816e-05 -2.038195e-05 6.388751e-06
 8959.000000 -3.141305e-05 -4.681121e-07 -3.139549e-07 -2.876395e-07 6.390649e-05 8.029548e-05 -1.958536e-05 6.165771e-06
 8959.200000 -3.141636e-05 -4.682782e-07 -3.141681e-07 -2.879111e-07 6.867530e-05 8.728196e-05 -2.083153e-05 3.313469e-06
 8959.400000 -3.141336e-05 -4.680541e-07 -3.138508e-07 -2.877176e-07 6.559790e-05 7.893469e-05 -2.641191e-05 3.592238e-06
 8959.600000 -3.140399e-05 -4.680483e-07 -3.138362e-07 -2.876838e-07 6.660789e-05 9.896180e-05 -1.611465e-05 7.026334e-06
