# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.5061028752226
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000488
# Detector.I1.voltage: -1650.000488
# Detector.I2.voltage: -1650.001099
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370801
# Scan.uid: 75dbe25d-4d86-425a-9738-1646ace401b2
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  00:24:31.552632
# Scan.end_time: 06/23/2023  00:25:05.446387
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 39.38568573775348
# SampleHeater.temperature2.readback: 35.4
# SampleHeater.voltage.setpoint: 0.30483595710173006
# SampleHeater.voltage.readback: 0.304
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.35
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.06103515625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0244140625
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0244140625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02034505270421505
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.03283e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.91981e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.68951e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2255e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.77844e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.07683e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.521318e-05 -4.277500e-07 -2.830683e-07 -2.901057e-07 9.588408e-05 1.005345e-03 -1.267301e-05 2.873125e-05
 8784.000000 -3.538807e-05 -4.284515e-07 -2.837589e-07 -2.918688e-07 9.416816e-05 9.776501e-04 -6.950299e-06 2.190012e-05
 8789.000000 -3.532753e-05 -4.281944e-07 -2.838287e-07 -2.921831e-07 9.480162e-05 9.948563e-04 -1.113873e-05 2.571610e-05
 8794.000000 -3.516112e-05 -4.276819e-07 -2.836456e-07 -2.917568e-07 9.288564e-05 1.021679e-03 -1.134229e-05 3.216904e-05
 8799.000000 -3.475476e-05 -4.245989e-07 -2.818107e-07 -2.891665e-07 9.277142e-05 9.939232e-04 -6.292848e-06 3.511253e-05
 8804.000000 -3.492117e-05 -4.282423e-07 -2.843724e-07 -2.911433e-07 9.764669e-05 9.692886e-04 -5.902358e-06 3.396064e-05
 8809.000000 -3.471261e-05 -4.278741e-07 -2.841211e-07 -2.901428e-07 1.090718e-04 9.765658e-04 -3.529800e-06 4.562904e-05
 8814.000000 -3.474107e-05 -4.306324e-07 -2.863415e-07 -2.906277e-07 1.042354e-04 9.910411e-04 -1.065030e-05 4.911171e-05
 8819.000000 -3.461081e-05 -4.308775e-07 -2.867627e-07 -2.903190e-07 9.396687e-05 9.787849e-04 -4.827520e-06 4.342156e-05
 8824.000000 -3.461399e-05 -4.332315e-07 -2.887206e-07 -2.910092e-07 1.050666e-04 9.846706e-04 6.305414e-06 4.912714e-05
 8829.000000 -3.466371e-05 -4.361258e-07 -2.907747e-07 -2.921343e-07 1.079918e-04 9.852783e-04 -5.371961e-06 5.164347e-05
 8834.000000 -3.460474e-05 -4.380968e-07 -2.921610e-07 -2.928980e-07 1.061952e-04 9.907670e-04 -1.046694e-05 4.434792e-05
 8839.000000 -3.437685e-05 -4.377395e-07 -2.920270e-07 -2.922241e-07 1.018378e-04 9.858043e-04 -1.272246e-05 4.827642e-05
 8844.000000 -3.427336e-05 -4.391073e-07 -2.932301e-07 -2.922849e-07 1.119986e-04 9.888599e-04 -1.358923e-05 5.887984e-05
 8849.000000 -3.429698e-05 -4.423735e-07 -2.957443e-07 -2.936559e-07 1.162281e-04 9.863713e-04 -2.406928e-05 6.255359e-05
 8854.000000 -3.420093e-05 -4.436659e-07 -2.965798e-07 -2.939296e-07 1.089331e-04 9.874049e-04 -2.247956e-05 5.620567e-05
 8859.000000 -3.409064e-05 -4.445919e-07 -2.973585e-07 -2.940757e-07 1.051530e-04 9.825144e-04 -1.677768e-05 4.907146e-05
 8864.000000 -3.398325e-05 -4.453161e-07 -2.980540e-07 -2.942350e-07 1.047587e-04 1.020130e-03 -2.904672e-06 5.719890e-05
 8869.000000 -3.387191e-05 -4.471208e-07 -2.995058e-07 -2.944268e-07 1.054345e-04 1.029060e-03 -6.328906e-06 4.682437e-05
 8874.000000 -3.368826e-05 -4.474930e-07 -2.999784e-07 -2.940398e-07 1.041427e-04 1.008167e-03 -1.122410e-05 4.619276e-05
 8879.000000 -3.358637e-05 -4.487078e-07 -3.011701e-07 -2.943073e-07 1.013216e-04 1.015826e-03 -1.411056e-06 4.196368e-05
 8884.000000 -3.330634e-05 -4.474337e-07 -3.004282e-07 -2.934921e-07 1.078157e-04 1.062978e-03 -1.487779e-06 3.575211e-05
 8889.000000 -3.297625e-05 -4.457563e-07 -2.993314e-07 -2.924081e-07 1.031551e-04 1.039399e-03 -9.535959e-06 3.802680e-05
 8894.000000 -3.326649e-05 -4.525055e-07 -3.040531e-07 -2.948672e-07 1.050658e-04 1.011670e-03 -1.235318e-05 4.107444e-05
 8899.000000 -3.316916e-05 -4.535577e-07 -3.048391e-07 -2.939363e-07 1.074724e-04 1.045785e-03 -1.024153e-05 3.475799e-05
 8904.000000 -3.297002e-05 -4.531059e-07 -3.047764e-07 -2.926341e-07 1.032410e-04 1.033409e-03 -1.431000e-05 3.807279e-05
 8909.000000 -3.286878e-05 -4.546396e-07 -3.056583e-07 -2.922017e-07 1.014448e-04 1.013793e-03 -1.475714e-05 4.009643e-05
 8914.000000 -3.268048e-05 -4.552182e-07 -3.063420e-07 -2.908735e-07 1.050619e-04 1.004917e-03 -6.312955e-06 4.645862e-05
 8919.000000 -3.256733e-05 -4.566441e-07 -3.075565e-07 -2.906250e-07 8.866013e-05 9.929567e-04 -4.414221e-06 4.872919e-05
 8924.000000 -3.239977e-05 -4.571526e-07 -3.078107e-07 -2.899522e-07 9.493582e-05 1.010381e-03 -3.359259e-06 4.486908e-05
 8929.000000 -3.240945e-05 -4.604949e-07 -3.102081e-07 -2.912165e-07 9.652491e-05 1.033586e-03 -9.333240e-06 3.900684e-05
 8934.000000 -3.230581e-05 -4.624891e-07 -3.116004e-07 -2.913794e-07 9.820599e-05 1.042605e-03 -7.382049e-06 2.588677e-05
 8939.000000 -3.216211e-05 -4.632159e-07 -3.119509e-07 -2.910631e-07 9.748303e-05 1.037428e-03 1.795642e-06 3.404036e-05
 8944.000000 -3.200241e-05 -4.636444e-07 -3.122468e-07 -2.905667e-07 8.687423e-05 1.004451e-03 -4.287083e-06 3.259472e-05
 8949.000000 -3.184291e-05 -4.629875e-07 -3.115480e-07 -2.900941e-07 8.732319e-05 9.818134e-04 -8.840098e-06 3.988447e-05
 8953.000000 -3.177718e-05 -4.641414e-07 -3.120581e-07 -2.903333e-07 9.626102e-05 9.695687e-04 -9.416607e-06 2.821954e-05
 8956.000000 -3.173285e-05 -4.652427e-07 -3.125387e-07 -2.905293e-07 9.395092e-05 9.762175e-04 -4.781919e-06 3.648656e-05
 8958.000000 -3.172414e-05 -4.662100e-07 -3.128238e-07 -2.908445e-07 9.168484e-05 9.731873e-04 -4.807438e-06 4.879255e-05
 8959.000000 -3.169981e-05 -4.662289e-07 -3.124442e-07 -2.910093e-07 8.796815e-05 9.799563e-04 -9.176994e-06 5.277828e-05
 8959.200000 -3.168824e-05 -4.662512e-07 -3.126064e-07 -2.909987e-07 8.589424e-05 9.946000e-04 -1.306189e-05 5.761754e-05
 8959.400000 -3.170360e-05 -4.666776e-07 -3.127251e-07 -2.911604e-07 8.029980e-05 1.010916e-03 -2.293355e-05 5.655518e-05
 8959.600000 -3.169735e-05 -4.663746e-07 -3.124580e-07 -2.914358e-07 8.003876e-05 1.027452e-03 -2.013228e-05 5.549331e-05
