# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3966953737277
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002319
# Detector.I1.voltage: -1650.000854
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370828
# Scan.uid: d3276218-52d3-4f19-8590-05a07ee8a895
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:51:23.012732
# Scan.end_time: 06/23/2023  00:51:57.175915
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 317.8559383823625
# SampleHeater.temperature2.readback: 315.8
# SampleHeater.voltage.setpoint: 0.8106881119861582
# SampleHeater.voltage.readback: 0.811
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.22
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.048828125
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0732421875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.048828125
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.08544921875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.89953e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 6.92816e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.71706e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1911e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6219e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.64374e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.015548e-05 -1.076101e-06 -3.139868e-07 -8.314453e-07 6.631527e-05 5.275886e-04 -6.042536e-05 2.180978e-05
10172.000000 -3.008515e-05 -1.079318e-06 -3.133070e-07 -8.309077e-07 6.603994e-05 5.131861e-04 -6.417665e-05 2.597710e-05
10177.000000 -2.998370e-05 -1.076509e-06 -3.094803e-07 -8.301644e-07 7.410193e-05 4.965746e-04 -6.548928e-05 3.156012e-05
10182.000000 -2.994790e-05 -1.078738e-06 -3.044118e-07 -8.321841e-07 7.588829e-05 5.016033e-04 -5.614913e-05 3.632480e-05
10187.000000 -2.995000e-05 -1.082667e-06 -2.943796e-07 -8.352109e-07 7.069262e-05 4.865933e-04 -6.051297e-05 2.423814e-05
10192.000000 -3.000230e-05 -1.089647e-06 -2.711554e-07 -8.392071e-07 6.555996e-05 4.926575e-04 -7.213510e-05 1.810956e-05
10197.000000 -3.001966e-05 -1.097005e-06 -2.017551e-07 -8.415592e-07 7.131872e-05 5.046035e-04 -6.641006e-05 2.485321e-05
10202.000000 -2.997694e-05 -1.100307e-06 -6.528018e-08 -8.424299e-07 7.978261e-05 5.197492e-04 -5.595644e-05 3.332199e-05
10207.000000 -2.994179e-05 -1.102007e-06 -2.598546e-08 -8.437799e-07 7.246755e-05 5.412656e-04 -6.686894e-05 3.347218e-05
10212.000000 -2.989730e-05 -1.102392e-06 -5.446624e-08 -8.450121e-07 6.769082e-05 5.535703e-04 -7.402617e-05 4.238143e-05
10217.000000 -2.984321e-05 -1.104539e-06 -7.056200e-08 -8.460416e-07 6.165564e-05 5.580175e-04 -7.251691e-05 4.292591e-05
10222.000000 -2.985967e-05 -1.114965e-06 -8.366003e-08 -8.475753e-07 6.709661e-05 5.578904e-04 -6.117405e-05 3.878059e-05
10227.000000 -2.981633e-05 -1.118960e-06 -9.270338e-08 -8.483252e-07 7.083728e-05 5.925707e-04 -5.839364e-05 3.353787e-05
10232.000000 -2.971885e-05 -1.116867e-06 -9.595570e-08 -8.484329e-07 7.554296e-05 5.780692e-04 -5.887124e-05 3.532796e-05
10237.000000 -2.971928e-05 -1.121447e-06 -9.855060e-08 -8.505828e-07 6.561143e-05 5.973403e-04 -5.343686e-05 2.881045e-05
10242.000000 -2.969606e-05 -1.125138e-06 -1.002987e-07 -8.517323e-07 7.798769e-05 6.204925e-04 -6.292217e-05 2.577997e-05
10247.000000 -2.946609e-05 -1.110948e-06 -1.030452e-07 -8.482849e-07 7.783415e-05 6.141479e-04 -6.036719e-05 2.700695e-05
10252.000000 -2.953189e-05 -1.124590e-06 -1.035222e-07 -8.516048e-07 7.978687e-05 6.315774e-04 -5.827539e-05 1.961041e-05
10257.000000 -2.958237e-05 -1.137505e-06 -1.006765e-07 -8.543339e-07 7.152542e-05 6.381716e-04 -6.451221e-05 5.898200e-06
10262.000000 -2.944477e-05 -1.132899e-06 -9.938813e-08 -8.537572e-07 6.154491e-05 5.976331e-04 -7.133644e-05 9.527767e-06
10267.000000 -2.949655e-05 -1.141497e-06 -1.018278e-07 -8.574038e-07 6.371575e-05 6.063583e-04 -7.078181e-05 1.331702e-05
10272.000000 -2.947989e-05 -1.146264e-06 -1.029543e-07 -8.591798e-07 7.028973e-05 6.062409e-04 -6.728453e-05 1.162196e-05
10277.000000 -2.935625e-05 -1.141299e-06 -1.020600e-07 -8.585489e-07 7.611519e-05 6.124121e-04 -7.211874e-05 7.667605e-06
10282.000000 -2.925117e-05 -1.144900e-06 -1.008203e-07 -8.571400e-07 7.030393e-05 6.173191e-04 -5.875451e-05 6.641865e-06
10287.000000 -2.917717e-05 -1.138725e-06 -1.009394e-07 -8.578132e-07 7.436387e-05 5.945170e-04 -5.630670e-05 2.197816e-05
10292.000000 -2.917771e-05 -1.147057e-06 -1.045116e-07 -8.597311e-07 7.463068e-05 5.930728e-04 -5.263606e-05 1.693735e-05
10297.000000 -2.912904e-05 -1.148578e-06 -1.061897e-07 -8.605708e-07 8.078220e-05 5.605649e-04 -5.999689e-05 1.289174e-05
10302.000000 -2.908590e-05 -1.150070e-06 -1.056574e-07 -8.616356e-07 8.223449e-05 5.577719e-04 -6.303398e-05 2.364957e-05
10307.000000 -2.918312e-05 -1.169558e-06 -1.070098e-07 -8.660427e-07 7.285376e-05 5.603535e-04 -5.988903e-05 1.839427e-05
10312.000000 -2.908105e-05 -1.166679e-06 -1.070763e-07 -8.662071e-07 6.866640e-05 5.626618e-04 -5.577201e-05 8.985727e-06
10317.000000 -2.911532e-05 -1.179935e-06 -1.073179e-07 -8.690889e-07 7.844042e-05 5.861459e-04 -5.450639e-05 1.276302e-05
10322.000000 -2.909060e-05 -1.184777e-06 -1.065848e-07 -8.713838e-07 6.272675e-05 6.139721e-04 -5.380214e-05 1.668052e-05
10327.000000 -2.902708e-05 -1.187178e-06 -1.059007e-07 -8.728205e-07 5.928699e-05 6.238108e-04 -4.258718e-05 9.481810e-06
10332.000000 -2.891113e-05 -1.187971e-06 -1.049446e-07 -8.727419e-07 5.918517e-05 6.126102e-04 -3.981712e-05 2.121388e-05
10337.000000 -2.896091e-05 -1.192908e-06 -1.052542e-07 -8.773152e-07 6.315610e-05 6.074467e-04 -5.059526e-05 2.582389e-05
10341.000000 -2.891261e-05 -1.192982e-06 -1.058540e-07 -8.794227e-07 5.833511e-05 6.036760e-04 -5.835948e-05 1.706668e-05
10344.000000 -2.891806e-05 -1.200610e-06 -1.075184e-07 -8.814912e-07 5.844730e-05 5.944126e-04 -5.652927e-05 2.228729e-05
10346.000000 -2.891102e-05 -1.204819e-06 -1.088484e-07 -8.829337e-07 6.496356e-05 6.387522e-04 -5.660482e-05 1.922679e-05
10347.000000 -2.891249e-05 -1.206368e-06 -1.096035e-07 -8.839574e-07 7.005992e-05 6.802820e-04 -7.011290e-05 1.802619e-05
10347.200000 -2.890501e-05 -1.205171e-06 -1.097341e-07 -8.841755e-07 6.864307e-05 6.933690e-04 -6.329029e-05 2.171417e-05
10347.400000 -2.891262e-05 -1.207867e-06 -1.100143e-07 -8.843868e-07 7.831464e-05 7.032585e-04 -7.462078e-05 1.592483e-05
10347.600000 -2.890350e-05 -1.204404e-06 -1.096365e-07 -8.844658e-07 7.919479e-05 7.282226e-04 -6.594683e-05 2.766338e-05
10347.800000 -2.889720e-05 -1.204404e-06 -1.099593e-07 -8.845665e-07 7.594533e-05 7.161985e-04 -6.672059e-05 3.642080e-05
