# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.1618958625005
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004517
# Detector.I1.voltage: -1650.001465
# Detector.I2.voltage: -1650.002319
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370834
# Scan.uid: a57b5796-e05b-4f55-9c67-209b98d41948
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:57:27.087061
# Scan.end_time: 06/23/2023  00:58:01.346781
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 378.8
# SampleHeater.voltage.setpoint: 0.8897195221652797
# SampleHeater.voltage.readback: 0.854
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.17
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0732421875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.048828125
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0732421875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.03662109375
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.08544921875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.91845e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 4.75892e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.74662e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2599e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.78853e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.48959e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.023199e-05 -1.057601e-06 -3.079737e-07 -8.328416e-07 5.260934e-05 4.999042e-04 -7.068401e-05 4.042223e-05
10172.000000 -3.015288e-05 -1.059026e-06 -3.067698e-07 -8.320972e-07 5.223141e-05 4.951424e-04 -6.892964e-05 4.459951e-05
10177.000000 -3.006829e-05 -1.057801e-06 -3.033180e-07 -8.319076e-07 4.162540e-05 4.895599e-04 -7.043123e-05 4.775136e-05
10182.000000 -2.993709e-05 -1.051301e-06 -2.959688e-07 -8.320350e-07 3.932490e-05 4.969640e-04 -6.902515e-05 3.865609e-05
10187.000000 -2.996775e-05 -1.057470e-06 -2.867892e-07 -8.359567e-07 4.825026e-05 5.011980e-04 -6.641482e-05 3.572007e-05
10192.000000 -3.006242e-05 -1.067667e-06 -2.650022e-07 -8.403058e-07 4.897837e-05 4.948788e-04 -6.796885e-05 3.310700e-05
10197.000000 -3.004496e-05 -1.069338e-06 -1.959607e-07 -8.425492e-07 4.732098e-05 4.820511e-04 -7.124313e-05 2.703694e-05
10202.000000 -3.002401e-05 -1.074085e-06 -6.315062e-08 -8.444364e-07 4.659226e-05 4.782042e-04 -7.780265e-05 3.347136e-05
10207.000000 -3.000113e-05 -1.078296e-06 -2.495893e-08 -8.460129e-07 5.336861e-05 4.747462e-04 -7.614607e-05 3.415669e-05
10212.000000 -2.995402e-05 -1.079709e-06 -5.243557e-08 -8.468216e-07 4.691650e-05 4.824201e-04 -6.008497e-05 4.424932e-05
10217.000000 -2.991650e-05 -1.082663e-06 -6.844996e-08 -8.475577e-07 4.421453e-05 4.840738e-04 -6.679151e-05 4.061770e-05
10222.000000 -2.980227e-05 -1.079492e-06 -8.070303e-08 -8.464070e-07 4.372359e-05 4.829342e-04 -6.525859e-05 3.051699e-05
10227.000000 -2.983147e-05 -1.090270e-06 -8.944999e-08 -8.484572e-07 4.058336e-05 5.009514e-04 -6.641994e-05 2.577425e-05
10232.000000 -2.977005e-05 -1.092157e-06 -9.300312e-08 -8.488254e-07 3.797805e-05 4.970854e-04 -7.313551e-05 2.520407e-05
10237.000000 -2.969615e-05 -1.089565e-06 -9.477024e-08 -8.499220e-07 3.455517e-05 4.780964e-04 -6.463851e-05 3.169608e-05
10242.000000 -2.974968e-05 -1.102564e-06 -9.733764e-08 -8.531954e-07 3.299574e-05 4.566778e-04 -6.915607e-05 3.952163e-05
10247.000000 -2.967928e-05 -1.104059e-06 -1.017402e-07 -8.533576e-07 3.852324e-05 4.638699e-04 -6.751557e-05 4.038626e-05
10252.000000 -2.965501e-05 -1.107910e-06 -1.013005e-07 -8.547910e-07 4.052986e-05 4.717787e-04 -6.485825e-05 4.300756e-05
10257.000000 -2.961232e-05 -1.110515e-06 -9.757741e-08 -8.556776e-07 4.659832e-05 4.572223e-04 -6.196584e-05 3.300645e-05
10262.000000 -2.949335e-05 -1.108041e-06 -9.674532e-08 -8.549905e-07 5.033813e-05 4.454930e-04 -6.322559e-05 4.056009e-05
10267.000000 -2.954890e-05 -1.116660e-06 -9.870251e-08 -8.583150e-07 5.126644e-05 4.611168e-04 -6.831010e-05 4.903145e-05
10272.000000 -2.951444e-05 -1.119899e-06 -9.988523e-08 -8.597609e-07 5.366194e-05 4.749005e-04 -6.063939e-05 4.892064e-05
10277.000000 -2.943199e-05 -1.120907e-06 -9.928357e-08 -8.596285e-07 5.910003e-05 4.630897e-04 -5.780290e-05 4.970792e-05
10282.000000 -2.931510e-05 -1.124883e-06 -9.831696e-08 -8.580898e-07 5.919903e-05 4.548123e-04 -6.306481e-05 5.482475e-05
10287.000000 -2.934254e-05 -1.130032e-06 -9.953924e-08 -8.614497e-07 6.297193e-05 4.476360e-04 -5.615900e-05 5.270455e-05
10292.000000 -2.931963e-05 -1.136006e-06 -1.025224e-07 -8.634145e-07 5.483758e-05 4.480458e-04 -5.430111e-05 5.533435e-05
10297.000000 -2.926386e-05 -1.137537e-06 -1.040673e-07 -8.647726e-07 5.285834e-05 4.565660e-04 -6.003954e-05 5.295619e-05
10302.000000 -2.929449e-05 -1.146740e-06 -1.041987e-07 -8.670100e-07 5.211384e-05 4.583186e-04 -5.790232e-05 5.628921e-05
10307.000000 -2.925450e-05 -1.151221e-06 -1.046762e-07 -8.678550e-07 6.042388e-05 4.687292e-04 -5.874320e-05 5.593165e-05
10312.000000 -2.918099e-05 -1.150739e-06 -1.047027e-07 -8.686117e-07 5.767555e-05 4.879812e-04 -5.699658e-05 5.950006e-05
10317.000000 -2.916024e-05 -1.157341e-06 -1.044545e-07 -8.705505e-07 4.416727e-05 5.001514e-04 -5.807362e-05 6.454798e-05
10322.000000 -2.910941e-05 -1.159584e-06 -1.036315e-07 -8.718069e-07 4.410096e-05 4.764272e-04 -6.471911e-05 6.570419e-05
10327.000000 -2.905904e-05 -1.163346e-06 -1.031305e-07 -8.734744e-07 5.919752e-05 4.683550e-04 -6.463156e-05 5.385340e-05
10332.000000 -2.895031e-05 -1.166636e-06 -1.024269e-07 -8.735491e-07 6.467429e-05 4.453350e-04 -6.298471e-05 4.900889e-05
10337.000000 -2.902765e-05 -1.172787e-06 -1.027974e-07 -8.795169e-07 6.705042e-05 4.286020e-04 -5.609918e-05 5.486777e-05
10341.000000 -2.897434e-05 -1.172620e-06 -1.033773e-07 -8.816357e-07 6.226962e-05 4.160778e-04 -6.032738e-05 5.649864e-05
10344.000000 -2.895830e-05 -1.175510e-06 -1.046584e-07 -8.833851e-07 6.934628e-05 4.207855e-04 -6.803602e-05 4.901579e-05
10346.000000 -2.889496e-05 -1.170092e-06 -1.053671e-07 -8.843281e-07 8.037885e-05 4.311370e-04 -6.758611e-05 5.140421e-05
10347.000000 -2.880242e-05 -1.158389e-06 -1.052230e-07 -8.834735e-07 7.695685e-05 4.442460e-04 -7.915536e-05 4.827059e-05
10347.200000 -2.880147e-05 -1.161888e-06 -1.060076e-07 -8.838034e-07 7.852492e-05 4.294537e-04 -8.113067e-05 5.888434e-05
10347.400000 -2.877913e-05 -1.157381e-06 -1.056386e-07 -8.834109e-07 7.636396e-05 4.295832e-04 -7.858262e-05 5.366076e-05
10347.600000 -2.882136e-05 -1.161195e-06 -1.059724e-07 -8.849091e-07 6.735402e-05 4.227008e-04 -8.129162e-05 5.563324e-05
10347.800000 -2.881336e-05 -1.161613e-06 -1.061090e-07 -8.849447e-07 7.524473e-05 4.110210e-04 -6.845771e-05 5.874547e-05
