# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.6262346892389
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.99939
# Detector.I1.voltage: -1650.0
# Detector.I2.voltage: -1650.001465
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370838
# Scan.uid: c607f408-beea-4bab-8e56-cbd0b8b62df1
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:01:24.580875
# Scan.end_time: 06/23/2023  01:01:57.429833
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 379.3
# SampleHeater.voltage.setpoint: 0.9115843176852949
# SampleHeater.voltage.readback: 0.913
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.25
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0732421875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.048828125
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0244140625
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.03662109375
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.03662109375
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.08544921875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.94554e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 3.82291e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.82456e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2341e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7294e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.36177e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.017002e-05 -1.056396e-06 -3.081788e-07 -8.318901e-07 6.270128e-05 4.694804e-04 -6.720704e-05 2.924221e-05
10172.000000 -3.001152e-05 -1.049061e-06 -3.044565e-07 -8.294637e-07 5.665500e-05 5.078966e-04 -6.948792e-05 2.588178e-05
10177.000000 -2.997846e-05 -1.051452e-06 -3.019702e-07 -8.299037e-07 5.330392e-05 5.239665e-04 -6.494925e-05 2.824255e-05
10182.000000 -2.989529e-05 -1.048132e-06 -2.955630e-07 -8.304178e-07 6.304632e-05 5.240277e-04 -6.666438e-05 4.276074e-05
10187.000000 -2.992327e-05 -1.052169e-06 -2.858807e-07 -8.347028e-07 5.960524e-05 5.032702e-04 -6.923498e-05 3.846053e-05
10192.000000 -2.997758e-05 -1.059213e-06 -2.635354e-07 -8.376156e-07 5.783884e-05 4.959581e-04 -6.846078e-05 3.314490e-05
10197.000000 -2.990286e-05 -1.057214e-06 -1.942370e-07 -8.374670e-07 5.179111e-05 5.073425e-04 -6.188639e-05 3.511393e-05
10202.000000 -2.990614e-05 -1.063809e-06 -6.305247e-08 -8.401353e-07 5.409406e-05 5.127906e-04 -5.642942e-05 3.443394e-05
10207.000000 -2.986150e-05 -1.066163e-06 -2.504507e-08 -8.411626e-07 5.943527e-05 5.468402e-04 -7.014256e-05 3.471513e-05
10212.000000 -2.986800e-05 -1.071441e-06 -5.282272e-08 -8.425217e-07 6.024751e-05 5.466427e-04 -7.834025e-05 3.061002e-05
10217.000000 -2.985051e-05 -1.077234e-06 -6.860893e-08 -8.438994e-07 6.767412e-05 5.498549e-04 -8.491613e-05 1.745013e-05
10222.000000 -2.978977e-05 -1.079647e-06 -8.090397e-08 -8.444303e-07 6.897169e-05 5.319852e-04 -8.590241e-05 1.801678e-05
10227.000000 -2.976210e-05 -1.084928e-06 -8.955785e-08 -8.460427e-07 7.108564e-05 5.037062e-04 -7.359050e-05 2.837865e-05
10232.000000 -2.967231e-05 -1.083456e-06 -9.238009e-08 -8.457842e-07 7.178222e-05 5.022743e-04 -6.519177e-05 2.664226e-05
10237.000000 -2.965662e-05 -1.085755e-06 -9.482661e-08 -8.476740e-07 6.645456e-05 4.800894e-04 -6.619963e-05 2.962032e-05
10242.000000 -2.967004e-05 -1.093680e-06 -9.702488e-08 -8.501075e-07 6.877993e-05 4.743772e-04 -6.810633e-05 3.023468e-05
10247.000000 -2.951165e-05 -1.086622e-06 -1.005000e-07 -8.483913e-07 6.785959e-05 4.589145e-04 -6.779401e-05 3.243331e-05
10252.000000 -2.950562e-05 -1.094263e-06 -1.004942e-07 -8.502489e-07 5.518075e-05 4.674165e-04 -6.269480e-05 3.112082e-05
10257.000000 -2.944693e-05 -1.094510e-06 -9.635450e-08 -8.507757e-07 5.699527e-05 4.801279e-04 -6.282757e-05 2.855478e-05
10262.000000 -2.934144e-05 -1.094957e-06 -9.584795e-08 -8.500078e-07 5.752262e-05 4.806027e-04 -5.625784e-05 2.236391e-05
10267.000000 -2.939743e-05 -1.104988e-06 -9.807032e-08 -8.538334e-07 5.855158e-05 4.890583e-04 -7.067891e-05 1.501617e-05
10272.000000 -2.939080e-05 -1.110589e-06 -9.972601e-08 -8.556894e-07 5.555198e-05 4.944504e-04 -7.483421e-05 1.675686e-05
10277.000000 -2.929272e-05 -1.110761e-06 -9.894407e-08 -8.553786e-07 4.968053e-05 4.996306e-04 -7.908579e-05 1.297552e-05
10282.000000 -2.915911e-05 -1.112665e-06 -9.796363e-08 -8.537831e-07 5.247210e-05 5.048723e-04 -6.021885e-05 1.972765e-05
10287.000000 -2.926923e-05 -1.128705e-06 -9.954785e-08 -8.590885e-07 5.107608e-05 5.004758e-04 -5.749522e-05 1.168497e-05
10292.000000 -2.926281e-05 -1.136202e-06 -1.032658e-07 -8.612839e-07 5.826867e-05 4.836466e-04 -6.102487e-05 1.478744e-05
10297.000000 -2.922745e-05 -1.139298e-06 -1.047520e-07 -8.631765e-07 5.899302e-05 4.705549e-04 -6.100758e-05 1.522605e-05
10302.000000 -2.923123e-05 -1.144851e-06 -1.048554e-07 -8.657437e-07 5.694735e-05 4.618071e-04 -5.129944e-05 1.996661e-05
10307.000000 -2.908107e-05 -1.134222e-06 -1.037011e-07 -8.646717e-07 6.012110e-05 4.714204e-04 -5.918482e-05 1.843865e-05
10312.000000 -2.906294e-05 -1.141347e-06 -1.043345e-07 -8.664234e-07 5.359355e-05 4.783860e-04 -5.815503e-05 3.448992e-05
10317.000000 -2.908236e-05 -1.153443e-06 -1.045780e-07 -8.692251e-07 5.224130e-05 4.861700e-04 -5.905565e-05 2.782937e-05
10322.000000 -2.906284e-05 -1.159536e-06 -1.043062e-07 -8.710579e-07 6.039325e-05 4.655935e-04 -6.195180e-05 1.988839e-05
10327.000000 -2.900416e-05 -1.162327e-06 -1.033276e-07 -8.718765e-07 5.188560e-05 4.716294e-04 -6.017130e-05 2.490472e-05
10332.000000 -2.889537e-05 -1.164734e-06 -1.026099e-07 -8.717331e-07 4.748501e-05 4.510255e-04 -5.392567e-05 2.758784e-05
10337.000000 -2.898012e-05 -1.174001e-06 -1.032177e-07 -8.774905e-07 4.673121e-05 4.427226e-04 -5.347084e-05 1.826209e-05
10341.000000 -2.896345e-05 -1.178994e-06 -1.042430e-07 -8.797840e-07 5.882953e-05 4.151693e-04 -5.354935e-05 1.838896e-05
10344.000000 -2.891740e-05 -1.177961e-06 -1.052670e-07 -8.812538e-07 6.104603e-05 3.790385e-04 -6.420159e-05 2.901729e-05
10346.000000 -2.889242e-05 -1.179329e-06 -1.064186e-07 -8.824000e-07 4.781229e-05 3.489248e-04 -7.127804e-05 3.185245e-05
10347.000000 -2.889051e-05 -1.181473e-06 -1.072616e-07 -8.835137e-07 4.429174e-05 3.456440e-04 -6.612236e-05 4.149589e-05
10347.200000 -2.889624e-05 -1.181487e-06 -1.074425e-07 -8.837056e-07 4.722071e-05 3.415749e-04 -5.756774e-05 4.067886e-05
10347.400000 -2.889366e-05 -1.182017e-06 -1.074569e-07 -8.842341e-07 4.133926e-05 3.571073e-04 -5.980786e-05 4.494307e-05
10347.600000 -2.889276e-05 -1.183181e-06 -1.075631e-07 -8.843569e-07 4.334975e-05 3.543088e-04 -6.809953e-05 3.874194e-05
10347.800000 -2.889683e-05 -1.182982e-06 -1.075629e-07 -8.846031e-07 4.506470e-05 3.460038e-04 -6.612845e-05 3.640596e-05
