# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.9591046668577
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00293
# Detector.I1.voltage: -1650.000977
# Detector.I2.voltage: -1650.002563
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370842
# Scan.uid: ca7f340d-21ca-45d0-8337-df7259369ed7
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:05:22.526590
# Scan.end_time: 06/23/2023  01:05:56.882003
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 383.1
# SampleHeater.voltage.setpoint: 0.8224591857659097
# SampleHeater.voltage.readback: 0.857
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.200000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0732421875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.048828125
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.03662109375
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.96489e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 3.20221e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.84673e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1309e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.59033e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.25782e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.010879e-05 -1.068289e-06 -3.114056e-07 -8.283520e-07 5.754721e-05 1.853413e-04 -2.020232e-05 3.086857e-05
10172.000000 -2.997312e-05 -1.062335e-06 -3.082499e-07 -8.267886e-07 5.982488e-05 1.927651e-04 -2.027683e-05 2.995312e-05
10177.000000 -2.992655e-05 -1.061999e-06 -3.047124e-07 -8.274059e-07 6.525050e-05 1.879935e-04 -1.446096e-05 2.065062e-05
10182.000000 -2.985536e-05 -1.059698e-06 -2.987084e-07 -8.280668e-07 6.173187e-05 2.055142e-04 -1.423461e-05 2.953563e-05
10187.000000 -2.983677e-05 -1.061081e-06 -2.882891e-07 -8.303123e-07 5.739833e-05 1.820196e-04 -2.129087e-05 3.291288e-05
10192.000000 -2.979887e-05 -1.056383e-06 -2.627827e-07 -8.318440e-07 5.615386e-05 1.826521e-04 -1.367484e-05 2.788679e-05
10197.000000 -2.979961e-05 -1.060703e-06 -1.948190e-07 -8.339474e-07 5.512218e-05 1.881467e-04 -1.705315e-05 1.778590e-05
10202.000000 -2.979407e-05 -1.067989e-06 -6.246634e-08 -8.358737e-07 5.234626e-05 2.114135e-04 -8.763983e-06 2.106140e-05
10207.000000 -2.983682e-05 -1.079746e-06 -2.521010e-08 -8.389703e-07 5.165148e-05 2.376461e-04 -1.007657e-05 2.730730e-05
10212.000000 -2.984250e-05 -1.086904e-06 -5.340940e-08 -8.407301e-07 5.140035e-05 2.402412e-04 -1.394550e-05 2.481052e-05
10217.000000 -2.980530e-05 -1.089739e-06 -6.910993e-08 -8.416781e-07 4.995964e-05 2.361519e-04 -8.517439e-06 2.575442e-05
10222.000000 -2.973589e-05 -1.088468e-06 -8.108057e-08 -8.418566e-07 5.096576e-05 2.280061e-04 -1.015881e-05 2.304094e-05
10227.000000 -2.969368e-05 -1.091610e-06 -8.976598e-08 -8.427862e-07 5.154160e-05 2.184090e-04 -1.650757e-05 2.302094e-05
10232.000000 -2.964258e-05 -1.094263e-06 -9.327542e-08 -8.433612e-07 5.807361e-05 2.269992e-04 -1.471228e-05 3.307927e-05
10237.000000 -2.962072e-05 -1.096353e-06 -9.570954e-08 -8.453318e-07 5.209551e-05 2.328207e-04 -9.719373e-06 3.739497e-05
10242.000000 -2.959801e-05 -1.100972e-06 -9.734786e-08 -8.470819e-07 4.232501e-05 2.565317e-04 -1.149783e-05 3.563730e-05
10247.000000 -2.953690e-05 -1.103829e-06 -1.015844e-07 -8.475022e-07 4.834263e-05 2.534144e-04 -7.129942e-06 2.856806e-05
10252.000000 -2.948837e-05 -1.106783e-06 -1.011994e-07 -8.484132e-07 4.926415e-05 2.547851e-04 -9.733966e-06 3.661357e-05
10257.000000 -2.943931e-05 -1.109175e-06 -9.753300e-08 -8.489845e-07 5.369665e-05 2.526564e-04 -5.428884e-06 2.680517e-05
10262.000000 -2.933774e-05 -1.108708e-06 -9.661823e-08 -8.482433e-07 5.259441e-05 2.552336e-04 -9.598702e-06 2.674063e-05
10267.000000 -2.938788e-05 -1.117034e-06 -9.883497e-08 -8.519191e-07 5.608733e-05 2.611925e-04 -5.459825e-06 2.452218e-05
10272.000000 -2.940052e-05 -1.125622e-06 -1.005192e-07 -8.540936e-07 5.094397e-05 2.537230e-04 -4.653060e-06 2.930860e-05
10277.000000 -2.934345e-05 -1.131416e-06 -1.005135e-07 -8.543748e-07 4.671747e-05 2.489822e-04 -7.098628e-06 3.211929e-05
10282.000000 -2.914203e-05 -1.124835e-06 -9.855603e-08 -8.513094e-07 5.686749e-05 2.364073e-04 -5.476206e-06 3.344331e-05
10287.000000 -2.921737e-05 -1.135397e-06 -9.993660e-08 -8.559213e-07 4.946175e-05 2.077308e-04 -2.012228e-05 2.045096e-05
10292.000000 -2.920521e-05 -1.142893e-06 -1.033700e-07 -8.576033e-07 5.354086e-05 2.126243e-04 -2.055947e-05 1.830161e-05
10297.000000 -2.916471e-05 -1.146544e-06 -1.053532e-07 -8.588718e-07 6.537660e-05 2.243350e-04 -1.963616e-05 2.434680e-05
10302.000000 -2.912081e-05 -1.147203e-06 -1.046424e-07 -8.602220e-07 6.038448e-05 2.228993e-04 -2.171504e-05 3.220250e-05
10307.000000 -2.910609e-05 -1.155158e-06 -1.052253e-07 -8.613980e-07 6.117463e-05 2.152475e-04 -2.594743e-05 2.090070e-05
10312.000000 -2.907306e-05 -1.160513e-06 -1.057717e-07 -8.623548e-07 5.995516e-05 2.087952e-04 -1.969868e-05 2.422906e-05
10317.000000 -2.902315e-05 -1.162985e-06 -1.054488e-07 -8.636363e-07 5.415256e-05 2.140742e-04 -2.059052e-05 3.201289e-05
10322.000000 -2.899959e-05 -1.169193e-06 -1.049208e-07 -8.657086e-07 5.520537e-05 2.200818e-04 -1.549932e-05 3.592495e-05
10327.000000 -2.893324e-05 -1.169260e-06 -1.038436e-07 -8.671802e-07 5.531595e-05 2.014174e-04 -1.939536e-05 3.691499e-05
10332.000000 -2.882208e-05 -1.169584e-06 -1.027485e-07 -8.675190e-07 6.149547e-05 1.958915e-04 -1.587037e-05 3.130828e-05
10337.000000 -2.889751e-05 -1.177061e-06 -1.032290e-07 -8.726646e-07 6.594177e-05 2.106953e-04 -8.834994e-06 1.985201e-05
10341.000000 -2.887220e-05 -1.181383e-06 -1.042451e-07 -8.745786e-07 7.546066e-05 2.104184e-04 -7.537756e-06 2.293051e-05
10344.000000 -2.884878e-05 -1.184016e-06 -1.056288e-07 -8.773301e-07 7.594349e-05 2.200755e-04 -9.370103e-06 2.928251e-05
10346.000000 -2.884290e-05 -1.187169e-06 -1.067835e-07 -8.787628e-07 7.113648e-05 2.087691e-04 -5.728406e-06 3.190541e-05
10347.000000 -2.881866e-05 -1.185829e-06 -1.075702e-07 -8.791363e-07 6.872774e-05 2.349892e-04 -1.322684e-06 3.911721e-05
10347.200000 -2.880122e-05 -1.183375e-06 -1.073439e-07 -8.790237e-07 6.528316e-05 2.368562e-04 5.510490e-06 3.513762e-05
10347.400000 -2.879013e-05 -1.182360e-06 -1.073329e-07 -8.793318e-07 6.167345e-05 2.398821e-04 6.719873e-06 3.234412e-05
10347.600000 -2.879533e-05 -1.183465e-06 -1.076135e-07 -8.794692e-07 6.625293e-05 2.239531e-04 -2.665442e-06 3.618665e-05
10347.800000 -2.881079e-05 -1.186207e-06 -1.080816e-07 -8.798421e-07 6.630877e-05 2.158176e-04 -1.637943e-05 3.711931e-05
