# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.0702986438873
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00061
# Detector.I1.voltage: -1650.000732
# Detector.I2.voltage: -1649.998901
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370844
# Scan.uid: 38409dca-9cce-48db-b8e5-33503ee1a426
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:07:23.101227
# Scan.end_time: 06/23/2023  01:07:56.485280
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.6100216535
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 380.0
# SampleHeater.temperature2.readback: 381.90000000000003
# SampleHeater.voltage.setpoint: 0.8447467531687268
# SampleHeater.voltage.readback: 0.851
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.22
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0732421875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.03662109375
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0244140625
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 7.97177e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.98248e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.7829e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1051e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.58831e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.19042e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.019856e-05 -1.074627e-06 -3.129274e-07 -8.288799e-07 6.992627e-05 1.754152e-04 -3.148421e-05 2.750118e-05
10172.000000 -3.007815e-05 -1.069643e-06 -3.098232e-07 -8.278684e-07 7.187223e-05 1.429659e-04 -3.633809e-05 2.866931e-05
10177.000000 -3.000585e-05 -1.066572e-06 -3.058205e-07 -8.278078e-07 7.377704e-05 1.253044e-04 -3.600933e-05 3.471256e-05
10182.000000 -2.994185e-05 -1.065179e-06 -2.999975e-07 -8.281194e-07 7.942654e-05 1.086597e-04 -3.543270e-05 4.157745e-05
10187.000000 -2.992832e-05 -1.066876e-06 -2.893250e-07 -8.307332e-07 7.674671e-05 1.187140e-04 -4.604130e-05 4.324248e-05
10192.000000 -3.001261e-05 -1.076605e-06 -2.668270e-07 -8.356975e-07 7.126691e-05 1.149832e-04 -5.018362e-05 3.829627e-05
10197.000000 -3.001027e-05 -1.081378e-06 -1.979261e-07 -8.378257e-07 6.860771e-05 1.010856e-04 -3.586147e-05 3.026161e-05
10202.000000 -2.995233e-05 -1.082763e-06 -6.357444e-08 -8.384378e-07 7.040604e-05 1.070818e-04 -3.465823e-05 3.375004e-05
10207.000000 -2.992599e-05 -1.087152e-06 -2.528363e-08 -8.398777e-07 7.441402e-05 1.196592e-04 -3.970042e-05 3.310786e-05
10212.000000 -2.989620e-05 -1.089191e-06 -5.327084e-08 -8.412012e-07 7.426107e-05 1.131293e-04 -3.055206e-05 3.318703e-05
10217.000000 -2.982778e-05 -1.087344e-06 -6.918366e-08 -8.417320e-07 7.616633e-05 1.051068e-04 -2.246918e-05 4.092100e-05
10222.000000 -2.979106e-05 -1.090996e-06 -8.169802e-08 -8.426759e-07 6.977435e-05 1.101347e-04 -2.479081e-05 3.440387e-05
10227.000000 -2.974136e-05 -1.093386e-06 -8.976994e-08 -8.434253e-07 6.305447e-05 9.377709e-05 -3.040936e-05 2.839710e-05
10232.000000 -2.971274e-05 -1.098923e-06 -9.325306e-08 -8.444813e-07 6.288200e-05 1.068381e-04 -3.848431e-05 2.786517e-05
10237.000000 -2.966952e-05 -1.098644e-06 -9.544547e-08 -8.451525e-07 6.888594e-05 1.060993e-04 -3.452068e-05 3.644601e-05
10242.000000 -2.957489e-05 -1.095159e-06 -9.697482e-08 -8.446076e-07 6.499088e-05 1.054800e-04 -3.228413e-05 3.674954e-05
10247.000000 -2.952173e-05 -1.099159e-06 -1.010295e-07 -8.453614e-07 7.051214e-05 1.221421e-04 -2.256668e-05 3.391780e-05
10252.000000 -2.955060e-05 -1.107764e-06 -1.010410e-07 -8.480831e-07 7.914605e-05 1.220233e-04 -2.504106e-05 3.040402e-05
10257.000000 -2.953065e-05 -1.113466e-06 -9.752515e-08 -8.498072e-07 8.396377e-05 1.147280e-04 -2.821638e-05 3.225702e-05
10262.000000 -2.944231e-05 -1.115066e-06 -9.715633e-08 -8.494946e-07 7.980681e-05 1.188173e-04 -3.585145e-05 4.013211e-05
10267.000000 -2.943549e-05 -1.117761e-06 -9.895236e-08 -8.517076e-07 7.934894e-05 1.425170e-04 -3.669340e-05 3.676188e-05
10272.000000 -2.941398e-05 -1.122259e-06 -1.000509e-07 -8.533206e-07 8.263798e-05 1.657078e-04 -2.302529e-05 3.639168e-05
10277.000000 -2.936410e-05 -1.128043e-06 -9.978720e-08 -8.543570e-07 7.044492e-05 1.544215e-04 -2.940876e-05 3.938903e-05
10282.000000 -2.918465e-05 -1.124714e-06 -9.854417e-08 -8.516875e-07 6.487638e-05 1.258283e-04 -1.950148e-05 3.539007e-05
10287.000000 -2.924153e-05 -1.133162e-06 -9.975376e-08 -8.554703e-07 6.992096e-05 1.211813e-04 -2.566910e-05 2.647339e-05
10292.000000 -2.927335e-05 -1.146921e-06 -1.033982e-07 -8.585320e-07 7.252624e-05 1.094009e-04 -1.772578e-05 3.660948e-05
10297.000000 -2.922947e-05 -1.149313e-06 -1.048483e-07 -8.597571e-07 7.176187e-05 1.123509e-04 -1.351018e-05 3.235360e-05
10302.000000 -2.919804e-05 -1.150510e-06 -1.047972e-07 -8.611470e-07 7.283128e-05 1.331568e-04 -2.548237e-05 2.563523e-05
10307.000000 -2.913733e-05 -1.151007e-06 -1.049078e-07 -8.615650e-07 6.649862e-05 1.140634e-04 -2.042089e-05 2.208073e-05
10312.000000 -2.911487e-05 -1.158084e-06 -1.053872e-07 -8.640222e-07 5.567653e-05 1.118963e-04 -2.109163e-05 2.000785e-05
10317.000000 -2.903000e-05 -1.156290e-06 -1.045560e-07 -8.651606e-07 5.933610e-05 9.648846e-05 -3.048774e-05 2.081329e-05
10322.000000 -2.904094e-05 -1.167241e-06 -1.045144e-07 -8.675858e-07 7.336847e-05 9.406695e-05 -3.276173e-05 1.474807e-05
10327.000000 -2.902984e-05 -1.177061e-06 -1.041835e-07 -8.691869e-07 7.591776e-05 9.714879e-05 -2.871018e-05 1.845356e-05
10332.000000 -2.889994e-05 -1.175769e-06 -1.031676e-07 -8.692011e-07 7.717633e-05 1.048021e-04 -2.669758e-05 2.419917e-05
10337.000000 -2.899660e-05 -1.185239e-06 -1.037197e-07 -8.757119e-07 7.678160e-05 1.328291e-04 -2.108056e-05 2.088273e-05
10341.000000 -2.895720e-05 -1.185390e-06 -1.043080e-07 -8.780061e-07 7.266248e-05 1.422922e-04 -2.683646e-05 1.993397e-05
10344.000000 -2.892020e-05 -1.184860e-06 -1.052939e-07 -8.795737e-07 7.083651e-05 1.656838e-04 -2.916853e-05 1.198611e-05
10346.000000 -2.887727e-05 -1.182209e-06 -1.059830e-07 -8.804178e-07 6.894174e-05 1.901335e-04 -3.515453e-05 1.401409e-05
10347.000000 -2.887546e-05 -1.185206e-06 -1.067564e-07 -8.811631e-07 7.215783e-05 1.799264e-04 -2.459018e-05 1.512405e-05
10347.200000 -2.885865e-05 -1.184530e-06 -1.068723e-07 -8.809750e-07 7.872502e-05 1.789789e-04 -2.274147e-05 1.777423e-05
10347.400000 -2.884692e-05 -1.182533e-06 -1.070692e-07 -8.814739e-07 7.781608e-05 1.976664e-04 -3.138786e-05 1.311785e-05
10347.600000 -2.884761e-05 -1.182402e-06 -1.073923e-07 -8.814398e-07 7.107342e-05 1.691011e-04 -2.028235e-05 1.305752e-05
10347.800000 -2.881749e-05 -1.177452e-06 -1.071722e-07 -8.808779e-07 7.077939e-05 1.807460e-04 -2.008577e-05 1.033797e-05
