# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.759538126235
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998535
# Detector.I1.voltage: -1650.001831
# Detector.I2.voltage: -1650.001709
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370852
# Scan.uid: d055d1f4-439a-476e-99ee-c590d0061648
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:15:18.509227
# Scan.end_time: 06/23/2023  01:15:51.962214
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049975000499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 241.31488184134164
# SampleHeater.temperature2.readback: 239.20000000000002
# SampleHeater.voltage.setpoint: 0.6292925688244158
# SampleHeater.voltage.readback: 0.613
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.01
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.33
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.03662109375
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.05734e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.36446e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.80037e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.2384e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.75628e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.16161e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.014770e-05 -1.107241e-06 -3.227926e-07 -8.241002e-07 6.352146e-05 -4.650263e-05 -4.500980e-05 -2.233919e-06
10172.000000 -2.994440e-05 -1.096497e-06 -3.182321e-07 -8.208857e-07 7.303407e-05 -5.639787e-05 -4.201066e-05 -5.738284e-06
10177.000000 -2.980236e-05 -1.087912e-06 -3.126488e-07 -8.192995e-07 6.862129e-05 -5.338788e-05 -3.240125e-05 -1.438336e-05
10182.000000 -2.977563e-05 -1.089317e-06 -3.073690e-07 -8.206635e-07 7.181547e-05 -5.787705e-05 -3.423336e-05 -1.806327e-05
10187.000000 -2.976281e-05 -1.091562e-06 -2.969195e-07 -8.227103e-07 6.907750e-05 -5.107512e-05 -3.451675e-05 -1.596039e-05
10192.000000 -2.987460e-05 -1.102294e-06 -2.739754e-07 -8.278873e-07 6.832326e-05 -4.460827e-05 -4.052771e-05 -1.374277e-05
10197.000000 -2.977341e-05 -1.099100e-06 -2.016963e-07 -8.274417e-07 6.065228e-05 -1.124604e-05 -3.131873e-05 -1.247673e-05
10202.000000 -2.987026e-05 -1.111394e-06 -6.558934e-08 -8.320706e-07 6.252122e-05 1.041261e-05 -4.183947e-05 -1.253646e-05
10207.000000 -2.982322e-05 -1.113701e-06 -2.620285e-08 -8.331392e-07 7.526713e-05 1.452474e-06 -4.573515e-05 -1.374675e-05
10212.000000 -2.986951e-05 -1.124136e-06 -5.507883e-08 -8.362708e-07 8.233315e-05 -3.120951e-05 -3.930833e-05 -1.717961e-05
10217.000000 -2.983804e-05 -1.129355e-06 -7.191602e-08 -8.370819e-07 8.784061e-05 -5.184743e-05 -4.575878e-05 -1.408459e-05
10222.000000 -2.976378e-05 -1.130389e-06 -8.466818e-08 -8.371107e-07 7.896355e-05 -5.204380e-05 -5.282808e-05 -8.550962e-06
10227.000000 -2.975608e-05 -1.136563e-06 -9.346142e-08 -8.390576e-07 7.531958e-05 -2.422165e-05 -5.045387e-05 -1.164331e-05
10232.000000 -2.968947e-05 -1.137441e-06 -9.691722e-08 -8.395518e-07 7.023752e-05 -2.002431e-05 -4.772248e-05 -1.135940e-05
10237.000000 -2.966984e-05 -1.141523e-06 -9.956970e-08 -8.413721e-07 7.076361e-05 -3.467581e-05 -3.997242e-05 -8.194004e-06
10242.000000 -2.960247e-05 -1.143785e-06 -1.015237e-07 -8.419891e-07 7.043459e-05 -5.503581e-05 -4.740733e-05 -1.009716e-05
10247.000000 -2.955882e-05 -1.148835e-06 -1.064217e-07 -8.432156e-07 6.736836e-05 -4.552561e-05 -4.655192e-05 -1.226863e-05
10252.000000 -2.946802e-05 -1.147774e-06 -1.055267e-07 -8.436189e-07 7.485862e-05 -4.649003e-05 -3.671725e-05 2.027052e-05
10257.000000 -2.947595e-05 -1.155207e-06 -1.017395e-07 -8.460633e-07 7.714274e-05 -6.546965e-05 -3.521184e-05 6.086795e-07
10262.000000 -2.941339e-05 -1.159639e-06 -1.013761e-07 -8.460645e-07 8.670909e-05 -6.821305e-05 -4.018877e-05 -1.346919e-05
10267.000000 -2.946823e-05 -1.167163e-06 -1.037269e-07 -8.492933e-07 7.976363e-05 -5.041481e-05 -4.213462e-05 -1.061527e-05
10272.000000 -2.946126e-05 -1.173247e-06 -1.049994e-07 -8.512286e-07 7.403373e-05 -4.474180e-05 -3.045719e-05 -1.768698e-05
10277.000000 -2.940003e-05 -1.177559e-06 -1.048225e-07 -8.512338e-07 7.959943e-05 -5.142096e-05 -3.577744e-05 -1.532963e-05
10282.000000 -2.923079e-05 -1.175806e-06 -1.034275e-07 -8.485749e-07 7.879932e-05 -2.970188e-05 -3.032621e-05 -1.366902e-05
10287.000000 -2.923748e-05 -1.180958e-06 -1.045153e-07 -8.510857e-07 8.181898e-05 -2.684341e-05 -2.094494e-05 -8.957748e-06
10292.000000 -2.916137e-05 -1.182611e-06 -1.075482e-07 -8.512863e-07 7.707733e-05 -2.871867e-05 -1.827977e-05 -7.406861e-06
10297.000000 -2.915512e-05 -1.189877e-06 -1.096482e-07 -8.531815e-07 7.750864e-05 -2.628821e-05 -1.919969e-05 -6.576634e-06
10302.000000 -2.917929e-05 -1.197631e-06 -1.095743e-07 -8.557826e-07 7.463565e-05 -1.889567e-05 -2.176839e-05 -1.435280e-05
10307.000000 -2.911442e-05 -1.199817e-06 -1.097497e-07 -8.562402e-07 7.311082e-05 -1.935738e-05 -2.574657e-05 -2.184975e-05
10312.000000 -2.912642e-05 -1.209516e-06 -1.107090e-07 -8.585839e-07 7.910185e-05 -2.071868e-05 -2.763934e-05 -1.665321e-05
10317.000000 -2.908627e-05 -1.213726e-06 -1.102756e-07 -8.607413e-07 7.632128e-05 -6.308171e-06 -2.728974e-05 -1.281453e-05
10322.000000 -2.906368e-05 -1.219575e-06 -1.097051e-07 -8.634733e-07 7.428905e-05 1.464909e-05 -2.675391e-05 -2.230112e-05
10327.000000 -2.900408e-05 -1.221149e-06 -1.085779e-07 -8.649471e-07 6.986700e-05 2.365256e-05 -2.445395e-05 -2.037897e-05
10332.000000 -2.886698e-05 -1.218036e-06 -1.074534e-07 -8.644442e-07 6.834456e-05 7.885507e-06 -2.906780e-05 -2.219414e-05
10337.000000 -2.896211e-05 -1.229599e-06 -1.082555e-07 -8.701580e-07 7.401208e-05 8.214398e-06 -3.828627e-05 -2.023441e-05
10341.000000 -2.886404e-05 -1.223597e-06 -1.083853e-07 -8.711735e-07 7.329001e-05 2.667465e-05 -3.584697e-05 -2.025498e-05
10344.000000 -2.885813e-05 -1.227510e-06 -1.096771e-07 -8.736199e-07 8.131823e-05 3.608873e-05 -2.239680e-05 -2.427953e-05
10346.000000 -2.878030e-05 -1.221034e-06 -1.101806e-07 -8.732931e-07 7.511546e-05 1.236876e-05 -9.720430e-06 -3.085060e-05
10347.000000 -2.883444e-05 -1.229775e-06 -1.115928e-07 -8.753948e-07 6.913905e-05 3.329192e-05 -1.199914e-05 -2.333365e-05
10347.200000 -2.883741e-05 -1.230858e-06 -1.119953e-07 -8.761404e-07 7.041253e-05 3.509736e-05 -1.532994e-05 -2.366732e-05
10347.400000 -2.886134e-05 -1.232647e-06 -1.120701e-07 -8.760231e-07 7.052114e-05 1.912296e-05 -1.468048e-05 -2.200594e-05
10347.600000 -2.885482e-05 -1.231846e-06 -1.122106e-07 -8.764651e-07 6.612221e-05 1.654160e-05 -1.281474e-05 -2.528614e-05
