# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8903343047209
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.008179
# Detector.I1.voltage: -1650.004272
# Detector.I2.voltage: -1650.001099
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370854
# Scan.uid: 8cea7e38-8717-4fda-8a19-b2b899ce3ec6
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:17:16.530295
# Scan.end_time: 06/23/2023  01:17:48.773621
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 195.5727162890964
# SampleHeater.temperature2.readback: 197.70000000000002
# SampleHeater.voltage.setpoint: 0.4333300501363527
# SampleHeater.voltage.readback: 0.432
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.23
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0244140625
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.00144e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.21471e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.82119e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.1825e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.67498e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.22815e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.020070e-05 -1.119915e-06 -3.264597e-07 -8.237866e-07 8.055630e-05 -1.072627e-04 -3.869949e-05 -6.997800e-06
10172.000000 -3.007123e-05 -1.114517e-06 -3.230158e-07 -8.225157e-07 8.465511e-05 -8.062141e-05 -3.361380e-05 -1.396370e-05
10177.000000 -2.999152e-05 -1.112759e-06 -3.193571e-07 -8.223287e-07 8.555990e-05 -6.991975e-05 -2.559084e-05 -1.175245e-05
10182.000000 -2.990897e-05 -1.111287e-06 -3.131527e-07 -8.222250e-07 8.399898e-05 -5.940093e-05 -2.593271e-05 -1.480923e-05
10187.000000 -2.992410e-05 -1.116417e-06 -3.033346e-07 -8.255000e-07 8.587307e-05 -5.162372e-05 -2.875602e-05 -1.077616e-05
10192.000000 -2.992835e-05 -1.120441e-06 -2.783691e-07 -8.288225e-07 7.802205e-05 -4.763534e-05 -2.633045e-05 -3.680519e-06
10197.000000 -2.993892e-05 -1.124862e-06 -2.068113e-07 -8.311894e-07 8.127134e-05 -6.105147e-05 -2.741286e-05 -3.836456e-06
10202.000000 -2.991131e-05 -1.128161e-06 -6.693521e-08 -8.324065e-07 8.419601e-05 -6.664479e-05 -2.713945e-05 -3.286648e-06
10207.000000 -2.984014e-05 -1.127309e-06 -2.635562e-08 -8.321525e-07 7.720052e-05 -4.489074e-05 -3.041597e-05 -7.304197e-06
10212.000000 -2.980510e-05 -1.128488e-06 -5.554195e-08 -8.331506e-07 7.921602e-05 -4.900807e-05 -2.175174e-05 -1.544925e-05
10217.000000 -2.981451e-05 -1.134711e-06 -7.237303e-08 -8.357943e-07 7.818689e-05 -5.793533e-05 -2.112767e-05 -8.778410e-06
10222.000000 -2.981735e-05 -1.141384e-06 -8.556208e-08 -8.374574e-07 8.276479e-05 -6.095079e-05 -3.231193e-05 -5.507917e-06
10227.000000 -2.976281e-05 -1.143701e-06 -9.397065e-08 -8.380156e-07 8.284403e-05 -6.310067e-05 -3.759879e-05 -1.168486e-05
10232.000000 -2.972378e-05 -1.147702e-06 -9.788075e-08 -8.392690e-07 6.578201e-05 -6.726127e-05 -3.962813e-05 -9.246485e-06
10237.000000 -2.971187e-05 -1.153013e-06 -1.005824e-07 -8.414739e-07 7.631536e-05 -7.070649e-05 -3.535492e-05 -4.362090e-06
10242.000000 -2.968475e-05 -1.157938e-06 -1.024712e-07 -8.427958e-07 7.196409e-05 -8.017556e-05 -3.771997e-05 -1.420388e-05
10247.000000 -2.962022e-05 -1.161126e-06 -1.069774e-07 -8.432151e-07 7.762911e-05 -8.150530e-05 -3.548131e-05 -2.019513e-05
10252.000000 -2.959991e-05 -1.166172e-06 -1.072626e-07 -8.451675e-07 8.589701e-05 -8.336968e-05 -2.876673e-05 -2.052949e-05
10257.000000 -2.954896e-05 -1.168177e-06 -1.028936e-07 -8.462831e-07 8.419613e-05 -7.680240e-05 -1.967604e-05 -5.571085e-06
10262.000000 -2.937850e-05 -1.163573e-06 -1.019142e-07 -8.440590e-07 9.516175e-05 -5.909758e-05 -2.710266e-05 -4.314972e-06
10267.000000 -2.942319e-05 -1.170334e-06 -1.041414e-07 -8.474183e-07 9.153072e-05 -5.283296e-05 -3.133214e-05 -1.382092e-05
10272.000000 -2.946963e-05 -1.180759e-06 -1.055973e-07 -8.500441e-07 8.677427e-05 -4.883636e-05 -3.182601e-05 -1.937404e-05
10277.000000 -2.942238e-05 -1.186167e-06 -1.055412e-07 -8.504437e-07 8.191640e-05 -5.727740e-05 -3.552717e-05 -3.131127e-05
10282.000000 -2.923617e-05 -1.185085e-06 -1.040152e-07 -8.476781e-07 8.542493e-05 -5.390907e-05 -2.905905e-05 -2.468029e-05
10287.000000 -2.917625e-05 -1.184617e-06 -1.051624e-07 -8.486026e-07 8.855500e-05 -6.687056e-05 -4.874670e-05 -2.429880e-05
10292.000000 -2.919667e-05 -1.195690e-06 -1.089185e-07 -8.511462e-07 8.279926e-05 -6.130377e-05 -5.147573e-05 -2.380992e-05
10297.000000 -2.924593e-05 -1.208174e-06 -1.111157e-07 -8.538678e-07 8.177919e-05 -6.354812e-05 -5.357624e-05 -2.452552e-05
10302.000000 -2.921299e-05 -1.210595e-06 -1.108562e-07 -8.555060e-07 8.070003e-05 -6.568272e-05 -4.603969e-05 -1.477511e-05
10307.000000 -2.917436e-05 -1.213883e-06 -1.106702e-07 -8.565187e-07 7.946896e-05 -6.768830e-05 -5.105488e-05 -2.624563e-05
10312.000000 -2.911664e-05 -1.215049e-06 -1.109302e-07 -8.574377e-07 7.644023e-05 -8.721971e-05 -4.982608e-05 -1.364464e-05
10317.000000 -2.910832e-05 -1.222506e-06 -1.108181e-07 -8.596503e-07 8.249767e-05 -8.065403e-05 -4.883183e-05 -1.242943e-05
10322.000000 -2.909119e-05 -1.228516e-06 -1.103294e-07 -8.620395e-07 8.763737e-05 -7.547640e-05 -4.731982e-05 5.971761e-06
10327.000000 -2.901799e-05 -1.230148e-06 -1.092777e-07 -8.631045e-07 7.917414e-05 -6.081106e-05 -4.418134e-05 1.945737e-05
10332.000000 -2.889580e-05 -1.230880e-06 -1.084706e-07 -8.639022e-07 7.168868e-05 -6.298194e-05 -4.271150e-05 1.864473e-05
10337.000000 -2.898524e-05 -1.237996e-06 -1.087707e-07 -8.701367e-07 7.269402e-05 -3.578152e-05 -3.849286e-05 2.780138e-06
10341.000000 -2.894280e-05 -1.237248e-06 -1.092027e-07 -8.715000e-07 7.770235e-05 -1.540797e-05 -3.404100e-05 -1.067494e-05
10344.000000 -2.892047e-05 -1.240602e-06 -1.107441e-07 -8.735928e-07 8.420577e-05 -2.770925e-06 -3.061546e-05 -8.329887e-06
10346.000000 -2.889185e-05 -1.241065e-06 -1.119784e-07 -8.753272e-07 7.348464e-05 -3.884626e-05 -3.287386e-05 -7.120344e-06
10347.000000 -2.886376e-05 -1.238080e-06 -1.124274e-07 -8.761241e-07 6.527281e-05 -4.157376e-05 -3.697111e-05 -1.024884e-05
10347.200000 -2.883155e-05 -1.232990e-06 -1.120890e-07 -8.757380e-07 6.323144e-05 -3.505438e-05 -3.459760e-05 -8.510423e-06
10347.400000 -2.887218e-05 -1.239976e-06 -1.126219e-07 -8.764522e-07 6.397932e-05 -1.277552e-05 -4.716956e-05 -1.687998e-05
10347.600000 -2.888578e-05 -1.242706e-06 -1.125820e-07 -8.764519e-07 6.961234e-05 3.523684e-07 -3.353101e-05 -1.316440e-05
