# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.420037032884
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001099
# Detector.I1.voltage: -1650.002197
# Detector.I2.voltage: -1650.001465
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370860
# Scan.uid: 7a1a0c3b-6f2b-4784-ae40-b070476ac957
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:23:12.517390
# Scan.end_time: 06/23/2023  01:23:47.766072
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 57.01698295275372
# SampleHeater.temperature2.readback: 58.1
# SampleHeater.voltage.setpoint: 0.08416592486097921
# SampleHeater.voltage.readback: 0.084
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.31
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1220703125
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01220703125
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.08443e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 3.69574e-11
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.83733e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.204e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.634e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07131e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.995152e-05 -1.131041e-06 -3.296464e-07 -8.144694e-07 4.932723e-05 1.143104e-04 -7.928318e-05 -4.930911e-06
10172.000000 -2.987586e-05 -1.125856e-06 -3.264020e-07 -8.134645e-07 5.000729e-05 1.072459e-04 -6.783761e-05 -1.482531e-05
10177.000000 -2.984206e-05 -1.125492e-06 -3.230406e-07 -8.140351e-07 4.734085e-05 1.181632e-04 -7.443807e-05 -5.968669e-06
10182.000000 -2.975973e-05 -1.124610e-06 -3.170750e-07 -8.144100e-07 5.383497e-05 1.181146e-04 -8.606274e-05 -9.609043e-06
10187.000000 -2.974924e-05 -1.129938e-06 -3.071800e-07 -8.167538e-07 5.381275e-05 7.972261e-05 -8.062886e-05 -1.370489e-05
10192.000000 -2.985276e-05 -1.140417e-06 -2.832935e-07 -8.215695e-07 5.809699e-05 8.320088e-05 -7.984829e-05 -1.749379e-05
10197.000000 -2.976888e-05 -1.140366e-06 -2.094689e-07 -8.222860e-07 4.486509e-05 7.728445e-05 -7.834083e-05 -1.469517e-05
10202.000000 -2.975535e-05 -1.142401e-06 -6.763112e-08 -8.242329e-07 4.318463e-05 7.961641e-05 -8.153434e-05 -1.041447e-05
10207.000000 -2.972840e-05 -1.144806e-06 -2.712005e-08 -8.257708e-07 5.152513e-05 9.174912e-05 -7.467184e-05 -1.948672e-05
10212.000000 -2.972257e-05 -1.150769e-06 -5.670929e-08 -8.277777e-07 4.965079e-05 1.007546e-04 -8.872273e-05 -3.119862e-05
10217.000000 -2.969789e-05 -1.154416e-06 -7.348101e-08 -8.293129e-07 4.864206e-05 1.079851e-04 -7.546998e-05 -2.527646e-05
10222.000000 -2.962696e-05 -1.154987e-06 -8.648950e-08 -8.297115e-07 5.017861e-05 9.363889e-05 -8.246264e-05 -2.264444e-05
10227.000000 -2.959542e-05 -1.159842e-06 -9.541715e-08 -8.308027e-07 4.490615e-05 6.713873e-05 -8.631683e-05 -2.332156e-05
10232.000000 -2.947791e-05 -1.159732e-06 -9.918890e-08 -8.302539e-07 4.174542e-05 3.981656e-05 -9.300027e-05 -1.926674e-05
10237.000000 -2.942029e-05 -1.160476e-06 -1.016111e-07 -8.315342e-07 4.881879e-05 2.825873e-05 -8.578938e-05 -1.701602e-05
10242.000000 -2.941655e-05 -1.166622e-06 -1.038994e-07 -8.340444e-07 4.779469e-05 2.206212e-05 -7.864897e-05 -1.550007e-05
10247.000000 -2.930742e-05 -1.168209e-06 -1.081160e-07 -8.332037e-07 4.391604e-05 3.211660e-05 -7.894234e-05 -1.134503e-05
10252.000000 -2.934330e-05 -1.175815e-06 -1.080830e-07 -8.363654e-07 4.360263e-05 3.105174e-05 -7.862674e-05 2.879513e-06
10257.000000 -2.932204e-05 -1.181792e-06 -1.042054e-07 -8.379407e-07 4.644721e-05 5.672890e-05 -8.844058e-05 -1.879891e-05
10262.000000 -2.925478e-05 -1.184152e-06 -1.036565e-07 -8.383053e-07 4.161022e-05 6.557487e-05 -8.644653e-05 -2.815407e-05
10267.000000 -2.930600e-05 -1.191719e-06 -1.058690e-07 -8.417326e-07 4.403649e-05 4.560140e-05 -7.917355e-05 -3.186160e-05
10272.000000 -2.918452e-05 -1.190714e-06 -1.068306e-07 -8.402322e-07 4.796093e-05 5.435224e-05 -7.397010e-05 -3.371665e-05
10277.000000 -2.918383e-05 -1.197586e-06 -1.064103e-07 -8.419174e-07 5.019005e-05 4.371621e-05 -7.138201e-05 -2.880122e-05
10282.000000 -2.908881e-05 -1.200186e-06 -1.049303e-07 -8.410863e-07 4.593845e-05 2.695526e-05 -7.570514e-05 -2.874667e-05
10287.000000 -2.910356e-05 -1.205351e-06 -1.061317e-07 -8.438476e-07 4.264987e-05 2.569694e-05 -8.449059e-05 -2.421376e-05
10292.000000 -2.908594e-05 -1.210344e-06 -1.096672e-07 -8.452377e-07 4.078965e-05 3.798187e-05 -8.115131e-05 -2.500147e-05
10297.000000 -2.905803e-05 -1.214419e-06 -1.116780e-07 -8.466295e-07 4.183874e-05 5.928073e-05 -7.714991e-05 -1.385312e-05
10302.000000 -2.904488e-05 -1.220735e-06 -1.115983e-07 -8.483582e-07 4.924594e-05 6.068317e-05 -7.570145e-05 -8.672320e-06
10307.000000 -2.898358e-05 -1.223497e-06 -1.115730e-07 -8.488363e-07 4.724488e-05 5.766493e-05 -7.449712e-05 -1.012695e-05
10312.000000 -2.894400e-05 -1.227566e-06 -1.121449e-07 -8.500534e-07 3.733615e-05 7.517537e-05 -8.105499e-05 -1.881378e-05
10317.000000 -2.893202e-05 -1.234419e-06 -1.120173e-07 -8.520511e-07 4.406191e-05 9.741609e-05 -8.533869e-05 -1.843489e-05
10322.000000 -2.888656e-05 -1.239488e-06 -1.112470e-07 -8.544499e-07 5.431543e-05 9.990889e-05 -7.508498e-05 -6.418607e-06
10327.000000 -2.886089e-05 -1.245373e-06 -1.106128e-07 -8.563502e-07 5.344363e-05 9.270230e-05 -7.435986e-05 2.382066e-06
10332.000000 -2.874370e-05 -1.247118e-06 -1.097553e-07 -8.563892e-07 4.960927e-05 1.005579e-04 -7.218364e-05 -5.050664e-06
10337.000000 -2.882024e-05 -1.253711e-06 -1.100390e-07 -8.620741e-07 5.447617e-05 1.027369e-04 -6.799774e-05 -6.063495e-06
10341.000000 -2.880790e-05 -1.256392e-06 -1.108459e-07 -8.644690e-07 6.050519e-05 8.702037e-05 -6.169065e-05 2.078435e-05
10344.000000 -2.876356e-05 -1.256614e-06 -1.119509e-07 -8.658967e-07 6.574497e-05 9.193242e-05 -6.696519e-05 3.644549e-05
10346.000000 -2.871765e-05 -1.257514e-06 -1.132799e-07 -8.670102e-07 6.134437e-05 1.243992e-04 -7.532005e-05 4.619316e-05
10347.000000 -2.869492e-05 -1.258917e-06 -1.141774e-07 -8.678382e-07 6.477783e-05 1.228370e-04 -7.735997e-05 4.315355e-05
10347.200000 -2.867434e-05 -1.256180e-06 -1.140583e-07 -8.677982e-07 6.143414e-05 1.204272e-04 -7.408397e-05 4.194950e-05
10347.400000 -2.867532e-05 -1.259854e-06 -1.145037e-07 -8.675452e-07 6.234939e-05 1.365767e-04 -6.796348e-05 4.859584e-05
10347.600000 -2.864743e-05 -1.253934e-06 -1.141167e-07 -8.670366e-07 6.302958e-05 1.251288e-04 -7.646887e-05 4.267259e-05
10347.800000 -2.868109e-05 -1.259463e-06 -1.148099e-07 -8.680604e-07 6.711553e-05 1.020663e-04 -6.917963e-05 2.093539e-05
10348.000000 -2.870192e-05 -1.262777e-06 -1.154061e-07 -8.690444e-07 7.562504e-05 1.135890e-04 -6.949577e-05 -9.570704e-06
10348.200000 -2.870049e-05 -1.261709e-06 -1.151038e-07 -8.690089e-07 7.679523e-05 1.251104e-04 -5.308911e-05 -1.151872e-05
10348.400000 -2.871863e-05 -1.265578e-06 -1.156500e-07 -8.692564e-07 7.048211e-05 1.054038e-04 -5.965263e-05 -6.945334e-06
10348.600000 -2.873517e-05 -1.265309e-06 -1.157027e-07 -8.695624e-07 6.643877e-05 1.245052e-04 -6.754368e-05 -1.326523e-05
10348.800000 -2.872873e-05 -1.264632e-06 -1.159823e-07 -8.695037e-07 7.113009e-05 1.409803e-04 -7.756218e-05 -2.408684e-05
10349.000000 -2.873466e-05 -1.267208e-06 -1.164421e-07 -8.699344e-07 7.071420e-05 1.375259e-04 -8.332353e-05 -2.609166e-05
10349.200000 -2.870952e-05 -1.263257e-06 -1.160417e-07 -8.699036e-07 7.276470e-05 1.171525e-04 -7.794890e-05 -1.078290e-05
10349.400000 -2.871664e-05 -1.265783e-06 -1.161304e-07 -8.703825e-07 7.372229e-05 1.224180e-04 -8.164439e-05 -4.604655e-06
10349.600000 -2.871834e-05 -1.266537e-06 -1.161792e-07 -8.702841e-07 6.675495e-05 1.327628e-04 -8.442330e-05 -5.164753e-06
10349.800000 -2.869701e-05 -1.263959e-06 -1.164775e-07 -8.707452e-07 6.388124e-05 1.433625e-04 -8.429669e-05 -1.186094e-05
10350.000000 -2.865075e-05 -1.262746e-06 -1.165408e-07 -8.704588e-07 6.468246e-05 1.551650e-04 -7.308470e-05 1.009750e-06
10350.200000 -2.863860e-05 -1.262623e-06 -1.164103e-07 -8.706324e-07 6.622382e-05 1.662456e-04 -7.929188e-05 7.203694e-06
10350.400000 -2.868944e-05 -1.268578e-06 -1.168239e-07 -8.718960e-07 6.097587e-05 1.538825e-04 -8.797605e-05 -1.540640e-05
10350.600000 -2.872012e-05 -1.264945e-06 -1.164637e-07 -8.724925e-07 5.646743e-05 1.530225e-04 -7.794419e-05 -1.335412e-05
10350.800000 -2.872578e-05 -1.269514e-06 -1.170109e-07 -8.727045e-07 5.424674e-05 1.729918e-04 -8.460447e-05 -9.671658e-06
10351.000000 -2.872118e-05 -1.269971e-06 -1.172704e-07 -8.725678e-07 6.092720e-05 1.714955e-04 -7.626577e-05 -5.928146e-06
10351.200000 -2.871441e-05 -1.267715e-06 -1.174846e-07 -8.726267e-07 6.191059e-05 1.595493e-04 -7.322222e-05 8.624816e-07
10351.400000 -2.871914e-05 -1.268613e-06 -1.176425e-07 -8.732813e-07 6.088123e-05 1.621474e-04 -6.884509e-05 -7.718516e-06
10351.600000 -2.870512e-05 -1.267268e-06 -1.176363e-07 -8.735669e-07 7.196942e-05 1.734573e-04 -7.679993e-05 -1.239814e-05
10351.800000 -2.868622e-05 -1.266109e-06 -1.174567e-07 -8.734877e-07 6.679861e-05 1.558999e-04 -7.757137e-05 -9.551626e-06
10352.000000 -2.870294e-05 -1.264932e-06 -1.173423e-07 -8.739404e-07 6.387540e-05 1.660701e-04 -8.895069e-05 -1.268808e-05
