# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.10744421480643
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001099
# Detector.I1.voltage: -1650.002808
# Detector.I2.voltage: -1650.000244
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370800
# Scan.uid: 7b323d2e-b1b3-4383-bc57-cdbdd653369e
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  00:23:34.547716
# Scan.end_time: 06/23/2023  00:24:07.535393
# Scan.name: Cu2O+Ga2O3-1st H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 29.14642278646168
# SampleHeater.temperature2.readback: 26.0
# SampleHeater.voltage.setpoint: 0.14365753805881484
# SampleHeater.voltage.readback: 0.139
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.41
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.09765625
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: 0.0
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.06103515625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0244140625
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0244140625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.0732421875
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02034505270421505
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 8.13087e-07
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 5.41961e-10
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.66667e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.161e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.77711e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.5437e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.005661e-05 -1.122533e-06 -3.280238e-07 -8.283026e-07 1.177206e-04 1.074800e-03 -2.952161e-05 5.467312e-05
10172.000000 -2.991721e-05 -1.116737e-06 -3.246600e-07 -8.260763e-07 1.164447e-04 1.089563e-03 -3.651089e-05 4.110686e-05
10177.000000 -2.989654e-05 -1.117118e-06 -3.217280e-07 -8.263224e-07 1.103216e-04 1.093202e-03 -4.377434e-05 3.829566e-05
10182.000000 -2.986395e-05 -1.120133e-06 -3.163847e-07 -8.269828e-07 1.087043e-04 1.093047e-03 -4.345144e-05 3.314393e-05
10187.000000 -2.982430e-05 -1.120693e-06 -3.049923e-07 -8.287820e-07 1.033804e-04 1.084816e-03 -3.588323e-05 4.047722e-05
10192.000000 -2.981517e-05 -1.123496e-06 -2.796423e-07 -8.310348e-07 1.034729e-04 1.100010e-03 -3.817220e-05 5.247784e-05
10197.000000 -2.987193e-05 -1.130607e-06 -2.076680e-07 -8.339247e-07 1.073903e-04 1.103092e-03 -3.426635e-05 4.554337e-05
10202.000000 -2.980818e-05 -1.132084e-06 -6.654012e-08 -8.347795e-07 1.036289e-04 1.094328e-03 -3.159941e-05 5.321540e-05
10207.000000 -2.982972e-05 -1.138701e-06 -2.701104e-08 -8.373512e-07 1.084829e-04 1.083724e-03 -2.664549e-05 5.353607e-05
10212.000000 -2.979938e-05 -1.142858e-06 -5.690802e-08 -8.386269e-07 1.084587e-04 1.072493e-03 -2.336194e-05 4.999181e-05
10217.000000 -2.977343e-05 -1.147356e-06 -7.391340e-08 -8.401191e-07 1.090883e-04 1.089413e-03 -1.002710e-05 5.656458e-05
10222.000000 -2.972778e-05 -1.152421e-06 -8.701899e-08 -8.409026e-07 9.907255e-05 1.081525e-03 -2.930725e-06 6.374330e-05
10227.000000 -2.969265e-05 -1.156128e-06 -9.590351e-08 -8.418326e-07 9.912279e-05 1.090713e-03 -1.273532e-05 6.317274e-05
10232.000000 -2.958099e-05 -1.155659e-06 -9.921285e-08 -8.416506e-07 1.082310e-04 1.103241e-03 -1.257341e-05 6.746021e-05
10237.000000 -2.959468e-05 -1.160561e-06 -1.019465e-07 -8.443326e-07 9.950117e-05 1.113486e-03 -5.230331e-06 7.086913e-05
10242.000000 -2.959033e-05 -1.165343e-06 -1.040368e-07 -8.463451e-07 1.026889e-04 1.103561e-03 -4.189610e-06 6.054075e-05
10247.000000 -2.948119e-05 -1.165424e-06 -1.081233e-07 -8.462203e-07 9.984435e-05 1.094156e-03 -1.017563e-05 5.828410e-05
10252.000000 -2.945529e-05 -1.169030e-06 -1.078742e-07 -8.478409e-07 1.025077e-04 1.104052e-03 -2.870749e-06 5.570461e-05
10257.000000 -2.946147e-05 -1.175491e-06 -1.041430e-07 -8.498568e-07 1.131594e-04 1.121398e-03 -3.636348e-06 6.301938e-05
10262.000000 -2.935041e-05 -1.175434e-06 -1.034712e-07 -8.493716e-07 1.223806e-04 1.102032e-03 3.968006e-06 6.223810e-05
10267.000000 -2.939593e-05 -1.182662e-06 -1.056057e-07 -8.529679e-07 1.151662e-04 1.092614e-03 -5.970276e-06 5.454801e-05
10272.000000 -2.933219e-05 -1.183910e-06 -1.067586e-07 -8.537590e-07 1.151235e-04 1.101897e-03 -3.579427e-06 4.718493e-05
10277.000000 -2.922486e-05 -1.184413e-06 -1.059953e-07 -8.532507e-07 1.092614e-04 1.109534e-03 -2.548387e-06 4.505388e-05
10282.000000 -2.914347e-05 -1.189298e-06 -1.048938e-07 -8.523981e-07 1.019678e-04 1.115832e-03 -1.977764e-06 3.664684e-05
10287.000000 -2.921817e-05 -1.198381e-06 -1.063326e-07 -8.558489e-07 1.058236e-04 1.104673e-03 -1.292630e-05 4.161877e-05
10292.000000 -2.914936e-05 -1.199887e-06 -1.094025e-07 -8.566423e-07 1.058015e-04 1.113248e-03 -1.931708e-05 3.662209e-05
10297.000000 -2.909074e-05 -1.201093e-06 -1.107902e-07 -8.575268e-07 1.021609e-04 1.100186e-03 -2.278319e-05 2.860766e-05
10302.000000 -2.912371e-05 -1.209953e-06 -1.109647e-07 -8.601442e-07 1.136654e-04 1.097096e-03 -1.244945e-05 4.239871e-05
10307.000000 -2.907804e-05 -1.213841e-06 -1.114169e-07 -8.610430e-07 1.208313e-04 1.108176e-03 -1.406826e-05 4.738974e-05
10312.000000 -2.904903e-05 -1.219701e-06 -1.119835e-07 -8.627043e-07 1.286871e-04 1.122224e-03 -1.290710e-05 5.234048e-05
10317.000000 -2.900806e-05 -1.225043e-06 -1.116044e-07 -8.643394e-07 1.254483e-04 1.117524e-03 -1.223446e-05 5.271422e-05
10322.000000 -2.895525e-05 -1.227437e-06 -1.108540e-07 -8.661473e-07 1.132397e-04 1.117902e-03 -1.194392e-05 5.487199e-05
10327.000000 -2.892686e-05 -1.232886e-06 -1.099869e-07 -8.681765e-07 1.204294e-04 1.126872e-03 -1.136936e-05 6.094520e-05
10332.000000 -2.882062e-05 -1.234034e-06 -1.091243e-07 -8.683606e-07 1.186270e-04 1.141951e-03 -1.024304e-05 5.744721e-05
10337.000000 -2.890038e-05 -1.241354e-06 -1.095223e-07 -8.735272e-07 1.204772e-04 1.154261e-03 -2.872734e-06 5.196327e-05
10341.000000 -2.884832e-05 -1.243225e-06 -1.103575e-07 -8.752780e-07 1.093461e-04 1.170652e-03 -5.798668e-06 4.390928e-05
10344.000000 -2.882935e-05 -1.246949e-06 -1.117006e-07 -8.771748e-07 1.110091e-04 1.163165e-03 -1.448985e-05 5.181374e-05
10346.000000 -2.878171e-05 -1.245359e-06 -1.127528e-07 -8.778092e-07 1.186087e-04 1.176375e-03 -1.825487e-05 5.638309e-05
10347.000000 -2.877750e-05 -1.245827e-06 -1.135492e-07 -8.786226e-07 1.140932e-04 1.170746e-03 -4.892183e-06 6.425001e-05
10347.200000 -2.879075e-05 -1.245317e-06 -1.136191e-07 -8.791377e-07 1.205981e-04 1.185637e-03 -4.662886e-06 6.442336e-05
10347.400000 -2.876569e-05 -1.248310e-06 -1.141551e-07 -8.786126e-07 1.132009e-04 1.195428e-03 1.902592e-06 6.292137e-05
10347.600000 -2.871752e-05 -1.238432e-06 -1.133381e-07 -8.779872e-07 1.138982e-04 1.179188e-03 -9.450357e-06 5.989384e-05
10347.800000 -2.874381e-05 -1.246611e-06 -1.145306e-07 -8.790774e-07 1.209547e-04 1.196446e-03 -1.030900e-05 5.774371e-05
