# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6921730337556
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003784
# Detector.I1.voltage: -1649.999268
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370867
# Scan.uid: 8c5d0933-1bba-47bc-a7de-b91571693676
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:36:47.055053
# Scan.end_time: 06/23/2023  01:37:23.306275
# Scan.name: Cu2O+Ga2O3-1st O2-RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.700000000000003
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 8.9
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.01627604104578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.06103515625
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0732421875
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 6.00395e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.32931e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.01237e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 7.38385e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 5.92386e-10
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.00329e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.993437e-05 -1.149309e-06 -3.352940e-07 -8.122644e-07 2.535788e-05 7.100037e-05 -3.940677e-05 1.133557e-05
10172.000000 -2.982924e-05 -1.147363e-06 -3.330102e-07 -8.110057e-07 2.587692e-05 5.448034e-05 -3.133601e-05 1.051037e-05
10177.000000 -2.972128e-05 -1.143449e-06 -3.283254e-07 -8.099914e-07 2.134083e-05 4.102626e-05 -3.608492e-05 1.032681e-05
10182.000000 -2.969658e-05 -1.144057e-06 -3.227172e-07 -8.111123e-07 2.308530e-05 4.698995e-05 -3.200598e-05 1.472750e-05
10187.000000 -2.970408e-05 -1.147187e-06 -3.119910e-07 -8.138682e-07 2.076910e-05 5.102688e-05 -2.590472e-05 1.132296e-06
10192.000000 -2.976355e-05 -1.153636e-06 -2.865954e-07 -8.177717e-07 1.471125e-05 6.278212e-05 -3.087581e-05 2.298984e-06
10197.000000 -2.972144e-05 -1.156726e-06 -2.121229e-07 -8.193679e-07 1.682180e-05 4.749387e-05 -3.587548e-05 6.086735e-06
10202.000000 -2.969352e-05 -1.160634e-06 -6.839822e-08 -8.208155e-07 1.011826e-05 3.988284e-05 -3.551930e-05 2.024823e-06
10207.000000 -2.962295e-05 -1.163767e-06 -2.796377e-08 -8.215286e-07 1.636259e-05 5.760721e-05 -4.133576e-05 -3.919602e-06
10212.000000 -2.966420e-05 -1.172692e-06 -5.810249e-08 -8.242547e-07 2.544751e-05 5.899749e-05 -3.209361e-05 5.509557e-07
10217.000000 -2.963585e-05 -1.175839e-06 -7.508973e-08 -8.255271e-07 2.722679e-05 6.326814e-05 -3.067278e-05 2.178140e-06
10222.000000 -2.956962e-05 -1.178378e-06 -8.847118e-08 -8.261232e-07 1.822284e-05 8.487713e-05 -2.737781e-05 6.054471e-06
10227.000000 -2.950682e-05 -1.180397e-06 -9.787267e-08 -8.268341e-07 2.117926e-05 1.171949e-04 -4.063596e-05 3.032523e-06
10232.000000 -2.948153e-05 -1.183294e-06 -1.016368e-07 -8.280254e-07 3.208121e-05 1.055583e-04 -4.531084e-05 -2.083025e-06
10237.000000 -2.946485e-05 -1.187646e-06 -1.042842e-07 -8.302140e-07 3.641031e-05 1.097479e-04 -4.338143e-05 -1.112347e-05
10242.000000 -2.939912e-05 -1.189248e-06 -1.059164e-07 -8.311130e-07 3.177797e-05 1.232783e-04 -4.475506e-05 -1.271025e-05
10247.000000 -2.932953e-05 -1.191506e-06 -1.106716e-07 -8.312616e-07 2.978132e-05 1.275579e-04 -4.528537e-05 -7.658123e-06
10252.000000 -2.933147e-05 -1.196427e-06 -1.103250e-07 -8.329692e-07 3.391062e-05 9.963848e-05 -4.795539e-05 8.745927e-08
10257.000000 -2.927576e-05 -1.198876e-06 -1.062289e-07 -8.338431e-07 2.887592e-05 9.090834e-05 -4.364296e-05 2.878965e-06
10262.000000 -2.917345e-05 -1.198716e-06 -1.052978e-07 -8.333937e-07 3.085261e-05 7.628345e-05 -3.979026e-05 8.294329e-06
10267.000000 -2.917671e-05 -1.203562e-06 -1.074295e-07 -8.361637e-07 3.072407e-05 8.278534e-05 -4.357865e-05 9.124874e-06
10272.000000 -2.921119e-05 -1.212053e-06 -1.088667e-07 -8.391844e-07 2.488815e-05 8.087859e-05 -3.666922e-05 4.142507e-06
10277.000000 -2.913286e-05 -1.214887e-06 -1.084013e-07 -8.397433e-07 2.038150e-05 6.343604e-05 -3.683835e-05 -6.906870e-06
10282.000000 -2.890322e-05 -1.209558e-06 -1.065417e-07 -8.359238e-07 1.988413e-05 1.129047e-04 -3.807591e-05 -1.089702e-05
10287.000000 -2.896073e-05 -1.216850e-06 -1.078269e-07 -8.394228e-07 1.708073e-05 1.686593e-04 -3.749319e-05 -1.034365e-05
10292.000000 -2.898888e-05 -1.226423e-06 -1.117487e-07 -8.416509e-07 1.823684e-05 1.527299e-04 -4.484785e-05 -6.117873e-06
10297.000000 -2.898560e-05 -1.233335e-06 -1.140357e-07 -8.431497e-07 2.024725e-05 1.435497e-04 -4.687931e-05 -5.568215e-06
10302.000000 -2.889472e-05 -1.235055e-06 -1.137399e-07 -8.435176e-07 2.393773e-05 1.628698e-04 -4.268825e-05 -6.332269e-06
10307.000000 -2.885779e-05 -1.239676e-06 -1.135775e-07 -8.443583e-07 2.380085e-05 1.565275e-04 -3.868769e-05 -1.172568e-05
10312.000000 -2.889943e-05 -1.248596e-06 -1.143210e-07 -8.470634e-07 3.764826e-05 1.624576e-04 -5.536631e-05 -4.849392e-06
10317.000000 -2.886076e-05 -1.253669e-06 -1.140503e-07 -8.485623e-07 3.818796e-05 1.529502e-04 -5.340362e-05 -8.265974e-06
10322.000000 -2.884529e-05 -1.261239e-06 -1.138618e-07 -8.507184e-07 3.336530e-05 1.400647e-04 -4.433517e-05 -7.070795e-06
10327.000000 -2.878041e-05 -1.264788e-06 -1.130658e-07 -8.521092e-07 2.553932e-05 1.399060e-04 -4.138354e-05 -5.603226e-06
10332.000000 -2.863589e-05 -1.261092e-06 -1.115267e-07 -8.518722e-07 2.706640e-05 1.052238e-04 -4.384112e-05 -3.803597e-06
10337.000000 -2.874363e-05 -1.271127e-06 -1.121564e-07 -8.577540e-07 3.624001e-05 1.053690e-04 -3.487166e-05 -4.457139e-06
10341.000000 -2.864624e-05 -1.270405e-06 -1.128446e-07 -8.587093e-07 4.061400e-05 8.741051e-05 -2.964721e-05 -6.240292e-06
10344.000000 -2.868734e-05 -1.278936e-06 -1.145343e-07 -8.620914e-07 4.582522e-05 8.527991e-05 -2.757911e-05 -2.289133e-05
10346.000000 -2.869386e-05 -1.281892e-06 -1.159579e-07 -8.639717e-07 4.344731e-05 7.728098e-05 -2.361961e-05 -2.677358e-05
10347.000000 -2.864513e-05 -1.279483e-06 -1.167181e-07 -8.640786e-07 4.004814e-05 7.166839e-05 -3.343995e-05 -2.773482e-05
10347.200000 -2.865535e-05 -1.280423e-06 -1.169989e-07 -8.645041e-07 4.278546e-05 7.857007e-05 -3.164648e-05 -2.550209e-05
10347.400000 -2.863525e-05 -1.281305e-06 -1.173607e-07 -8.643457e-07 5.134882e-05 8.624772e-05 -3.043037e-05 -2.678682e-05
10347.600000 -2.861580e-05 -1.279021e-06 -1.172217e-07 -8.641372e-07 4.241221e-05 8.036199e-05 -2.201921e-05 -2.309120e-05
