# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.3675187185852
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999512
# Detector.I1.voltage: -1650.001953
# Detector.I2.voltage: -1650.003052
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370876
# Scan.uid: 0aa605a1-2fbe-49cd-894e-f9b0dde65f5d
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:47:23.099565
# Scan.end_time: 06/23/2023  01:47:57.945527
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 101.03870228916675
# SampleHeater.temperature2.readback: 103.10000000000001
# SampleHeater.voltage.setpoint: 0.3136087494105511
# SampleHeater.voltage.readback: 0.34800000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.1
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 4.22381e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30437e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.9296e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 2.18574e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.677e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.29602e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.511011e-05 -4.256558e-07 -2.815841e-07 -2.892800e-07 3.380888e-05 -3.451814e-05 -5.769119e-05 2.137500e-06
 8784.000000 -3.520043e-05 -4.261810e-07 -2.821559e-07 -2.904542e-07 3.972700e-05 -4.485655e-05 -6.205781e-05 5.145008e-06
 8789.000000 -3.517813e-05 -4.269103e-07 -2.831427e-07 -2.910563e-07 4.014123e-05 -5.696729e-05 -5.537699e-05 1.464756e-06
 8794.000000 -3.503321e-05 -4.265344e-07 -2.832951e-07 -2.905343e-07 4.247298e-05 -6.630931e-05 -5.257943e-05 3.663048e-06
 8799.000000 -3.461296e-05 -4.232336e-07 -2.812023e-07 -2.877642e-07 4.281213e-05 -5.606579e-05 -4.929051e-05 9.344243e-06
 8804.000000 -3.491783e-05 -4.284769e-07 -2.847709e-07 -2.908371e-07 3.109858e-05 -3.729716e-05 -5.580735e-05 7.571359e-06
 8809.000000 -3.483464e-05 -4.293917e-07 -2.855673e-07 -2.908761e-07 2.434905e-05 -7.953680e-05 -5.763960e-05 1.000028e-05
 8814.000000 -3.460856e-05 -4.278302e-07 -2.845083e-07 -2.892485e-07 1.694746e-05 -6.724066e-05 -4.839922e-05 9.358209e-06
 8819.000000 -3.462770e-05 -4.302369e-07 -2.861047e-07 -2.899186e-07 2.387382e-05 -7.514003e-05 -4.182946e-05 1.318019e-05
 8824.000000 -3.457489e-05 -4.312242e-07 -2.868520e-07 -2.902226e-07 3.164105e-05 -7.241409e-05 -4.665778e-05 1.464856e-05
 8829.000000 -3.442778e-05 -4.307597e-07 -2.868299e-07 -2.900432e-07 3.608646e-05 -7.901898e-05 -5.425747e-05 1.248727e-05
 8834.000000 -3.434891e-05 -4.323658e-07 -2.880655e-07 -2.906442e-07 4.135422e-05 -9.121426e-05 -5.573396e-05 4.667965e-06
 8839.000000 -3.427902e-05 -4.343615e-07 -2.896767e-07 -2.910799e-07 4.170279e-05 -8.539601e-05 -6.239225e-05 1.197562e-05
 8844.000000 -3.416309e-05 -4.349777e-07 -2.904065e-07 -2.911934e-07 4.785794e-05 -5.448460e-05 -5.960029e-05 1.247537e-05
 8849.000000 -3.405001e-05 -4.361297e-07 -2.915193e-07 -2.911125e-07 5.117009e-05 -6.366161e-05 -6.495790e-05 1.062803e-05
 8854.000000 -3.388779e-05 -4.367503e-07 -2.920685e-07 -2.908690e-07 4.015676e-05 -7.722346e-05 -6.167763e-05 1.241418e-05
 8859.000000 -3.368570e-05 -4.360984e-07 -2.915253e-07 -2.902661e-07 3.519821e-05 -7.508615e-05 -5.672789e-05 1.285114e-05
 8864.000000 -3.369342e-05 -4.390093e-07 -2.938247e-07 -2.914119e-07 3.487325e-05 -8.112559e-05 -6.127480e-05 1.114377e-05
 8869.000000 -3.352966e-05 -4.391606e-07 -2.943400e-07 -2.909406e-07 2.982294e-05 -5.021999e-05 -7.002305e-05 3.830081e-06
 8874.000000 -3.335258e-05 -4.389993e-07 -2.944558e-07 -2.902428e-07 3.322735e-05 -6.016229e-05 -6.355770e-05 1.244668e-05
 8879.000000 -3.338462e-05 -4.427433e-07 -2.967892e-07 -2.913629e-07 2.693883e-05 -7.119344e-05 -6.053474e-05 6.172023e-06
 8884.000000 -3.319881e-05 -4.427528e-07 -2.968784e-07 -2.908306e-07 3.471297e-05 -7.821268e-05 -5.492992e-05 -1.659770e-06
 8889.000000 -3.288819e-05 -4.410270e-07 -2.960256e-07 -2.896706e-07 2.926309e-05 -9.258155e-05 -5.956036e-05 -4.758698e-06
 8894.000000 -3.308334e-05 -4.468088e-07 -3.000656e-07 -2.915550e-07 2.985461e-05 -8.433583e-05 -6.958993e-05 -7.861380e-07
 8899.000000 -3.299106e-05 -4.485517e-07 -3.014061e-07 -2.914713e-07 2.774931e-05 -8.501412e-05 -7.967835e-05 5.516992e-06
 8904.000000 -3.278826e-05 -4.485804e-07 -3.018501e-07 -2.901740e-07 2.011959e-05 -7.387289e-05 -7.019986e-05 2.243785e-06
 8909.000000 -3.265681e-05 -4.501163e-07 -3.028446e-07 -2.893129e-07 2.887164e-05 -7.566223e-05 -5.528650e-05 -4.898236e-06
 8914.000000 -3.247884e-05 -4.515051e-07 -3.037352e-07 -2.883883e-07 3.370540e-05 -6.346895e-05 -4.424743e-05 -5.518807e-06
 8919.000000 -3.235813e-05 -4.526905e-07 -3.047928e-07 -2.880608e-07 3.232452e-05 -5.723417e-05 -4.203206e-05 1.502004e-05
 8924.000000 -3.218684e-05 -4.535099e-07 -3.052776e-07 -2.876751e-07 2.733608e-05 -6.101284e-05 -4.091974e-05 2.139590e-05
 8929.000000 -3.219805e-05 -4.574744e-07 -3.078568e-07 -2.888567e-07 2.377576e-05 -4.579147e-05 -4.820625e-05 1.684956e-05
 8934.000000 -3.209608e-05 -4.600912e-07 -3.098917e-07 -2.890622e-07 3.103601e-05 -5.287004e-05 -5.569812e-05 8.992708e-06
 8939.000000 -3.189339e-05 -4.601312e-07 -3.099580e-07 -2.882967e-07 3.550135e-05 -5.140813e-05 -5.318808e-05 -9.409874e-08
 8944.000000 -3.175962e-05 -4.613217e-07 -3.106228e-07 -2.880234e-07 2.706039e-05 -5.148262e-05 -5.908335e-05 -1.851264e-07
 8949.000000 -3.168380e-05 -4.631429e-07 -3.118061e-07 -2.883139e-07 3.221591e-05 -7.067995e-05 -5.609290e-05 8.300507e-06
 8953.000000 -3.159805e-05 -4.628622e-07 -3.111874e-07 -2.885790e-07 3.489280e-05 -6.761566e-05 -5.070491e-05 3.246733e-06
 8956.000000 -3.155978e-05 -4.642108e-07 -3.116764e-07 -2.889611e-07 4.230777e-05 -8.255204e-05 -5.768143e-05 -1.642067e-06
 8958.000000 -3.147688e-05 -4.632387e-07 -3.108840e-07 -2.884426e-07 3.499772e-05 -7.664789e-05 -5.635556e-05 -7.395788e-06
 8959.000000 -3.152227e-05 -4.651197e-07 -3.117849e-07 -2.888203e-07 3.230085e-05 -4.525689e-05 -6.156783e-05 -2.282434e-06
 8959.200000 -3.152800e-05 -4.661108e-07 -3.123563e-07 -2.889282e-07 2.694269e-05 -4.469032e-05 -6.939779e-05 -6.140226e-07
 8959.400000 -3.153783e-05 -4.660611e-07 -3.124287e-07 -2.891365e-07 2.337400e-05 -4.478486e-05 -6.398423e-05 5.956820e-06
 8959.600000 -3.153807e-05 -4.667066e-07 -3.128330e-07 -2.889839e-07 3.208576e-05 -4.638646e-05 -6.986016e-05 1.517250e-06
