# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.96558186102254
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001587
# Detector.I1.voltage: -1650.001465
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370878
# Scan.uid: 34248e62-0cf5-4430-b8c1-2f925347d728
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:49:22.994155
# Scan.end_time: 06/23/2023  01:49:57.886868
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 121.261871843091
# SampleHeater.temperature2.readback: 123.9
# SampleHeater.voltage.setpoint: 0.34223907708048995
# SampleHeater.voltage.readback: 0.343
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.08
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.83446e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30652e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.79045e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.9229e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6856e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.19357e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.501236e-05 -4.205190e-07 -2.784797e-07 -2.884906e-07 6.681512e-05 -8.379500e-05 -6.401205e-05 7.621620e-05
 8784.000000 -3.507485e-05 -4.205890e-07 -2.785465e-07 -2.897733e-07 6.723166e-05 -8.559201e-05 -5.519620e-05 7.869521e-05
 8789.000000 -3.504297e-05 -4.203148e-07 -2.785730e-07 -2.906571e-07 6.992567e-05 -7.848174e-05 -4.878612e-05 7.959466e-05
 8794.000000 -3.491606e-05 -4.197405e-07 -2.784045e-07 -2.902473e-07 6.070459e-05 -6.877532e-05 -5.326110e-05 7.949755e-05
 8799.000000 -3.448321e-05 -4.164554e-07 -2.763271e-07 -2.871394e-07 5.936029e-05 -6.492997e-05 -5.684984e-05 7.433395e-05
 8804.000000 -3.475275e-05 -4.213745e-07 -2.796745e-07 -2.898082e-07 5.959411e-05 -8.352775e-05 -5.385726e-05 7.733603e-05
 8809.000000 -3.460060e-05 -4.214363e-07 -2.800937e-07 -2.892023e-07 5.954423e-05 -8.200972e-05 -4.909704e-05 6.055805e-05
 8814.000000 -3.448329e-05 -4.220052e-07 -2.807395e-07 -2.884743e-07 6.404173e-05 -7.010446e-05 -4.363787e-05 3.506489e-05
 8819.000000 -3.455985e-05 -4.253477e-07 -2.830769e-07 -2.895554e-07 7.982813e-05 -5.753004e-05 -3.941056e-05 2.965576e-05
 8824.000000 -3.445289e-05 -4.253079e-07 -2.831565e-07 -2.894025e-07 7.406817e-05 -5.350497e-05 -3.699780e-05 2.734398e-05
 8829.000000 -3.442140e-05 -4.273872e-07 -2.846214e-07 -2.900789e-07 7.400010e-05 -3.818908e-05 -2.904067e-05 3.729499e-05
 8834.000000 -3.430722e-05 -4.276870e-07 -2.850828e-07 -2.902912e-07 7.726723e-05 -3.989803e-05 -3.647980e-05 3.083049e-05
 8839.000000 -3.409186e-05 -4.267697e-07 -2.848052e-07 -2.896378e-07 6.941807e-05 -4.629439e-05 -4.376816e-05 3.080969e-05
 8844.000000 -3.394495e-05 -4.273336e-07 -2.853355e-07 -2.893674e-07 5.665703e-05 -5.884701e-05 -4.520553e-05 5.810748e-05
 8849.000000 -3.387492e-05 -4.285182e-07 -2.862416e-07 -2.899192e-07 5.557980e-05 -6.279195e-05 -4.839113e-05 7.576321e-05
 8854.000000 -3.369057e-05 -4.283095e-07 -2.862786e-07 -2.894295e-07 5.104094e-05 -4.763445e-05 -4.529218e-05 7.764514e-05
 8859.000000 -3.354242e-05 -4.286884e-07 -2.868222e-07 -2.891763e-07 4.689377e-05 -5.518052e-05 -5.369341e-05 7.220366e-05
 8864.000000 -3.363777e-05 -4.341295e-07 -2.904544e-07 -2.909128e-07 5.464164e-05 -5.407442e-05 -5.577012e-05 7.747107e-05
 8869.000000 -3.349301e-05 -4.349987e-07 -2.914254e-07 -2.904919e-07 5.652003e-05 -4.685862e-05 -6.060459e-05 7.935785e-05
 8874.000000 -3.332018e-05 -4.352399e-07 -2.916758e-07 -2.899842e-07 6.085306e-05 -1.828869e-05 -6.243899e-05 7.505026e-05
 8879.000000 -3.334285e-05 -4.401928e-07 -2.953078e-07 -2.911305e-07 6.203358e-05 -2.640872e-05 -6.495832e-05 6.189566e-05
 8884.000000 -3.305311e-05 -4.385308e-07 -2.943680e-07 -2.898510e-07 6.817060e-05 -5.736203e-05 -5.390447e-05 6.791342e-05
 8889.000000 -3.268122e-05 -4.355336e-07 -2.927161e-07 -2.881402e-07 6.438252e-05 -5.727736e-05 -5.371580e-05 8.413253e-05
 8894.000000 -3.281145e-05 -4.390869e-07 -2.950020e-07 -2.896747e-07 6.790396e-05 -4.836062e-05 -5.274099e-05 8.410237e-05
 8899.000000 -3.282258e-05 -4.425211e-07 -2.973828e-07 -2.901244e-07 7.281985e-05 -4.051988e-05 -5.562577e-05 7.644490e-05
 8904.000000 -3.277168e-05 -4.452506e-07 -2.993931e-07 -2.900827e-07 6.535866e-05 -1.508884e-05 -5.207470e-05 7.370470e-05
 8909.000000 -3.262941e-05 -4.459239e-07 -3.002645e-07 -2.893478e-07 5.435010e-05 -1.659484e-05 -5.376776e-05 3.766671e-05
 8914.000000 -3.242473e-05 -4.464801e-07 -3.007672e-07 -2.882170e-07 6.114118e-05 -3.554928e-05 -4.596425e-05 3.650114e-05
 8919.000000 -3.228620e-05 -4.472029e-07 -3.010550e-07 -2.877873e-07 6.138201e-05 -4.884777e-05 -4.948621e-05 3.008732e-05
 8924.000000 -3.216946e-05 -4.487263e-07 -3.020403e-07 -2.876301e-07 6.818713e-05 -2.917605e-05 -5.511167e-05 2.565104e-05
 8929.000000 -3.217933e-05 -4.521843e-07 -3.047370e-07 -2.890177e-07 7.128280e-05 -1.437107e-05 -4.799050e-05 2.856920e-05
 8934.000000 -3.206625e-05 -4.538823e-07 -3.059915e-07 -2.889821e-07 7.018043e-05 -1.799350e-05 -4.896765e-05 4.255723e-05
 8939.000000 -3.185789e-05 -4.538401e-07 -3.056621e-07 -2.884924e-07 5.992835e-05 -6.996826e-06 -5.141556e-05 4.925059e-05
 8944.000000 -3.165703e-05 -4.545913e-07 -3.060499e-07 -2.878209e-07 5.760364e-05 1.958533e-05 -4.506678e-05 4.636765e-05
 8949.000000 -3.164320e-05 -4.585245e-07 -3.085184e-07 -2.882861e-07 5.913578e-05 4.986794e-05 -4.647596e-05 3.560126e-05
 8953.000000 -3.155680e-05 -4.589985e-07 -3.085897e-07 -2.881659e-07 6.296161e-05 4.741030e-05 -5.131006e-05 5.906238e-05
 8956.000000 -3.144434e-05 -4.584023e-07 -3.079559e-07 -2.879403e-07 6.476264e-05 5.783439e-05 -4.484642e-05 4.885606e-05
 8958.000000 -3.144346e-05 -4.589681e-07 -3.080833e-07 -2.886923e-07 6.523032e-05 7.392735e-05 -4.796832e-05 3.566647e-05
 8959.000000 -3.146838e-05 -4.596253e-07 -3.086012e-07 -2.892156e-07 7.134579e-05 7.386528e-05 -5.107809e-05 3.604009e-05
 8959.200000 -3.146142e-05 -4.600313e-07 -3.088574e-07 -2.894355e-07 7.378658e-05 7.576494e-05 -5.097619e-05 4.371973e-05
 8959.400000 -3.145764e-05 -4.591450e-07 -3.081354e-07 -2.893321e-07 8.042338e-05 1.059970e-04 -5.037973e-05 4.278063e-05
 8959.600000 -3.144687e-05 -4.599665e-07 -3.084656e-07 -2.893011e-07 7.682928e-05 1.036475e-04 -3.458797e-05 3.756725e-05
