# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8059320919485
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002441
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1649.999634
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370882
# Scan.uid: 9c8e776a-a614-4cc4-8d65-4ce23b39e983
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:53:26.105819
# Scan.end_time: 06/23/2023  01:54:01.065441
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.6100216535
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 162.23916008766707
# SampleHeater.temperature2.readback: 163.4
# SampleHeater.voltage.setpoint: 0.4748409525463765
# SampleHeater.voltage.readback: 0.47500000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.11
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01627604104578495
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.41507e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.32157e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.51639e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.53073e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7028e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.07188e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.487149e-05 -4.173300e-07 -2.763504e-07 -2.879748e-07 5.859022e-05 -9.924036e-05 -5.451717e-05 -8.130616e-07
 8784.000000 -3.495662e-05 -4.178501e-07 -2.767441e-07 -2.890723e-07 5.358923e-05 -1.084254e-04 -6.020008e-05 6.917306e-07
 8789.000000 -3.498757e-05 -4.196034e-07 -2.780610e-07 -2.901465e-07 5.723813e-05 -1.012770e-04 -6.351014e-05 9.405287e-06
 8794.000000 -3.485877e-05 -4.198817e-07 -2.784519e-07 -2.898545e-07 4.814797e-05 -1.008775e-04 -6.517947e-05 1.469293e-06
 8799.000000 -3.438916e-05 -4.151817e-07 -2.757769e-07 -2.867344e-07 4.184645e-05 -1.081679e-04 -6.401811e-05 7.149608e-06
 8804.000000 -3.471394e-05 -4.210163e-07 -2.798799e-07 -2.897362e-07 4.071233e-05 -1.127255e-04 -5.486566e-05 1.160143e-05
 8809.000000 -3.466830e-05 -4.224380e-07 -2.807193e-07 -2.899054e-07 4.303048e-05 -1.126463e-04 -5.546033e-05 4.352826e-05
 8814.000000 -3.450627e-05 -4.227398e-07 -2.810862e-07 -2.890564e-07 4.422975e-05 -1.238192e-04 -5.429627e-05 4.388744e-05
 8819.000000 -3.451673e-05 -4.251251e-07 -2.829787e-07 -2.896488e-07 5.034103e-05 -1.156156e-04 -5.135022e-05 3.664703e-05
 8824.000000 -3.444540e-05 -4.259060e-07 -2.838044e-07 -2.898541e-07 5.158049e-05 -1.115011e-04 -5.341819e-05 3.858807e-05
 8829.000000 -3.435614e-05 -4.269011e-07 -2.845972e-07 -2.903666e-07 4.443239e-05 -1.130612e-04 -5.535221e-05 3.128674e-05
 8834.000000 -3.426634e-05 -4.280710e-07 -2.853639e-07 -2.907009e-07 3.866239e-05 -1.078560e-04 -3.631624e-05 3.489640e-05
 8839.000000 -3.410936e-05 -4.282037e-07 -2.854881e-07 -2.903208e-07 4.139671e-05 -1.068585e-04 -4.511604e-05 3.652116e-05
 8844.000000 -3.394279e-05 -4.282234e-07 -2.860051e-07 -2.900704e-07 4.598780e-05 -1.166664e-04 -5.817535e-05 3.108619e-05
 8849.000000 -3.383641e-05 -4.293872e-07 -2.871369e-07 -2.902111e-07 4.721177e-05 -1.381835e-04 -5.630089e-05 3.201793e-05
 8854.000000 -3.384568e-05 -4.329228e-07 -2.898943e-07 -2.912339e-07 4.958590e-05 -1.372619e-04 -5.623545e-05 3.820965e-05
 8859.000000 -3.371244e-05 -4.335118e-07 -2.903612e-07 -2.911196e-07 4.286440e-05 -1.326765e-04 -5.897442e-05 4.336259e-05
 8864.000000 -3.358383e-05 -4.340197e-07 -2.908075e-07 -2.911105e-07 4.343901e-05 -1.129024e-04 -5.342995e-05 4.533898e-05
 8869.000000 -3.353567e-05 -4.366907e-07 -2.924552e-07 -2.916809e-07 4.686710e-05 -9.523909e-05 -3.997150e-05 4.385185e-05
 8874.000000 -3.343900e-05 -4.383808e-07 -2.937861e-07 -2.919106e-07 4.870409e-05 -1.178411e-04 -3.669882e-05 5.437982e-05
 8879.000000 -3.326272e-05 -4.379156e-07 -2.937603e-07 -2.913612e-07 4.815255e-05 -1.295987e-04 -3.424429e-05 5.100768e-05
 8884.000000 -3.304629e-05 -4.378827e-07 -2.941150e-07 -2.905189e-07 5.328579e-05 -1.092605e-04 -4.032853e-05 2.064575e-05
 8889.000000 -3.279221e-05 -4.374121e-07 -2.937300e-07 -2.897436e-07 5.607633e-05 -8.011371e-05 -4.871855e-05 3.838723e-06
 8894.000000 -3.296027e-05 -4.420361e-07 -2.967667e-07 -2.913930e-07 5.805600e-05 -1.024594e-04 -4.465002e-05 9.175552e-06
 8899.000000 -3.280880e-05 -4.417343e-07 -2.965999e-07 -2.904851e-07 4.641703e-05 -9.655492e-05 -5.229783e-05 5.903564e-06
 8904.000000 -3.265056e-05 -4.419230e-07 -2.970066e-07 -2.894530e-07 3.500693e-05 -1.074099e-04 -4.823025e-05 1.099740e-05
 8909.000000 -3.259517e-05 -4.447995e-07 -2.992683e-07 -2.893752e-07 4.277932e-05 -9.875479e-05 -4.161994e-05 5.111913e-05
 8914.000000 -3.229239e-05 -4.431858e-07 -2.984840e-07 -2.873220e-07 4.870504e-05 -7.625156e-05 -4.420175e-05 5.940307e-05
 8919.000000 -3.223165e-05 -4.459064e-07 -3.003054e-07 -2.875427e-07 5.352452e-05 -1.027541e-04 -4.835542e-05 2.031084e-05
 8924.000000 -3.207453e-05 -4.469848e-07 -3.009627e-07 -2.873112e-07 4.795816e-05 -1.229237e-04 -4.066054e-05 3.858282e-06
 8929.000000 -3.203333e-05 -4.494729e-07 -3.027379e-07 -2.883053e-07 4.892088e-05 -1.181404e-04 -4.221739e-05 1.889393e-06
 8934.000000 -3.189036e-05 -4.504688e-07 -3.033148e-07 -2.882230e-07 3.887676e-05 -1.167261e-04 -3.332077e-05 5.332746e-06
 8939.000000 -3.183173e-05 -4.533300e-07 -3.053456e-07 -2.884528e-07 3.987144e-05 -1.143989e-04 -3.477813e-05 3.633302e-06
 8944.000000 -3.172637e-05 -4.553849e-07 -3.065928e-07 -2.885204e-07 5.343294e-05 -1.315894e-04 -3.429420e-05 -6.613717e-08
 8949.000000 -3.151089e-05 -4.542882e-07 -3.056612e-07 -2.877986e-07 5.313842e-05 -1.314445e-04 -2.705994e-05 -4.192787e-06
 8953.000000 -3.146819e-05 -4.551020e-07 -3.059581e-07 -2.884910e-07 5.017884e-05 -1.328318e-04 -3.113925e-05 -5.503414e-06
 8956.000000 -3.144474e-05 -4.564305e-07 -3.065089e-07 -2.887449e-07 5.020177e-05 -1.405462e-04 -3.665886e-05 4.702118e-06
 8958.000000 -3.139831e-05 -4.559150e-07 -3.058712e-07 -2.889804e-07 4.683268e-05 -1.358502e-04 -3.621568e-05 7.848550e-06
 8959.000000 -3.140079e-05 -4.566543e-07 -3.063251e-07 -2.894499e-07 3.782471e-05 -1.188654e-04 -4.181061e-05 5.281715e-06
 8959.200000 -3.139783e-05 -4.564300e-07 -3.060808e-07 -2.894679e-07 3.592730e-05 -1.185812e-04 -3.812126e-05 1.401211e-05
 8959.400000 -3.135466e-05 -4.557577e-07 -3.055931e-07 -2.892887e-07 2.873821e-05 -1.293102e-04 -4.212260e-05 -1.020248e-06
 8959.600000 -3.128124e-05 -4.531494e-07 -3.038569e-07 -2.885935e-07 2.458947e-05 -1.054814e-04 -4.253189e-05 -6.835357e-06
