# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.22014628029876
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.99646
# Detector.I1.voltage: -1650.001343
# Detector.I2.voltage: -1650.002441
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370886
# Scan.uid: 493766f8-af88-4ab4-ac7c-9d50a4bbaf26
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:57:25.049810
# Scan.end_time: 06/23/2023  01:58:01.333218
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049975000499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 202.57694057481785
# SampleHeater.temperature2.readback: 202.0
# SampleHeater.voltage.setpoint: 0.5301865335686426
# SampleHeater.voltage.readback: 0.529
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.08
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.28573e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30007e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.35857e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.29288e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7114e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 9.74595e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.491518e-05 -4.146398e-07 -2.744205e-07 -2.888993e-07 3.006515e-05 -2.346022e-04 -7.634122e-05 -6.869664e-07
 8784.000000 -3.498578e-05 -4.155630e-07 -2.750709e-07 -2.899318e-07 2.759979e-05 -2.494565e-04 -6.923719e-05 5.707304e-06
 8789.000000 -3.486695e-05 -4.147624e-07 -2.746883e-07 -2.900672e-07 3.317583e-05 -2.422253e-04 -4.830041e-05 1.185499e-05
 8794.000000 -3.483523e-05 -4.166330e-07 -2.762875e-07 -2.906319e-07 3.078343e-05 -2.649959e-04 -4.204325e-05 1.635228e-05
 8799.000000 -3.444913e-05 -4.140550e-07 -2.747244e-07 -2.879387e-07 2.834485e-05 -2.682990e-04 -5.560393e-05 1.536182e-05
 8804.000000 -3.472466e-05 -4.194115e-07 -2.785256e-07 -2.906381e-07 3.448497e-05 -2.554203e-04 -5.807968e-05 1.180506e-05
 8809.000000 -3.464151e-05 -4.202554e-07 -2.793705e-07 -2.905522e-07 2.699756e-05 -2.273462e-04 -5.860625e-05 4.866938e-05
 8814.000000 -3.444150e-05 -4.191452e-07 -2.787048e-07 -2.893508e-07 2.285602e-05 -2.260692e-04 -5.676702e-05 6.593784e-05
 8819.000000 -3.446714e-05 -4.218839e-07 -2.808629e-07 -2.897916e-07 2.701102e-05 -2.283149e-04 -5.184897e-05 6.528176e-05
 8824.000000 -3.442207e-05 -4.238769e-07 -2.822668e-07 -2.901308e-07 2.371021e-05 -1.990969e-04 -5.346319e-05 5.992274e-05
 8829.000000 -3.426690e-05 -4.240175e-07 -2.825644e-07 -2.898441e-07 2.287822e-05 -1.917603e-04 -5.440123e-05 5.415132e-05
 8834.000000 -3.418219e-05 -4.251222e-07 -2.836370e-07 -2.899338e-07 2.412659e-05 -2.010187e-04 -5.412426e-05 4.617712e-05
 8839.000000 -3.407897e-05 -4.257710e-07 -2.844157e-07 -2.900973e-07 1.985318e-05 -2.001141e-04 -5.553364e-05 4.259982e-05
 8844.000000 -3.392937e-05 -4.262683e-07 -2.848086e-07 -2.900956e-07 1.337374e-05 -1.918596e-04 -5.648898e-05 5.188100e-05
 8849.000000 -3.391960e-05 -4.288447e-07 -2.867087e-07 -2.911642e-07 1.886358e-05 -1.966292e-04 -5.839939e-05 4.713711e-05
 8854.000000 -3.377048e-05 -4.283934e-07 -2.865794e-07 -2.912979e-07 2.184624e-05 -1.953323e-04 -7.077278e-05 4.521032e-05
 8859.000000 -3.359549e-05 -4.279060e-07 -2.863149e-07 -2.907904e-07 2.401164e-05 -2.036907e-04 -7.055785e-05 5.371489e-05
 8864.000000 -3.360372e-05 -4.319300e-07 -2.889890e-07 -2.916414e-07 2.510149e-05 -2.073027e-04 -6.884097e-05 5.019042e-05
 8869.000000 -3.353990e-05 -4.340953e-07 -2.909749e-07 -2.919070e-07 2.567507e-05 -2.054723e-04 -6.915738e-05 5.692628e-05
 8874.000000 -3.341277e-05 -4.344774e-07 -2.914713e-07 -2.918575e-07 2.593184e-05 -2.123089e-04 -7.087212e-05 4.958036e-05
 8879.000000 -3.325993e-05 -4.344470e-07 -2.914523e-07 -2.914949e-07 1.337268e-05 -2.078580e-04 -7.367643e-05 4.634376e-05
 8884.000000 -3.295701e-05 -4.321591e-07 -2.900375e-07 -2.899980e-07 1.390845e-05 -2.133692e-04 -7.130436e-05 4.723180e-05
 8889.000000 -3.280812e-05 -4.336280e-07 -2.911920e-07 -2.899658e-07 1.917278e-05 -2.127184e-04 -6.306520e-05 5.312528e-05
 8894.000000 -3.300146e-05 -4.390642e-07 -2.952345e-07 -2.919963e-07 2.188098e-05 -1.949620e-04 -6.221430e-05 5.447874e-05
 8899.000000 -3.288707e-05 -4.399041e-07 -2.959292e-07 -2.916745e-07 1.582706e-05 -1.852646e-04 -5.233644e-05 4.712801e-05
 8904.000000 -3.273145e-05 -4.403590e-07 -2.964308e-07 -2.910159e-07 1.190973e-05 -1.911397e-04 -5.889988e-05 4.825981e-05
 8909.000000 -3.260812e-05 -4.415375e-07 -2.972658e-07 -2.904288e-07 1.140222e-05 -1.991684e-04 -5.941938e-05 5.940013e-05
 8914.000000 -3.234445e-05 -4.407595e-07 -2.966901e-07 -2.886595e-07 2.324536e-05 -2.024779e-04 -6.649272e-05 5.253867e-05
 8919.000000 -3.227023e-05 -4.423809e-07 -2.975715e-07 -2.886823e-07 1.464560e-05 -1.957562e-04 -6.505013e-05 4.369315e-05
 8924.000000 -3.209850e-05 -4.423038e-07 -2.975762e-07 -2.883512e-07 2.220189e-05 -1.955049e-04 -5.845486e-05 4.436434e-05
 8929.000000 -3.210227e-05 -4.452101e-07 -2.998781e-07 -2.897371e-07 3.103059e-05 -1.899865e-04 -5.725876e-05 4.328501e-05
 8934.000000 -3.194514e-05 -4.456361e-07 -3.002264e-07 -2.898229e-07 2.972741e-05 -2.073246e-04 -6.428639e-05 4.281501e-05
 8939.000000 -3.184471e-05 -4.478275e-07 -3.016311e-07 -2.898416e-07 3.146115e-05 -1.852759e-04 -6.924559e-05 4.541481e-05
 8944.000000 -3.172084e-05 -4.493070e-07 -3.026558e-07 -2.892200e-07 4.136249e-05 -1.801424e-04 -6.937841e-05 4.581838e-05
 8949.000000 -3.161055e-05 -4.498556e-07 -3.027875e-07 -2.894082e-07 4.812664e-05 -1.891812e-04 -6.924094e-05 6.182663e-05
 8953.000000 -3.148389e-05 -4.494844e-07 -3.023389e-07 -2.892858e-07 4.302072e-05 -1.701304e-04 -6.952127e-05 3.329858e-05
 8956.000000 -3.143546e-05 -4.506347e-07 -3.028577e-07 -2.892803e-07 4.092612e-05 -2.286072e-04 -6.530441e-05 1.416183e-05
 8958.000000 -3.144394e-05 -4.520075e-07 -3.033213e-07 -2.897941e-07 4.574109e-05 -2.382067e-04 -6.069435e-05 2.696519e-05
 8959.000000 -3.144534e-05 -4.526353e-07 -3.035860e-07 -2.900225e-07 3.915574e-05 -2.382948e-04 -6.916845e-05 2.579019e-05
 8959.200000 -3.144877e-05 -4.524848e-07 -3.034177e-07 -2.901160e-07 3.605952e-05 -2.342126e-04 -7.141033e-05 2.453361e-05
 8959.400000 -3.144289e-05 -4.531161e-07 -3.037729e-07 -2.900748e-07 4.006299e-05 -2.299622e-04 -6.883524e-05 1.266610e-05
 8959.600000 -3.143700e-05 -4.524538e-07 -3.032447e-07 -2.901873e-07 3.060971e-05 -2.189441e-04 -5.478648e-05 1.163179e-05
